Travis County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.64,0.65
200002,2.03,-0.29
200003,1.83,-0.32
200004,2.32,-0.96
200005,4.18,-0.16
200006,4.70,1.48
200007,0.83,-1.26
200008,0.54,-1.31
200009,1.94,-1.24
200010,5.53,2.15
200011,8.32,5.80
200012,2.72,0.30
200101,3.11,1.12
200102,1.38,-0.94
200103,4.57,2.42
200104,1.14,-2.14
200105,4.12,-0.22
200106,2.01,-1.21
200107,1.03,-1.06
200108,6.32,4.47
200109,3.67,0.49
200110,3.18,-0.20
200111,8.16,5.64
200112,4.16,1.74
200201,1.23,-0.76
200202,1.00,-1.32
200203,1.44,-0.71
200204,1.19,-2.09
200205,1.60,-2.74
200206,4.78,1.56
200207,7.18,5.09
200208,1.21,-0.64
200209,3.59,0.41
200210,7.52,4.14
200211,3.22,0.70
200212,4.69,2.27
200301,1.43,-0.56
200302,4.75,2.43
200303,0.99,-1.16
200304,0.21,-3.07
200305,1.31,-3.03
200306,4.23,1.01
200307,2.34,0.25
200308,1.85,0.00
200309,3.36,0.18
200310,1.93,-1.45
200311,1.04,-1.48
200312,0.56,-1.86
200401,3.43,1.44
200402,4.24,1.92
200403,1.97,-0.18
200404,4.88,1.60
200405,2.50,-1.84
200406,9.99,6.77
200407,1.88,-0.21
200408,2.55,0.70
200409,1.16,-2.02
200410,6.61,3.23
200411,11.15,8.63
200412,0.45,-1.97
200501,2.46,0.47
200502,2.88,0.56
200503,3.25,1.10
200504,0.87,-2.41
200505,3.76,-0.58
200506,0.69,-2.53
200507,3.08,0.99
200508,3.10,1.25
200509,1.03,-2.15
200510,1.74,-1.64
200511,0.88,-1.64
200512,0.20,-2.22
200601,1.20,-0.79
200602,1.23,-1.09
200603,2.95,0.80
200604,3.25,-0.03
200605,3.75,-0.59
200606,3.13,-0.09
200607,1.28,-0.81
200608,0.55,-1.30
200609,2.96,-0.22
200610,4.73,1.35
200611,0.69,-1.83
200612,3.47,1.05
200701,6.19,4.20
200702,0.14,-2.18
200703,7.11,4.96
200704,2.46,-0.82
200705,6.76,2.42
200706,7.13,3.91
200707,8.42,6.33
200708,2.37,0.52
200709,2.84,-0.34
200710,1.46,-1.92
200711,1.51,-1.01
200712,0.79,-1.63
200801,0.90,-1.09
200802,0.65,-1.67
200803,2.97,0.82
200804,3.37,0.09
200805,2.04,-2.30
200806,0.55,-2.67
200807,1.30,-0.79
200808,2.65,0.80
200809,0.29,-2.89
200810,1.84,-1.54
200811,0.45,-2.07
200812,0.41,-2.01
200901,0.62,-1.37
200902,1.13,-1.19
200903,3.13,0.98
200904,3.93,0.65
200905,1.75,-2.59
200906,1.02,-2.20
200907,1.25,-0.84
200908,1.27,-0.58
200909,7.64,4.46
200910,9.05,5.67
200911,2.92,0.40
200912,2.41,-0.01
201001,3.44,1.45
201002,3.27,0.95
201003,3.12,0.97
201004,1.88,-1.40
201005,2.11,-2.23
201006,3.99,0.77
201007,4.15,2.06
201008,0.33,-1.52
201009,9.48,6.30
201010,0.13,-3.25
201011,0.77,-1.75
201012,0.90,-1.52
201101,2.88,0.89
201102,0.71,-1.61
201103,0.15,-2.00
201104,0.41,-2.87
201105,2.21,-2.13
201106,1.30,-1.92
201107,0.25,-1.84
201108,0.07,-1.78
201109,0.36,-2.82
201110,2.44,-0.94
201111,2.52,0.00
201112,4.81,2.39
201201,4.00,2.01
201202,3.67,1.35
201203,5.06,2.91
201204,0.21,-3.07
201205,4.62,0.28
201206,0.56,-2.66
201207,4.13,2.04
201208,1.66,-0.19
201209,5.18,2.00
201210,0.93,-2.45
201211,0.08,-2.44
201212,0.44,-1.98
201301,3.23,1.24
201302,0.57,-1.75
201303,1.22,-0.93
201304,3.30,0.02
201305,4.64,0.30
201306,0.96,-2.26
201307,3.95,1.86
201308,0.90,-0.95
201309,5.94,2.76
201310,9.66,6.28
201311,2.74,0.22
201312,0.87,-1.55
201401,0.46,-1.53
201402,0.51,-1.81
201403,1.06,-1.09
201404,1.61,-1.67
201405,6.87,2.53
201406,2.09,-1.13
201407,3.19,1.10
201408,0.30,-1.55
201409,5.94,2.76
201410,1.79,-1.59
201411,5.30,2.78
201412,1.26,-1.16
201501,4.66,2.67
201502,0.71,-1.61
201503,4.02,1.87
201504,2.90,-0.38
201505,14.07,9.73
201506,4.43,1.21
201507,0.30,-1.79
201508,0.56,-1.29
201509,1.10,-2.08
201510,13.33,9.95
201511,3.28,0.76
201512,2.85,0.43
201601,0.52,-1.47
201602,1.45,-0.87
201603,3.83,1.68
201604,7.66,4.38
201605,8.00,3.66
201606,2.88,-0.34
201607,1.18,-0.91
201608,8.39,6.54
201609,2.54,-0.64
201610,0.26,-3.12
201611,3.62,1.10
201612,2.69,0.27
201701,3.44,1.45
201702,2.56,0.24
201703,2.41,0.26
201704,2.02,-1.26
201705,2.74,-1.60
201706,2.44,-0.78
201707,0.64,-1.45
201708,10.25,8.40
201709,2.80,-0.38
201710,1.78,-1.60
201711,0.51,-2.01
201712,3.43,1.01
201801,0.27,-1.72
201802,1.76,-0.56
201803,3.77,1.62
201804,0.79,-2.49
201805,3.46,-0.88
201806,1.44,-1.78
201807,2.64,0.55
201808,1.24,-0.61
201809,8.63,5.45
201810,8.16,4.78
201811,1.86,-0.66
201812,5.59,3.17
201901,3.13,1.14
201902,0.68,-1.64
201903,0.53,-1.62
201904,6.85,3.57
201905,7.63,3.29
201906,5.10,1.88
201907,0.87,-1.22
201908,0.54,-1.31
201909,0.83,-2.35
201910,3.36,-0.02
201911,0.79,-1.73
201912,0.84,-1.58
202001,2.15,0.16
