Dauphin County, Pennsylvania, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.23,0.04
200002,2.51,-0.19
200003,5.25,1.65
200004,3.48,-0.17
200005,4.16,0.16
200006,5.69,1.55
200007,2.69,-1.46
200008,3.87,-0.07
200009,5.56,1.75
200010,1.40,-1.91
200011,2.02,-1.23
200012,3.61,0.25
200101,2.03,-1.16
200102,1.52,-1.18
200103,4.68,1.08
200104,2.47,-1.18
200105,2.37,-1.63
200106,3.54,-0.60
200107,2.60,-1.55
200108,2.95,-0.99
200109,3.75,-0.06
200110,1.15,-2.16
200111,1.41,-1.84
200112,2.21,-1.15
200201,2.23,-0.96
200202,0.63,-2.07
200203,4.37,0.77
200204,3.84,0.19
200205,4.43,0.43
200206,3.84,-0.30
200207,1.55,-2.60
200208,2.37,-1.57
200209,4.64,0.83
200210,6.27,2.96
200211,3.78,0.53
200212,4.62,1.26
200301,2.36,-0.83
200302,4.27,1.57
200303,3.96,0.36
200304,3.06,-0.59
200305,4.52,0.52
200306,6.40,2.26
200307,4.00,-0.15
200308,6.67,2.73
200309,7.31,3.50
200310,5.24,1.93
200311,3.99,0.74
200312,4.52,1.16
200401,2.32,-0.87
200402,2.42,-0.28
200403,2.08,-1.52
200404,5.88,2.23
200405,3.96,-0.04
200406,5.12,0.98
200407,7.16,3.01
200408,5.67,1.73
200409,9.81,6.00
200410,2.39,-0.92
200411,4.10,0.85
200412,3.62,0.26
200501,4.84,1.65
200502,1.94,-0.76
200503,4.46,0.86
200504,4.75,1.10
200505,1.42,-2.58
200506,2.11,-2.03
200507,6.55,2.40
200508,2.79,-1.15
200509,0.81,-3.00
200510,8.70,5.39
200511,3.12,-0.13
200512,2.73,-0.63
200601,4.99,1.80
200602,2.30,-0.40
200603,0.94,-2.66
200604,3.55,-0.10
200605,3.05,-0.95
200606,10.94,6.80
200607,4.14,-0.01
200608,2.84,-1.10
200609,5.11,1.30
200610,4.30,0.99
200611,5.19,1.94
200612,2.47,-0.89
200701,2.55,-0.64
200702,2.87,0.17
200703,3.62,0.02
200704,3.68,0.03
200705,1.27,-2.73
200706,3.48,-0.66
200707,3.35,-0.80
200708,5.45,1.51
200709,1.82,-1.99
200710,4.02,0.71
200711,3.57,0.32
200712,4.49,1.13
200801,1.51,-1.68
200802,5.49,2.79
200803,4.71,1.11
200804,3.72,0.07
200805,4.78,0.78
200806,2.70,-1.44
200807,4.05,-0.10
200808,2.31,-1.63
200809,5.47,1.66
200810,2.89,-0.42
200811,2.22,-1.03
200812,6.72,3.36
200901,1.92,-1.27
200902,0.68,-2.02
200903,1.39,-2.21
200904,4.33,0.68
200905,6.57,2.57
200906,4.78,0.64
200907,4.45,0.30
200908,6.00,2.06
200909,3.49,-0.32
200910,5.97,2.66
200911,1.87,-1.38
200912,4.51,1.15
201001,3.12,-0.07
201002,2.42,-0.28
201003,3.80,0.20
201004,2.15,-1.50
201005,4.07,0.07
201006,2.60,-1.54
201007,5.45,1.30
201008,3.08,-0.86
201009,4.30,0.49
201010,5.00,1.69
201011,2.93,-0.32
201012,2.87,-0.49
201101,1.74,-1.45
201102,2.94,0.24
201103,7.56,3.96
201104,10.11,6.46
201105,6.19,2.19
201106,3.48,-0.66
201107,2.82,-1.33
201108,9.01,5.07
201109,16.00,12.19
201110,5.16,1.85
201111,4.54,1.29
201112,3.47,0.11
201201,3.03,-0.16
201202,1.28,-1.42
201203,2.14,-1.46
201204,2.14,-1.51
201205,6.12,2.12
201206,3.59,-0.55
201207,4.31,0.16
201208,5.17,1.23
201209,4.76,0.95
201210,6.50,3.19
201211,1.17,-2.08
201212,3.84,0.48
201301,3.31,0.12
201302,1.79,-0.91
201303,2.17,-1.43
201304,2.86,-0.79
201305,3.13,-0.87
201306,5.33,1.19
201307,4.69,0.54
201308,3.34,-0.60
201309,2.15,-1.66
201310,7.68,4.37
201311,3.06,-0.19
201312,3.67,0.31
201401,2.36,-0.83
201402,3.71,1.01
201403,3.72,0.12
201404,4.46,0.81
201405,5.64,1.64
201406,4.87,0.73
201407,4.51,0.36
201408,4.40,0.46
201409,1.65,-2.16
201410,3.65,0.34
201411,2.73,-0.52
201412,3.16,-0.20
201501,2.09,-1.10
201502,1.08,-1.62
201503,3.13,-0.47
201504,3.26,-0.39
201505,2.93,-1.07
201506,8.83,4.69
201507,3.57,-0.58
201508,3.21,-0.73
201509,3.91,0.10
201510,4.09,0.78
201511,1.56,-1.69
201512,4.36,1.00
201601,3.64,0.45
201602,4.90,2.20
201603,1.27,-2.33
201604,2.49,-1.16
201605,4.20,0.20
201606,3.54,-0.60
201607,3.98,-0.17
201608,3.29,-0.65
201609,3.65,-0.16
201610,1.73,-1.58
201611,1.64,-1.61
201612,2.60,-0.76
201701,2.60,-0.59
201702,1.12,-1.58
201703,4.08,0.48
201704,3.65,0.00
201705,4.90,0.90
201706,3.07,-1.07
201707,7.23,3.08
201708,6.93,2.99
201709,2.36,-1.45
201710,4.89,1.58
201711,1.95,-1.30
201712,1.35,-2.01
201801,3.02,-0.17
201802,5.59,2.89
201803,2.77,-0.83
201804,4.17,0.52
201805,5.08,1.08
201806,5.71,1.57
201807,13.80,9.65
201808,7.38,3.44
201809,7.38,3.57
201810,3.41,0.10
201811,8.94,5.69
201812,5.30,1.94
201901,4.43,1.24
201902,3.28,0.58
201903,4.48,0.88
201904,4.30,0.65
201905,7.01,3.01
201906,4.54,0.40
201907,4.26,0.11
201908,3.69,-0.25
201909,1.68,-2.13
201910,6.60,3.29
201911,2.78,-0.47
201912,3.50,0.14
202001,3.00,-0.19
