Monroe County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.60,0.36
200002,1.75,-0.26
200003,1.84,-0.57
200004,4.36,1.55
200005,4.83,1.91
200006,4.66,1.65
200007,2.48,-0.45
200008,4.11,1.25
200009,3.63,0.77
200010,1.65,-1.12
200011,1.95,-0.73
200012,2.03,-0.34
200101,1.66,-0.58
200102,1.69,-0.32
200103,3.94,1.53
200104,0.98,-1.83
200105,2.94,0.02
200106,1.65,-1.36
200107,1.59,-1.34
200108,2.98,0.12
200109,3.61,0.75
200110,2.47,-0.30
200111,2.09,-0.59
200112,2.09,-0.28
200201,2.01,-0.23
200202,1.92,-0.09
200203,2.09,-0.32
200204,3.78,0.97
200205,5.72,2.80
200206,4.00,0.99
200207,2.00,-0.93
200208,1.15,-1.71
200209,2.90,0.04
200210,2.37,-0.40
200211,2.96,0.28
200212,3.54,1.17
200301,2.26,0.02
200302,2.17,0.16
200303,2.04,-0.37
200304,1.89,-0.92
200305,4.28,1.36
200306,2.34,-0.67
200307,2.77,-0.16
200308,3.76,0.90
200309,3.10,0.24
200310,2.31,-0.46
200311,3.89,1.21
200312,2.63,0.26
200401,2.63,0.39
200402,0.69,-1.32
200403,1.90,-0.51
200404,3.69,0.88
200405,4.93,2.01
200406,3.20,0.19
200407,5.54,2.61
200408,3.77,0.91
200409,4.12,1.26
200410,1.84,-0.93
200411,2.44,-0.24
200412,2.87,0.50
200501,3.30,1.06
200502,1.57,-0.44
200503,1.47,-0.94
200504,4.25,1.44
200505,1.38,-1.54
200506,2.51,-0.50
200507,2.93,0.00
200508,4.30,1.44
200509,4.50,1.64
200510,4.05,1.28
200511,3.42,0.74
200512,1.37,-1.00
200601,2.25,0.01
200602,1.61,-0.40
200603,1.77,-0.64
200604,2.17,-0.64
200605,2.07,-0.85
200606,3.43,0.42
200607,6.91,3.98
200608,2.66,-0.20
200609,5.40,2.54
200610,5.35,2.58
200611,2.70,0.02
200612,3.25,0.88
200701,4.02,1.78
200702,1.78,-0.23
200703,2.78,0.37
200704,3.66,0.85
200705,0.72,-2.20
200706,2.15,-0.86
200707,2.99,0.06
200708,1.55,-1.31
200709,2.57,-0.29
200710,3.13,0.36
200711,4.12,1.44
200712,4.15,1.78
200801,1.31,-0.93
200802,3.74,1.73
200803,3.62,1.21
200804,1.78,-1.03
200805,1.58,-1.34
200806,2.95,-0.06
200807,4.71,1.78
200808,3.44,0.58
200809,1.82,-1.04
200810,3.90,1.13
200811,2.02,-0.66
200812,3.59,1.22
200901,1.93,-0.31
200902,1.47,-0.54
200903,3.04,0.63
200904,2.22,-0.59
200905,3.05,0.13
200906,5.07,2.06
200907,4.29,1.36
200908,2.34,-0.52
200909,1.91,-0.95
200910,3.15,0.38
200911,1.26,-1.42
200912,2.55,0.18
201001,1.95,-0.29
201002,1.84,-0.17
201003,2.27,-0.14
201004,1.61,-1.20
201005,2.54,-0.38
201006,5.59,2.58
201007,4.94,2.01
201008,2.94,0.08
201009,2.89,0.03
201010,3.89,1.12
201011,2.70,0.02
201012,2.48,0.11
201101,1.48,-0.76
201102,2.72,0.71
201103,2.50,0.09
201104,5.66,2.85
201105,4.93,2.01
201106,1.83,-1.18
201107,1.37,-1.56
201108,5.04,2.18
201109,3.32,0.46
201110,5.60,2.83
201111,2.63,-0.05
201112,2.63,0.26
201201,2.81,0.57
201202,1.60,-0.41
201203,1.69,-0.72
201204,2.93,0.12
201205,2.07,-0.85
201206,3.71,0.70
201207,2.45,-0.48
201208,2.62,-0.24
201209,4.15,1.29
201210,5.30,2.53
201211,0.77,-1.91
201212,3.95,1.58
201301,1.43,-0.81
201302,2.40,0.39
201303,0.87,-1.54
201304,3.01,0.20
201305,3.60,0.68
201306,6.37,3.36
201307,3.73,0.80
201308,3.19,0.33
201309,2.66,-0.20
201310,3.53,0.76
201311,2.99,0.31
201312,3.00,0.63
201401,1.47,-0.77
201402,2.26,0.25
201403,2.76,0.35
201404,3.46,0.65
201405,3.88,0.96
201406,3.08,0.07
201407,7.02,4.09
201408,2.63,-0.23
201409,1.37,-1.49
201410,2.28,-0.49
201411,2.50,-0.18
201412,1.96,-0.41
201501,1.53,-0.71
201502,1.97,-0.04
201503,1.11,-1.30
201504,2.58,-0.23
201505,3.42,0.50
201506,6.45,3.44
201507,3.04,0.11
201508,3.64,0.78
201509,4.27,1.41
201510,2.97,0.20
201511,1.12,-1.56
201512,2.64,0.27
201601,1.19,-1.05
201602,3.31,1.30
201603,1.79,-0.62
201604,1.46,-1.35
201605,2.35,-0.57
201606,1.28,-1.73
201607,1.35,-1.58
201608,3.25,0.39
201609,2.69,-0.17
201610,5.69,2.92
201611,2.43,-0.25
201612,2.81,0.44
201701,2.56,0.32
201702,2.34,0.33
201703,3.27,0.86
201704,5.01,2.20
201705,5.49,2.57
201706,3.58,0.57
201707,5.20,2.27
201708,3.42,0.56
201709,1.72,-1.14
201710,6.48,3.71
201711,3.79,1.11
201712,2.19,-0.18
201801,2.76,0.52
201802,2.03,0.02
201803,2.61,0.20
201804,3.33,0.52
201805,2.02,-0.90
201806,2.32,-0.69
201807,2.87,-0.06
201808,3.65,0.79
201809,2.73,-0.13
201810,4.12,1.35
201811,4.39,1.71
201812,2.16,-0.21
201901,2.72,0.48
201902,2.57,0.56
201903,1.48,-0.93
201904,2.91,0.10
201905,3.66,0.74
201906,3.99,0.98
201907,2.89,-0.04
201908,2.94,0.08
201909,3.12,0.26
201910,4.71,1.94
201911,2.14,-0.54
201912,3.90,1.53
202001,2.60,0.36
