Marquette County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.74,0.09
200002,1.10,-0.36
200003,2.65,0.72
200004,1.09,-1.18
200005,1.49,-1.55
200006,4.13,0.62
200007,2.76,-0.69
200008,2.50,-0.70
200009,2.63,-0.99
200010,2.06,-0.73
200011,2.57,-0.13
200012,1.86,0.01
200101,1.97,0.32
200102,1.68,0.22
200103,1.29,-0.64
200104,3.07,0.80
200105,2.88,-0.16
200106,4.48,0.97
200107,3.65,0.20
200108,1.60,-1.60
200109,3.21,-0.41
200110,2.95,0.16
200111,3.51,0.81
200112,1.61,-0.24
200201,0.83,-0.82
200202,3.02,1.56
200203,3.38,1.45
200204,4.41,2.14
200205,3.27,0.23
200206,4.39,0.88
200207,4.17,0.72
200208,3.53,0.33
200209,4.93,1.31
200210,4.76,1.97
200211,1.73,-0.97
200212,0.61,-1.24
200301,0.77,-0.88
200302,1.33,-0.13
200303,2.40,0.47
200304,2.68,0.41
200305,4.07,1.03
200306,1.85,-1.66
200307,3.19,-0.26
200308,1.76,-1.44
200309,4.38,0.76
200310,2.62,-0.17
200311,2.67,-0.03
200312,2.26,0.41
200401,1.78,0.13
200402,1.77,0.31
200403,2.99,1.06
200404,2.64,0.37
200405,4.69,1.65
200406,3.10,-0.41
200407,3.32,-0.13
200408,2.88,-0.32
200409,1.49,-2.13
200410,3.82,1.03
200411,2.18,-0.52
200412,3.32,1.47
200501,1.54,-0.11
200502,1.37,-0.09
200503,1.15,-0.78
200504,1.66,-0.61
200505,2.57,-0.47
200506,3.36,-0.15
200507,2.23,-1.22
200508,1.74,-1.46
200509,3.75,0.13
200510,4.61,1.82
200511,3.61,0.91
200512,1.40,-0.45
200601,1.65,0.00
200602,1.49,0.03
200603,1.83,-0.10
200604,1.13,-1.14
200605,5.73,2.69
200606,1.62,-1.89
200607,3.02,-0.43
200608,2.59,-0.61
200609,2.28,-1.34
200610,2.00,-0.79
200611,1.61,-1.09
200612,2.10,0.25
200701,1.64,-0.01
200702,0.99,-0.47
200703,2.43,0.50
200704,3.36,1.09
200705,1.88,-1.16
200706,2.43,-1.08
200707,2.35,-1.10
200708,1.13,-2.07
200709,6.21,2.59
200710,5.07,2.28
200711,1.60,-1.10
200712,2.49,0.64
200801,1.67,0.02
200802,1.14,-0.32
200803,1.13,-0.80
200804,4.66,2.39
200805,2.33,-0.71
200806,3.57,0.06
200807,3.21,-0.24
200808,0.82,-2.38
200809,2.73,-0.89
200810,2.22,-0.57
200811,2.17,-0.53
200812,2.57,0.72
200901,1.29,-0.36
200902,1.84,0.38
200903,0.73,-1.20
200904,3.32,1.05
200905,2.49,-0.55
200906,2.24,-1.27
200907,2.56,-0.89
200908,4.62,1.42
200909,1.86,-1.76
200910,5.69,2.90
200911,1.03,-1.67
200912,2.63,0.78
201001,1.48,-0.17
201002,1.40,-0.06
201003,0.28,-1.65
201004,0.94,-1.33
201005,1.56,-1.48
201006,6.54,3.03
201007,5.49,2.04
201008,2.41,-0.79
201009,7.16,3.54
201010,2.16,-0.63
201011,1.83,-0.87
201012,2.04,0.19
201101,1.47,-0.18
201102,0.39,-1.07
201103,1.10,-0.83
201104,3.82,1.55
201105,3.66,0.62
201106,4.30,0.79
201107,1.28,-2.17
201108,1.48,-1.72
201109,5.34,1.72
201110,2.10,-0.69
201111,2.17,-0.53
201112,1.70,-0.15
201201,2.23,0.58
201202,0.76,-0.70
201203,1.80,-0.13
201204,1.65,-0.62
201205,2.91,-0.13
201206,3.88,0.37
201207,4.08,0.63
201208,1.90,-1.30
201209,3.99,0.37
201210,4.27,1.48
201211,1.85,-0.85
201212,1.54,-0.31
201301,2.01,0.36
201302,2.02,0.56
201303,2.00,0.07
201304,4.10,1.83
201305,3.39,0.35
201306,3.58,0.07
201307,5.47,2.02
201308,3.06,-0.14
201309,1.94,-1.68
201310,3.57,0.78
201311,3.87,1.17
201312,2.07,0.22
201401,1.81,0.16
201402,1.23,-0.23
201403,1.57,-0.36
201404,3.31,1.04
201405,2.73,-0.31
201406,4.00,0.49
201407,3.97,0.52
201408,3.88,0.68
201409,4.43,0.81
201410,5.52,2.73
201411,4.14,1.44
201412,2.10,0.25
201501,1.05,-0.60
201502,1.24,-0.22
201503,1.03,-0.90
201504,2.42,0.15
201505,4.52,1.48
201506,3.16,-0.35
201507,2.03,-1.42
201508,3.19,-0.01
201509,1.91,-1.71
201510,2.62,-0.17
201511,2.55,-0.15
201512,4.05,2.20
201601,1.79,0.14
201602,2.01,0.55
201603,2.30,0.37
201604,3.06,0.79
201605,3.68,0.64
201606,3.53,0.02
201607,4.05,0.60
201608,4.79,1.59
201609,5.29,1.67
201610,3.42,0.63
201611,1.56,-1.14
201612,2.30,0.45
201701,1.55,-0.10
201702,2.01,0.55
201703,1.34,-0.59
201704,4.87,2.60
201705,3.84,0.80
201706,6.02,2.51
201707,2.59,-0.86
201708,5.54,2.34
201709,2.86,-0.76
201710,6.56,3.77
201711,1.98,-0.72
201712,2.19,0.34
201801,2.20,0.55
201802,1.23,-0.23
201803,0.79,-1.14
201804,2.27,0.00
201805,2.12,-0.92
201806,4.69,1.18
201807,3.99,0.54
201808,3.85,0.65
201809,5.94,2.32
201810,6.27,3.48
201811,2.45,-0.25
201812,1.80,-0.05
201901,1.63,-0.02
201902,4.58,3.12
201903,1.04,-0.89
201904,4.25,1.98
201905,5.97,2.93
201906,1.87,-1.64
201907,2.58,-0.87
201908,2.48,-0.72
201909,5.61,1.99
201910,4.77,1.98
201911,2.92,0.22
201912,4.14,2.29
202001,2.37,0.72
