Crockett County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.26,-0.46
200002,0.31,-0.53
200003,0.42,-0.37
200004,0.35,-1.18
200005,0.74,-1.54
200006,6.19,4.14
200007,0.23,-1.54
200008,0.02,-1.86
200009,1.00,-1.57
200010,4.21,2.22
200011,2.56,1.61
200012,0.40,-0.32
200101,1.55,0.83
200102,0.69,-0.15
200103,1.21,0.42
200104,0.50,-1.03
200105,1.88,-0.40
200106,0.13,-1.92
200107,0.44,-1.33
200108,3.63,1.75
200109,0.64,-1.93
200110,0.52,-1.47
200111,3.82,2.87
200112,0.18,-0.54
200201,0.06,-0.66
200202,0.54,-0.30
200203,1.05,0.26
200204,0.90,-0.63
200205,0.28,-2.00
200206,1.17,-0.88
200207,2.46,0.69
200208,0.34,-1.54
200209,1.46,-1.11
200210,8.24,6.25
200211,0.56,-0.39
200212,0.71,-0.01
200301,0.06,-0.66
200302,1.73,0.89
200303,1.00,0.21
200304,0.25,-1.28
200305,1.61,-0.67
200306,2.88,0.83
200307,2.02,0.25
200308,1.82,-0.06
200309,3.23,0.66
200310,4.24,2.25
200311,0.61,-0.34
200312,0.00,-0.72
200401,1.37,0.65
200402,1.35,0.51
200403,3.45,2.66
200404,3.13,1.60
200405,0.83,-1.45
200406,4.10,2.05
200407,1.42,-0.35
200408,4.30,2.42
200409,2.68,0.11
200410,5.44,3.45
200411,4.09,3.14
200412,0.31,-0.41
200501,0.54,-0.18
200502,2.09,1.25
200503,0.91,0.12
200504,0.07,-1.46
200505,3.69,1.41
200506,1.25,-0.80
200507,2.64,0.87
200508,3.81,1.93
200509,0.06,-2.51
200510,4.33,2.34
200511,0.00,-0.95
200512,0.21,-0.51
200601,0.06,-0.66
200602,0.45,-0.39
200603,1.39,0.60
200604,1.06,-0.47
200605,0.41,-1.87
200606,1.57,-0.48
200607,0.49,-1.28
200608,3.24,1.36
200609,1.97,-0.60
200610,1.70,-0.29
200611,0.00,-0.95
200612,1.26,0.54
200701,1.76,1.04
200702,0.36,-0.48
200703,4.10,3.31
200704,1.69,0.16
200705,6.52,4.24
200706,3.78,1.73
200707,2.33,0.56
200708,2.70,0.82
200709,1.97,-0.60
200710,0.66,-1.33
200711,0.56,-0.39
200712,0.18,-0.54
200801,0.21,-0.51
200802,0.21,-0.63
200803,1.02,0.23
200804,0.34,-1.19
200805,0.48,-1.80
200806,3.32,1.27
200807,1.23,-0.54
200808,2.73,0.85
200809,4.41,1.84
200810,2.25,0.26
200811,0.12,-0.83
200812,0.08,-0.64
200901,0.03,-0.69
200902,0.55,-0.29
200903,1.42,0.63
200904,2.66,1.13
200905,1.53,-0.75
200906,3.07,1.02
200907,1.46,-0.31
200908,0.92,-0.96
200909,1.77,-0.80
200910,2.37,0.38
200911,0.27,-0.68
200912,1.14,0.42
201001,2.95,2.23
201002,1.68,0.84
201003,1.25,0.46
201004,2.64,1.11
201005,1.73,-0.55
201006,1.59,-0.46
201007,5.88,4.11
201008,1.03,-0.85
201009,1.30,-1.27
201010,0.29,-1.70
201011,0.00,-0.95
201012,0.17,-0.55
201101,0.23,-0.49
201102,0.24,-0.60
201103,0.01,-0.78
201104,0.36,-1.17
201105,0.25,-2.03
201106,0.31,-1.74
201107,0.22,-1.55
201108,0.60,-1.28
201109,0.93,-1.64
201110,2.59,0.60
201111,0.12,-0.83
201112,1.05,0.33
201201,1.29,0.57
201202,1.70,0.86
201203,0.38,-0.41
201204,1.03,-0.50
201205,4.44,2.16
201206,0.08,-1.97
201207,1.61,-0.16
201208,2.24,0.36
201209,5.20,2.63
201210,0.12,-1.87
201211,0.19,-0.76
201212,0.14,-0.58
201301,1.31,0.59
201302,0.09,-0.75
201303,0.02,-0.77
201304,1.12,-0.41
201305,2.70,0.42
201306,1.45,-0.60
201307,3.52,1.75
201308,0.57,-1.31
201309,4.31,1.74
201310,2.26,0.27
201311,1.16,0.21
201312,0.79,0.07
201401,0.00,-0.72
201402,0.04,-0.80
201403,0.19,-0.60
201404,0.36,-1.17
201405,3.03,0.75
201406,2.61,0.56
201407,0.86,-0.91
201408,1.65,-0.23
201409,4.40,1.83
201410,0.29,-1.70
201411,2.63,1.68
201412,0.54,-0.18
201501,1.74,1.02
201502,0.34,-0.50
201503,3.06,2.27
201504,0.86,-0.67
201505,5.22,2.94
201506,3.27,1.22
201507,0.78,-0.99
201508,0.63,-1.25
201509,1.51,-1.06
201510,4.39,2.40
201511,2.09,1.14
201512,1.36,0.64
201601,0.36,-0.36
201602,0.42,-0.42
201603,1.89,1.10
201604,2.27,0.74
201605,3.48,1.20
201606,4.13,2.08
201607,0.16,-1.61
201608,3.63,1.75
201609,3.18,0.61
201610,0.16,-1.83
201611,1.94,0.99
201612,1.47,0.75
201701,1.51,0.79
201702,1.40,0.56
201703,0.54,-0.25
201704,1.56,0.03
201705,2.28,0.00
201706,1.20,-0.85
201707,2.83,1.06
201708,3.30,1.42
201709,2.09,-0.48
201710,0.90,-1.09
201711,0.63,-0.32
201712,1.57,0.85
201801,0.02,-0.70
201802,0.65,-0.19
201803,0.41,-0.38
201804,0.12,-1.41
201805,1.85,-0.43
201806,0.77,-1.28
201807,1.20,-0.57
201808,1.26,-0.62
201809,5.87,3.30
201810,8.27,6.28
201811,0.45,-0.50
201812,2.00,1.28
201901,0.28,-0.44
201902,0.06,-0.78
201903,0.90,0.11
201904,3.46,1.93
201905,3.50,1.22
201906,3.39,1.34
201907,0.66,-1.11
201908,0.48,-1.40
201909,0.54,-2.03
201910,0.66,-1.33
201911,1.06,0.11
201912,0.87,0.15
202001,1.07,0.35
