Peoria County, Illinois, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.05,-0.65
200002,1.94,0.41
200003,1.72,-1.01
200004,2.99,-0.61
200005,4.32,0.31
200006,5.30,1.31
200007,2.33,-1.45
200008,2.50,-0.83
200009,3.55,-0.08
200010,1.76,-0.80
200011,2.66,0.33
200012,1.76,-0.14
200101,2.97,1.27
200102,3.25,1.72
200103,1.19,-1.54
200104,3.45,-0.15
200105,5.07,1.06
200106,4.19,0.20
200107,2.55,-1.23
200108,3.48,0.15
200109,4.27,0.64
200110,5.19,2.63
200111,1.80,-0.53
200112,1.30,-0.60
200201,2.35,0.65
200202,1.11,-0.42
200203,1.75,-0.98
200204,4.62,1.02
200205,6.53,2.52
200206,4.26,0.27
200207,3.37,-0.41
200208,4.73,1.40
200209,0.81,-2.82
200210,1.76,-0.80
200211,0.51,-1.82
200212,1.71,-0.19
200301,0.42,-1.28
200302,0.72,-0.81
200303,1.80,-0.93
200304,2.49,-1.11
200305,4.36,0.35
200306,3.62,-0.37
200307,5.75,1.97
200308,1.91,-1.42
200309,3.15,-0.48
200310,2.14,-0.42
200311,3.64,1.31
200312,2.64,0.74
200401,0.64,-1.06
200402,0.51,-1.02
200403,2.80,0.07
200404,1.75,-1.85
200405,6.23,2.22
200406,2.77,-1.22
200407,3.67,-0.11
200408,5.04,1.71
200409,1.07,-2.56
200410,5.06,2.50
200411,4.09,1.76
200412,1.50,-0.40
200501,4.24,2.54
200502,1.50,-0.03
200503,1.18,-1.55
200504,2.15,-1.45
200505,0.96,-3.05
200506,1.20,-2.79
200507,2.48,-1.30
200508,2.30,-1.03
200509,3.27,-0.36
200510,1.31,-1.25
200511,2.67,0.34
200512,1.02,-0.88
200601,3.15,1.45
200602,0.67,-0.86
200603,2.70,-0.03
200604,4.92,1.32
200605,2.14,-1.87
200606,2.33,-1.66
200607,3.03,-0.75
200608,4.52,1.19
200609,2.65,-0.98
200610,2.22,-0.34
200611,3.36,1.03
200612,2.88,0.98
200701,2.29,0.59
200702,2.00,0.47
200703,5.36,2.63
200704,4.23,0.63
200705,2.03,-1.98
200706,3.57,-0.42
200707,3.74,-0.04
200708,5.01,1.68
200709,1.06,-2.57
200710,2.23,-0.33
200711,1.72,-0.61
200712,3.01,1.11
200801,2.48,0.78
200802,3.58,2.05
200803,1.81,-0.92
200804,3.15,-0.45
200805,4.05,0.04
200806,5.40,1.41
200807,4.44,0.66
200808,1.69,-1.64
200809,10.63,7.00
200810,2.16,-0.40
200811,1.08,-1.25
200812,3.95,2.05
200901,0.51,-1.19
200902,1.90,0.37
200903,6.70,3.97
200904,6.63,3.03
200905,6.63,2.62
200906,5.59,1.60
200907,4.90,1.12
200908,5.14,1.81
200909,2.71,-0.92
200910,7.27,4.71
200911,2.57,0.24
200912,3.82,1.92
201001,1.61,-0.09
201002,1.57,0.04
201003,2.90,0.17
201004,3.42,-0.18
201005,7.46,3.45
201006,8.90,4.91
201007,3.87,0.09
201008,3.41,0.08
201009,4.77,1.14
201010,1.47,-1.09
201011,1.76,-0.57
201012,2.51,0.61
201101,0.97,-0.73
201102,3.53,2.00
201103,1.31,-1.42
201104,6.34,2.74
201105,6.22,2.21
201106,6.14,2.15
201107,2.79,-0.99
201108,1.55,-1.78
201109,3.61,-0.02
201110,0.74,-1.82
201111,4.68,2.35
201112,3.03,1.13
201201,0.84,-0.86
201202,1.39,-0.14
201203,1.26,-1.47
201204,2.14,-1.46
201205,2.99,-1.02
201206,2.85,-1.14
201207,1.50,-2.28
201208,3.91,0.58
201209,4.06,0.43
201210,4.39,1.83
201211,0.95,-1.38
201212,1.58,-0.32
201301,3.45,1.75
201302,2.46,0.93
201303,2.05,-0.68
201304,8.12,4.52
201305,8.64,4.63
201306,3.88,-0.11
201307,2.15,-1.63
201308,0.90,-2.43
201309,1.46,-2.17
201310,3.83,1.27
201311,2.33,0.00
201312,1.45,-0.45
201401,1.91,0.21
201402,2.70,1.17
201403,1.55,-1.18
201404,3.31,-0.29
201405,2.05,-1.96
201406,9.03,5.04
201407,2.62,-1.16
201408,6.22,2.89
201409,4.87,1.24
201410,2.85,0.29
201411,1.11,-1.22
201412,0.95,-0.95
201501,1.72,0.02
201502,1.46,-0.07
201503,0.70,-2.03
201504,3.11,-0.49
201505,5.15,1.14
201506,12.24,8.25
201507,5.54,1.76
201508,2.40,-0.93
201509,2.85,-0.78
201510,1.55,-1.01
201511,5.50,3.17
201512,5.84,3.94
201601,0.68,-1.02
201602,0.61,-0.92
201603,2.35,-0.38
201604,2.00,-1.60
201605,3.56,-0.45
201606,3.68,-0.31
201607,6.16,2.38
201608,7.49,4.16
201609,3.39,-0.24
201610,3.36,0.80
201611,2.52,0.19
201612,1.06,-0.84
201701,1.52,-0.18
201702,0.84,-0.69
201703,3.78,1.05
201704,6.68,3.08
201705,3.86,-0.15
201706,2.02,-1.97
201707,5.36,1.58
201708,1.69,-1.64
201709,0.52,-3.11
201710,5.20,2.64
201711,1.72,-0.61
201712,0.66,-1.24
201801,1.36,-0.34
201802,4.42,2.89
201803,3.29,0.56
201804,1.51,-2.09
201805,4.11,0.10
201806,4.46,0.47
201807,3.50,-0.28
201808,5.82,2.49
201809,3.77,0.14
201810,4.98,2.42
201811,2.30,-0.03
201812,2.80,0.90
201901,2.89,1.19
201902,2.43,0.90
201903,4.10,1.37
201904,3.96,0.36
201905,9.69,5.68
201906,4.90,0.91
201907,1.84,-1.94
201908,3.11,-0.22
201909,8.38,4.75
201910,4.68,2.12
201911,1.73,-0.60
201912,1.91,0.01
202001,3.14,1.44
