Caldwell County, North Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.63,0.63
200002,2.29,-1.59
200003,3.92,-0.86
200004,6.44,2.41
200005,2.40,-1.83
200006,3.09,-1.48
200007,4.33,-0.97
200008,3.23,-2.22
200009,6.15,1.98
200010,0.05,-3.73
200011,3.20,-0.11
200012,2.03,-1.93
200101,3.08,-0.92
200102,2.02,-1.86
200103,5.79,1.01
200104,1.21,-2.82
200105,2.90,-1.33
200106,4.31,-0.26
200107,9.16,3.86
200108,3.50,-1.95
200109,4.43,0.26
200110,1.57,-2.21
200111,1.43,-1.88
200112,3.14,-0.82
200201,3.77,-0.23
200202,1.55,-2.33
200203,4.70,-0.08
200204,1.44,-2.59
200205,2.95,-1.28
200206,2.50,-2.07
200207,3.49,-1.81
200208,3.25,-2.20
200209,6.56,2.39
200210,5.20,1.42
200211,5.13,1.82
200212,5.75,1.79
200301,1.86,-2.14
200302,5.25,1.37
200303,6.68,1.90
200304,8.14,4.11
200305,7.81,3.58
200306,6.69,2.12
200307,7.68,2.38
200308,6.94,1.49
200309,3.75,-0.42
200310,2.45,-1.33
200311,4.78,1.47
200312,3.38,-0.58
200401,1.54,-2.46
200402,4.19,0.31
200403,2.24,-2.54
200404,3.42,-0.61
200405,3.90,-0.33
200406,5.56,0.99
200407,4.13,-1.17
200408,3.68,-1.77
200409,14.14,9.97
200410,2.69,-1.09
200411,5.27,1.96
200412,4.16,0.20
200501,2.76,-1.24
200502,2.59,-1.29
200503,4.28,-0.50
200504,4.21,0.18
200505,2.94,-1.29
200506,6.95,2.38
200507,7.57,2.27
200508,5.32,-0.13
200509,0.37,-3.80
200510,5.60,1.82
200511,4.48,1.17
200512,3.48,-0.48
200601,3.86,-0.14
200602,1.51,-2.37
200603,1.54,-3.24
200604,4.48,0.45
200605,1.74,-2.49
200606,4.50,-0.07
200607,3.51,-1.79
200608,5.94,0.49
200609,6.74,2.57
200610,4.04,0.26
200611,4.40,1.09
200612,3.71,-0.25
200701,4.67,0.67
200702,1.43,-2.45
200703,4.81,0.03
200704,2.24,-1.79
200705,1.06,-3.17
200706,3.75,-0.82
200707,2.87,-2.43
200708,1.62,-3.83
200709,2.51,-1.66
200710,4.19,0.41
200711,1.05,-2.26
200712,4.07,0.11
200801,1.23,-2.77
200802,4.02,0.14
200803,4.45,-0.33
200804,3.16,-0.87
200805,1.96,-2.27
200806,2.41,-2.16
200807,4.62,-0.68
200808,8.09,2.64
200809,4.99,0.82
200810,2.34,-1.44
200811,2.04,-1.27
200812,4.51,0.55
200901,3.30,-0.70
200902,2.00,-1.88
200903,5.59,0.81
200904,3.91,-0.12
200905,9.13,4.90
200906,6.21,1.64
200907,3.81,-1.49
200908,6.62,1.17
200909,6.62,2.45
200910,4.29,0.51
200911,4.96,1.65
200912,7.86,3.90
201001,6.10,2.10
201002,3.17,-0.71
201003,5.04,0.26
201004,2.02,-2.01
201005,3.93,-0.30
201006,3.46,-1.11
201007,5.04,-0.26
201008,6.57,1.12
201009,3.10,-1.07
201010,3.46,-0.32
201011,2.43,-0.88
201012,3.79,-0.17
201101,1.77,-2.23
201102,2.55,-1.33
201103,7.45,2.67
201104,5.32,1.29
201105,5.25,1.02
201106,3.34,-1.23
201107,4.20,-1.10
201108,2.29,-3.16
201109,5.69,1.52
201110,3.07,-0.71
201111,6.34,3.03
201112,5.00,1.04
201201,3.69,-0.31
201202,1.76,-2.12
201203,4.41,-0.37
201204,4.61,0.58
201205,6.81,2.58
201206,2.64,-1.93
201207,5.87,0.57
201208,3.83,-1.62
201209,5.67,1.50
201210,2.98,-0.80
201211,0.64,-2.67
201212,4.74,0.78
201301,8.33,4.33
201302,3.44,-0.44
201303,3.70,-1.08
201304,4.98,0.95
201305,8.52,4.29
201306,7.63,3.06
201307,15.79,10.49
201308,4.79,-0.66
201309,2.51,-1.66
201310,2.04,-1.74
201311,3.85,0.54
201312,6.07,2.11
201401,3.01,-0.99
201402,2.56,-1.32
201403,3.60,-1.18
201404,4.38,0.35
201405,3.64,-0.59
201406,4.25,-0.32
201407,3.52,-1.78
201408,5.25,-0.20
201409,5.28,1.11
201410,5.45,1.67
201411,4.18,0.87
201412,2.88,-1.08
201501,2.82,-1.18
201502,2.21,-1.67
201503,2.45,-2.33
201504,5.50,1.47
201505,2.33,-1.90
201506,3.34,-1.23
201507,3.56,-1.74
201508,4.39,-1.06
201509,7.76,3.59
201510,7.61,3.83
201511,8.34,5.03
201512,9.06,5.10
201601,2.78,-1.22
201602,5.54,1.66
201603,1.05,-3.73
201604,2.61,-1.42
201605,5.07,0.84
201606,3.14,-1.43
201607,4.75,-0.55
201608,5.81,0.36
201609,1.90,-2.27
201610,1.59,-2.19
201611,1.43,-1.88
201612,3.32,-0.64
201701,4.46,0.46
201702,1.08,-2.80
201703,4.63,-0.15
201704,7.58,3.55
201705,8.47,4.24
201706,3.74,-0.83
201707,4.75,-0.55
201708,4.53,-0.92
201709,4.42,0.25
201710,8.71,4.93
201711,1.85,-1.46
201712,2.08,-1.88
201801,3.93,-0.07
201802,4.67,0.79
201803,3.99,-0.79
201804,7.83,3.80
201805,8.37,4.14
201806,3.87,-0.70
201807,3.59,-1.71
201808,9.53,4.08
201809,6.27,2.10
201810,7.64,3.86
201811,6.94,3.63
201812,8.94,4.98
201901,4.66,0.66
201902,5.23,1.35
201903,2.27,-2.51
201904,5.99,1.96
201905,3.34,-0.89
201906,11.43,6.86
201907,4.44,-0.86
201908,4.58,-0.87
201909,0.66,-3.51
201910,7.00,3.22
201911,3.12,-0.19
201912,5.71,1.75
202001,5.23,1.23
