Montrose County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.77,0.50
200002,1.26,0.02
200003,2.03,0.65
200004,0.29,-1.14
200005,0.79,-0.42
200006,0.52,-0.24
200007,0.70,-0.64
200008,1.65,-0.05
200009,1.43,0.00
200010,1.71,0.24
200011,0.68,-0.41
200012,0.82,-0.38
200101,1.10,-0.17
200102,1.15,-0.09
200103,1.43,0.05
200104,1.23,-0.20
200105,1.53,0.32
200106,0.28,-0.48
200107,1.94,0.60
200108,2.24,0.54
200109,0.52,-0.91
200110,0.63,-0.84
200111,1.43,0.34
200112,0.92,-0.28
200201,0.55,-0.72
200202,0.32,-0.92
200203,0.96,-0.42
200204,0.61,-0.82
200205,0.23,-0.98
200206,0.06,-0.70
200207,0.65,-0.69
200208,1.06,-0.64
200209,2.52,1.09
200210,2.15,0.68
200211,1.07,-0.02
200212,0.62,-0.58
200301,0.35,-0.92
200302,2.04,0.80
200303,1.14,-0.24
200304,0.36,-1.07
200305,1.16,-0.05
200306,0.21,-0.55
200307,0.82,-0.52
200308,1.40,-0.30
200309,1.93,0.50
200310,0.65,-0.82
200311,1.15,0.06
200312,1.32,0.12
200401,1.38,0.11
200402,1.74,0.50
200403,0.30,-1.08
200404,2.64,1.21
200405,0.30,-0.91
200406,0.46,-0.30
200407,0.67,-0.67
200408,0.69,-1.01
200409,3.40,1.97
200410,1.86,0.39
200411,2.09,1.00
200412,0.95,-0.25
200501,2.19,0.92
200502,1.58,0.34
200503,1.47,0.09
200504,0.89,-0.54
200505,0.73,-0.48
200506,1.26,0.50
200507,0.62,-0.72
200508,1.82,0.12
200509,2.02,0.59
200510,1.67,0.20
200511,0.56,-0.53
200512,0.99,-0.21
200601,0.77,-0.50
200602,0.36,-0.88
200603,1.72,0.34
200604,0.75,-0.68
200605,0.22,-0.99
200606,0.33,-0.43
200607,2.67,1.33
200608,2.25,0.55
200609,3.22,1.79
200610,4.17,2.70
200611,1.25,0.16
200612,0.76,-0.44
200701,1.05,-0.22
200702,1.14,-0.10
200703,0.91,-0.47
200704,1.41,-0.02
200705,1.44,0.23
200706,0.49,-0.27
200707,1.01,-0.33
200708,1.83,0.13
200709,2.66,1.23
200710,1.20,-0.27
200711,0.51,-0.58
200712,3.13,1.93
200801,1.80,0.53
200802,1.73,0.49
200803,0.53,-0.85
200804,0.82,-0.61
200805,1.15,-0.06
200806,0.53,-0.23
200807,0.50,-0.84
200808,1.05,-0.65
200809,0.68,-0.75
200810,0.83,-0.64
200811,0.88,-0.21
200812,2.69,1.49
200901,0.67,-0.60
200902,0.73,-0.51
200903,1.06,-0.32
200904,1.25,-0.18
200905,1.69,0.48
200906,1.16,0.40
200907,0.94,-0.40
200908,0.63,-1.07
200909,0.92,-0.51
200910,1.01,-0.46
200911,0.66,-0.43
200912,1.50,0.30
201001,1.05,-0.22
201002,1.89,0.65
201003,2.18,0.80
201004,1.40,-0.03
201005,0.61,-0.60
201006,0.69,-0.07
201007,1.77,0.43
201008,2.30,0.60
201009,0.82,-0.61
201010,2.03,0.56
201011,0.95,-0.14
201012,2.21,1.01
201101,0.70,-0.57
201102,0.72,-0.52
201103,0.80,-0.58
201104,1.60,0.17
201105,1.93,0.72
201106,0.47,-0.29
201107,2.31,0.97
201108,1.21,-0.49
201109,1.18,-0.25
201110,1.55,0.08
201111,0.59,-0.50
201112,1.06,-0.14
201201,1.12,-0.15
201202,1.63,0.39
201203,0.48,-0.90
201204,0.50,-0.93
201205,0.18,-1.03
201206,0.04,-0.72
201207,2.34,1.00
201208,1.40,-0.30
201209,1.33,-0.10
201210,0.54,-0.93
201211,0.56,-0.53
201212,1.40,0.20
201301,1.78,0.51
201302,0.71,-0.53
201303,0.60,-0.78
201304,1.07,-0.36
201305,0.86,-0.35
201306,0.01,-0.75
201307,3.47,2.13
201308,1.95,0.25
201309,3.38,1.95
201310,1.99,0.52
201311,1.55,0.46
201312,0.91,-0.29
201401,0.67,-0.60
201402,1.27,0.03
201403,0.97,-0.41
201404,1.27,-0.16
201405,1.92,0.71
201406,0.03,-0.73
201407,1.37,0.03
201408,2.73,1.03
201409,2.52,1.09
201410,0.69,-0.78
201411,0.69,-0.40
201412,1.11,-0.09
201501,0.84,-0.43
201502,1.14,-0.10
201503,0.84,-0.54
201504,1.20,-0.23
201505,3.00,1.79
201506,1.94,1.18
201507,1.74,0.40
201508,1.21,-0.49
201509,0.72,-0.71
201510,2.04,0.57
201511,2.07,0.98
201512,1.89,0.69
201601,1.09,-0.18
201602,0.61,-0.63
201603,0.67,-0.71
201604,1.24,-0.19
201605,1.50,0.29
201606,0.57,-0.19
201607,0.88,-0.46
201608,2.14,0.44
201609,1.08,-0.35
201610,0.40,-1.07
201611,1.07,-0.02
201612,1.83,0.63
201701,2.67,1.40
201702,1.15,-0.09
201703,0.86,-0.52
201704,0.39,-1.04
201705,1.21,0.00
201706,0.10,-0.66
201707,1.75,0.41
201708,1.21,-0.49
201709,1.50,0.07
201710,0.27,-1.20
201711,0.26,-0.83
201712,0.22,-0.98
201801,0.75,-0.52
201802,1.23,-0.01
201803,0.56,-0.82
201804,0.62,-0.81
201805,0.36,-0.85
201806,0.25,-0.51
201807,0.92,-0.42
201808,0.60,-1.10
201809,0.29,-1.14
201810,2.99,1.52
201811,0.46,-0.63
201812,1.21,0.01
201901,1.43,0.16
201902,2.29,1.05
201903,2.96,1.58
201904,1.33,-0.10
201905,2.59,1.38
201906,0.50,-0.26
201907,1.11,-0.23
201908,0.23,-1.47
201909,0.41,-1.02
201910,0.36,-1.11
201911,1.46,0.37
201912,1.26,0.06
202001,1.37,0.10
