Brown County, South Dakota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.19,-0.35
200002,0.61,0.03
200003,1.17,0.13
200004,1.92,-0.10
200005,2.56,-0.21
200006,3.59,0.01
200007,5.00,2.20
200008,1.82,-0.54
200009,0.78,-1.07
200010,1.15,-0.20
200011,2.64,1.93
200012,0.54,0.03
200101,0.33,-0.21
200102,0.80,0.22
200103,0.19,-0.85
200104,3.24,1.22
200105,2.52,-0.25
200106,3.12,-0.46
200107,4.30,1.50
200108,0.86,-1.50
200109,2.14,0.29
200110,1.51,0.16
200111,0.90,0.19
200112,0.07,-0.44
200201,0.27,-0.27
200202,0.05,-0.53
200203,0.55,-0.49
200204,1.15,-0.87
200205,1.57,-1.20
200206,1.51,-2.07
200207,3.83,1.03
200208,3.35,0.99
200209,1.17,-0.68
200210,1.45,0.10
200211,0.05,-0.66
200212,0.36,-0.15
200301,0.26,-0.28
200302,0.36,-0.22
200303,0.46,-0.58
200304,2.29,0.27
200305,4.46,1.69
200306,6.27,2.69
200307,1.81,-0.99
200308,1.18,-1.18
200309,1.30,-0.55
200310,0.92,-0.43
200311,0.68,-0.03
200312,0.34,-0.17
200401,0.41,-0.13
200402,0.37,-0.21
200403,1.77,0.73
200404,0.72,-1.30
200405,5.86,3.09
200406,3.03,-0.55
200407,3.24,0.44
200408,1.68,-0.68
200409,3.86,2.01
200410,2.25,0.90
200411,0.25,-0.46
200412,0.25,-0.26
200501,0.54,0.00
200502,0.50,-0.08
200503,0.11,-0.93
200504,0.51,-1.51
200505,2.86,0.09
200506,7.68,4.10
200507,1.94,-0.86
200508,2.95,0.59
200509,1.76,-0.09
200510,1.01,-0.34
200511,1.24,0.53
200512,1.13,0.62
200601,0.16,-0.38
200602,0.28,-0.30
200603,1.03,-0.01
200604,2.14,0.12
200605,2.19,-0.58
200606,2.09,-1.49
200607,0.85,-1.95
200608,3.42,1.06
200609,2.69,0.84
200610,0.29,-1.06
200611,0.11,-0.60
200612,0.85,0.34
200701,0.11,-0.43
200702,1.04,0.46
200703,1.83,0.79
200704,3.13,1.11
200705,7.96,5.19
200706,3.11,-0.47
200707,1.65,-1.15
200708,2.78,0.42
200709,1.96,0.11
200710,1.40,0.05
200711,0.06,-0.65
200712,0.76,0.25
200801,0.05,-0.49
200802,0.26,-0.32
200803,1.22,0.18
200804,1.04,-0.98
200805,1.58,-1.19
200806,3.73,0.15
200807,4.95,2.15
200808,1.85,-0.51
200809,3.77,1.92
200810,4.59,3.24
200811,0.44,-0.27
200812,0.87,0.36
200901,0.68,0.14
200902,1.03,0.45
200903,1.56,0.52
200904,1.32,-0.70
200905,0.84,-1.93
200906,4.31,0.73
200907,3.82,1.02
200908,3.97,1.61
200909,3.73,1.88
200910,4.58,3.23
200911,0.21,-0.50
200912,1.07,0.56
201001,0.91,0.37
201002,0.82,0.24
201003,1.24,0.20
201004,1.98,-0.04
201005,4.46,1.69
201006,3.78,0.20
201007,3.26,0.46
201008,1.38,-0.98
201009,4.81,2.96
201010,0.87,-0.48
201011,0.18,-0.53
201012,1.58,1.07
201101,1.10,0.56
201102,0.86,0.28
201103,1.31,0.27
201104,2.57,0.55
201105,2.92,0.15
201106,4.58,1.00
201107,6.64,3.84
201108,1.57,-0.79
201109,0.74,-1.11
201110,0.98,-0.37
201111,0.05,-0.66
201112,0.31,-0.20
201201,0.48,-0.06
201202,0.87,0.29
201203,0.40,-0.64
201204,3.69,1.67
201205,1.52,-1.25
201206,1.68,-1.90
201207,2.69,-0.11
201208,1.85,-0.51
201209,0.10,-1.75
201210,1.13,-0.22
201211,0.34,-0.37
201212,0.61,0.10
201301,0.71,0.17
201302,1.15,0.57
201303,0.34,-0.70
201304,1.95,-0.07
201305,3.80,1.03
201306,3.99,0.41
201307,2.24,-0.56
201308,0.35,-2.01
201309,2.98,1.13
201310,4.72,3.37
201311,0.15,-0.56
201312,0.87,0.36
201401,0.31,-0.23
201402,0.10,-0.48
201403,0.54,-0.50
201404,2.43,0.41
201405,1.92,-0.85
201406,5.17,1.59
201407,0.85,-1.95
201408,5.39,3.03
201409,0.78,-1.07
201410,0.41,-0.94
201411,0.60,-0.11
201412,0.29,-0.22
201501,0.49,-0.05
201502,0.36,-0.22
201503,0.34,-0.70
201504,0.41,-1.61
201505,6.95,4.18
201506,2.44,-1.14
201507,3.49,0.69
201508,3.25,0.89
201509,0.57,-1.28
201510,1.45,0.10
201511,0.93,0.22
201512,0.75,0.24
201601,0.18,-0.36
201602,0.46,-0.12
201603,0.52,-0.52
201604,3.53,1.51
201605,1.95,-0.82
201606,2.40,-1.18
201607,4.18,1.38
201608,3.02,0.66
201609,1.64,-0.21
201610,2.28,0.93
201611,1.51,0.80
201612,1.33,0.82
201701,0.53,-0.01
201702,0.17,-0.41
201703,0.42,-0.62
201704,1.34,-0.68
201705,1.23,-1.54
201706,2.91,-0.67
201707,1.65,-1.15
201708,3.05,0.69
201709,2.62,0.77
201710,0.80,-0.55
201711,0.13,-0.58
201712,0.27,-0.24
201801,0.05,-0.49
201802,0.71,0.13
201803,1.56,0.52
201804,0.86,-1.16
201805,1.03,-1.74
201806,2.76,-0.82
201807,5.34,2.54
201808,1.28,-1.08
201809,2.57,0.72
201810,2.32,0.97
201811,0.87,0.16
201812,0.92,0.41
201901,0.78,0.24
201902,1.23,0.65
201903,1.37,0.33
201904,1.75,-0.27
201905,3.84,1.07
201906,4.06,0.48
201907,4.07,1.27
201908,2.58,0.22
201909,5.04,3.19
201910,2.43,1.08
201911,1.10,0.39
201912,1.16,0.65
202001,0.47,-0.07
