Imperial County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.00,-0.53
200002,0.22,-0.28
200003,0.21,-0.16
200004,0.00,-0.10
200005,0.02,-0.02
200006,0.03,0.02
200007,0.00,-0.18
200008,0.28,-0.11
200009,0.01,-0.26
200010,0.44,0.20
200011,0.01,-0.20
200012,0.00,-0.55
200101,0.54,0.01
200102,0.90,0.40
200103,0.86,0.49
200104,0.02,-0.08
200105,0.00,-0.04
200106,0.00,-0.01
200107,0.20,0.02
200108,0.07,-0.32
200109,0.00,-0.27
200110,0.01,-0.23
200111,0.05,-0.16
200112,0.06,-0.49
200201,0.02,-0.51
200202,0.00,-0.50
200203,0.02,-0.35
200204,0.01,-0.09
200205,0.00,-0.04
200206,0.00,-0.01
200207,0.00,-0.18
200208,0.00,-0.39
200209,0.37,0.10
200210,0.01,-0.23
200211,0.14,-0.07
200212,0.05,-0.50
200301,0.07,-0.46
200302,1.30,0.80
200303,0.41,0.04
200304,0.02,-0.08
200305,0.01,-0.03
200306,0.00,-0.01
200307,0.11,-0.07
200308,0.66,0.27
200309,0.10,-0.17
200310,0.00,-0.24
200311,0.22,0.01
200312,0.04,-0.51
200401,0.13,-0.40
200402,1.26,0.76
200403,0.35,-0.02
200404,0.36,0.26
200405,0.00,-0.04
200406,0.00,-0.01
200407,0.06,-0.12
200408,0.13,-0.26
200409,0.08,-0.19
200410,1.14,0.90
200411,0.57,0.36
200412,1.18,0.63
200501,1.36,0.83
200502,1.79,1.29
200503,0.23,-0.14
200504,0.07,-0.03
200505,0.00,-0.04
200506,0.00,-0.01
200507,0.28,0.10
200508,0.87,0.48
200509,0.09,-0.18
200510,0.68,0.44
200511,0.00,-0.21
200512,0.00,-0.55
200601,0.02,-0.51
200602,0.02,-0.48
200603,0.40,0.03
200604,0.01,-0.09
200605,0.02,-0.02
200606,0.02,0.01
200607,0.04,-0.14
200608,0.20,-0.19
200609,0.24,-0.03
200610,0.10,-0.14
200611,0.00,-0.21
200612,0.02,-0.53
200701,0.06,-0.47
200702,0.04,-0.46
200703,0.14,-0.23
200704,0.09,-0.01
200705,0.00,-0.04
200706,0.00,-0.01
200707,0.03,-0.15
200708,0.10,-0.29
200709,0.44,0.17
200710,0.01,-0.23
200711,0.90,0.69
200712,0.18,-0.37
200801,0.87,0.34
200802,0.04,-0.46
200803,0.00,-0.37
200804,0.00,-0.10
200805,0.08,0.04
200806,0.00,-0.01
200807,0.32,0.14
200808,0.46,0.07
200809,0.07,-0.20
200810,0.00,-0.24
200811,0.40,0.19
200812,1.12,0.57
200901,0.01,-0.52
200902,0.58,0.08
200903,0.00,-0.37
200904,0.00,-0.10
200905,0.00,-0.04
200906,0.00,-0.01
200907,0.01,-0.17
200908,0.01,-0.38
200909,0.18,-0.09
200910,0.00,-0.24
200911,0.01,-0.20
200912,0.45,-0.10
201001,2.84,2.31
201002,0.67,0.17
201003,0.79,0.42
201004,0.14,0.04
201005,0.00,-0.04
201006,0.00,-0.01
201007,0.04,-0.14
201008,0.23,-0.16
201009,0.03,-0.24
201010,0.89,0.65
201011,0.01,-0.20
201012,0.73,0.18
201101,0.01,-0.52
201102,0.95,0.45
201103,0.03,-0.34
201104,0.02,-0.08
201105,0.01,-0.03
201106,0.00,-0.01
201107,0.38,0.20
201108,0.02,-0.37
201109,0.27,0.00
201110,0.03,-0.21
201111,0.32,0.11
201112,0.49,-0.06
201201,0.02,-0.51
201202,0.19,-0.31
201203,0.05,-0.32
201204,0.08,-0.02
201205,0.00,-0.04
201206,0.00,-0.01
201207,0.83,0.65
201208,0.50,0.11
201209,0.13,-0.14
201210,0.05,-0.19
201211,0.01,-0.20
201212,0.62,0.07
201301,0.78,0.25
201302,0.02,-0.48
201303,0.05,-0.32
201304,0.00,-0.10
201305,0.01,-0.03
201306,0.00,-0.01
201307,0.36,0.18
201308,0.97,0.58
201309,0.53,0.26
201310,0.04,-0.20
201311,0.80,0.59
201312,0.04,-0.51
201401,0.00,-0.53
201402,0.02,-0.48
201403,0.04,-0.33
201404,0.01,-0.09
201405,0.01,-0.03
201406,0.00,-0.01
201407,0.10,-0.08
201408,0.93,0.54
201409,0.39,0.12
201410,0.01,-0.23
201411,0.02,-0.19
201412,0.53,-0.02
201501,0.36,-0.17
201502,0.05,-0.45
201503,0.63,0.26
201504,0.02,-0.08
201505,0.32,0.28
201506,0.06,0.05
201507,0.37,0.19
201508,0.02,-0.37
201509,0.10,-0.17
201510,0.17,-0.07
201511,0.04,-0.17
201512,0.07,-0.48
201601,0.94,0.41
201602,0.01,-0.49
201603,0.01,-0.36
201604,0.26,0.16
201605,0.05,0.01
201606,0.00,-0.01
201607,0.08,-0.10
201608,0.03,-0.36
201609,0.20,-0.07
201610,0.06,-0.18
201611,0.03,-0.18
201612,1.39,0.84
201701,1.11,0.58
201702,0.94,0.44
201703,0.04,-0.33
201704,0.00,-0.10
201705,0.12,0.08
201706,0.00,-0.01
201707,0.23,0.05
201708,0.18,-0.21
201709,0.20,-0.07
201710,0.00,-0.24
201711,0.00,-0.21
201712,0.00,-0.55
201801,0.17,-0.36
201802,0.03,-0.47
201803,0.05,-0.32
201804,0.03,-0.07
201805,0.00,-0.04
201806,0.00,-0.01
201807,0.12,-0.06
201808,0.11,-0.28
201809,0.21,-0.06
201810,0.40,0.16
201811,0.02,-0.19
201812,0.93,0.38
201901,0.65,0.12
201902,0.59,0.09
201903,0.21,-0.16
201904,0.07,-0.03
201905,0.05,0.01
201906,0.00,-0.01
201907,0.04,-0.14
201908,0.00,-0.39
201909,0.58,0.31
201910,0.00,-0.24
201911,0.98,0.77
201912,0.50,-0.05
202001,0.02,-0.51
