Leon County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.90,-1.40
200002,1.51,-2.90
200003,3.20,-2.01
200004,1.91,-1.98
200005,0.59,-3.50
200006,3.03,-2.78
200007,4.71,-2.99
200008,6.48,-0.26
200009,13.17,7.73
200010,0.95,-1.83
200011,2.88,0.05
200012,3.06,-0.98
200101,2.47,-1.83
200102,0.62,-3.79
200103,8.96,3.75
200104,1.45,-2.44
200105,2.06,-2.03
200106,13.04,7.23
200107,6.23,-1.47
200108,8.56,1.82
200109,6.64,1.20
200110,3.23,0.45
200111,1.75,-1.08
200112,0.81,-3.23
200201,5.77,1.47
200202,1.50,-2.91
200203,8.95,3.74
200204,2.10,-1.79
200205,1.83,-2.26
200206,3.38,-2.43
200207,5.55,-2.15
200208,3.68,-3.06
200209,8.47,3.03
200210,4.10,1.32
200211,3.58,0.75
200212,5.79,1.75
200301,0.58,-3.72
200302,6.57,2.16
200303,7.08,1.87
200304,2.69,-1.20
200305,2.78,-1.31
200306,10.50,4.69
200307,7.39,-0.31
200308,7.85,1.11
200309,3.38,-2.06
200310,4.79,2.01
200311,2.33,-0.50
200312,2.30,-1.74
200401,3.57,-0.73
200402,6.57,2.16
200403,0.37,-4.84
200404,3.17,-0.72
200405,1.38,-2.71
200406,9.21,3.40
200407,5.37,-2.33
200408,7.84,1.10
200409,7.82,2.38
200410,3.24,0.46
200411,3.19,0.36
200412,2.96,-1.08
200501,1.54,-2.76
200502,3.60,-0.81
200503,7.48,2.27
200504,7.09,3.20
200505,3.39,-0.70
200506,7.87,2.06
200507,11.93,4.23
200508,10.91,4.17
200509,1.91,-3.53
200510,0.41,-2.37
200511,4.07,1.24
200512,4.65,0.61
200601,2.65,-1.65
200602,6.27,1.86
200603,0.36,-4.85
200604,1.43,-2.46
200605,4.76,0.67
200606,5.58,-0.23
200607,3.80,-3.90
200608,4.62,-2.12
200609,2.60,-2.84
200610,3.65,0.87
200611,2.32,-0.51
200612,5.77,1.73
200701,4.22,-0.08
200702,3.66,-0.75
200703,1.04,-4.17
200704,0.89,-3.00
200705,0.20,-3.89
200706,4.46,-1.35
200707,6.61,-1.09
200708,5.55,-1.19
200709,4.41,-1.03
200710,4.44,1.66
200711,1.34,-1.49
200712,3.12,-0.92
200801,3.73,-0.57
200802,8.07,3.66
200803,2.31,-2.90
200804,3.80,-0.09
200805,2.63,-1.46
200806,5.03,-0.78
200807,4.56,-3.14
200808,14.24,7.50
200809,1.22,-4.22
200810,4.29,1.51
200811,5.22,2.39
200812,1.80,-2.24
200901,1.29,-3.01
200902,1.95,-2.46
200903,4.05,-1.16
200904,10.29,6.40
200905,5.71,1.62
200906,4.49,-1.32
200907,4.24,-3.46
200908,3.49,-3.25
200909,2.93,-2.51
200910,3.77,0.99
200911,2.35,-0.48
200912,9.60,5.56
201001,7.82,3.52
201002,4.42,0.01
201003,4.09,-1.12
201004,3.04,-0.85
201005,4.03,-0.06
201006,5.88,0.07
201007,6.33,-1.37
201008,7.80,1.06
201009,1.72,-3.72
201010,0.65,-2.13
201011,3.15,0.32
201012,1.35,-2.69
201101,4.63,0.33
201102,2.63,-1.78
201103,3.61,-1.60
201104,2.27,-1.62
201105,0.71,-3.38
201106,3.47,-2.34
201107,6.03,-1.67
201108,2.22,-4.52
201109,3.67,-1.77
201110,2.34,-0.44
201111,1.14,-1.69
201112,3.68,-0.36
201201,2.94,-1.36
201202,3.24,-1.17
201203,3.92,-1.29
201204,2.19,-1.70
201205,3.68,-0.41
201206,10.39,4.58
201207,5.31,-2.39
201208,10.26,3.52
201209,6.25,0.81
201210,1.43,-1.35
201211,0.38,-2.45
201212,3.51,-0.53
201301,1.13,-3.17
201302,11.84,7.43
201303,4.23,-0.98
201304,4.66,0.77
201305,1.62,-2.47
201306,6.24,0.43
201307,15.70,8.00
201308,8.29,1.55
201309,3.27,-2.17
201310,1.07,-1.71
201311,4.03,1.20
201312,4.47,0.43
201401,3.77,-0.53
201402,4.33,-0.08
201403,8.87,3.66
201404,12.06,8.17
201405,2.40,-1.69
201406,3.52,-2.29
201407,2.87,-4.83
201408,2.19,-4.55
201409,7.22,1.78
201410,4.44,1.66
201411,6.34,3.51
201412,8.20,4.16
201501,4.96,0.66
201502,4.37,-0.04
201503,2.53,-2.68
201504,4.73,0.84
201505,2.11,-1.98
201506,5.43,-0.38
201507,5.38,-2.32
201508,5.10,-1.64
201509,2.89,-2.55
201510,0.68,-2.10
201511,7.58,4.75
201512,4.21,0.17
201601,4.64,0.34
201602,4.15,-0.26
201603,5.97,0.76
201604,7.62,3.73
201605,1.56,-2.53
201606,7.58,1.77
201607,6.58,-1.12
201608,6.40,-0.34
201609,8.25,2.81
201610,0.47,-2.31
201611,0.33,-2.50
201612,4.95,0.91
201701,7.29,2.99
201702,2.36,-2.05
201703,1.18,-4.03
201704,3.17,-0.72
201705,4.69,0.60
201706,10.61,4.80
201707,5.12,-2.58
201708,6.02,-0.72
201709,4.10,-1.34
201710,3.67,0.89
201711,0.52,-2.31
201712,2.29,-1.75
201801,2.10,-2.20
201802,4.99,0.58
201803,5.56,0.35
201804,3.77,-0.12
201805,6.46,2.37
201806,5.97,0.16
201807,8.25,0.55
201808,9.54,2.80
201809,4.18,-1.26
201810,3.64,0.86
201811,5.29,2.46
201812,14.42,10.38
201901,3.86,-0.44
201902,1.20,-3.21
201903,2.77,-2.44
201904,3.86,-0.03
201905,1.60,-2.49
201906,4.73,-1.08
201907,6.63,-1.07
201908,4.55,-2.19
201909,0.44,-5.00
201910,4.40,1.62
201911,1.21,-1.62
201912,3.36,-0.68
202001,1.65,-2.65
