Allen County, Indiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.41,-0.82
200002,1.74,-0.12
200003,1.94,-0.93
200004,2.73,-0.66
200005,5.01,1.27
200006,7.70,3.84
200007,2.29,-1.28
200008,3.94,0.73
200009,4.80,1.77
200010,2.05,-0.61
200011,2.06,-0.59
200012,2.83,0.44
200101,0.80,-1.43
200102,2.57,0.71
200103,0.63,-2.24
200104,3.58,0.19
200105,4.01,0.27
200106,4.00,0.14
200107,4.88,1.31
200108,4.35,1.14
200109,3.81,0.78
200110,7.70,5.04
200111,2.52,-0.13
200112,2.43,0.04
200201,2.30,0.07
200202,1.97,0.11
200203,2.94,0.07
200204,3.77,0.38
200205,4.98,1.24
200206,2.76,-1.10
200207,2.89,-0.68
200208,2.72,-0.49
200209,2.61,-0.42
200210,1.68,-0.98
200211,2.39,-0.26
200212,1.75,-0.64
200301,1.17,-1.06
200302,1.46,-0.40
200303,2.14,-0.73
200304,2.71,-0.68
200305,7.30,3.56
200306,3.48,-0.38
200307,9.07,5.50
200308,4.78,1.57
200309,6.45,3.42
200310,1.93,-0.73
200311,2.49,-0.16
200312,2.56,0.17
200401,2.20,-0.03
200402,0.48,-1.38
200403,2.38,-0.49
200404,0.79,-2.60
200405,7.06,3.32
200406,5.27,1.41
200407,5.57,2.00
200408,4.92,1.71
200409,1.67,-1.36
200410,1.86,-0.80
200411,3.81,1.16
200412,2.59,0.20
200501,5.54,3.31
200502,2.44,0.58
200503,1.52,-1.35
200504,2.40,-0.99
200505,1.70,-2.04
200506,2.16,-1.70
200507,5.19,1.62
200508,1.93,-1.28
200509,4.32,1.29
200510,0.63,-2.03
200511,3.69,1.04
200512,2.41,0.02
200601,2.97,0.74
200602,1.73,-0.13
200603,2.24,-0.63
200604,3.46,0.07
200605,5.81,2.07
200606,2.91,-0.95
200607,4.71,1.14
200608,3.44,0.23
200609,2.76,-0.27
200610,4.76,2.10
200611,2.29,-0.36
200612,4.45,2.06
200701,4.53,2.30
200702,1.17,-0.69
200703,3.12,0.25
200704,4.01,0.62
200705,1.05,-2.69
200706,2.39,-1.47
200707,2.88,-0.69
200708,9.22,6.01
200709,2.09,-0.94
200710,2.50,-0.16
200711,3.87,1.22
200712,4.31,1.92
200801,2.68,0.45
200802,4.86,3.00
200803,3.35,0.48
200804,2.68,-0.71
200805,4.42,0.68
200806,4.88,1.02
200807,3.13,-0.44
200808,1.51,-1.70
200809,3.66,0.63
200810,2.23,-0.43
200811,2.02,-0.63
200812,4.40,2.01
200901,1.16,-1.07
200902,3.24,1.38
200903,5.44,2.57
200904,5.75,2.36
200905,3.35,-0.39
200906,3.62,-0.24
200907,3.35,-0.22
200908,4.34,1.13
200909,1.51,-1.52
200910,5.18,2.52
200911,1.28,-1.37
200912,2.87,0.48
201001,0.73,-1.50
201002,1.18,-0.68
201003,2.54,-0.33
201004,4.11,0.72
201005,6.84,3.10
201006,5.43,1.57
201007,3.08,-0.49
201008,2.65,-0.56
201009,1.56,-1.47
201010,0.80,-1.86
201011,3.89,1.24
201012,0.89,-1.50
201101,1.53,-0.70
201102,3.27,1.41
201103,2.70,-0.17
201104,6.17,2.78
201105,8.23,4.49
201106,2.37,-1.49
201107,1.21,-2.36
201108,3.89,0.68
201109,5.61,2.58
201110,3.95,1.29
201111,6.48,3.83
201112,3.51,1.12
201201,2.91,0.68
201202,1.84,-0.02
201203,2.26,-0.61
201204,1.09,-2.30
201205,1.70,-2.04
201206,1.19,-2.67
201207,3.49,-0.08
201208,4.35,1.14
201209,3.32,0.29
201210,3.45,0.79
201211,0.78,-1.87
201212,2.41,0.02
201301,3.42,1.19
201302,1.92,0.06
201303,1.62,-1.25
201304,7.00,3.61
201305,2.24,-1.50
201306,5.90,2.04
201307,3.50,-0.07
201308,3.37,0.16
201309,1.95,-1.08
201310,2.91,0.25
201311,2.35,-0.30
201312,2.94,0.55
201401,2.24,0.01
201402,3.03,1.17
201403,1.33,-1.54
201404,4.08,0.69
201405,4.05,0.31
201406,5.18,1.32
201407,2.47,-1.10
201408,4.51,1.30
201409,4.56,1.53
201410,2.75,0.09
201411,2.87,0.22
201412,1.56,-0.83
201501,1.90,-0.33
201502,1.24,-0.62
201503,1.67,-1.20
201504,3.04,-0.35
201505,4.63,0.89
201506,11.13,7.27
201507,6.45,2.88
201508,3.56,0.35
201509,2.71,-0.32
201510,1.67,-0.99
201511,2.22,-0.43
201512,4.08,1.69
201601,1.36,-0.87
201602,1.37,-0.49
201603,3.68,0.81
201604,3.04,-0.35
201605,3.47,-0.27
201606,4.75,0.89
201607,1.86,-1.71
201608,4.00,0.79
201609,4.41,1.38
201610,3.17,0.51
201611,2.70,0.05
201612,2.15,-0.24
201701,4.45,2.22
201702,1.73,-0.13
201703,3.29,0.42
201704,4.17,0.78
201705,8.15,4.41
201706,5.30,1.44
201707,5.33,1.76
201708,2.81,-0.40
201709,1.92,-1.11
201710,2.59,-0.07
201711,5.42,2.77
201712,0.92,-1.47
201801,1.16,-1.07
201802,4.13,2.27
201803,2.77,-0.10
201804,2.59,-0.80
201805,3.67,-0.07
201806,5.84,1.98
201807,3.00,-0.57
201808,7.64,4.43
201809,1.75,-1.28
201810,3.19,0.53
201811,4.08,1.43
201812,2.22,-0.17
201901,2.61,0.38
201902,2.37,0.51
201903,3.56,0.69
201904,5.36,1.97
201905,5.89,2.15
201906,3.92,0.06
201907,4.23,0.66
201908,4.60,1.39
201909,2.72,-0.31
201910,3.45,0.79
201911,1.73,-0.92
201912,2.91,0.52
202001,3.81,1.58
