Fairbanks North Star Borough, Alaska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.92,1.07
200002,0.29,-0.32
200003,0.23,-0.34
200004,0.10,-0.40
200005,1.71,0.72
200006,1.16,-1.00
200007,2.47,-0.22
200008,4.94,1.84
200009,2.86,1.14
200010,1.19,0.06
200011,0.47,-0.40
200012,0.31,-0.46
200101,0.48,-0.37
200102,0.70,0.09
200103,0.47,-0.10
200104,0.36,-0.14
200105,0.81,-0.18
200106,1.31,-0.85
200107,3.67,0.98
200108,2.85,-0.25
200109,0.51,-1.21
200110,1.18,0.05
200111,0.21,-0.66
200112,0.40,-0.37
200201,0.80,-0.05
200202,0.21,-0.40
200203,0.25,-0.32
200204,2.17,1.67
200205,0.66,-0.33
200206,2.31,0.15
200207,4.26,1.57
200208,4.63,1.53
200209,1.72,0.00
200210,1.82,0.69
200211,0.18,-0.69
200212,0.36,-0.41
200301,0.52,-0.33
200302,1.06,0.45
200303,0.48,-0.09
200304,0.24,-0.26
200305,0.54,-0.45
200306,1.32,-0.84
200307,6.70,4.01
200308,3.15,0.05
200309,2.74,1.02
200310,0.61,-0.52
200311,1.82,0.95
200312,0.51,-0.26
200401,0.57,-0.28
200402,0.53,-0.08
200403,0.53,-0.04
200404,0.21,-0.29
200405,2.26,1.27
200406,0.96,-1.20
200407,2.03,-0.66
200408,0.57,-2.53
200409,1.80,0.08
200410,1.32,0.19
200411,0.81,-0.06
200412,1.32,0.55
200501,1.63,0.78
200502,0.35,-0.26
200503,0.37,-0.20
200504,0.27,-0.23
200505,1.54,0.55
200506,3.29,1.13
200507,3.87,1.18
200508,1.19,-1.91
200509,2.78,1.06
200510,0.59,-0.54
200511,0.90,0.03
200512,0.37,-0.40
200601,0.22,-0.63
200602,1.37,0.76
200603,0.41,-0.16
200604,0.60,0.10
200605,0.88,-0.11
200606,2.46,0.30
200607,2.40,-0.29
200608,3.12,0.02
200609,1.17,-0.55
200610,1.09,-0.04
200611,0.24,-0.63
200612,0.67,-0.10
200701,0.68,-0.17
200702,0.20,-0.41
200703,0.42,-0.15
200704,0.17,-0.33
200705,1.18,0.19
200706,2.64,0.48
200707,3.88,1.19
200708,3.21,0.11
200709,2.27,0.55
200710,0.97,-0.16
200711,0.21,-0.66
200712,0.52,-0.25
200801,0.82,-0.03
200802,0.28,-0.33
200803,0.25,-0.32
200804,1.36,0.86
200805,0.63,-0.36
200806,2.47,0.31
200807,5.61,2.92
200808,2.37,-0.73
200809,1.16,-0.56
200810,1.08,-0.05
200811,0.56,-0.31
200812,0.73,-0.04
200901,0.68,-0.17
200902,0.98,0.37
200903,1.34,0.77
200904,0.30,-0.20
200905,0.65,-0.34
200906,3.18,1.02
200907,0.93,-1.76
200908,3.81,0.71
200909,1.06,-0.66
200910,0.64,-0.49
200911,0.64,-0.23
200912,0.45,-0.32
201001,0.22,-0.63
201002,0.28,-0.33
201003,0.28,-0.29
201004,0.58,0.08
201005,0.90,-0.09
201006,2.80,0.64
201007,2.91,0.22
201008,2.13,-0.97
201009,0.80,-0.92
201010,0.63,-0.50
201011,1.95,1.08
201012,0.36,-0.41
201101,0.37,-0.48
201102,1.30,0.69
201103,0.16,-0.41
201104,0.23,-0.27
201105,0.33,-0.66
201106,3.94,1.78
201107,3.18,0.49
201108,2.92,-0.18
201109,1.53,-0.19
201110,0.53,-0.60
201111,0.69,-0.18
201112,1.23,0.46
201201,0.74,-0.11
201202,0.56,-0.05
201203,0.92,0.35
201204,0.17,-0.33
201205,1.43,0.44
201206,2.29,0.13
201207,2.77,0.08
201208,2.29,-0.81
201209,1.18,-0.54
201210,1.49,0.36
201211,0.34,-0.53
201212,1.09,0.32
201301,1.09,0.24
201302,0.63,0.02
201303,0.44,-0.13
201304,0.68,0.18
201305,0.33,-0.66
201306,1.08,-1.08
201307,2.29,-0.40
201308,2.55,-0.55
201309,2.14,0.42
201310,1.06,-0.07
201311,2.11,1.24
201312,1.06,0.29
201401,0.72,-0.13
201402,0.44,-0.17
201403,0.20,-0.37
201404,0.26,-0.24
201405,0.28,-0.71
201406,5.28,3.12
201407,5.56,2.87
201408,3.99,0.89
201409,2.43,0.71
201410,1.03,-0.10
201411,0.27,-0.60
201412,0.82,0.05
201501,0.44,-0.41
201502,0.76,0.15
201503,0.80,0.23
201504,0.36,-0.14
201505,0.37,-0.62
201506,1.44,-0.72
201507,4.24,1.55
201508,4.80,1.70
201509,3.48,1.76
201510,1.15,0.02
201511,1.60,0.73
201512,0.16,-0.61
201601,0.12,-0.73
201602,0.05,-0.56
201603,0.43,-0.14
201604,0.53,0.03
201605,1.11,0.12
201606,3.52,1.36
201607,7.49,4.80
201608,2.12,-0.98
201609,2.51,0.79
201610,0.18,-0.95
201611,0.36,-0.51
201612,0.76,-0.01
201701,1.10,0.25
201702,1.41,0.80
201703,0.18,-0.39
201704,0.21,-0.29
201705,1.38,0.39
201706,1.95,-0.21
201707,3.51,0.82
201708,3.42,0.32
201709,2.05,0.33
201710,2.66,1.53
201711,1.47,0.60
201712,0.75,-0.02
201801,0.88,0.03
201802,1.87,1.26
201803,0.71,0.14
201804,0.27,-0.23
201805,1.48,0.49
201806,1.94,-0.22
201807,2.01,-0.68
201808,5.98,2.88
201809,3.16,1.44
201810,1.01,-0.12
201811,0.71,-0.16
201812,0.68,-0.09
201901,0.60,-0.25
201902,0.84,0.23
201903,0.51,-0.06
201904,0.88,0.38
201905,0.93,-0.06
201906,1.73,-0.43
201907,1.99,-0.70
201908,6.67,3.57
201909,1.50,-0.22
201910,2.43,1.30
201911,1.76,0.89
201912,0.50,-0.27
202001,0.50,-0.35
