Hinds County, Mississippi, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.13,-3.04
200002,1.31,-3.71
200003,5.65,0.02
200004,7.39,2.11
200005,2.52,-2.27
200006,4.67,0.97
200007,2.02,-2.58
200008,1.07,-2.49
200009,3.03,0.25
200010,1.38,-1.45
200011,9.09,5.00
200012,4.36,-1.13
200101,6.19,1.02
200102,4.32,-0.70
200103,8.83,3.20
200104,1.86,-3.42
200105,2.69,-2.10
200106,5.83,2.13
200107,6.45,1.85
200108,4.02,0.46
200109,6.90,4.12
200110,3.58,0.75
200111,6.81,2.72
200112,4.81,-0.68
200201,4.80,-0.37
200202,3.91,-1.11
200203,6.63,1.00
200204,3.21,-2.07
200205,3.43,-1.36
200206,4.52,0.82
200207,4.89,0.29
200208,5.72,2.16
200209,8.81,6.03
200210,8.04,5.21
200211,4.98,0.89
200212,7.19,1.70
200301,1.49,-3.68
200302,9.63,4.61
200303,3.81,-1.82
200304,8.28,3.00
200305,4.92,0.13
200306,6.24,2.54
200307,3.79,-0.81
200308,3.76,0.20
200309,3.82,1.04
200310,2.00,-0.83
200311,5.95,1.86
200312,3.96,-1.53
200401,4.69,-0.48
200402,6.88,1.86
200403,1.42,-4.21
200404,3.46,-1.82
200405,11.48,6.69
200406,8.94,5.24
200407,4.20,-0.40
200408,4.89,1.33
200409,0.82,-1.96
200410,6.25,3.42
200411,7.84,3.75
200412,5.37,-0.12
200501,3.12,-2.05
200502,5.39,0.37
200503,5.89,0.26
200504,5.70,0.42
200505,4.03,-0.76
200506,2.23,-1.47
200507,2.30,-2.30
200508,6.84,3.28
200509,3.36,0.58
200510,0.05,-2.78
200511,2.95,-1.14
200512,4.55,-0.94
200601,5.12,-0.05
200602,6.48,1.46
200603,4.43,-1.20
200604,2.64,-2.64
200605,3.26,-1.53
200606,2.08,-1.62
200607,3.85,-0.75
200608,3.43,-0.13
200609,1.72,-1.06
200610,8.65,5.82
200611,2.02,-2.07
200612,5.51,0.02
200701,6.05,0.88
200702,2.37,-2.65
200703,0.74,-4.89
200704,2.76,-2.52
200705,1.43,-3.36
200706,1.89,-1.81
200707,7.67,3.07
200708,1.86,-1.70
200709,4.36,1.58
200710,2.43,-0.40
200711,2.00,-2.09
200712,4.15,-1.34
200801,3.93,-1.24
200802,6.41,1.39
200803,2.78,-2.85
200804,4.00,-1.28
200805,5.62,0.83
200806,1.67,-2.03
200807,1.72,-2.88
200808,12.13,8.57
200809,7.82,5.04
200810,1.52,-1.31
200811,3.75,-0.34
200812,8.99,3.50
200901,4.01,-1.16
200902,3.49,-1.53
200903,9.34,3.71
200904,3.16,-2.12
200905,5.53,0.74
200906,0.49,-3.21
200907,9.11,4.51
200908,3.81,0.25
200909,5.13,2.35
200910,11.36,8.53
200911,0.92,-3.17
200912,7.33,1.84
201001,5.92,0.75
201002,4.40,-0.62
201003,3.83,-1.80
201004,1.24,-4.04
201005,4.46,-0.33
201006,3.12,-0.58
201007,2.78,-1.82
201008,5.50,1.94
201009,0.23,-2.55
201010,2.06,-0.77
201011,5.50,1.41
201012,1.51,-3.98
201101,5.34,0.17
201102,1.58,-3.44
201103,7.30,1.67
201104,4.13,-1.15
201105,1.13,-3.66
201106,2.15,-1.55
201107,5.33,0.73
201108,1.43,-2.13
201109,9.49,6.71
201110,0.75,-2.08
201111,4.34,0.25
201112,6.75,1.26
201201,4.44,-0.73
201202,8.62,3.60
201203,5.94,0.31
201204,4.46,-0.82
201205,5.55,0.76
201206,2.68,-1.02
201207,6.36,1.76
201208,9.13,5.57
201209,3.21,0.43
201210,0.84,-1.99
201211,2.65,-1.44
201212,8.17,2.68
201301,9.60,4.43
201302,9.05,4.03
201303,3.91,-1.72
201304,5.56,0.28
201305,5.47,0.68
201306,3.80,0.10
201307,4.07,-0.53
201308,2.43,-1.13
201309,6.74,3.96
201310,2.41,-0.42
201311,6.47,2.38
201312,4.28,-1.21
201401,1.74,-3.43
201402,5.20,0.18
201403,6.12,0.49
201404,10.62,5.34
201405,6.39,1.60
201406,5.64,1.94
201407,3.93,-0.67
201408,3.86,0.30
201409,2.68,-0.10
201410,2.90,0.07
201411,3.58,-0.51
201412,5.41,-0.08
201501,4.24,-0.93
201502,5.03,0.01
201503,6.61,0.98
201504,4.93,-0.35
201505,6.92,2.13
201506,4.45,0.75
201507,2.24,-2.36
201508,1.68,-1.88
201509,2.00,-0.78
201510,6.68,3.85
201511,8.68,4.59
201512,6.11,0.62
201601,3.08,-2.09
201602,5.97,0.95
201603,11.99,6.36
201604,7.51,2.23
201605,1.27,-3.52
201606,3.03,-0.67
201607,4.86,0.26
201608,5.59,2.03
201609,1.33,-1.45
201610,0.18,-2.65
201611,3.61,-0.48
201612,5.92,0.43
201701,5.66,0.49
201702,2.53,-2.49
201703,4.04,-1.59
201704,7.70,2.42
201705,6.60,1.81
201706,8.59,4.89
201707,4.50,-0.10
201708,7.21,3.65
201709,1.95,-0.83
201710,2.05,-0.78
201711,0.91,-3.18
201712,3.44,-2.05
201801,2.86,-2.31
201802,10.39,5.37
201803,7.10,1.47
201804,5.81,0.53
201805,3.28,-1.51
201806,3.09,-0.61
201807,4.46,-0.14
201808,3.74,0.18
201809,6.56,3.78
201810,1.45,-1.38
201811,7.83,3.74
201812,9.08,3.59
201901,7.12,1.95
201902,3.31,-1.71
201903,3.63,-2.00
201904,7.25,1.97
201905,6.71,1.92
201906,3.89,0.19
201907,6.72,2.12
201908,4.52,0.96
201909,0.15,-2.63
201910,12.64,9.81
201911,2.10,-1.99
201912,6.58,1.09
202001,13.50,8.33
