Missoula County, Montana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.38,-0.48
200002,3.45,0.74
200003,1.63,-0.90
200004,1.66,-0.50
200005,1.97,-0.71
200006,1.49,-1.23
200007,0.82,-0.44
200008,0.21,-1.03
200009,2.87,1.03
200010,3.39,1.27
200011,1.39,-1.84
200012,2.22,-1.21
200101,1.69,-2.17
200102,2.57,-0.14
200103,2.24,-0.29
200104,2.42,0.26
200105,0.99,-1.69
200106,4.41,1.69
200107,1.84,0.58
200108,0.10,-1.14
200109,0.38,-1.46
200110,4.18,2.06
200111,1.72,-1.51
200112,2.69,-0.74
200201,3.26,-0.60
200202,2.62,-0.09
200203,3.77,1.24
200204,1.84,-0.32
200205,2.88,0.20
200206,3.74,1.02
200207,0.92,-0.34
200208,1.19,-0.05
200209,1.39,-0.45
200210,0.52,-1.60
200211,1.84,-1.39
200212,1.79,-1.64
200301,4.24,0.38
200302,3.11,0.40
200303,5.37,2.84
200304,2.28,0.12
200305,3.06,0.38
200306,1.15,-1.57
200307,0.38,-0.88
200308,0.80,-0.44
200309,1.77,-0.07
200310,1.90,-0.22
200311,3.56,0.33
200312,2.74,-0.69
200401,3.41,-0.45
200402,1.54,-1.17
200403,1.64,-0.89
200404,1.88,-0.28
200405,4.76,2.08
200406,1.77,-0.95
200407,1.03,-0.23
200408,3.08,1.84
200409,2.98,1.14
200410,1.90,-0.22
200411,1.59,-1.64
200412,2.22,-1.21
200501,2.23,-1.63
200502,0.61,-2.10
200503,2.92,0.39
200504,3.48,1.32
200505,3.03,0.35
200506,3.97,1.25
200507,0.21,-1.05
200508,0.42,-0.82
200509,2.29,0.45
200510,2.84,0.72
200511,3.64,0.41
200512,3.20,-0.23
200601,4.25,0.39
200602,2.21,-0.50
200603,2.13,-0.40
200604,4.22,2.06
200605,1.97,-0.71
200606,2.72,0.00
200607,0.57,-0.69
200608,0.97,-0.27
200609,1.91,0.07
200610,2.55,0.43
200611,6.09,2.86
200612,2.34,-1.09
200701,1.79,-2.07
200702,2.99,0.28
200703,1.56,-0.97
200704,1.87,-0.29
200705,2.72,0.04
200706,2.03,-0.69
200707,0.26,-1.00
200708,0.49,-0.75
200709,2.05,0.21
200710,1.65,-0.47
200711,2.90,-0.33
200712,3.55,0.12
200801,2.71,-1.15
200802,3.05,0.34
200803,2.44,-0.09
200804,1.57,-0.59
200805,2.42,-0.26
200806,3.08,0.36
200807,0.64,-0.62
200808,2.49,1.25
200809,1.78,-0.06
200810,1.26,-0.86
200811,4.17,0.94
200812,4.44,1.01
200901,4.04,0.18
200902,2.15,-0.56
200903,3.72,1.19
200904,1.32,-0.84
200905,1.76,-0.92
200906,1.57,-1.15
200907,1.68,0.42
200908,2.67,1.43
200909,0.40,-1.44
200910,2.40,0.28
200911,1.24,-1.99
200912,2.61,-0.82
201001,2.44,-1.42
201002,1.08,-1.63
201003,2.49,-0.04
201004,3.15,0.99
201005,3.34,0.66
201006,4.79,2.07
201007,0.69,-0.57
201008,1.75,0.51
201009,2.28,0.44
201010,1.97,-0.15
201011,4.20,0.97
201012,4.52,1.09
201101,5.51,1.65
201102,4.03,1.32
201103,3.14,0.61
201104,3.65,1.49
201105,2.75,0.07
201106,3.94,1.22
201107,0.95,-0.31
201108,0.40,-0.84
201109,0.58,-1.26
201110,4.60,2.48
201111,2.74,-0.49
201112,2.02,-1.41
201201,4.52,0.66
201202,2.63,-0.08
201203,3.39,0.86
201204,2.57,0.41
201205,2.51,-0.17
201206,3.36,0.64
201207,0.96,-0.30
201208,0.29,-0.95
201209,0.03,-1.81
201210,3.64,1.52
201211,3.56,0.33
201212,4.14,0.71
201301,3.03,-0.83
201302,1.32,-1.39
201303,2.22,-0.31
201304,2.90,0.74
201305,2.70,0.02
201306,2.47,-0.25
201307,0.29,-0.97
201308,1.02,-0.22
201309,2.45,0.61
201310,0.49,-1.63
201311,2.22,-1.01
201312,3.34,-0.09
201401,3.30,-0.56
201402,5.90,3.19
201403,4.64,2.11
201404,2.17,0.01
201405,1.53,-1.15
201406,2.92,0.20
201407,0.45,-0.81
201408,1.90,0.66
201409,0.74,-1.10
201410,2.44,0.32
201411,6.19,2.96
201412,3.62,0.19
201501,3.65,-0.21
201502,2.58,-0.13
201503,2.11,-0.42
201504,1.01,-1.15
201505,1.29,-1.39
201506,0.53,-2.19
201507,1.57,0.31
201508,0.50,-0.74
201509,1.31,-0.53
201510,2.27,0.15
201511,2.54,-0.69
201512,3.97,0.54
201601,2.63,-1.23
201602,2.47,-0.24
201603,3.03,0.50
201604,1.81,-0.35
201605,2.91,0.23
201606,1.42,-1.30
201607,2.04,0.78
201608,0.66,-0.58
201609,1.84,0.00
201610,5.71,3.59
201611,1.39,-1.84
201612,4.16,0.73
201701,2.40,-1.46
201702,5.54,2.83
201703,5.58,3.05
201704,2.72,0.56
201705,1.93,-0.75
201706,2.87,0.15
201707,0.11,-1.15
201708,0.11,-1.13
201709,1.84,0.00
201710,2.30,0.18
201711,4.78,1.55
201712,5.25,1.82
201801,3.28,-0.58
201802,5.38,2.67
201803,2.57,0.04
201804,4.05,1.89
201805,2.88,0.20
201806,4.11,1.39
201807,0.11,-1.15
201808,0.82,-0.42
201809,0.34,-1.50
201810,3.02,0.90
201811,4.83,1.60
201812,2.32,-1.11
201901,2.63,-1.23
201902,4.02,1.31
201903,1.02,-1.51
201904,4.46,2.30
201905,2.61,-0.07
201906,1.31,-1.41
201907,1.35,0.09
201908,1.71,0.47
201909,3.19,1.35
201910,2.42,0.30
201911,2.03,-1.20
201912,2.07,-1.36
202001,3.94,0.08
