Kent County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.37,-0.60
200002,1.89,0.29
200003,1.20,-1.13
200004,4.10,1.00
200005,8.27,4.98
200006,3.83,0.56
200007,4.64,1.81
200008,2.35,-0.81
200009,5.67,2.10
200010,1.41,-1.38
200011,3.63,0.87
200012,2.83,0.57
200101,1.12,-0.85
200102,2.73,1.13
200103,0.58,-1.75
200104,2.29,-0.81
200105,7.41,4.12
200106,3.24,-0.03
200107,1.55,-1.28
200108,4.77,1.61
200109,3.77,0.20
200110,6.47,3.68
200111,2.19,-0.57
200112,2.67,0.41
200201,1.09,-0.88
200202,1.90,0.30
200203,2.80,0.47
200204,3.54,0.44
200205,3.91,0.62
200206,2.56,-0.71
200207,2.29,-0.54
200208,4.71,1.55
200209,1.21,-2.36
200210,2.21,-0.58
200211,2.35,-0.41
200212,1.70,-0.56
200301,0.89,-1.08
200302,0.92,-0.68
200303,1.93,-0.40
200304,2.49,-0.61
200305,5.33,2.04
200306,1.91,-1.36
200307,2.88,0.05
200308,2.48,-0.68
200309,2.23,-1.34
200310,1.89,-0.90
200311,7.18,4.42
200312,1.39,-0.87
200401,2.08,0.11
200402,0.97,-0.63
200403,4.58,2.25
200404,1.91,-1.19
200405,8.94,5.65
200406,4.01,0.74
200407,3.25,0.42
200408,3.34,0.18
200409,0.53,-3.04
200410,3.41,0.62
200411,3.66,0.90
200412,2.66,0.40
200501,4.35,2.38
200502,2.31,0.71
200503,1.54,-0.79
200504,0.98,-2.12
200505,1.93,-1.36
200506,4.29,1.02
200507,3.87,1.04
200508,1.70,-1.46
200509,3.75,0.18
200510,0.34,-2.45
200511,5.74,2.98
200512,2.26,0.00
200601,3.99,2.02
200602,2.05,0.45
200603,3.13,0.80
200604,2.42,-0.68
200605,4.73,1.44
200606,2.10,-1.17
200607,5.71,2.88
200608,1.86,-1.30
200609,4.76,1.19
200610,5.23,2.44
200611,2.80,0.04
200612,3.70,1.44
200701,2.25,0.28
200702,1.51,-0.09
200703,3.42,1.09
200704,3.79,0.69
200705,2.00,-1.29
200706,2.40,-0.87
200707,1.86,-0.97
200708,5.45,2.29
200709,1.48,-2.09
200710,3.00,0.21
200711,1.25,-1.51
200712,2.91,0.65
200801,3.64,1.67
200802,3.71,2.11
200803,2.31,-0.02
200804,3.35,0.25
200805,2.07,-1.22
200806,4.89,1.62
200807,4.31,1.48
200808,1.22,-1.94
200809,8.55,4.98
200810,2.94,0.15
200811,2.16,-0.60
200812,5.78,3.52
200901,1.72,-0.25
200902,3.03,1.43
200903,2.76,0.43
200904,5.23,2.13
200905,2.75,-0.54
200906,4.22,0.95
200907,2.10,-0.73
200908,5.11,1.95
200909,1.57,-2.00
200910,7.27,4.48
200911,1.29,-1.47
200912,2.81,0.55
201001,0.95,-1.02
201002,1.68,0.08
201003,1.20,-1.13
201004,3.18,0.08
201005,3.73,0.44
201006,6.18,2.91
201007,3.68,0.85
201008,1.59,-1.57
201009,3.42,-0.15
201010,2.56,-0.23
201011,2.49,-0.27
201012,1.38,-0.88
201101,1.65,-0.32
201102,2.36,0.76
201103,3.55,1.22
201104,6.23,3.13
201105,4.52,1.23
201106,3.52,0.25
201107,5.05,2.22
201108,3.80,0.64
201109,2.34,-1.23
201110,3.39,0.60
201111,2.99,0.23
201112,2.34,0.08
201201,2.87,0.90
201202,1.70,0.10
201203,3.67,1.34
201204,2.50,-0.60
201205,2.82,-0.47
201206,2.35,-0.92
201207,3.24,0.41
201208,3.46,0.30
201209,1.58,-1.99
201210,5.82,3.03
201211,0.56,-2.20
201212,2.82,0.56
201301,4.02,2.05
201302,2.94,1.34
201303,0.87,-1.46
201304,9.76,6.66
201305,3.97,0.68
201306,3.87,0.60
201307,2.15,-0.68
201308,2.60,-0.56
201309,1.52,-2.05
201310,4.62,1.83
201311,3.85,1.09
201312,2.78,0.52
201401,3.08,1.11
201402,2.04,0.44
201403,1.42,-0.91
201404,3.28,0.18
201405,3.88,0.59
201406,5.49,2.22
201407,4.42,1.59
201408,4.04,0.88
201409,3.28,-0.29
201410,4.60,1.81
201411,3.91,1.15
201412,1.64,-0.62
201501,1.54,-0.43
201502,1.06,-0.54
201503,1.00,-1.33
201504,3.89,0.79
201505,4.28,0.99
201506,3.81,0.54
201507,2.96,0.13
201508,3.22,0.06
201509,2.33,-1.24
201510,2.67,-0.12
201511,2.90,0.14
201512,4.00,1.74
201601,1.82,-0.15
201602,2.16,0.56
201603,4.35,2.02
201604,3.14,0.04
201605,3.25,-0.04
201606,1.39,-1.88
201607,4.41,1.58
201608,6.91,3.75
201609,3.30,-0.27
201610,4.79,2.00
201611,2.81,0.05
201612,2.33,0.07
201701,3.55,1.58
201702,1.77,0.17
201703,3.91,1.58
201704,5.40,2.30
201705,1.94,-1.35
201706,5.00,1.73
201707,1.76,-1.07
201708,2.17,-0.99
201709,0.54,-3.03
201710,9.36,6.57
201711,2.55,-0.21
201712,1.56,-0.70
201801,2.14,0.17
201802,4.46,2.86
201803,1.03,-1.30
201804,2.73,-0.37
201805,5.67,2.38
201806,3.22,-0.05
201807,1.86,-0.97
201808,6.02,2.86
201809,4.63,1.06
201810,5.80,3.01
201811,2.33,-0.43
201812,1.86,-0.40
201901,2.62,0.65
201902,3.09,1.49
201903,2.15,-0.18
201904,3.53,0.43
201905,5.35,2.06
201906,4.20,0.93
201907,2.95,0.12
201908,3.08,-0.08
201909,6.98,3.41
201910,7.39,4.60
201911,2.85,0.09
201912,3.54,1.28
202001,3.11,1.14
