Stearns County, Minnesota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.68,-0.07
200002,1.44,0.79
200003,1.32,0.07
200004,0.96,-1.11
200005,3.25,0.07
200006,3.75,-0.45
200007,6.10,2.68
200008,1.60,-1.83
200009,0.68,-2.03
200010,1.65,-0.22
200011,4.14,2.93
200012,0.90,0.22
200101,0.80,0.05
200102,1.44,0.79
200103,0.76,-0.49
200104,7.40,5.33
200105,3.13,-0.05
200106,4.04,-0.16
200107,2.32,-1.10
200108,1.95,-1.48
200109,2.25,-0.46
200110,1.19,-0.68
200111,2.78,1.57
200112,0.31,-0.37
200201,0.14,-0.61
200202,1.17,0.52
200203,1.59,0.34
200204,3.27,1.20
200205,2.59,-0.59
200206,5.05,0.85
200207,9.06,5.64
200208,6.23,2.80
200209,2.96,0.25
200210,3.31,1.44
200211,0.21,-1.00
200212,0.26,-0.42
200301,0.21,-0.54
200302,0.61,-0.04
200303,0.68,-0.57
200304,3.36,1.29
200305,3.76,0.58
200306,5.69,1.49
200307,3.98,0.56
200308,0.47,-2.96
200309,3.09,0.38
200310,1.15,-0.72
200311,0.88,-0.33
200312,0.30,-0.38
200401,0.62,-0.13
200402,0.95,0.30
200403,1.39,0.14
200404,1.35,-0.72
200405,5.71,2.53
200406,4.35,0.15
200407,3.82,0.40
200408,2.05,-1.38
200409,6.06,3.35
200410,2.70,0.83
200411,0.61,-0.60
200412,0.38,-0.30
200501,1.59,0.84
200502,0.81,0.16
200503,0.79,-0.46
200504,3.30,1.23
200505,3.41,0.23
200506,5.86,1.66
200507,2.02,-1.40
200508,3.87,0.44
200509,6.09,3.38
200510,4.29,2.42
200511,2.84,1.63
200512,1.12,0.44
200601,0.21,-0.54
200602,0.27,-0.38
200603,1.09,-0.16
200604,3.80,1.73
200605,1.26,-1.92
200606,2.76,-1.44
200607,1.62,-1.80
200608,4.42,0.99
200609,4.70,1.99
200610,0.70,-1.17
200611,0.59,-0.62
200612,1.26,0.58
200701,0.20,-0.55
200702,1.74,1.09
200703,3.06,1.81
200704,2.50,0.43
200705,1.92,-1.26
200706,2.01,-2.19
200707,1.31,-2.11
200708,4.26,0.83
200709,4.43,1.72
200710,4.78,2.91
200711,0.04,-1.17
200712,1.19,0.51
200801,0.05,-0.70
200802,0.49,-0.16
200803,1.31,0.06
200804,2.96,0.89
200805,3.07,-0.11
200806,4.75,0.55
200807,2.54,-0.88
200808,2.89,-0.54
200809,3.06,0.35
200810,3.49,1.62
200811,1.60,0.39
200812,1.50,0.82
200901,0.51,-0.24
200902,0.85,0.20
200903,3.99,2.74
200904,1.26,-0.81
200905,0.79,-2.39
200906,4.19,-0.01
200907,2.94,-0.48
200908,5.00,1.57
200909,1.32,-1.39
200910,6.75,4.88
200911,0.40,-0.81
200912,1.62,0.94
201001,0.79,0.04
201002,0.79,0.14
201003,1.14,-0.11
201004,1.49,-0.58
201005,2.45,-0.73
201006,4.98,0.78
201007,4.13,0.71
201008,8.17,4.74
201009,4.98,2.27
201010,3.09,1.22
201011,0.93,-0.28
201012,2.16,1.48
201101,1.02,0.27
201102,0.83,0.18
201103,1.70,0.45
201104,2.32,0.25
201105,5.04,1.86
201106,3.53,-0.67
201107,7.99,4.57
201108,4.55,1.12
201109,0.63,-2.08
201110,0.98,-0.89
201111,0.24,-0.97
201112,0.22,-0.46
201201,0.42,-0.33
201202,1.16,0.51
201203,1.31,0.06
201204,2.70,0.63
201205,7.68,4.50
201206,4.06,-0.14
201207,2.88,-0.54
201208,1.37,-2.06
201209,0.13,-2.58
201210,0.93,-0.94
201211,0.93,-0.28
201212,1.39,0.71
201301,0.39,-0.36
201302,1.26,0.61
201303,2.12,0.87
201304,2.58,0.51
201305,4.74,1.56
201306,6.37,2.17
201307,1.87,-1.55
201308,0.99,-2.44
201309,2.72,0.01
201310,4.27,2.40
201311,0.23,-0.98
201312,1.25,0.57
201401,1.03,0.28
201402,0.78,0.13
201403,0.97,-0.28
201404,5.06,2.99
201405,5.09,1.91
201406,7.75,3.55
201407,1.71,-1.71
201408,5.27,1.84
201409,1.96,-0.75
201410,0.67,-1.20
201411,1.57,0.36
201412,0.63,-0.05
201501,0.21,-0.54
201502,0.31,-0.34
201503,0.42,-0.83
201504,1.19,-0.88
201505,5.50,2.32
201506,4.64,0.44
201507,5.97,2.55
201508,3.67,0.24
201509,1.27,-1.44
201510,2.16,0.29
201511,2.54,1.33
201512,1.22,0.54
201601,0.50,-0.25
201602,0.62,-0.03
201603,1.48,0.23
201604,1.44,-0.63
201605,2.11,-1.07
201606,4.23,0.03
201607,7.89,4.47
201608,4.90,1.47
201609,3.93,1.22
201610,2.41,0.54
201611,1.68,0.47
201612,1.31,0.63
201701,0.74,-0.01
201702,0.55,-0.10
201703,0.44,-0.81
201704,2.94,0.87
201705,4.23,1.05
201706,3.04,-1.16
201707,2.65,-0.77
201708,6.79,3.36
201709,3.44,0.73
201710,3.85,1.98
201711,0.48,-0.73
201712,0.33,-0.35
201801,0.18,-0.57
201802,1.12,0.47
201803,1.31,0.06
201804,1.18,-0.89
201805,1.47,-1.71
201806,4.63,0.43
201807,5.34,1.92
201808,3.48,0.05
201809,2.65,-0.06
201810,3.64,1.77
201811,0.84,-0.37
201812,1.06,0.38
201901,0.29,-0.46
201902,1.50,0.85
201903,2.01,0.76
201904,2.96,0.89
201905,5.68,2.50
201906,4.12,-0.08
201907,4.24,0.82
201908,3.30,-0.13
201909,7.52,4.81
201910,3.77,1.90
201911,1.08,-0.13
201912,2.11,1.43
202001,0.84,0.09
