Weber County, Utah, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.03,0.79
200002,4.43,1.53
200003,2.72,-0.20
200004,1.31,-1.45
200005,1.88,-0.53
200006,0.28,-1.20
200007,0.34,-0.47
200008,2.91,1.82
200009,1.37,-0.12
200010,3.05,0.84
200011,1.61,-0.98
200012,2.44,-0.52
200101,1.17,-2.07
200102,3.41,0.51
200103,1.68,-1.24
200104,3.43,0.67
200105,0.48,-1.93
200106,1.18,-0.30
200107,1.44,0.63
200108,0.52,-0.57
200109,0.23,-1.26
200110,1.83,-0.38
200111,4.08,1.49
200112,3.68,0.72
200201,2.19,-1.05
200202,0.93,-1.97
200203,2.59,-0.33
200204,3.50,0.74
200205,1.72,-0.69
200206,0.23,-1.25
200207,0.39,-0.42
200208,0.11,-0.98
200209,2.59,1.10
200210,1.82,-0.39
200211,2.34,-0.25
200212,2.30,-0.66
200301,1.54,-1.70
200302,2.25,-0.65
200303,2.31,-0.61
200304,1.88,-0.88
200305,2.33,-0.08
200306,0.99,-0.49
200307,0.37,-0.44
200308,1.00,-0.09
200309,0.84,-0.65
200310,0.83,-1.38
200311,3.95,1.36
200312,5.31,2.35
200401,1.90,-1.34
200402,3.70,0.80
200403,1.37,-1.55
200404,2.37,-0.39
200405,2.28,-0.13
200406,1.73,0.25
200407,0.77,-0.04
200408,1.31,0.22
200409,1.38,-0.11
200410,7.27,5.06
200411,1.95,-0.64
200412,3.33,0.37
200501,4.25,1.01
200502,2.80,-0.10
200503,4.12,1.20
200504,3.95,1.19
200505,4.72,2.31
200506,3.01,1.53
200507,0.04,-0.77
200508,1.14,0.05
200509,0.55,-0.94
200510,1.96,-0.25
200511,2.80,0.21
200512,4.85,1.89
200601,5.00,1.76
200602,1.91,-0.99
200603,4.71,1.79
200604,3.54,0.78
200605,1.45,-0.96
200606,1.26,-0.22
200607,0.50,-0.31
200608,1.34,0.25
200609,3.37,1.88
200610,2.63,0.42
200611,2.91,0.32
200612,1.51,-1.45
200701,1.00,-2.24
200702,3.15,0.25
200703,2.03,-0.89
200704,1.60,-1.16
200705,1.21,-1.20
200706,1.33,-0.15
200707,0.62,-0.19
200708,0.96,-0.13
200709,1.97,0.48
200710,2.58,0.37
200711,0.78,-1.81
200712,4.70,1.74
200801,4.64,1.40
200802,3.78,0.88
200803,1.75,-1.17
200804,1.09,-1.67
200805,2.01,-0.40
200806,0.87,-0.61
200807,0.09,-0.72
200808,0.97,-0.12
200809,1.36,-0.13
200810,1.95,-0.26
200811,2.31,-0.28
200812,3.26,0.30
200901,4.04,0.80
200902,3.46,0.56
200903,2.92,0.00
200904,3.94,1.18
200905,1.80,-0.61
200906,4.60,3.12
200907,0.32,-0.49
200908,0.82,-0.27
200909,0.97,-0.52
200910,2.74,0.53
200911,0.49,-2.10
200912,2.56,-0.40
201001,2.26,-0.98
201002,1.32,-1.58
201003,1.33,-1.59
201004,3.62,0.86
201005,3.77,1.36
201006,1.85,0.37
201007,0.16,-0.65
201008,1.16,0.07
201009,0.48,-1.01
201010,3.91,1.70
201011,3.40,0.81
201012,7.08,4.12
201101,2.23,-1.01
201102,2.94,0.04
201103,5.07,2.15
201104,5.71,2.95
201105,5.59,3.18
201106,1.18,-0.30
201107,0.71,-0.10
201108,2.23,1.14
201109,1.20,-0.29
201110,2.17,-0.04
201111,3.02,0.43
201112,0.47,-2.49
201201,3.69,0.45
201202,1.23,-1.67
201203,1.47,-1.45
201204,2.53,-0.23
201205,1.60,-0.81
201206,0.06,-1.42
201207,0.80,-0.01
201208,0.24,-0.85
201209,1.38,-0.11
201210,3.23,1.02
201211,1.65,-0.94
201212,3.56,0.60
201301,2.08,-1.16
201302,0.97,-1.93
201303,1.12,-1.80
201304,2.32,-0.44
201305,2.19,-0.22
201306,0.00,-1.48
201307,0.72,-0.09
201308,0.37,-0.72
201309,2.01,0.52
201310,1.53,-0.68
201311,1.25,-1.34
201312,3.21,0.25
201401,2.05,-1.19
201402,4.73,1.83
201403,3.40,0.48
201404,2.19,-0.57
201405,1.68,-0.73
201406,1.50,0.02
201407,1.44,0.63
201408,2.73,1.64
201409,3.02,1.53
201410,0.31,-1.90
201411,2.17,-0.42
201412,3.22,0.26
201501,1.34,-1.90
201502,1.01,-1.89
201503,1.44,-1.48
201504,2.24,-0.52
201505,6.18,3.77
201506,0.57,-0.91
201507,2.17,1.36
201508,1.49,0.40
201509,1.86,0.37
201510,1.41,-0.80
201511,1.67,-0.92
201512,4.01,1.05
201601,3.84,0.60
201602,1.56,-1.34
201603,3.61,0.69
201604,3.42,0.66
201605,3.04,0.63
201606,0.55,-0.93
201607,0.03,-0.78
201608,0.38,-0.71
201609,3.74,2.25
201610,2.49,0.28
201611,2.46,-0.13
201612,5.33,2.37
201701,7.95,4.71
201702,5.57,2.67
201703,3.16,0.24
201704,3.93,1.17
201705,1.45,-0.96
201706,1.15,-0.33
201707,0.49,-0.32
201708,0.36,-0.73
201709,2.79,1.30
201710,0.42,-1.79
201711,3.03,0.44
201712,1.76,-1.20
201801,1.95,-1.29
201802,1.41,-1.49
201803,3.52,0.60
201804,2.37,-0.39
201805,1.50,-0.91
201806,0.21,-1.27
201807,0.12,-0.69
201808,0.21,-0.88
201809,0.00,-1.49
201810,3.65,1.44
201811,3.46,0.87
201812,1.82,-1.14
201901,3.47,0.23
201902,4.33,1.43
201903,5.34,2.42
201904,4.24,1.48
201905,5.21,2.80
201906,0.69,-0.79
201907,0.40,-0.41
201908,0.68,-0.41
201909,2.71,1.22
201910,1.05,-1.16
201911,2.38,-0.21
201912,3.31,0.35
202001,3.13,-0.11
