Albany County, New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.39,0.93
200002,2.87,0.58
200003,3.94,0.94
200004,4.46,1.25
200005,4.80,1.34
200006,7.40,3.78
200007,4.46,0.98
200008,4.63,1.21
200009,2.99,-0.42
200010,2.40,-0.71
200011,1.94,-1.17
200012,4.16,1.44
200101,0.98,-1.48
200102,1.91,-0.38
200103,5.79,2.79
200104,1.17,-2.04
200105,3.15,-0.31
200106,4.32,0.70
200107,2.64,-0.84
200108,2.36,-1.06
200109,2.87,-0.54
200110,1.10,-2.01
200111,1.28,-1.83
200112,2.10,-0.62
200201,2.32,-0.14
200202,1.84,-0.45
200203,3.64,0.64
200204,2.81,-0.40
200205,4.89,1.43
200206,4.62,1.00
200207,1.42,-2.06
200208,3.89,0.47
200209,3.43,0.02
200210,5.22,2.11
200211,4.57,1.46
200212,4.18,1.46
200301,3.23,0.77
200302,2.46,0.17
200303,2.44,-0.56
200304,2.93,-0.28
200305,4.91,1.45
200306,3.61,-0.01
200307,3.64,0.16
200308,5.19,1.77
200309,5.74,2.33
200310,5.28,2.17
200311,3.82,0.71
200312,5.50,2.78
200401,1.33,-1.13
200402,1.39,-0.90
200403,2.27,-0.73
200404,3.77,0.56
200405,4.54,1.08
200406,2.35,-1.27
200407,6.00,2.52
200408,6.45,3.03
200409,6.57,3.16
200410,2.00,-1.11
200411,2.86,-0.25
200412,3.27,0.55
200501,4.45,1.99
200502,1.64,-0.65
200503,4.55,1.55
200504,3.34,0.13
200505,1.89,-1.57
200506,3.65,0.03
200507,4.27,0.79
200508,2.96,-0.46
200509,2.00,-1.41
200510,10.54,7.43
200511,5.03,1.92
200512,2.81,0.09
200601,4.98,2.52
200602,1.27,-1.02
200603,1.08,-1.92
200604,4.11,0.90
200605,4.93,1.47
200606,8.95,5.33
200607,3.56,0.08
200608,4.64,1.22
200609,3.95,0.54
200610,5.07,1.96
200611,3.38,0.27
200612,1.76,-0.96
200701,2.25,-0.21
200702,2.63,0.34
200703,4.00,1.00
200704,6.81,3.60
200705,3.14,-0.32
200706,4.20,0.58
200707,4.41,0.93
200708,2.13,-1.29
200709,3.85,0.44
200710,5.70,2.59
200711,3.15,0.04
200712,4.48,1.76
200801,1.21,-1.25
200802,5.66,3.37
200803,6.36,3.36
200804,2.52,-0.69
200805,1.32,-2.14
200806,5.35,1.73
200807,6.63,3.15
200808,3.07,-0.35
200809,4.08,0.67
200810,5.04,1.93
200811,1.94,-1.17
200812,5.08,2.36
200901,2.33,-0.13
200902,0.75,-1.54
200903,2.35,-0.65
200904,1.65,-1.56
200905,3.73,0.27
200906,5.75,2.13
200907,7.31,3.83
200908,4.67,1.25
200909,1.89,-1.52
200910,4.01,0.90
200911,2.27,-0.84
200912,3.70,0.98
201001,2.42,-0.04
201002,4.34,2.05
201003,4.16,1.16
201004,1.54,-1.67
201005,2.34,-1.12
201006,4.56,0.94
201007,2.83,-0.65
201008,3.80,0.38
201009,2.19,-1.22
201010,9.09,5.98
201011,2.87,-0.24
201012,4.13,1.41
201101,2.27,-0.19
201102,3.52,1.23
201103,4.43,1.43
201104,5.25,2.04
201105,5.27,1.81
201106,4.72,1.10
201107,3.29,-0.19
201108,11.22,7.80
201109,7.96,4.55
201110,4.57,1.46
201111,2.16,-0.95
201112,3.67,0.95
201201,2.28,-0.18
201202,0.71,-1.58
201203,1.68,-1.32
201204,3.14,-0.07
201205,5.12,1.66
201206,2.15,-1.47
201207,3.51,0.03
201208,3.21,-0.21
201209,5.19,1.78
201210,4.48,1.37
201211,0.92,-2.19
201212,4.59,1.87
201301,1.40,-1.06
201302,1.93,-0.36
201303,2.14,-0.86
201304,2.72,-0.49
201305,5.36,1.90
201306,8.29,4.67
201307,4.19,0.71
201308,3.52,0.10
201309,3.96,0.55
201310,1.96,-1.15
201311,2.41,-0.70
201312,3.19,0.47
201401,2.24,-0.22
201402,3.75,1.46
201403,2.81,-0.19
201404,2.41,-0.80
201405,3.79,0.33
201406,5.49,1.87
201407,5.98,2.50
201408,2.02,-1.40
201409,1.35,-2.06
201410,4.56,1.45
201411,2.40,-0.71
201412,4.53,1.81
201501,2.17,-0.29
201502,2.00,-0.29
201503,1.18,-1.82
201504,2.47,-0.74
201505,1.21,-2.25
201506,6.50,2.88
201507,3.26,-0.22
201508,3.81,0.39
201509,6.33,2.92
201510,3.39,0.28
201511,1.78,-1.33
201512,3.41,0.69
201601,1.44,-1.02
201602,3.91,1.62
201603,1.16,-1.84
201604,2.07,-1.14
201605,2.89,-0.57
201606,2.64,-0.98
201607,4.12,0.64
201608,3.93,0.51
201609,2.05,-1.36
201610,3.27,0.16
201611,2.84,-0.27
201612,2.38,-0.34
201701,3.35,0.89
201702,2.89,0.60
201703,3.28,0.28
201704,4.21,1.00
201705,6.00,2.54
201706,4.64,1.02
201707,3.69,0.21
201708,2.96,-0.46
201709,2.21,-1.20
201710,3.96,0.85
201711,0.91,-2.20
201712,1.83,-0.89
201801,2.65,0.19
201802,2.98,0.69
201803,3.11,0.11
201804,3.81,0.60
201805,2.26,-1.20
201806,2.96,-0.66
201807,4.54,1.06
201808,7.02,3.60
201809,5.90,2.49
201810,3.88,0.77
201811,5.96,2.85
201812,2.59,-0.13
201901,4.23,1.77
201902,2.36,0.07
201903,1.36,-1.64
201904,4.19,0.98
201905,3.89,0.43
201906,4.59,0.97
201907,3.73,0.25
201908,4.12,0.70
201909,1.53,-1.88
201910,7.12,4.01
201911,3.30,0.19
201912,4.37,1.65
202001,1.74,-0.72
