Madera County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,6.98,2.54
200002,9.17,5.16
200003,1.81,-2.03
200004,2.02,-0.01
200005,0.78,-0.20
200006,0.62,0.34
200007,0.00,-0.09
200008,0.11,0.00
200009,0.48,0.07
200010,3.08,2.00
200011,0.44,-1.90
200012,0.40,-3.11
200101,4.59,0.15
200102,5.05,1.04
200103,2.79,-1.05
200104,3.16,1.13
200105,0.09,-0.89
200106,0.00,-0.28
200107,0.33,0.24
200108,0.05,-0.06
200109,0.14,-0.27
200110,0.76,-0.32
200111,4.25,1.91
200112,5.90,2.39
200201,1.83,-2.61
200202,1.13,-2.88
200203,2.56,-1.28
200204,1.03,-1.00
200205,1.07,0.09
200206,0.13,-0.15
200207,0.06,-0.03
200208,0.01,-0.10
200209,0.22,-0.19
200210,0.07,-1.01
200211,4.50,2.16
200212,6.01,2.50
200301,0.70,-3.74
200302,2.39,-1.62
200303,1.93,-1.91
200304,4.51,2.48
200305,1.85,0.87
200306,0.01,-0.27
200307,0.26,0.17
200308,0.35,0.24
200309,0.07,-0.34
200310,0.04,-1.04
200311,1.44,-0.90
200312,5.89,2.38
200401,1.90,-2.54
200402,4.78,0.77
200403,1.16,-2.68
200404,0.37,-1.66
200405,0.41,-0.57
200406,0.05,-0.23
200407,0.08,-0.01
200408,0.11,0.00
200409,0.12,-0.29
200410,5.31,4.23
200411,1.68,-0.66
200412,5.20,1.69
200501,6.89,2.45
200502,4.40,0.39
200503,5.05,1.21
200504,1.28,-0.75
200505,3.67,2.69
200506,0.12,-0.16
200507,0.02,-0.07
200508,0.31,0.20
200509,0.37,-0.04
200510,0.37,-0.71
200511,0.67,-1.67
200512,6.91,3.40
200601,5.76,1.32
200602,2.40,-1.61
200603,6.61,2.77
200604,6.75,4.72
200605,1.12,0.14
200606,0.03,-0.25
200607,0.10,0.01
200608,0.00,-0.11
200609,0.00,-0.41
200610,0.67,-0.41
200611,0.93,-1.41
200612,3.01,-0.50
200701,0.86,-3.58
200702,3.96,-0.05
200703,1.00,-2.84
200704,0.91,-1.12
200705,0.23,-0.75
200706,0.02,-0.26
200707,0.07,-0.02
200708,0.19,0.08
200709,0.29,-0.12
200710,0.59,-0.49
200711,0.21,-2.13
200712,3.23,-0.28
200801,6.93,2.49
200802,4.03,0.02
200803,0.33,-3.51
200804,0.02,-2.01
200805,0.84,-0.14
200806,0.00,-0.28
200807,0.05,-0.04
200808,0.00,-0.11
200809,0.03,-0.38
200810,0.75,-0.33
200811,2.73,0.39
200812,2.86,-0.65
200901,2.99,-1.45
200902,4.42,0.41
200903,2.09,-1.75
200904,0.82,-1.21
200905,1.01,0.03
200906,0.57,0.29
200907,0.02,-0.07
200908,0.14,0.03
200909,0.06,-0.35
200910,3.16,2.08
200911,0.33,-2.01
200912,4.01,0.50
201001,4.58,0.14
201002,4.64,0.63
201003,2.22,-1.62
201004,4.47,2.44
201005,0.86,-0.12
201006,0.01,-0.27
201007,0.06,-0.03
201008,0.00,-0.11
201009,0.00,-0.41
201010,2.56,1.48
201011,3.17,0.83
201012,10.25,6.74
201101,2.23,-2.21
201102,3.54,-0.47
201103,7.90,4.06
201104,0.84,-1.19
201105,1.48,0.50
201106,1.20,0.92
201107,0.10,0.01
201108,0.04,-0.07
201109,0.23,-0.18
201110,1.41,0.33
201111,1.05,-1.29
201112,0.03,-3.48
201201,2.81,-1.63
201202,0.86,-3.15
201203,3.94,0.10
201204,2.58,0.55
201205,0.06,-0.92
201206,0.22,-0.06
201207,0.03,-0.06
201208,0.14,0.03
201209,0.01,-0.40
201210,0.60,-0.48
201211,2.90,0.56
201212,6.60,3.09
201301,1.13,-3.31
201302,0.79,-3.22
201303,1.19,-2.65
201304,0.87,-1.16
201305,0.44,-0.54
201306,0.05,-0.23
201307,0.13,0.04
201308,0.07,-0.04
201309,0.28,-0.13
201310,0.40,-0.68
201311,0.58,-1.76
201312,0.71,-2.80
201401,0.92,-3.52
201402,2.87,-1.14
201403,1.94,-1.90
201404,1.59,-0.44
201405,0.24,-0.74
201406,0.02,-0.26
201407,0.21,0.12
201408,0.12,0.01
201409,0.47,0.06
201410,0.14,-0.94
201411,1.39,-0.95
201412,4.05,0.54
201501,0.16,-4.28
201502,1.82,-2.19
201503,0.25,-3.59
201504,1.69,-0.34
201505,0.91,-0.07
201506,0.14,-0.14
201507,0.51,0.42
201508,0.02,-0.09
201509,0.28,-0.13
201510,1.22,0.14
201511,3.05,0.71
201512,4.37,0.86
201601,6.12,1.68
201602,1.13,-2.88
201603,4.57,0.73
201604,2.53,0.50
201605,0.63,-0.35
201606,0.23,-0.05
201607,0.02,-0.07
201608,0.01,-0.10
201609,0.08,-0.33
201610,2.44,1.36
201611,1.71,-0.63
201612,4.61,1.10
201701,11.94,7.50
201702,8.14,4.13
201703,2.34,-1.50
201704,3.25,1.22
201705,0.33,-0.65
201706,0.14,-0.14
201707,0.00,-0.09
201708,0.44,0.33
201709,0.78,0.37
201710,0.21,-0.87
201711,2.03,-0.31
201712,0.16,-3.35
201801,2.56,-1.88
201802,0.59,-3.42
201803,8.71,4.87
201804,2.18,0.15
201805,0.37,-0.61
201806,0.00,-0.28
201807,0.11,0.02
201808,0.01,-0.10
201809,0.05,-0.36
201810,0.50,-0.58
201811,4.20,1.86
201812,1.44,-2.07
201901,4.90,0.46
201902,6.90,2.89
201903,4.19,0.35
201904,0.86,-1.17
201905,3.63,2.65
201906,0.12,-0.16
201907,0.09,0.00
201908,0.00,-0.11
201909,0.04,-0.37
201910,0.01,-1.07
201911,1.20,-1.14
201912,3.38,-0.13
202001,0.93,-3.51
