Calcasieu Parish, Louisiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.81,-3.21
200002,0.67,-3.40
200003,2.29,-1.68
200004,5.61,1.30
200005,7.77,2.37
200006,4.51,-0.57
200007,3.65,-2.55
200008,2.44,-2.63
200009,2.48,-2.27
200010,1.77,-1.93
200011,11.88,7.48
200012,2.66,-2.82
200101,5.63,0.61
200102,0.79,-3.28
200103,8.42,4.45
200104,2.02,-2.29
200105,3.25,-2.15
200106,11.82,6.74
200107,4.40,-1.80
200108,9.61,4.54
200109,10.66,5.91
200110,5.08,1.38
200111,6.00,1.60
200112,4.41,-1.07
200201,3.24,-1.78
200202,2.97,-1.10
200203,3.72,-0.25
200204,3.55,-0.76
200205,2.54,-2.86
200206,9.49,4.41
200207,6.67,0.47
200208,8.07,3.00
200209,4.74,-0.01
200210,17.71,14.01
200211,6.26,1.86
200212,11.18,5.70
200301,1.83,-3.19
200302,6.55,2.48
200303,2.90,-1.07
200304,1.07,-3.24
200305,0.57,-4.83
200306,7.14,2.06
200307,3.05,-3.15
200308,5.28,0.21
200309,8.46,3.71
200310,3.35,-0.35
200311,4.02,-0.38
200312,3.95,-1.53
200401,8.26,3.24
200402,8.15,4.08
200403,2.91,-1.06
200404,3.83,-0.48
200405,12.10,6.70
200406,12.77,7.69
200407,3.79,-2.41
200408,2.98,-2.09
200409,2.39,-2.36
200410,4.20,0.50
200411,10.43,6.03
200412,3.82,-1.66
200501,4.16,-0.86
200502,8.33,4.26
200503,2.94,-1.03
200504,1.26,-3.05
200505,2.90,-2.50
200506,1.26,-3.82
200507,6.66,0.46
200508,4.45,-0.62
200509,7.01,2.26
200510,0.45,-3.25
200511,3.81,-0.59
200512,3.76,-1.72
200601,2.60,-2.42
200602,2.69,-1.38
200603,0.75,-3.22
200604,2.56,-1.75
200605,4.53,-0.87
200606,6.43,1.35
200607,9.73,3.53
200608,5.73,0.66
200609,2.95,-1.80
200610,16.04,12.34
200611,1.83,-2.57
200612,5.92,0.44
200701,8.42,3.40
200702,1.53,-2.54
200703,2.97,-1.00
200704,5.99,1.68
200705,4.61,-0.79
200706,4.63,-0.45
200707,11.54,5.34
200708,4.22,-0.85
200709,6.63,1.88
200710,2.74,-0.96
200711,6.31,1.91
200712,3.19,-2.29
200801,5.80,0.78
200802,4.77,0.70
200803,3.77,-0.20
200804,1.85,-2.46
200805,3.12,-2.28
200806,4.71,-0.37
200807,4.84,-1.36
200808,6.48,1.41
200809,5.86,1.11
200810,2.19,-1.51
200811,3.81,-0.59
200812,3.46,-2.02
200901,1.01,-4.01
200902,1.96,-2.11
200903,6.17,2.20
200904,6.95,2.64
200905,2.33,-3.07
200906,1.18,-3.90
200907,8.87,2.67
200908,4.53,-0.54
200909,5.26,0.51
200910,14.40,10.70
200911,2.00,-2.40
200912,8.73,3.25
201001,3.80,-1.22
201002,6.05,1.98
201003,2.18,-1.79
201004,0.32,-3.99
201005,2.66,-2.74
201006,4.15,-0.93
201007,6.87,0.67
201008,2.10,-2.97
201009,1.44,-3.31
201010,1.64,-2.06
201011,4.43,0.03
201012,3.63,-1.85
201101,4.43,-0.59
201102,1.62,-2.45
201103,2.75,-1.22
201104,1.81,-2.50
201105,0.90,-4.50
201106,3.65,-1.43
201107,7.34,1.14
201108,1.81,-3.26
201109,5.49,0.74
201110,0.98,-2.72
201111,3.84,-0.56
201112,4.55,-0.93
201201,7.30,2.28
201202,9.22,5.15
201203,7.56,3.59
201204,3.55,-0.76
201205,3.18,-2.22
201206,4.54,-0.54
201207,12.91,6.71
201208,5.94,0.87
201209,5.17,0.42
201210,1.54,-2.16
201211,2.18,-2.22
201212,5.03,-0.45
201301,9.37,4.35
201302,4.87,0.80
201303,1.01,-2.96
201304,5.79,1.48
201305,6.10,0.70
201306,4.95,-0.13
201307,2.97,-3.23
201308,2.75,-2.32
201309,10.17,5.42
201310,3.67,-0.03
201311,5.77,1.37
201312,2.05,-3.43
201401,1.80,-3.22
201402,5.76,1.69
201403,2.27,-1.70
201404,1.03,-3.28
201405,3.99,-1.41
201406,9.32,4.24
201407,7.09,0.89
201408,8.27,3.20
201409,3.27,-1.48
201410,3.20,-0.50
201411,7.33,2.93
201412,3.39,-2.09
201501,7.75,2.73
201502,1.73,-2.34
201503,5.56,1.59
201504,9.51,5.20
201505,5.98,0.58
201506,6.44,1.36
201507,2.02,-4.18
201508,3.81,-1.26
201509,6.67,1.92
201510,5.49,1.79
201511,8.18,3.78
201512,4.17,-1.31
201601,4.59,-0.43
201602,1.92,-2.15
201603,3.17,-0.80
201604,9.46,5.15
201605,11.66,6.26
201606,8.32,3.24
201607,3.23,-2.97
201608,13.10,8.03
201609,3.02,-1.73
201610,0.34,-3.36
201611,3.34,-1.06
201612,9.32,3.84
201701,6.61,1.59
201702,2.17,-1.90
201703,6.02,2.05
201704,4.78,0.47
201705,12.93,7.53
201706,14.62,9.54
201707,5.20,-1.00
201708,25.36,20.29
201709,0.82,-3.93
201710,2.11,-1.59
201711,2.25,-2.15
201712,5.33,-0.15
201801,6.92,1.90
201802,5.42,1.35
201803,2.52,-1.45
201804,3.56,-0.75
201805,1.70,-3.70
201806,5.91,0.83
201807,5.67,-0.53
201808,3.89,-1.18
201809,10.61,5.86
201810,5.34,1.64
201811,4.97,0.57
201812,9.79,4.31
201901,6.38,1.36
201902,2.14,-1.93
201903,0.93,-3.04
201904,7.98,3.67
201905,9.96,4.56
201906,10.77,5.69
201907,6.77,0.57
201908,7.47,2.40
201909,6.50,1.75
201910,7.39,3.69
201911,1.47,-2.93
201912,1.48,-4.00
202001,6.36,1.34
