Scotts Bluff County, Nebraska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.53,0.19
200002,0.61,0.21
200003,1.15,0.30
200004,2.38,0.68
200005,1.49,-1.25
200006,0.77,-1.91
200007,1.54,-0.47
200008,0.79,-0.59
200009,2.83,1.42
200010,1.62,0.64
200011,0.37,-0.11
200012,0.22,-0.22
200101,0.22,-0.12
200102,0.32,-0.08
200103,0.37,-0.48
200104,2.76,1.06
200105,2.46,-0.28
200106,1.19,-1.49
200107,2.87,0.86
200108,0.13,-1.25
200109,1.36,-0.05
200110,1.01,0.03
200111,0.50,0.02
200112,0.01,-0.43
200201,0.04,-0.30
200202,0.06,-0.34
200203,0.53,-0.32
200204,0.46,-1.24
200205,0.69,-2.05
200206,0.87,-1.81
200207,0.37,-1.64
200208,3.56,2.18
200209,1.09,-0.32
200210,0.88,-0.10
200211,0.20,-0.28
200212,0.01,-0.43
200301,0.12,-0.22
200302,0.42,0.02
200303,1.96,1.11
200304,1.36,-0.34
200305,1.50,-1.24
200306,2.39,-0.29
200307,1.31,-0.70
200308,0.86,-0.52
200309,1.20,-0.21
200310,0.26,-0.72
200311,0.51,0.03
200312,0.31,-0.13
200401,0.11,-0.23
200402,0.52,0.12
200403,0.19,-0.66
200404,0.92,-0.78
200405,0.69,-2.05
200406,1.43,-1.25
200407,3.25,1.24
200408,0.35,-1.03
200409,3.07,1.66
200410,1.22,0.24
200411,1.02,0.54
200412,0.07,-0.37
200501,0.47,0.13
200502,0.26,-0.14
200503,0.75,-0.10
200504,2.25,0.55
200505,2.26,-0.48
200506,5.25,2.57
200507,2.37,0.36
200508,2.44,1.06
200509,0.59,-0.82
200510,2.20,1.22
200511,0.18,-0.30
200512,0.08,-0.36
200601,0.26,-0.08
200602,0.58,0.18
200603,1.37,0.52
200604,0.72,-0.98
200605,1.21,-1.53
200606,2.85,0.17
200607,0.85,-1.16
200608,2.26,0.88
200609,0.74,-0.67
200610,0.50,-0.48
200611,0.02,-0.46
200612,0.75,0.31
200701,0.15,-0.19
200702,0.26,-0.14
200703,1.17,0.32
200704,1.38,-0.32
200705,1.64,-1.10
200706,0.37,-2.31
200707,1.23,-0.78
200708,1.44,0.06
200709,0.61,-0.80
200710,1.25,0.27
200711,0.09,-0.39
200712,1.08,0.64
200801,0.02,-0.32
200802,0.30,-0.10
200803,0.60,-0.25
200804,1.04,-0.66
200805,2.27,-0.47
200806,1.92,-0.76
200807,1.63,-0.38
200808,3.14,1.76
200809,2.09,0.68
200810,0.80,-0.18
200811,0.35,-0.13
200812,0.09,-0.35
200901,0.65,0.31
200902,0.14,-0.26
200903,0.71,-0.14
200904,3.01,1.31
200905,1.55,-1.19
200906,5.31,2.63
200907,2.35,0.34
200908,1.46,0.08
200909,0.71,-0.70
200910,2.43,1.45
200911,0.28,-0.20
200912,0.48,0.04
201001,0.03,-0.31
201002,0.72,0.32
201003,0.62,-0.23
201004,2.68,0.98
201005,3.20,0.46
201006,3.77,1.09
201007,1.98,-0.03
201008,1.40,0.02
201009,0.11,-1.30
201010,0.85,-0.13
201011,0.65,0.17
201012,0.57,0.13
201101,0.40,0.06
201102,0.35,-0.05
201103,0.85,0.00
201104,2.66,0.96
201105,5.83,3.09
201106,3.19,0.51
201107,2.11,0.10
201108,0.66,-0.72
201109,0.44,-0.97
201110,1.53,0.55
201111,0.33,-0.15
201112,0.21,-0.23
201201,0.16,-0.18
201202,0.58,0.18
201203,0.00,-0.85
201204,0.95,-0.75
201205,0.46,-2.28
201206,1.39,-1.29
201207,1.08,-0.93
201208,0.04,-1.34
201209,0.78,-0.63
201210,0.71,-0.27
201211,0.22,-0.26
201212,0.15,-0.29
201301,0.17,-0.17
201302,0.38,-0.02
201303,0.20,-0.65
201304,2.10,0.40
201305,1.39,-1.35
201306,1.78,-0.90
201307,1.38,-0.63
201308,1.07,-0.31
201309,3.65,2.24
201310,2.47,1.49
201311,0.49,0.01
201312,0.42,-0.02
201401,0.36,0.02
201402,0.86,0.46
201403,0.83,-0.02
201404,0.79,-0.91
201405,4.26,1.52
201406,1.87,-0.81
201407,1.67,-0.34
201408,2.14,0.76
201409,4.02,2.61
201410,0.63,-0.35
201411,0.84,0.36
201412,0.77,0.33
201501,0.30,-0.04
201502,0.34,-0.06
201503,0.16,-0.69
201504,3.24,1.54
201505,7.36,4.62
201506,2.46,-0.22
201507,3.51,1.50
201508,1.34,-0.04
201509,1.03,-0.38
201510,1.65,0.67
201511,1.06,0.58
201512,0.83,0.39
201601,0.21,-0.13
201602,0.63,0.23
201603,2.33,1.48
201604,3.52,1.82
201605,1.94,-0.80
201606,1.07,-1.61
201607,1.63,-0.38
201608,2.17,0.79
201609,1.28,-0.13
201610,0.29,-0.69
201611,0.26,-0.22
201612,0.52,0.08
201701,0.77,0.43
201702,0.87,0.47
201703,1.52,0.67
201704,1.65,-0.05
201705,3.76,1.02
201706,0.78,-1.90
201707,1.34,-0.67
201708,1.49,0.11
201709,1.61,0.20
201710,1.08,0.10
201711,0.49,0.01
201712,0.63,0.19
201801,0.29,-0.05
201802,0.48,0.08
201803,0.89,0.04
201804,1.34,-0.36
201805,6.71,3.97
201806,2.28,-0.40
201807,2.52,0.51
201808,0.53,-0.85
201809,0.59,-0.82
201810,0.82,-0.16
201811,0.93,0.45
201812,0.21,-0.23
201901,0.22,-0.12
201902,0.16,-0.24
201903,2.12,1.27
201904,1.84,0.14
201905,4.55,1.81
201906,2.21,-0.47
201907,2.20,0.19
201908,2.77,1.39
201909,1.14,-0.27
201910,0.77,-0.21
201911,0.63,0.15
201912,0.44,0.00
202001,0.09,-0.25
