Kanawha County, West Virginia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.66,-2.06
200002,3.88,0.66
200003,2.29,-1.93
200004,4.61,0.77
200005,4.35,0.31
200006,5.12,0.96
200007,6.72,1.73
200008,4.97,0.69
200009,3.96,0.82
200010,0.81,-1.99
200011,1.46,-1.65
200012,2.36,-1.08
200101,2.32,-1.40
200102,2.07,-1.15
200103,2.99,-1.23
200104,1.77,-2.07
200105,8.00,3.96
200106,3.72,-0.44
200107,9.04,4.05
200108,2.54,-1.74
200109,2.13,-1.01
200110,1.33,-1.47
200111,1.30,-1.81
200112,2.48,-0.96
200201,2.97,-0.75
200202,0.87,-2.35
200203,4.97,0.75
200204,5.58,1.74
200205,4.64,0.60
200206,3.94,-0.22
200207,4.24,-0.75
200208,1.82,-2.46
200209,3.14,0.00
200210,6.21,3.41
200211,4.03,0.92
200212,2.94,-0.50
200301,2.12,-1.60
200302,6.75,3.53
200303,1.64,-2.58
200304,3.38,-0.46
200305,6.04,2.00
200306,7.08,2.92
200307,5.02,0.03
200308,5.30,1.02
200309,5.46,2.32
200310,2.64,-0.16
200311,8.17,5.06
200312,2.98,-0.46
200401,3.39,-0.33
200402,2.38,-0.84
200403,3.88,-0.34
200404,5.60,1.76
200405,6.74,2.70
200406,4.37,0.21
200407,4.42,-0.57
200408,4.23,-0.05
200409,6.93,3.79
200410,4.06,1.26
200411,3.79,0.68
200412,3.34,-0.10
200501,2.98,-0.74
200502,2.47,-0.75
200503,4.18,-0.04
200504,4.58,0.74
200505,3.22,-0.82
200506,2.24,-1.92
200507,5.43,0.44
200508,5.75,1.47
200509,1.03,-2.11
200510,3.66,0.86
200511,3.80,0.69
200512,2.84,-0.60
200601,3.58,-0.14
200602,1.21,-2.01
200603,2.14,-2.08
200604,4.53,0.69
200605,2.32,-1.72
200606,4.48,0.32
200607,6.05,1.06
200608,4.03,-0.25
200609,5.16,2.02
200610,4.99,2.19
200611,2.06,-1.05
200612,1.82,-1.62
200701,3.06,-0.66
200702,1.82,-1.40
200703,4.06,-0.16
200704,4.62,0.78
200705,1.82,-2.22
200706,2.05,-2.11
200707,5.52,0.53
200708,2.61,-1.67
200709,1.78,-1.36
200710,3.69,0.89
200711,3.23,0.12
200712,5.32,1.88
200801,2.39,-1.33
200802,4.02,0.80
200803,4.42,0.20
200804,3.68,-0.16
200805,5.69,1.65
200806,5.14,0.98
200807,5.02,0.03
200808,3.02,-1.26
200809,1.04,-2.10
200810,1.79,-1.01
200811,2.74,-0.37
200812,5.58,2.14
200901,5.15,1.43
200902,1.26,-1.96
200903,3.12,-1.10
200904,3.56,-0.28
200905,7.59,3.55
200906,4.47,0.31
200907,6.11,1.12
200908,4.53,0.25
200909,4.20,1.06
200910,2.87,0.07
200911,1.18,-1.93
200912,4.34,0.90
201001,3.07,-0.65
201002,2.94,-0.28
201003,4.27,0.05
201004,2.30,-1.54
201005,6.94,2.90
201006,4.63,0.47
201007,6.55,1.56
201008,3.40,-0.88
201009,1.37,-1.77
201010,2.04,-0.76
201011,3.40,0.29
201012,3.46,0.02
201101,2.35,-1.37
201102,3.09,-0.13
201103,4.89,0.67
201104,6.64,2.80
201105,4.75,0.71
201106,3.70,-0.46
201107,3.36,-1.63
201108,3.05,-1.23
201109,6.59,3.45
201110,4.80,2.00
201111,4.82,1.71
201112,3.33,-0.11
201201,2.43,-1.29
201202,2.67,-0.55
201203,4.18,-0.04
201204,3.65,-0.19
201205,4.10,0.06
201206,2.55,-1.61
201207,7.00,2.01
201208,0.65,-3.63
201209,5.27,2.13
201210,4.93,2.13
201211,1.02,-2.09
201212,5.11,1.67
201301,4.34,0.62
201302,2.00,-1.22
201303,3.12,-1.10
201304,1.70,-2.14
201305,4.07,0.03
201306,6.41,2.25
201307,7.29,2.30
201308,4.49,0.21
201309,2.12,-1.02
201310,1.66,-1.14
201311,3.66,0.55
201312,6.64,3.20
201401,2.61,-1.11
201402,4.78,1.56
201403,3.72,-0.50
201404,3.01,-0.83
201405,3.27,-0.77
201406,4.99,0.83
201407,4.42,-0.57
201408,4.15,-0.13
201409,3.49,0.35
201410,4.97,2.17
201411,2.25,-0.86
201412,3.08,-0.36
201501,2.02,-1.70
201502,2.95,-0.27
201503,5.56,1.34
201504,6.25,2.41
201505,1.81,-2.23
201506,5.70,1.54
201507,7.99,3.00
201508,2.57,-1.71
201509,3.17,0.03
201510,2.19,-0.61
201511,1.78,-1.33
201512,5.57,2.13
201601,2.42,-1.30
201602,3.53,0.31
201603,2.72,-1.50
201604,3.22,-0.62
201605,5.18,1.14
201606,5.90,1.74
201607,4.35,-0.64
201608,4.07,-0.21
201609,1.75,-1.39
201610,3.90,1.10
201611,2.08,-1.03
201612,4.54,1.10
201701,4.34,0.62
201702,2.00,-1.22
201703,4.47,0.25
201704,3.38,-0.46
201705,6.01,1.97
201706,6.50,2.34
201707,4.69,-0.30
201708,3.55,-0.73
201709,2.38,-0.76
201710,4.92,2.12
201711,1.98,-1.13
201712,2.31,-1.13
201801,3.34,-0.38
201802,7.74,4.52
201803,4.45,0.23
201804,4.10,0.26
201805,4.54,0.50
201806,4.95,0.79
201807,7.20,2.21
201808,5.76,1.48
201809,9.56,6.42
201810,3.34,0.54
201811,4.33,1.22
201812,5.28,1.84
201901,3.67,-0.05
201902,5.49,2.27
201903,2.28,-1.94
201904,2.98,-0.86
201905,7.19,3.15
201906,4.32,0.16
201907,2.85,-2.14
201908,3.85,-0.43
201909,0.40,-2.74
201910,5.63,2.83
201911,3.10,-0.01
201912,5.34,1.90
202001,3.67,-0.05
