Minnehaha County, South Dakota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.55,0.00
200002,0.91,0.18
200003,0.86,-0.51
200004,2.54,0.15
200005,5.68,2.31
200006,3.15,-1.03
200007,2.80,-0.33
200008,3.41,0.21
200009,1.46,-1.30
200010,1.65,0.00
200011,2.49,1.41
200012,0.49,-0.15
200101,1.43,0.88
200102,0.94,0.21
200103,0.69,-0.68
200104,6.53,4.14
200105,2.30,-1.07
200106,3.80,-0.38
200107,4.16,1.03
200108,0.94,-2.26
200109,2.38,-0.38
200110,1.06,-0.59
200111,4.22,3.14
200112,0.13,-0.51
200201,0.17,-0.38
200202,0.20,-0.53
200203,1.55,0.18
200204,1.98,-0.41
200205,1.68,-1.69
200206,2.70,-1.48
200207,1.81,-1.32
200208,8.16,4.96
200209,1.62,-1.14
200210,3.63,1.98
200211,0.07,-1.01
200212,0.22,-0.42
200301,0.39,-0.16
200302,0.58,-0.15
200303,0.32,-1.05
200304,3.18,0.79
200305,2.71,-0.66
200306,4.73,0.55
200307,2.19,-0.94
200308,1.67,-1.53
200309,4.24,1.48
200310,1.00,-0.65
200311,0.51,-0.57
200312,0.83,0.19
200401,0.53,-0.02
200402,0.97,0.24
200403,2.03,0.66
200404,1.33,-1.06
200405,6.93,3.56
200406,4.84,0.66
200407,2.93,-0.20
200408,3.37,0.17
200409,5.39,2.63
200410,0.76,-0.89
200411,0.79,-0.29
200412,0.09,-0.55
200501,0.37,-0.18
200502,1.00,0.27
200503,1.46,0.09
200504,2.95,0.56
200505,4.23,0.86
200506,4.79,0.61
200507,3.78,0.65
200508,1.59,-1.61
200509,6.42,3.66
200510,1.37,-0.28
200511,2.68,1.60
200512,1.09,0.45
200601,0.44,-0.11
200602,0.16,-0.57
200603,2.32,0.95
200604,5.12,2.73
200605,1.04,-2.33
200606,3.30,-0.88
200607,0.76,-2.37
200608,5.33,2.13
200609,4.70,1.94
200610,0.23,-1.42
200611,0.76,-0.32
200612,2.07,1.43
200701,0.37,-0.18
200702,1.18,0.45
200703,3.97,2.60
200704,2.43,0.04
200705,3.08,-0.29
200706,4.05,-0.13
200707,0.41,-2.72
200708,7.21,4.01
200709,2.19,-0.57
200710,5.94,4.29
200711,0.03,-1.05
200712,0.90,0.26
200801,0.18,-0.37
200802,0.71,-0.02
200803,1.10,-0.27
200804,2.54,0.15
200805,3.27,-0.10
200806,4.03,-0.15
200807,2.82,-0.31
200808,1.44,-1.76
200809,1.70,-1.06
200810,5.07,3.42
200811,0.98,-0.10
200812,0.81,0.17
200901,0.31,-0.24
200902,0.53,-0.20
200903,1.26,-0.11
200904,2.14,-0.25
200905,1.53,-1.84
200906,5.07,0.89
200907,4.07,0.94
200908,2.32,-0.88
200909,1.20,-1.56
200910,5.49,3.84
200911,0.15,-0.93
200912,1.84,1.20
201001,1.06,0.51
201002,1.10,0.37
201003,1.07,-0.30
201004,2.36,-0.03
201005,2.09,-1.28
201006,7.42,3.24
201007,7.64,4.51
201008,5.25,2.05
201009,5.89,3.13
201010,1.03,-0.62
201011,0.32,-0.76
201012,1.27,0.63
201101,0.91,0.36
201102,1.19,0.46
201103,0.84,-0.53
201104,3.23,0.84
201105,5.65,2.28
201106,4.20,0.02
201107,5.71,2.58
201108,1.82,-1.38
201109,0.25,-2.51
201110,0.67,-0.98
201111,0.04,-1.04
201112,0.49,-0.15
201201,0.65,0.10
201202,1.95,1.22
201203,0.63,-0.74
201204,2.86,0.47
201205,6.39,3.02
201206,1.06,-3.12
201207,0.40,-2.73
201208,2.17,-1.03
201209,0.95,-1.81
201210,1.02,-0.63
201211,0.43,-0.65
201212,1.28,0.64
201301,0.32,-0.23
201302,0.85,0.12
201303,1.07,-0.30
201304,3.22,0.83
201305,5.93,2.56
201306,4.50,0.32
201307,1.39,-1.74
201308,2.65,-0.55
201309,1.12,-1.64
201310,3.24,1.59
201311,0.48,-0.60
201312,0.80,0.16
201401,0.27,-0.28
201402,0.51,-0.22
201403,0.74,-0.63
201404,1.19,-1.20
201405,2.12,-1.25
201406,11.83,7.65
201407,0.93,-2.20
201408,4.72,1.52
201409,2.02,-0.74
201410,0.71,-0.94
201411,0.44,-0.64
201412,1.20,0.56
201501,0.65,0.10
201502,0.41,-0.32
201503,0.28,-1.09
201504,1.01,-1.38
201505,3.67,0.30
201506,4.04,-0.14
201507,5.38,2.25
201508,5.04,1.84
201509,2.91,0.15
201510,1.89,0.24
201511,2.67,1.59
201512,1.70,1.06
201601,0.35,-0.20
201602,0.82,0.09
201603,1.79,0.42
201604,3.55,1.16
201605,4.13,0.76
201606,2.33,-1.85
201607,2.71,-0.42
201608,2.69,-0.51
201609,5.33,2.57
201610,2.38,0.73
201611,1.52,0.44
201612,1.55,0.91
201701,0.56,0.01
201702,0.36,-0.37
201703,0.53,-0.84
201704,2.05,-0.34
201705,3.87,0.50
201706,2.92,-1.26
201707,1.77,-1.36
201708,5.06,1.86
201709,2.15,-0.61
201710,4.10,2.45
201711,0.08,-1.00
201712,0.63,-0.01
201801,0.33,-0.22
201802,1.01,0.28
201803,2.15,0.78
201804,2.94,0.55
201805,2.60,-0.77
201806,8.29,4.11
201807,4.46,1.33
201808,4.89,1.69
201809,6.61,3.85
201810,2.19,0.54
201811,1.08,0.00
201812,0.97,0.33
201901,0.58,0.03
201902,1.75,1.02
201903,3.24,1.87
201904,5.23,2.84
201905,6.25,2.88
201906,3.29,-0.89
201907,5.56,2.43
201908,2.74,-0.46
201909,6.60,3.84
201910,2.77,1.12
201911,1.14,0.06
201912,1.24,0.60
202001,0.62,0.07
