Baltimore County, Maryland, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.20,-0.24
200002,2.38,-0.45
200003,5.10,1.39
200004,4.70,1.02
200005,3.50,-0.29
200006,4.15,0.25
200007,6.00,1.84
200008,3.16,-1.16
200009,6.05,2.31
200010,0.32,-2.90
200011,2.01,-1.18
200012,3.13,-0.28
200101,2.79,-0.65
200102,2.18,-0.65
200103,5.09,1.38
200104,2.04,-1.64
200105,4.97,1.18
200106,4.50,0.60
200107,2.58,-1.58
200108,3.70,-0.62
200109,2.78,-0.96
200110,0.89,-2.33
200111,1.50,-1.69
200112,1.81,-1.60
200201,2.43,-1.01
200202,0.39,-2.44
200203,4.16,0.45
200204,3.31,-0.37
200205,3.54,-0.25
200206,2.90,-1.00
200207,2.61,-1.55
200208,3.83,-0.49
200209,3.75,0.01
200210,7.24,4.02
200211,4.32,1.13
200212,5.18,1.77
200301,2.72,-0.72
200302,5.65,2.82
200303,4.25,0.54
200304,2.91,-0.77
200305,6.67,2.88
200306,7.99,4.09
200307,4.45,0.29
200308,4.17,-0.15
200309,8.02,4.28
200310,5.79,2.57
200311,4.98,1.79
200312,4.91,1.50
200401,1.75,-1.69
200402,2.60,-0.23
200403,2.63,-1.08
200404,5.48,1.80
200405,4.55,0.76
200406,5.53,1.63
200407,6.09,1.93
200408,4.02,-0.30
200409,6.04,2.30
200410,1.58,-1.64
200411,4.57,1.38
200412,3.28,-0.13
200501,4.22,0.78
200502,1.87,-0.96
200503,4.97,1.26
200504,4.03,0.35
200505,2.97,-0.82
200506,3.39,-0.51
200507,8.15,3.99
200508,2.90,-1.42
200509,0.51,-3.23
200510,10.18,6.96
200511,3.01,-0.18
200512,3.68,0.27
200601,4.00,0.56
200602,2.43,-0.40
200603,0.31,-3.40
200604,3.90,0.22
200605,2.26,-1.53
200606,9.24,5.34
200607,3.49,-0.67
200608,0.96,-3.36
200609,6.16,2.42
200610,5.03,1.81
200611,6.02,2.83
200612,2.27,-1.14
200701,2.67,-0.77
200702,2.53,-0.30
200703,4.41,0.70
200704,5.13,1.45
200705,1.63,-2.16
200706,2.91,-0.99
200707,2.55,-1.61
200708,3.94,-0.38
200709,0.83,-2.91
200710,5.81,2.59
200711,2.05,-1.14
200712,4.52,1.11
200801,1.48,-1.96
200802,4.71,1.88
200803,3.08,-0.63
200804,4.62,0.94
200805,6.67,2.88
200806,3.54,-0.36
200807,4.75,0.59
200808,2.32,-2.00
200809,7.28,3.54
200810,1.83,-1.39
200811,2.79,-0.40
200812,4.37,0.96
200901,2.61,-0.83
200902,0.46,-2.37
200903,1.98,-1.73
200904,5.34,1.66
200905,6.72,2.93
200906,5.47,1.57
200907,4.41,0.25
200908,6.91,2.59
200909,4.24,0.50
200910,6.35,3.13
200911,3.90,0.71
200912,6.90,3.49
201001,2.43,-1.01
201002,3.78,0.95
201003,4.56,0.85
201004,2.32,-1.36
201005,3.15,-0.64
201006,1.64,-2.26
201007,5.37,1.21
201008,4.61,0.29
201009,6.82,3.08
201010,4.29,1.07
201011,2.35,-0.84
201012,2.17,-1.24
201101,2.38,-1.06
201102,2.73,-0.10
201103,5.65,1.94
201104,5.59,1.91
201105,3.41,-0.38
201106,2.21,-1.69
201107,3.47,-0.69
201108,10.07,5.75
201109,10.98,7.24
201110,3.90,0.68
201111,4.25,1.06
201112,4.19,0.78
201201,2.33,-1.11
201202,1.96,-0.87
201203,1.71,-2.00
201204,2.42,-1.26
201205,3.79,0.00
201206,3.59,-0.31
201207,4.90,0.74
201208,4.75,0.43
201209,3.67,-0.07
201210,10.12,6.90
201211,0.86,-2.33
201212,3.50,0.09
201301,4.42,0.98
201302,2.02,-0.81
201303,2.78,-0.93
201304,2.58,-1.10
201305,3.54,-0.25
201306,7.99,4.09
201307,4.46,0.30
201308,3.52,-0.80
201309,1.70,-2.04
201310,6.77,3.55
201311,3.04,-0.15
201312,5.37,1.96
201401,2.93,-0.51
201402,4.96,2.13
201403,4.50,0.79
201404,7.48,3.80
201405,4.85,1.06
201406,5.61,1.71
201407,3.91,-0.25
201408,5.05,0.73
201409,2.38,-1.36
201410,4.04,0.82
201411,3.69,0.50
201412,3.45,0.04
201501,3.62,0.18
201502,1.91,-0.92
201503,4.87,1.16
201504,2.92,-0.76
201505,2.93,-0.86
201506,10.06,6.16
201507,3.77,-0.39
201508,2.18,-2.14
201509,5.13,1.39
201510,3.62,0.40
201511,2.36,-0.83
201512,5.33,1.92
201601,3.63,0.19
201602,5.18,2.35
201603,2.03,-1.68
201604,2.01,-1.67
201605,5.06,1.27
201606,3.93,0.03
201607,5.81,1.65
201608,3.68,-0.64
201609,5.29,1.55
201610,1.07,-2.15
201611,1.70,-1.49
201612,3.07,-0.34
201701,2.81,-0.63
201702,1.31,-1.52
201703,3.97,0.26
201704,3.55,-0.13
201705,5.29,1.50
201706,1.64,-2.26
201707,6.77,2.61
201708,5.30,0.98
201709,2.09,-1.65
201710,3.56,0.34
201711,1.94,-1.25
201712,1.09,-2.32
201801,1.77,-1.67
201802,5.06,2.23
201803,2.80,-0.91
201804,4.46,0.78
201805,8.25,4.46
201806,4.55,0.65
201807,12.12,7.96
201808,7.04,2.72
201809,9.96,6.22
201810,2.53,-0.69
201811,8.72,5.53
201812,5.92,2.51
201901,3.61,0.17
201902,3.50,0.67
201903,5.45,1.74
201904,2.38,-1.30
201905,5.94,2.15
201906,3.48,-0.42
201907,5.20,1.04
201908,3.98,-0.34
201909,0.56,-3.18
201910,6.46,3.24
201911,2.06,-1.13
201912,3.94,0.53
202001,3.32,-0.12
