Baker County, Georgia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.08,-0.48
200002,2.65,-2.07
200003,4.23,-0.99
200004,1.83,-2.27
200005,0.54,-3.23
200006,4.14,-0.48
200007,3.82,-2.46
200008,1.93,-3.01
200009,7.51,3.36
200010,0.32,-1.96
200011,4.90,2.04
200012,4.20,0.01
200101,2.29,-2.27
200102,0.66,-4.06
200103,10.39,5.17
200104,2.52,-1.58
200105,2.90,-0.87
200106,7.92,3.30
200107,3.73,-2.55
200108,3.61,-1.33
200109,4.09,-0.06
200110,1.28,-1.00
200111,1.12,-1.74
200112,1.16,-3.03
200201,3.44,-1.12
200202,2.12,-2.60
200203,5.38,0.16
200204,3.26,-0.84
200205,1.62,-2.15
200206,3.56,-1.06
200207,6.79,0.51
200208,2.31,-2.63
200209,7.37,3.22
200210,4.36,2.08
200211,5.99,3.13
200212,4.31,0.12
200301,1.43,-3.13
200302,5.15,0.43
200303,8.22,3.00
200304,5.76,1.66
200305,3.93,0.16
200306,6.08,1.46
200307,6.36,0.08
200308,8.23,3.29
200309,1.92,-2.23
200310,3.82,1.54
200311,2.42,-0.44
200312,2.25,-1.94
200401,2.68,-1.88
200402,6.49,1.77
200403,0.42,-4.80
200404,2.79,-1.31
200405,3.99,0.22
200406,9.18,4.56
200407,5.19,-1.09
200408,3.66,-1.28
200409,11.42,7.27
200410,1.62,-0.66
200411,4.41,1.55
200412,3.49,-0.70
200501,2.20,-2.36
200502,3.16,-1.56
200503,7.06,1.84
200504,7.20,3.10
200505,3.39,-0.38
200506,7.75,3.13
200507,8.25,1.97
200508,6.15,1.21
200509,1.50,-2.65
200510,0.50,-1.78
200511,3.44,0.58
200512,4.87,0.68
200601,3.97,-0.59
200602,4.48,-0.24
200603,0.29,-4.93
200604,1.96,-2.14
200605,4.11,0.34
200606,2.01,-2.61
200607,4.31,-1.97
200608,4.10,-0.84
200609,4.09,-0.06
200610,3.05,0.77
200611,2.90,0.04
200612,3.99,-0.20
200701,5.02,0.46
200702,3.38,-1.34
200703,1.40,-3.82
200704,3.21,-0.89
200705,0.31,-3.46
200706,2.77,-1.85
200707,5.43,-0.85
200708,5.24,0.30
200709,2.83,-1.32
200710,3.11,0.83
200711,1.60,-1.26
200712,6.73,2.54
200801,4.22,-0.34
200802,7.42,2.70
200803,3.00,-2.22
200804,3.50,-0.60
200805,1.32,-2.45
200806,3.61,-1.01
200807,5.34,-0.94
200808,13.21,8.27
200809,0.58,-3.57
200810,4.61,2.33
200811,3.42,0.56
200812,6.94,2.75
200901,1.87,-2.69
200902,1.68,-3.04
200903,9.49,4.27
200904,8.68,4.58
200905,6.09,2.32
200906,2.44,-2.18
200907,5.86,-0.42
200908,6.70,1.76
200909,4.58,0.43
200910,4.05,1.77
200911,2.07,-0.79
200912,9.58,5.39
201001,7.87,3.31
201002,3.40,-1.32
201003,3.42,-1.80
201004,2.58,-1.52
201005,7.54,3.77
201006,3.48,-1.14
201007,3.64,-2.64
201008,5.69,0.75
201009,1.56,-2.59
201010,0.50,-1.78
201011,2.37,-0.49
201012,1.64,-2.55
201101,4.87,0.31
201102,4.25,-0.47
201103,4.54,-0.68
201104,1.84,-2.26
201105,0.55,-3.22
201106,3.45,-1.17
201107,6.24,-0.04
201108,2.04,-2.90
201109,1.91,-2.24
201110,3.47,1.19
201111,1.49,-1.37
201112,2.56,-1.63
201201,3.19,-1.37
201202,4.06,-0.66
201203,4.99,-0.23
201204,2.16,-1.94
201205,2.29,-1.48
201206,4.36,-0.26
201207,3.26,-3.02
201208,5.92,0.98
201209,3.18,-0.97
201210,1.27,-1.01
201211,1.06,-1.80
201212,4.51,0.32
201301,1.47,-3.09
201302,15.10,10.38
201303,3.61,-1.61
201304,3.27,-0.83
201305,1.59,-2.18
201306,5.94,1.32
201307,10.95,4.67
201308,11.85,6.91
201309,2.35,-1.80
201310,0.67,-1.61
201311,4.54,1.68
201312,4.84,0.65
201401,2.94,-1.62
201402,4.91,0.19
201403,6.12,0.90
201404,10.52,6.42
201405,4.84,1.07
201406,3.61,-1.01
201407,2.65,-3.63
201408,1.96,-2.98
201409,7.13,2.98
201410,2.70,0.42
201411,6.57,3.71
201412,7.47,3.28
201501,4.04,-0.52
201502,4.52,-0.20
201503,1.99,-3.23
201504,5.50,1.40
201505,1.37,-2.40
201506,6.65,2.03
201507,3.25,-3.03
201508,4.47,-0.47
201509,2.61,-1.54
201510,1.12,-1.16
201511,6.57,3.71
201512,6.57,2.38
201601,4.81,0.25
201602,5.37,0.65
201603,4.58,-0.64
201604,6.46,2.36
201605,2.03,-1.74
201606,7.01,2.39
201607,2.50,-3.78
201608,5.55,0.61
201609,4.41,0.26
201610,0.26,-2.02
201611,0.07,-2.79
201612,11.36,7.17
201701,8.00,3.44
201702,2.54,-2.18
201703,0.99,-4.23
201704,2.38,-1.72
201705,4.04,0.27
201706,9.22,4.60
201707,4.18,-2.10
201708,2.42,-2.52
201709,3.73,-0.42
201710,1.99,-0.29
201711,0.49,-2.37
201712,3.45,-0.74
201801,3.20,-1.36
201802,6.32,1.60
201803,3.33,-1.89
201804,3.55,-0.55
201805,4.74,0.97
201806,4.26,-0.36
201807,7.47,1.19
201808,6.58,1.64
201809,2.30,-1.85
201810,4.06,1.78
201811,5.20,2.34
201812,11.76,7.57
201901,4.56,0.00
201902,2.34,-2.38
201903,3.64,-1.58
201904,3.65,-0.45
201905,2.33,-1.44
201906,8.76,4.14
201907,3.99,-2.29
201908,3.40,-1.54
201909,1.92,-2.23
201910,3.34,1.06
201911,1.83,-1.03
201912,5.56,1.37
202001,3.06,-1.50
