Hillsborough County, New Hampshire, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.64,0.23
200002,3.66,0.61
200003,4.29,0.49
200004,6.56,2.82
200005,3.29,-0.22
200006,4.92,1.24
200007,5.76,1.99
200008,2.72,-0.84
200009,3.39,-0.25
200010,2.90,-0.50
200011,3.82,-0.20
200012,4.57,0.81
200101,1.64,-1.77
200102,2.95,-0.10
200103,7.63,3.83
200104,1.10,-2.64
200105,1.92,-1.59
200106,5.85,2.17
200107,3.16,-0.61
200108,2.00,-1.56
200109,4.20,0.56
200110,0.94,-2.46
200111,1.37,-2.65
200112,2.74,-1.02
200201,2.10,-1.31
200202,2.86,-0.19
200203,4.21,0.41
200204,4.05,0.31
200205,5.58,2.07
200206,5.60,1.92
200207,1.56,-2.21
200208,2.52,-1.04
200209,3.03,-0.61
200210,4.07,0.67
200211,5.45,1.43
200212,4.61,0.85
200301,2.99,-0.42
200302,3.87,0.82
200303,3.69,-0.11
200304,3.79,0.05
200305,4.98,1.47
200306,3.26,-0.42
200307,1.95,-1.82
200308,6.52,2.96
200309,4.97,1.33
200310,5.48,2.08
200311,2.66,-1.36
200312,5.93,2.17
200401,1.02,-2.39
200402,1.39,-1.66
200403,1.96,-1.84
200404,8.65,4.91
200405,4.75,1.24
200406,2.56,-1.12
200407,4.20,0.43
200408,4.75,1.19
200409,6.55,2.91
200410,2.14,-1.26
200411,3.52,-0.50
200412,4.36,0.60
200501,4.02,0.61
200502,2.84,-0.21
200503,4.65,0.85
200504,5.09,1.35
200505,5.51,2.00
200506,3.48,-0.20
200507,4.19,0.42
200508,3.17,-0.39
200509,2.21,-1.43
200510,14.92,11.52
200511,4.97,0.95
200512,4.52,0.76
200601,4.80,1.39
200602,2.63,-0.42
200603,0.98,-2.82
200604,2.95,-0.79
200605,10.61,7.10
200606,9.93,6.25
200607,4.51,0.74
200608,4.14,0.58
200609,2.41,-1.23
200610,7.29,3.89
200611,5.68,1.66
200612,2.54,-1.22
200701,3.09,-0.32
200702,1.81,-1.24
200703,4.12,0.32
200704,8.55,4.81
200705,3.58,0.07
200706,2.92,-0.76
200707,4.88,1.11
200708,1.38,-2.18
200709,3.05,-0.59
200710,4.32,0.92
200711,3.65,-0.37
200712,4.69,0.93
200801,2.77,-0.64
200802,9.64,6.59
200803,5.69,1.89
200804,3.76,0.02
200805,1.24,-2.27
200806,5.17,1.49
200807,7.66,3.89
200808,4.72,1.16
200809,8.12,4.48
200810,2.99,-0.41
200811,3.90,-0.12
200812,6.44,2.68
200901,3.42,0.01
200902,1.83,-1.22
200903,2.94,-0.86
200904,3.89,0.15
200905,4.16,0.65
200906,6.50,2.82
200907,8.12,4.35
200908,4.59,1.03
200909,1.56,-2.08
200910,5.51,2.11
200911,3.72,-0.30
200912,4.37,0.61
201001,2.81,-0.60
201002,5.10,2.05
201003,10.34,6.54
201004,1.86,-1.88
201005,2.56,-0.95
201006,2.83,-0.85
201007,2.19,-1.58
201008,3.54,-0.02
201009,2.09,-1.55
201010,6.83,3.43
201011,3.94,-0.08
201012,3.52,-0.24
201101,2.87,-0.54
201102,3.65,0.60
201103,5.05,1.25
201104,4.64,0.90
201105,3.96,0.45
201106,5.56,1.88
201107,2.11,-1.66
201108,9.14,5.58
201109,6.71,3.07
201110,7.54,4.14
201111,3.85,-0.17
201112,4.50,0.74
201201,3.10,-0.31
201202,1.05,-2.00
201203,1.80,-2.00
201204,3.05,-0.69
201205,5.21,1.70
201206,4.55,0.87
201207,1.79,-1.98
201208,4.92,1.36
201209,4.48,0.84
201210,5.93,2.53
201211,0.62,-3.40
201212,4.81,1.05
201301,1.74,-1.67
201302,3.66,0.61
201303,2.31,-1.49
201304,2.44,-1.30
201305,4.92,1.41
201306,7.82,4.14
201307,4.68,0.91
201308,3.12,-0.44
201309,4.51,0.87
201310,1.30,-2.10
201311,3.43,-0.59
201312,3.89,0.13
201401,3.08,-0.33
201402,4.22,1.17
201403,4.64,0.84
201404,3.24,-0.50
201405,4.04,0.53
201406,2.91,-0.77
201407,7.37,3.60
201408,3.61,0.05
201409,1.73,-1.91
201410,6.71,3.31
201411,3.92,-0.10
201412,5.87,2.11
201501,3.77,0.36
201502,3.12,0.07
201503,1.78,-2.02
201504,2.34,-1.40
201505,0.75,-2.76
201506,6.52,2.84
201507,3.94,0.17
201508,3.15,-0.41
201509,4.55,0.91
201510,3.85,0.45
201511,2.18,-1.84
201512,5.03,1.27
201601,1.82,-1.59
201602,4.22,1.17
201603,3.36,-0.44
201604,2.09,-1.65
201605,2.02,-1.49
201606,1.73,-1.95
201607,2.13,-1.64
201608,3.33,-0.23
201609,2.85,-0.79
201610,5.27,1.87
201611,2.43,-1.59
201612,4.03,0.27
201701,2.94,-0.47
201702,2.89,-0.16
201703,3.43,-0.37
201704,5.18,1.44
201705,6.30,2.79
201706,4.65,0.97
201707,3.42,-0.35
201708,3.45,-0.11
201709,3.49,-0.15
201710,8.42,5.02
201711,1.38,-2.64
201712,2.99,-0.77
201801,3.60,0.19
201802,4.06,1.01
201803,3.05,-0.75
201804,4.27,0.53
201805,1.54,-1.97
201806,4.23,0.55
201807,5.51,1.74
201808,7.46,3.90
201809,7.07,3.43
201810,4.22,0.82
201811,9.01,4.99
201812,3.29,-0.47
201901,4.62,1.21
201902,3.01,-0.04
201903,1.58,-2.22
201904,6.19,2.45
201905,3.09,-0.42
201906,4.84,1.16
201907,4.47,0.70
201908,3.84,0.28
201909,1.18,-2.46
201910,5.91,2.51
201911,3.43,-0.59
201912,6.17,2.41
202001,2.03,-1.38
