Stutsman County, North Dakota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.20,-0.28
200002,1.59,1.11
200003,0.89,0.10
200004,1.65,0.14
200005,2.09,-0.37
200006,3.47,0.04
200007,3.69,0.81
200008,3.24,0.86
200009,1.55,-0.16
200010,2.91,1.70
200011,1.75,1.10
200012,0.36,-0.15
200101,0.20,-0.28
200102,0.35,-0.13
200103,0.13,-0.66
200104,1.41,-0.10
200105,2.35,-0.11
200106,4.57,1.14
200107,6.02,3.14
200108,1.25,-1.13
200109,1.08,-0.63
200110,1.55,0.34
200111,0.18,-0.47
200112,0.23,-0.28
200201,0.17,-0.31
200202,0.10,-0.38
200203,0.40,-0.39
200204,1.48,-0.03
200205,0.95,-1.51
200206,2.00,-1.43
200207,4.42,1.54
200208,2.25,-0.13
200209,1.09,-0.62
200210,1.12,-0.09
200211,0.08,-0.57
200212,0.70,0.19
200301,0.29,-0.19
200302,0.15,-0.33
200303,0.41,-0.38
200304,1.07,-0.44
200305,5.81,3.35
200306,3.61,0.18
200307,1.46,-1.42
200308,0.88,-1.50
200309,1.03,-0.68
200310,0.42,-0.79
200311,0.24,-0.41
200312,0.61,0.10
200401,0.57,0.09
200402,0.27,-0.21
200403,2.71,1.92
200404,0.78,-0.73
200405,6.11,3.65
200406,2.36,-1.07
200407,3.07,0.19
200408,2.08,-0.30
200409,3.59,1.88
200410,1.56,0.35
200411,0.05,-0.60
200412,0.26,-0.25
200501,0.65,0.17
200502,0.15,-0.33
200503,0.07,-0.72
200504,0.60,-0.91
200505,3.39,0.93
200506,5.97,2.54
200507,2.67,-0.21
200508,2.10,-0.28
200509,1.38,-0.33
200510,1.10,-0.11
200511,1.00,0.35
200512,0.67,0.16
200601,0.16,-0.32
200602,0.16,-0.32
200603,0.51,-0.28
200604,1.21,-0.30
200605,2.48,0.02
200606,2.58,-0.85
200607,1.00,-1.88
200608,3.19,0.81
200609,2.33,0.62
200610,1.46,0.25
200611,0.03,-0.62
200612,0.81,0.30
200701,0.07,-0.41
200702,0.73,0.25
200703,2.04,1.25
200704,0.88,-0.63
200705,5.05,2.59
200706,4.96,1.53
200707,2.28,-0.60
200708,1.93,-0.45
200709,2.03,0.32
200710,1.28,0.07
200711,0.10,-0.55
200712,0.34,-0.17
200801,0.05,-0.43
200802,0.44,-0.04
200803,0.37,-0.42
200804,0.51,-1.00
200805,0.59,-1.87
200806,5.44,2.01
200807,2.98,0.10
200808,2.03,-0.35
200809,3.15,1.44
200810,2.73,1.52
200811,1.45,0.80
200812,1.28,0.77
200901,0.73,0.25
200902,1.08,0.60
200903,1.88,1.09
200904,1.28,-0.23
200905,1.31,-1.15
200906,1.90,-1.53
200907,1.70,-1.18
200908,1.88,-0.50
200909,2.74,1.03
200910,3.42,2.21
200911,0.08,-0.57
200912,0.90,0.39
201001,0.80,0.32
201002,0.86,0.38
201003,1.50,0.71
201004,0.81,-0.70
201005,5.30,2.84
201006,2.49,-0.94
201007,3.64,0.76
201008,2.01,-0.37
201009,4.91,3.20
201010,1.08,-0.13
201011,0.36,-0.29
201012,1.36,0.85
201101,0.91,0.43
201102,0.15,-0.33
201103,1.17,0.38
201104,1.70,0.19
201105,2.74,0.28
201106,5.74,2.31
201107,4.66,1.78
201108,3.75,1.37
201109,1.05,-0.66
201110,1.26,0.05
201111,0.08,-0.57
201112,0.32,-0.19
201201,0.26,-0.22
201202,0.54,0.06
201203,0.38,-0.41
201204,2.43,0.92
201205,2.27,-0.19
201206,2.20,-1.23
201207,2.04,-0.84
201208,2.10,-0.28
201209,0.36,-1.35
201210,1.70,0.49
201211,0.56,-0.09
201212,0.33,-0.18
201301,0.15,-0.33
201302,0.61,0.13
201303,0.73,-0.06
201304,0.95,-0.56
201305,4.52,2.06
201306,2.06,-1.37
201307,0.79,-2.09
201308,1.13,-1.25
201309,2.76,1.05
201310,4.66,3.45
201311,0.03,-0.62
201312,0.86,0.35
201401,0.42,-0.06
201402,0.16,-0.32
201403,0.17,-0.62
201404,2.60,1.09
201405,2.27,-0.19
201406,5.73,2.30
201407,1.23,-1.65
201408,3.49,1.11
201409,1.51,-0.20
201410,0.49,-0.72
201411,0.50,-0.15
201412,0.14,-0.37
201501,0.45,-0.03
201502,0.36,-0.12
201503,0.49,-0.30
201504,0.53,-0.98
201505,7.13,4.67
201506,4.04,0.61
201507,2.74,-0.14
201508,1.42,-0.96
201509,0.69,-1.02
201510,1.03,-0.18
201511,0.78,0.13
201512,0.59,0.08
201601,0.13,-0.35
201602,0.48,0.00
201603,0.60,-0.19
201604,2.87,1.36
201605,2.56,0.10
201606,2.62,-0.81
201607,5.57,2.69
201608,3.97,1.59
201609,3.09,1.38
201610,0.98,-0.23
201611,1.09,0.44
201612,2.02,1.51
201701,0.56,0.08
201702,0.39,-0.09
201703,0.24,-0.55
201704,1.42,-0.09
201705,0.94,-1.52
201706,2.69,-0.74
201707,1.01,-1.87
201708,3.66,1.28
201709,2.65,0.94
201710,0.13,-1.08
201711,0.28,-0.37
201712,0.41,-0.10
201801,0.19,-0.29
201802,0.31,-0.17
201803,1.29,0.50
201804,0.31,-1.20
201805,2.96,0.50
201806,4.67,1.24
201807,4.38,1.50
201808,3.00,0.62
201809,1.56,-0.15
201810,1.74,0.53
201811,0.72,0.07
201812,0.51,0.00
201901,0.50,0.02
201902,1.17,0.69
201903,0.64,-0.15
201904,1.18,-0.33
201905,2.31,-0.15
201906,3.32,-0.11
201907,4.41,1.53
201908,3.10,0.72
201909,5.95,4.24
201910,3.07,1.86
201911,0.39,-0.26
201912,1.40,0.89
202001,0.44,-0.04
