Hillsborough County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.00,-0.50
200002,0.47,-2.42
200003,0.82,-2.42
200004,1.21,-1.10
200005,0.29,-3.21
200006,7.52,0.39
200007,8.80,0.35
200008,6.56,-1.87
200009,6.77,-0.01
200010,0.14,-2.79
200011,1.61,-0.23
200012,0.99,-1.26
200101,1.28,-1.22
200102,0.64,-2.25
200103,7.28,4.04
200104,0.14,-2.17
200105,0.51,-2.99
200106,8.27,1.14
200107,10.34,1.89
200108,7.83,-0.60
200109,13.56,6.78
200110,2.03,-0.90
200111,0.26,-1.58
200112,0.99,-1.26
200201,2.37,-0.13
200202,3.42,0.53
200203,0.75,-2.49
200204,2.00,-0.31
200205,2.52,-0.98
200206,10.56,3.43
200207,7.52,-0.93
200208,9.53,1.10
200209,5.59,-1.19
200210,3.60,0.67
200211,2.77,0.93
200212,11.32,9.07
200301,2.68,0.18
200302,2.64,-0.25
200303,5.15,1.91
200304,3.81,1.50
200305,3.61,0.11
200306,14.25,7.12
200307,6.38,-2.07
200308,11.99,3.56
200309,6.66,-0.12
200310,1.18,-1.75
200311,1.11,-0.73
200312,2.03,-0.22
200401,3.64,1.14
200402,4.42,1.53
200403,1.36,-1.88
200404,2.47,0.16
200405,1.96,-1.54
200406,9.30,2.17
200407,10.46,2.01
200408,13.68,5.25
200409,13.45,6.67
200410,1.20,-1.73
200411,1.28,-0.56
200412,1.89,-0.36
200501,1.49,-1.01
200502,2.04,-0.85
200503,4.49,1.25
200504,3.52,1.21
200505,4.11,0.61
200506,11.52,4.39
200507,7.22,-1.23
200508,6.55,-1.88
200509,2.37,-4.41
200510,5.68,2.75
200511,2.12,0.28
200512,1.53,-0.72
200601,0.70,-1.80
200602,3.48,0.59
200603,0.15,-3.09
200604,0.85,-1.46
200605,1.93,-1.57
200606,7.57,0.44
200607,8.15,-0.30
200608,7.80,-0.63
200609,8.63,1.85
200610,1.01,-1.92
200611,2.09,0.25
200612,2.66,0.41
200701,1.95,-0.55
200702,1.85,-1.04
200703,0.88,-2.36
200704,2.73,0.42
200705,0.80,-2.70
200706,6.33,-0.80
200707,8.08,-0.37
200708,8.98,0.55
200709,4.38,-2.40
200710,4.26,1.33
200711,0.16,-1.68
200712,1.17,-1.08
200801,3.46,0.96
200802,2.46,-0.43
200803,3.72,0.48
200804,3.76,1.45
200805,0.93,-2.57
200806,8.39,1.26
200807,10.44,1.99
200808,7.12,-1.31
200809,1.74,-5.04
200810,2.56,-0.37
200811,0.84,-1.00
200812,1.27,-0.98
200901,2.26,-0.24
200902,0.71,-2.18
200903,0.87,-2.37
200904,1.53,-0.78
200905,11.50,8.00
200906,7.96,0.83
200907,9.79,1.34
200908,8.13,-0.30
200909,7.39,0.61
200910,1.43,-1.50
200911,2.19,0.35
200912,3.33,1.08
201001,3.49,0.99
201002,2.40,-0.49
201003,7.54,4.30
201004,4.01,1.70
201005,2.52,-0.98
201006,4.53,-2.60
201007,7.22,-1.23
201008,10.86,2.43
201009,2.61,-4.17
201010,0.04,-2.89
201011,1.75,-0.09
201012,0.72,-1.53
201101,5.44,2.94
201102,0.75,-2.14
201103,8.15,4.91
201104,2.69,0.38
201105,1.74,-1.76
201106,4.41,-2.72
201107,8.19,-0.26
201108,9.81,1.38
201109,6.42,-0.36
201110,4.78,1.85
201111,1.05,-0.79
201112,0.38,-1.87
201201,1.13,-1.37
201202,1.19,-1.70
201203,0.88,-2.36
201204,1.87,-0.44
201205,3.27,-0.23
201206,16.55,9.42
201207,8.20,-0.25
201208,10.50,2.07
201209,5.34,-1.44
201210,3.99,1.06
201211,0.20,-1.64
201212,2.27,0.02
201301,0.53,-1.97
201302,1.10,-1.79
201303,1.67,-1.57
201304,3.85,1.54
201305,3.39,-0.11
201306,13.07,5.94
201307,9.85,1.40
201308,9.23,0.80
201309,7.11,0.33
201310,1.05,-1.88
201311,1.63,-0.21
201312,0.90,-1.35
201401,2.97,0.47
201402,1.84,-1.05
201403,5.73,2.49
201404,1.41,-0.90
201405,6.27,2.77
201406,4.85,-2.28
201407,9.67,1.22
201408,6.27,-2.16
201409,10.95,4.17
201410,1.98,-0.95
201411,5.56,3.72
201412,1.41,-0.84
201501,2.13,-0.37
201502,5.38,2.49
201503,1.59,-1.65
201504,3.55,1.24
201505,3.61,0.11
201506,5.99,-1.14
201507,11.36,2.91
201508,13.79,5.36
201509,5.24,-1.54
201510,1.63,-1.30
201511,2.33,0.49
201512,0.81,-1.44
201601,7.01,4.51
201602,2.28,-0.61
201603,2.49,-0.75
201604,1.60,-0.71
201605,4.56,1.06
201606,10.11,2.98
201607,6.13,-2.32
201608,11.80,3.37
201609,7.68,0.90
201610,2.72,-0.21
201611,0.07,-1.77
201612,0.49,-1.76
201701,1.45,-1.05
201702,1.57,-1.32
201703,0.74,-2.50
201704,0.65,-1.66
201705,2.36,-1.14
201706,11.81,4.68
201707,10.08,1.63
201708,10.11,1.68
201709,8.90,2.12
201710,3.05,0.12
201711,0.36,-1.48
201712,0.89,-1.36
201801,3.84,1.34
201802,1.54,-1.35
201803,0.90,-2.34
201804,2.84,0.53
201805,10.93,7.43
201806,6.55,-0.58
201807,9.93,1.48
201808,9.65,1.22
201809,5.31,-1.47
201810,1.22,-1.71
201811,1.22,-0.62
201812,7.87,5.62
201901,4.11,1.61
201902,2.33,-0.56
201903,1.70,-1.54
201904,2.37,0.06
201905,3.65,0.15
201906,10.00,2.87
201907,11.13,2.68
201908,12.43,4.00
201909,1.75,-5.03
201910,7.03,4.10
201911,1.23,-0.61
201912,3.73,1.48
202001,0.88,-1.62
