Craighead County, Arkansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.49,-1.83
200002,2.52,-1.26
200003,4.03,-0.86
200004,3.31,-1.55
200005,7.65,2.97
200006,4.47,0.75
200007,2.47,-0.92
200008,0.64,-2.73
200009,2.40,-1.03
200010,2.13,-1.16
200011,6.26,1.99
200012,2.74,-1.72
200101,2.13,-2.19
200102,7.43,3.65
200103,4.27,-0.62
200104,0.71,-4.15
200105,4.83,0.15
200106,2.48,-1.24
200107,3.00,-0.39
200108,1.61,-1.76
200109,2.62,-0.81
200110,5.09,1.80
200111,7.63,3.36
200112,9.65,5.19
200201,4.85,0.53
200202,2.96,-0.82
200203,7.36,2.47
200204,1.67,-3.19
200205,5.01,0.33
200206,2.77,-0.95
200207,3.56,0.17
200208,6.26,2.89
200209,5.36,1.93
200210,3.34,0.05
200211,1.73,-2.54
200212,6.93,2.47
200301,1.73,-2.59
200302,6.29,2.51
200303,2.11,-2.78
200304,4.10,-0.76
200305,11.04,6.36
200306,5.26,1.54
200307,5.23,1.84
200308,3.53,0.16
200309,2.76,-0.67
200310,3.60,0.31
200311,5.82,1.55
200312,3.37,-1.09
200401,2.75,-1.57
200402,2.60,-1.18
200403,3.91,-0.98
200404,7.49,2.63
200405,5.41,0.73
200406,3.20,-0.52
200407,4.68,1.29
200408,4.45,1.08
200409,0.03,-3.40
200410,5.58,2.29
200411,10.17,5.90
200412,3.83,-0.63
200501,4.71,0.39
200502,3.09,-0.69
200503,5.39,0.50
200504,5.90,1.04
200505,0.31,-4.37
200506,2.14,-1.58
200507,5.46,2.07
200508,4.09,0.72
200509,3.53,0.10
200510,0.12,-3.17
200511,2.80,-1.47
200512,0.46,-4.00
200601,4.04,-0.28
200602,2.23,-1.55
200603,4.43,-0.46
200604,3.64,-1.22
200605,3.45,-1.23
200606,2.65,-1.07
200607,4.63,1.24
200608,4.27,0.90
200609,6.57,3.14
200610,4.76,1.47
200611,4.09,-0.18
200612,4.88,0.42
200701,7.14,2.82
200702,2.74,-1.04
200703,1.54,-3.35
200704,4.19,-0.67
200705,2.61,-2.07
200706,2.59,-1.13
200707,4.01,0.62
200708,0.32,-3.05
200709,4.61,1.18
200710,6.96,3.67
200711,3.81,-0.46
200712,6.71,2.25
200801,1.93,-2.39
200802,3.88,0.10
200803,10.30,5.41
200804,7.49,2.63
200805,3.92,-0.76
200806,1.01,-2.71
200807,2.76,-0.63
200808,4.55,1.18
200809,4.05,0.62
200810,2.39,-0.90
200811,1.65,-2.62
200812,5.44,0.98
200901,3.04,-1.28
200902,4.35,0.57
200903,4.51,-0.38
200904,7.34,2.48
200905,8.74,4.06
200906,5.15,1.43
200907,7.86,4.47
200908,4.09,0.72
200909,6.82,3.39
200910,11.89,8.60
200911,1.07,-3.20
200912,9.28,4.82
201001,3.77,-0.55
201002,1.90,-1.88
201003,4.07,-0.82
201004,3.33,-1.53
201005,6.54,1.86
201006,0.87,-2.85
201007,5.17,1.78
201008,0.47,-2.90
201009,3.32,-0.11
201010,0.66,-2.63
201011,4.47,0.20
201012,2.10,-2.36
201101,1.24,-3.08
201102,5.54,1.76
201103,5.27,0.38
201104,8.43,3.57
201105,9.94,5.26
201106,1.92,-1.80
201107,3.22,-0.17
201108,2.71,-0.66
201109,3.11,-0.32
201110,2.88,-0.41
201111,10.65,6.38
201112,7.51,3.05
201201,2.84,-1.48
201202,2.49,-1.29
201203,4.85,-0.04
201204,1.39,-3.47
201205,1.74,-2.94
201206,2.01,-1.71
201207,1.55,-1.84
201208,3.03,-0.34
201209,5.92,2.49
201210,3.00,-0.29
201211,2.17,-2.10
201212,3.83,-0.63
201301,6.16,1.84
201302,4.78,1.00
201303,2.24,-2.65
201304,5.40,0.54
201305,9.61,4.93
201306,4.13,0.41
201307,3.98,0.59
201308,4.36,0.99
201309,1.48,-1.95
201310,4.40,1.11
201311,2.74,-1.53
201312,7.15,2.69
201401,2.24,-2.08
201402,2.98,-0.80
201403,5.15,0.26
201404,7.21,2.35
201405,5.48,0.80
201406,9.14,5.42
201407,2.33,-1.06
201408,1.95,-1.42
201409,1.95,-1.48
201410,4.35,1.06
201411,2.03,-2.24
201412,2.96,-1.50
201501,1.94,-2.38
201502,3.61,-0.17
201503,7.41,2.52
201504,6.16,1.30
201505,8.52,3.84
201506,2.79,-0.93
201507,6.24,2.85
201508,5.51,2.14
201509,2.15,-1.28
201510,3.49,0.20
201511,12.01,7.74
201512,6.87,2.41
201601,2.07,-2.25
201602,2.25,-1.53
201603,12.22,7.33
201604,4.78,-0.08
201605,9.32,4.64
201606,1.91,-1.81
201607,3.07,-0.32
201608,7.56,4.19
201609,2.53,-0.90
201610,1.58,-1.71
201611,3.59,-0.68
201612,4.66,0.20
201701,3.82,-0.50
201702,1.84,-1.94
201703,6.67,1.78
201704,8.94,4.08
201705,6.94,2.26
201706,4.07,0.35
201707,3.54,0.15
201708,5.53,2.16
201709,1.34,-2.09
201710,1.42,-1.87
201711,1.48,-2.79
201712,5.14,0.68
201801,2.68,-1.64
201802,13.07,9.29
201803,4.42,-0.47
201804,5.69,0.83
201805,5.14,0.46
201806,3.62,-0.10
201807,2.91,-0.48
201808,8.62,5.25
201809,7.44,4.01
201810,3.15,-0.14
201811,5.34,1.07
201812,6.31,1.85
201901,4.46,0.14
201902,12.10,8.32
201903,4.28,-0.61
201904,7.40,2.54
201905,7.93,3.25
201906,4.28,0.56
201907,5.19,1.80
201908,6.08,2.71
201909,2.32,-1.11
201910,7.10,3.81
201911,5.46,1.19
201912,2.91,-1.55
202001,6.50,2.18
