Cape Girardeau County, Missouri, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.23,-0.21
200002,4.62,1.72
200003,3.28,-0.94
200004,1.57,-2.88
200005,3.23,-1.32
200006,7.11,2.98
200007,2.25,-1.13
200008,2.56,-1.00
200009,3.40,-0.24
200010,1.57,-1.54
200011,4.96,1.24
200012,2.64,-0.86
200101,1.17,-2.27
200102,3.73,0.83
200103,2.55,-1.67
200104,1.85,-2.60
200105,4.20,-0.35
200106,2.86,-1.27
200107,9.32,5.94
200108,2.88,-0.68
200109,2.87,-0.77
200110,5.73,2.62
200111,4.38,0.66
200112,6.54,3.04
200201,3.42,-0.02
200202,3.08,0.18
200203,7.42,3.20
200204,6.37,1.92
200205,12.41,7.86
200206,3.68,-0.45
200207,1.45,-1.93
200208,4.76,1.20
200209,2.83,-0.81
200210,3.38,0.27
200211,2.04,-1.68
200212,6.41,2.91
200301,0.92,-2.52
200302,4.37,1.47
200303,1.81,-2.41
200304,4.51,0.06
200305,7.34,2.79
200306,5.74,1.61
200307,2.61,-0.77
200308,5.92,2.36
200309,3.96,0.32
200310,2.01,-1.10
200311,5.50,1.78
200312,2.25,-1.25
200401,2.32,-1.12
200402,1.18,-1.72
200403,5.14,0.92
200404,3.49,-0.96
200405,5.07,0.52
200406,2.80,-1.33
200407,5.54,2.16
200408,3.99,0.43
200409,0.34,-3.30
200410,4.21,1.10
200411,6.47,2.75
200412,2.36,-1.14
200501,4.80,1.36
200502,2.57,-0.33
200503,2.13,-2.09
200504,4.87,0.42
200505,2.20,-2.35
200506,2.21,-1.92
200507,7.60,4.22
200508,3.27,-0.29
200509,4.50,0.86
200510,0.82,-2.29
200511,7.94,4.22
200512,0.62,-2.88
200601,4.44,1.00
200602,2.19,-0.71
200603,9.07,4.85
200604,2.80,-1.65
200605,5.35,0.80
200606,2.31,-1.82
200607,5.25,1.87
200608,6.23,2.67
200609,4.28,0.64
200610,6.96,3.85
200611,4.06,0.34
200612,3.93,0.43
200701,4.30,0.86
200702,3.76,0.86
200703,1.71,-2.51
200704,3.13,-1.32
200705,3.93,-0.62
200706,2.68,-1.45
200707,2.37,-1.01
200708,0.76,-2.80
200709,3.51,-0.13
200710,5.79,2.68
200711,1.97,-1.75
200712,7.17,3.67
200801,1.75,-1.69
200802,6.60,3.70
200803,12.82,8.60
200804,7.39,2.94
200805,6.49,1.94
200806,2.13,-2.00
200807,5.51,2.13
200808,3.00,-0.56
200809,3.73,0.09
200810,2.71,-0.40
200811,2.40,-1.32
200812,3.75,0.25
200901,1.99,-1.45
200902,2.87,-0.03
200903,3.37,-0.85
200904,5.28,0.83
200905,5.45,0.90
200906,3.75,-0.38
200907,2.88,-0.50
200908,4.53,0.97
200909,2.62,-1.02
200910,11.57,8.46
200911,1.93,-1.79
200912,5.57,2.07
201001,2.81,-0.63
201002,2.45,-0.45
201003,5.40,1.18
201004,4.09,-0.36
201005,5.17,0.62
201006,1.87,-2.26
201007,4.69,1.31
201008,1.88,-1.68
201009,3.47,-0.17
201010,0.61,-2.50
201011,5.34,1.62
201012,1.11,-2.39
201101,0.97,-2.47
201102,4.18,1.28
201103,4.66,0.44
201104,17.27,12.82
201105,8.06,3.51
201106,4.45,0.32
201107,1.87,-1.51
201108,2.31,-1.25
201109,5.91,2.27
201110,1.67,-1.44
201111,9.14,5.42
201112,5.73,2.23
201201,3.15,-0.29
201202,2.08,-0.82
201203,3.88,-0.34
201204,1.53,-2.92
201205,1.03,-3.52
201206,1.38,-2.75
201207,2.99,-0.39
201208,1.06,-2.50
201209,6.48,2.84
201210,3.21,0.10
201211,1.79,-1.93
201212,1.85,-1.65
201301,4.71,1.27
201302,3.32,0.42
201303,3.26,-0.96
201304,4.59,0.14
201305,3.68,-0.87
201306,6.63,2.50
201307,2.91,-0.47
201308,3.95,0.39
201309,0.76,-2.88
201310,4.63,1.52
201311,2.85,-0.87
201312,5.56,2.06
201401,2.04,-1.40
201402,1.18,-1.72
201403,1.95,-2.27
201404,8.00,3.55
201405,5.76,1.21
201406,6.33,2.20
201407,2.80,-0.58
201408,3.31,-0.25
201409,1.66,-1.98
201410,4.62,1.51
201411,2.32,-1.40
201412,2.84,-0.66
201501,3.42,-0.02
201502,2.49,-0.41
201503,7.20,2.98
201504,3.92,-0.53
201505,6.89,2.34
201506,5.30,1.17
201507,8.48,5.10
201508,3.14,-0.42
201509,2.39,-1.25
201510,0.90,-2.21
201511,8.76,5.04
201512,6.29,2.79
201601,1.31,-2.13
201602,2.26,-0.64
201603,4.79,0.57
201604,4.36,-0.09
201605,7.66,3.11
201606,1.20,-2.93
201607,7.29,3.91
201608,9.93,6.37
201609,4.31,0.67
201610,1.12,-1.99
201611,2.81,-0.91
201612,2.32,-1.18
201701,2.15,-1.29
201702,0.92,-1.98
201703,3.60,-0.62
201704,11.00,6.55
201705,5.96,1.41
201706,3.59,-0.54
201707,2.31,-1.07
201708,2.13,-1.43
201709,1.82,-1.82
201710,2.90,-0.21
201711,2.60,-1.12
201712,2.42,-1.08
201801,2.25,-1.19
201802,8.72,5.82
201803,5.81,1.59
201804,4.74,0.29
201805,4.68,0.13
201806,6.14,2.01
201807,2.47,-0.91
201808,4.58,1.02
201809,4.54,0.90
201810,2.37,-0.74
201811,3.98,0.26
201812,4.94,1.44
201901,5.21,1.77
201902,6.85,3.95
201903,4.45,0.23
201904,6.07,1.62
201905,7.31,2.76
201906,6.06,1.93
201907,6.50,3.12
201908,2.43,-1.13
201909,1.73,-1.91
201910,7.55,4.44
201911,5.45,1.73
201912,2.14,-1.36
202001,6.71,3.27
