Union County, New Jersey, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.05,-0.48
200002,1.89,-1.28
200003,3.51,-0.45
200004,3.47,-0.46
200005,5.19,1.20
200006,3.79,0.01
200007,6.52,1.80
200008,5.57,0.96
200009,4.32,0.33
200010,0.73,-2.75
200011,3.40,-0.20
200012,4.38,0.60
200101,2.78,-0.75
200102,2.43,-0.74
200103,6.05,2.09
200104,1.82,-2.11
200105,3.16,-0.83
200106,5.76,1.98
200107,2.56,-2.16
200108,2.84,-1.77
200109,4.12,0.13
200110,0.75,-2.73
200111,1.01,-2.59
200112,2.35,-1.43
200201,1.92,-1.61
200202,0.72,-2.45
200203,3.95,-0.01
200204,3.90,-0.03
200205,4.55,0.56
200206,4.91,1.13
200207,1.37,-3.35
200208,4.17,-0.44
200209,4.53,0.54
200210,6.78,3.30
200211,4.85,1.25
200212,4.35,0.57
200301,2.96,-0.57
200302,4.63,1.46
200303,4.57,0.61
200304,2.93,-1.00
200305,3.89,-0.10
200306,9.47,5.69
200307,3.11,-1.61
200308,5.81,1.20
200309,6.44,2.45
200310,5.05,1.57
200311,3.92,0.32
200312,6.17,2.39
200401,2.28,-1.25
200402,2.43,-0.74
200403,3.13,-0.83
200404,5.34,1.41
200405,4.81,0.82
200406,3.07,-0.71
200407,9.15,4.43
200408,4.15,-0.46
200409,8.51,4.52
200410,1.48,-2.00
200411,4.56,0.96
200412,3.99,0.21
200501,4.66,1.13
200502,2.65,-0.52
200503,4.48,0.52
200504,3.99,0.06
200505,1.78,-2.21
200506,3.37,-0.41
200507,4.15,-0.57
200508,1.37,-3.24
200509,1.71,-2.28
200510,13.75,10.27
200511,4.30,0.70
200512,3.68,-0.10
200601,5.14,1.61
200602,2.06,-1.11
200603,0.81,-3.15
200604,3.82,-0.11
200605,3.66,-0.33
200606,7.86,4.08
200607,4.99,0.27
200608,3.79,-0.82
200609,4.59,0.60
200610,7.16,3.68
200611,5.88,2.28
200612,2.33,-1.45
200701,3.33,-0.20
200702,1.64,-1.53
200703,4.64,0.68
200704,10.76,6.83
200705,1.96,-2.03
200706,4.27,0.49
200707,6.64,1.92
200708,6.29,1.68
200709,1.27,-2.72
200710,5.15,1.67
200711,2.66,-0.94
200712,5.30,1.52
200801,2.14,-1.39
200802,5.72,2.55
200803,4.54,0.58
200804,2.68,-1.25
200805,4.32,0.33
200806,3.68,-0.10
200807,4.25,-0.47
200808,2.70,-1.91
200809,7.31,3.32
200810,3.27,-0.21
200811,2.96,-0.64
200812,6.43,2.65
200901,2.70,-0.83
200902,0.69,-2.48
200903,1.73,-2.23
200904,3.82,-0.11
200905,4.51,0.52
200906,7.31,3.53
200907,5.81,1.09
200908,6.38,1.77
200909,2.21,-1.78
200910,5.69,2.21
200911,1.47,-2.13
200912,6.99,3.21
201001,2.20,-1.33
201002,5.15,1.98
201003,10.63,6.67
201004,2.99,-0.94
201005,3.45,-0.54
201006,2.47,-1.31
201007,2.59,-2.13
201008,3.28,-1.33
201009,3.85,-0.14
201010,4.53,1.05
201011,2.24,-1.36
201012,4.19,0.41
201101,3.90,0.37
201102,3.24,0.07
201103,6.16,2.20
201104,6.25,2.32
201105,4.46,0.47
201106,3.48,-0.30
201107,2.80,-1.92
201108,18.18,13.57
201109,7.54,3.55
201110,5.32,1.84
201111,3.54,-0.06
201112,4.35,0.57
201201,2.90,-0.63
201202,1.09,-2.08
201203,1.41,-2.55
201204,2.98,-0.95
201205,4.64,0.65
201206,3.77,-0.01
201207,3.18,-1.54
201208,3.88,-0.73
201209,3.71,-0.28
201210,4.12,0.64
201211,1.35,-2.25
201212,5.31,1.53
201301,2.68,-0.85
201302,3.10,-0.07
201303,2.73,-1.23
201304,1.94,-1.99
201305,5.21,1.22
201306,8.45,4.67
201307,4.26,-0.46
201308,4.30,-0.31
201309,1.96,-2.03
201310,0.71,-2.77
201311,3.46,-0.14
201312,4.59,0.81
201401,2.82,-0.71
201402,4.91,1.74
201403,3.72,-0.24
201404,4.75,0.82
201405,6.10,2.11
201406,4.70,0.92
201407,6.37,1.65
201408,2.28,-2.33
201409,1.47,-2.52
201410,4.04,0.56
201411,4.26,0.66
201412,4.77,0.99
201501,4.49,0.96
201502,2.09,-1.08
201503,4.56,0.60
201504,2.26,-1.67
201505,2.61,-1.38
201506,6.84,3.06
201507,2.34,-2.38
201508,2.06,-2.55
201509,2.99,-1.00
201510,3.95,0.47
201511,1.81,-1.79
201512,4.75,0.97
201601,3.35,-0.18
201602,4.47,1.30
201603,1.42,-2.54
201604,1.71,-2.22
201605,3.94,-0.05
201606,2.56,-1.22
201607,6.49,1.77
201608,2.03,-2.58
201609,1.91,-2.08
201610,3.09,-0.39
201611,3.77,0.17
201612,3.28,-0.50
201701,4.30,0.77
201702,2.19,-0.98
201703,3.65,-0.31
201704,3.79,-0.14
201705,6.54,2.55
201706,4.15,0.37
201707,4.38,-0.34
201708,5.29,0.68
201709,1.94,-2.05
201710,5.10,1.62
201711,1.38,-2.22
201712,1.60,-2.18
201801,2.27,-1.26
201802,5.79,2.62
201803,4.73,0.77
201804,5.53,1.60
201805,4.49,0.50
201806,2.55,-1.23
201807,6.20,1.48
201808,5.94,1.33
201809,7.37,3.38
201810,3.07,-0.41
201811,8.07,4.47
201812,6.25,2.47
201901,4.09,0.56
201902,3.56,0.39
201903,3.41,-0.55
201904,4.08,0.15
201905,7.71,3.72
201906,5.57,1.79
201907,7.31,2.59
201908,5.00,0.39
201909,1.16,-2.83
201910,6.83,3.35
201911,1.93,-1.67
201912,5.94,2.16
202001,2.12,-1.41
