East Baton Rouge Parish, Louisiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.03,-2.48
200002,0.97,-4.10
200003,3.53,-1.65
200004,1.98,-3.11
200005,2.00,-3.09
200006,4.36,-0.58
200007,4.17,-2.22
200008,3.74,-1.94
200009,3.61,-0.67
200010,0.95,-2.41
200011,11.21,6.99
200012,3.48,-2.05
200101,4.48,-1.03
200102,2.40,-2.67
200103,9.63,4.45
200104,0.86,-4.23
200105,1.42,-3.67
200106,20.65,15.71
200107,5.13,-1.26
200108,6.28,0.60
200109,5.76,1.48
200110,5.22,1.86
200111,1.31,-2.91
200112,3.94,-1.59
200201,3.83,-1.68
200202,2.30,-2.77
200203,7.57,2.39
200204,5.37,0.28
200205,2.06,-3.03
200206,5.10,0.16
200207,5.68,-0.71
200208,4.59,-1.09
200209,8.10,3.82
200210,9.98,6.62
200211,4.18,-0.04
200212,7.00,1.47
200301,0.99,-4.52
200302,8.79,3.72
200303,3.14,-2.04
200304,5.64,0.55
200305,0.67,-4.42
200306,6.92,1.98
200307,7.19,0.80
200308,4.11,-1.57
200309,4.43,0.15
200310,2.01,-1.35
200311,6.09,1.87
200312,3.01,-2.52
200401,4.07,-1.44
200402,11.60,6.53
200403,2.23,-2.95
200404,3.86,-1.23
200405,13.83,8.74
200406,12.09,7.15
200407,3.13,-3.26
200408,2.73,-2.95
200409,1.51,-2.77
200410,9.38,6.02
200411,6.87,2.65
200412,3.29,-2.24
200501,3.57,-1.94
200502,6.12,1.05
200503,2.52,-2.66
200504,3.24,-1.85
200505,3.89,-1.20
200506,4.38,-0.56
200507,4.36,-2.03
200508,6.28,0.60
200509,8.18,3.90
200510,0.14,-3.22
200511,2.80,-1.42
200512,4.92,-0.61
200601,2.56,-2.95
200602,4.65,-0.42
200603,0.60,-4.58
200604,5.30,0.21
200605,1.76,-3.33
200606,1.31,-3.63
200607,6.47,0.08
200608,6.37,0.69
200609,2.71,-1.57
200610,9.67,6.31
200611,3.19,-1.03
200612,9.18,3.65
200701,7.36,1.85
200702,1.66,-3.41
200703,1.86,-3.32
200704,4.53,-0.56
200705,6.27,1.18
200706,5.04,0.10
200707,7.87,1.48
200708,2.51,-3.17
200709,5.04,0.76
200710,4.59,1.23
200711,2.74,-1.48
200712,3.58,-1.95
200801,7.90,2.39
200802,4.67,-0.40
200803,3.18,-2.00
200804,3.51,-1.58
200805,9.06,3.97
200806,3.63,-1.31
200807,3.26,-3.13
200808,9.90,4.22
200809,9.40,5.12
200810,0.85,-2.51
200811,1.79,-2.43
200812,5.66,0.13
200901,3.60,-1.91
200902,1.93,-3.14
200903,7.37,2.19
200904,3.80,-1.29
200905,3.79,-1.30
200906,0.85,-4.09
200907,5.21,-1.18
200908,3.82,-1.86
200909,4.93,0.65
200910,11.19,7.83
200911,1.09,-3.13
200912,15.48,9.95
201001,2.78,-2.73
201002,7.28,2.21
201003,2.80,-2.38
201004,1.02,-4.07
201005,4.83,-0.26
201006,5.89,0.95
201007,5.47,-0.92
201008,9.12,3.44
201009,1.61,-2.67
201010,1.57,-1.79
201011,5.58,1.36
201012,3.64,-1.89
201101,5.11,-0.40
201102,2.17,-2.90
201103,6.65,1.47
201104,1.61,-3.48
201105,0.50,-4.59
201106,4.01,-0.93
201107,7.91,1.52
201108,2.69,-2.99
201109,9.80,5.52
201110,0.53,-2.83
201111,5.32,1.10
201112,2.99,-2.54
201201,4.71,-0.80
201202,6.94,1.87
201203,6.82,1.64
201204,3.63,-1.46
201205,3.52,-1.57
201206,5.87,0.93
201207,8.53,2.14
201208,13.23,7.55
201209,4.67,0.39
201210,1.11,-2.25
201211,1.89,-2.33
201212,8.29,2.76
201301,15.67,10.16
201302,7.80,2.73
201303,2.02,-3.16
201304,8.23,3.14
201305,8.65,3.56
201306,4.25,-0.69
201307,5.16,-1.23
201308,4.53,-1.15
201309,6.65,2.37
201310,2.51,-0.85
201311,3.19,-1.03
201312,4.43,-1.10
201401,2.44,-3.07
201402,8.62,3.55
201403,2.66,-2.52
201404,4.04,-1.05
201405,11.26,6.17
201406,8.29,3.35
201407,7.23,0.84
201408,5.36,-0.32
201409,2.98,-1.30
201410,2.75,-0.61
201411,3.15,-1.07
201412,6.08,0.55
201501,5.50,-0.01
201502,3.06,-2.01
201503,5.20,0.02
201504,8.68,3.59
201505,6.99,1.90
201506,7.29,2.35
201507,5.33,-1.06
201508,3.91,-1.77
201509,3.00,-1.28
201510,10.58,7.22
201511,8.47,4.25
201512,5.69,0.16
201601,5.35,-0.16
201602,4.33,-0.74
201603,8.87,3.69
201604,3.99,-1.10
201605,7.37,2.28
201606,7.18,2.24
201607,6.44,0.05
201608,22.37,16.69
201609,3.06,-1.22
201610,0.42,-2.94
201611,2.17,-2.05
201612,7.14,1.61
201701,8.96,3.45
201702,2.22,-2.85
201703,5.33,0.15
201704,5.00,-0.09
201705,11.31,6.22
201706,9.27,4.33
201707,5.79,-0.60
201708,9.22,3.54
201709,0.56,-3.72
201710,3.78,0.42
201711,2.53,-1.69
201712,7.14,1.61
201801,6.92,1.41
201802,5.14,0.07
201803,4.50,-0.68
201804,4.47,-0.62
201805,2.73,-2.36
201806,4.98,0.04
201807,3.96,-2.43
201808,5.88,0.20
201809,5.79,1.51
201810,3.51,0.15
201811,5.13,0.91
201812,9.99,4.46
201901,3.69,-1.82
201902,3.19,-1.88
201903,1.83,-3.35
201904,8.55,3.46
201905,9.43,4.34
201906,7.80,2.86
201907,8.16,1.77
201908,6.09,0.41
201909,1.91,-2.37
201910,8.07,4.71
201911,1.38,-2.84
201912,3.26,-2.27
202001,5.35,-0.16
