Johnson County, Wyoming, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.90,0.25
200002,0.70,0.08
200003,0.70,-0.39
200004,1.81,-0.11
200005,3.13,0.57
200006,1.49,-0.76
200007,0.65,-0.71
200008,0.39,-0.58
200009,0.93,-0.34
200010,0.87,-0.27
200011,0.75,-0.04
200012,0.57,-0.09
200101,0.30,-0.35
200102,0.54,-0.08
200103,0.59,-0.50
200104,1.43,-0.49
200105,1.05,-1.51
200106,1.53,-0.72
200107,1.59,0.23
200108,0.36,-0.61
200109,1.01,-0.26
200110,1.39,0.25
200111,0.87,0.08
200112,0.25,-0.41
200201,0.40,-0.25
200202,0.47,-0.15
200203,1.08,-0.01
200204,1.45,-0.47
200205,1.67,-0.89
200206,0.58,-1.67
200207,1.59,0.23
200208,2.24,1.27
200209,1.10,-0.17
200210,1.06,-0.08
200211,0.82,0.03
200212,0.16,-0.50
200301,0.50,-0.15
200302,0.78,0.16
200303,1.82,0.73
200304,1.85,-0.07
200305,1.91,-0.65
200306,2.66,0.41
200307,0.46,-0.90
200308,0.87,-0.10
200309,1.43,0.16
200310,0.64,-0.50
200311,0.77,-0.02
200312,0.75,0.09
200401,0.22,-0.43
200402,1.05,0.43
200403,0.35,-0.74
200404,1.19,-0.73
200405,1.24,-1.32
200406,1.22,-1.03
200407,2.68,1.32
200408,0.77,-0.20
200409,1.57,0.30
200410,1.61,0.47
200411,0.40,-0.39
200412,0.35,-0.31
200501,0.47,-0.18
200502,0.38,-0.24
200503,1.00,-0.09
200504,2.55,0.63
200505,4.79,2.23
200506,1.93,-0.32
200507,1.12,-0.24
200508,1.14,0.17
200509,0.69,-0.58
200510,2.00,0.86
200511,0.63,-0.16
200512,0.47,-0.19
200601,0.27,-0.38
200602,0.56,-0.06
200603,0.95,-0.14
200604,0.83,-1.09
200605,1.89,-0.67
200606,0.69,-1.56
200607,0.79,-0.57
200608,0.78,-0.19
200609,1.89,0.62
200610,0.82,-0.32
200611,0.60,-0.19
200612,0.31,-0.35
200701,0.38,-0.27
200702,0.67,0.05
200703,2.11,1.02
200704,1.36,-0.56
200705,3.09,0.53
200706,2.05,-0.20
200707,2.10,0.74
200708,0.80,-0.17
200709,0.71,-0.56
200710,2.35,1.21
200711,0.31,-0.48
200712,0.70,0.04
200801,0.56,-0.09
200802,0.51,-0.11
200803,1.09,0.00
200804,1.00,-0.92
200805,6.47,3.91
200806,1.52,-0.73
200807,0.98,-0.38
200808,0.35,-0.62
200809,1.54,0.27
200810,1.39,0.25
200811,0.79,0.00
200812,0.73,0.07
200901,0.93,0.28
200902,0.39,-0.23
200903,1.45,0.36
200904,1.31,-0.61
200905,0.73,-1.83
200906,3.21,0.96
200907,2.09,0.73
200908,1.55,0.58
200909,0.65,-0.62
200910,1.69,0.55
200911,0.14,-0.65
200912,0.45,-0.21
201001,0.21,-0.44
201002,0.45,-0.17
201003,0.71,-0.38
201004,1.81,-0.11
201005,4.89,2.33
201006,2.07,-0.18
201007,1.15,-0.21
201008,0.77,-0.20
201009,0.30,-0.97
201010,0.61,-0.53
201011,0.68,-0.11
201012,0.79,0.13
201101,0.82,0.17
201102,0.48,-0.14
201103,1.21,0.12
201104,2.37,0.45
201105,6.62,4.06
201106,2.12,-0.13
201107,0.63,-0.73
201108,0.59,-0.38
201109,0.59,-0.68
201110,1.92,0.78
201111,1.23,0.44
201112,0.59,-0.07
201201,0.37,-0.28
201202,1.11,0.49
201203,0.31,-0.78
201204,1.55,-0.37
201205,2.29,-0.27
201206,0.67,-1.58
201207,1.12,-0.24
201208,0.21,-0.76
201209,0.18,-1.09
201210,0.89,-0.25
201211,1.25,0.46
201212,0.33,-0.33
201301,0.64,-0.01
201302,0.57,-0.05
201303,0.64,-0.45
201304,1.60,-0.32
201305,2.02,-0.54
201306,1.16,-1.09
201307,1.22,-0.14
201308,0.67,-0.30
201309,2.85,1.58
201310,3.07,1.93
201311,0.27,-0.52
201312,0.73,0.07
201401,0.59,-0.06
201402,0.90,0.28
201403,1.47,0.38
201404,1.37,-0.55
201405,1.94,-0.62
201406,2.99,0.74
201407,1.13,-0.23
201408,2.48,1.51
201409,1.23,-0.04
201410,0.57,-0.57
201411,1.09,0.30
201412,0.75,0.09
201501,0.44,-0.21
201502,1.06,0.44
201503,0.26,-0.83
201504,1.32,-0.60
201505,5.42,2.86
201506,2.79,0.54
201507,1.02,-0.34
201508,1.02,0.05
201509,0.16,-1.11
201510,0.70,-0.44
201511,0.59,-0.20
201512,0.46,-0.20
201601,0.35,-0.30
201602,0.61,-0.01
201603,1.37,0.28
201604,2.75,0.83
201605,1.97,-0.59
201606,0.85,-1.40
201607,0.77,-0.59
201608,0.86,-0.11
201609,3.07,1.80
201610,1.40,0.26
201611,0.60,-0.19
201612,1.05,0.39
201701,0.52,-0.13
201702,0.71,0.09
201703,1.80,0.71
201704,4.79,2.87
201705,2.09,-0.47
201706,1.75,-0.50
201707,0.73,-0.63
201708,0.64,-0.33
201709,1.54,0.27
201710,0.94,-0.20
201711,1.02,0.23
201712,0.66,0.00
201801,0.52,-0.13
201802,1.06,0.44
201803,1.36,0.27
201804,1.04,-0.88
201805,2.92,0.36
201806,2.42,0.17
201807,1.46,0.10
201808,0.97,0.00
201809,0.58,-0.69
201810,1.27,0.13
201811,0.83,0.04
201812,0.67,0.01
201901,0.47,-0.18
201902,0.34,-0.28
201903,0.69,-0.40
201904,1.74,-0.18
201905,5.70,3.14
201906,1.69,-0.56
201907,1.88,0.52
201908,1.17,0.20
201909,1.74,0.47
201910,1.60,0.46
201911,1.04,0.25
201912,0.33,-0.33
202001,0.45,-0.20
