St. Louis County, Minnesota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.59,-0.33
200002,0.80,0.09
200003,1.60,0.40
200004,1.57,-0.38
200005,2.90,-0.07
200006,4.95,0.97
200007,3.15,-0.71
200008,4.64,1.03
200009,1.92,-1.41
200010,2.51,0.30
200011,2.49,0.99
200012,0.57,-0.40
200101,0.70,-0.22
200102,1.80,1.09
200103,0.43,-0.77
200104,5.36,3.41
200105,4.77,1.80
200106,2.80,-1.18
200107,3.45,-0.41
200108,4.79,1.18
200109,1.35,-1.98
200110,3.21,1.00
200111,1.97,0.47
200112,0.73,-0.24
200201,0.26,-0.66
200202,0.32,-0.39
200203,0.93,-0.27
200204,1.19,-0.76
200205,1.78,-1.19
200206,6.06,2.08
200207,4.73,0.87
200208,4.52,0.91
200209,2.58,-0.75
200210,2.40,0.19
200211,0.43,-1.07
200212,0.63,-0.34
200301,0.18,-0.74
200302,0.29,-0.42
200303,0.63,-0.57
200304,1.43,-0.52
200305,2.64,-0.33
200306,3.61,-0.37
200307,4.39,0.53
200308,2.05,-1.56
200309,4.39,1.06
200310,1.44,-0.77
200311,1.15,-0.35
200312,0.60,-0.37
200401,1.06,0.14
200402,0.73,0.02
200403,1.38,0.18
200404,1.26,-0.69
200405,4.18,1.21
200406,1.61,-2.37
200407,3.22,-0.64
200408,2.79,-0.82
200409,4.49,1.16
200410,3.16,0.95
200411,0.41,-1.09
200412,1.61,0.64
200501,1.80,0.88
200502,0.59,-0.12
200503,0.59,-0.61
200504,1.16,-0.79
200505,4.40,1.43
200506,4.65,0.67
200507,1.91,-1.95
200508,2.07,-1.54
200509,2.79,-0.54
200510,3.54,1.33
200511,3.40,1.90
200512,1.10,0.13
200601,0.46,-0.46
200602,0.80,0.09
200603,1.56,0.36
200604,1.24,-0.71
200605,3.59,0.62
200606,2.56,-1.42
200607,3.07,-0.79
200608,2.24,-1.37
200609,1.92,-1.41
200610,1.64,-0.57
200611,0.98,-0.52
200612,1.07,0.10
200701,0.70,-0.22
200702,0.61,-0.10
200703,1.77,0.57
200704,2.36,0.41
200705,2.76,-0.21
200706,3.67,-0.31
200707,2.09,-1.77
200708,1.44,-2.17
200709,6.64,3.31
200710,5.18,2.97
200711,0.70,-0.80
200712,1.71,0.74
200801,0.27,-0.65
200802,0.32,-0.39
200803,0.49,-0.71
200804,3.71,1.76
200805,2.82,-0.15
200806,5.27,1.29
200807,2.77,-1.09
200808,1.54,-2.07
200809,4.31,0.98
200810,2.73,0.52
200811,1.74,0.24
200812,1.54,0.57
200901,0.82,-0.10
200902,1.04,0.33
200903,2.91,1.71
200904,1.83,-0.12
200905,2.11,-0.86
200906,2.52,-1.46
200907,3.15,-0.71
200908,4.14,0.53
200909,0.93,-2.40
200910,3.57,1.36
200911,1.33,-0.17
200912,1.38,0.41
201001,0.94,0.02
201002,0.18,-0.53
201003,0.65,-0.55
201004,0.62,-1.33
201005,2.88,-0.09
201006,3.89,-0.09
201007,4.56,0.70
201008,5.14,1.53
201009,4.41,1.08
201010,2.80,0.59
201011,1.62,0.12
201012,1.53,0.56
201101,1.37,0.45
201102,0.35,-0.36
201103,0.42,-0.78
201104,2.90,0.95
201105,2.54,-0.43
201106,4.42,0.44
201107,2.85,-1.01
201108,3.66,0.05
201109,1.48,-1.85
201110,1.39,-0.82
201111,0.68,-0.82
201112,0.36,-0.61
201201,0.60,-0.32
201202,0.92,0.21
201203,1.58,0.38
201204,3.23,1.28
201205,6.30,3.33
201206,6.90,2.92
201207,4.77,0.91
201208,1.87,-1.74
201209,0.98,-2.35
201210,2.17,-0.04
201211,1.63,0.13
201212,0.89,-0.08
201301,1.94,1.02
201302,1.04,0.33
201303,1.51,0.31
201304,3.29,1.34
201305,3.07,0.10
201306,4.76,0.78
201307,3.77,-0.09
201308,2.42,-1.19
201309,1.86,-1.47
201310,3.29,1.08
201311,0.94,-0.56
201312,2.22,1.25
201401,0.85,-0.07
201402,1.59,0.88
201403,1.24,0.04
201404,2.52,0.57
201405,4.21,1.24
201406,6.86,2.88
201407,3.28,-0.58
201408,2.46,-1.15
201409,2.45,-0.88
201410,1.53,-0.68
201411,0.86,-0.64
201412,0.99,0.02
201501,0.80,-0.12
201502,0.47,-0.24
201503,0.71,-0.49
201504,1.18,-0.77
201505,4.48,1.51
201506,3.80,-0.18
201507,2.40,-1.46
201508,4.40,0.79
201509,4.90,1.57
201510,2.46,0.25
201511,2.92,1.42
201512,2.62,1.65
201601,1.01,0.09
201602,1.38,0.67
201603,3.45,2.25
201604,2.18,0.23
201605,1.70,-1.27
201606,5.70,1.72
201607,3.94,0.08
201608,4.46,0.85
201609,4.41,1.08
201610,1.49,-0.72
201611,2.23,0.73
201612,1.66,0.69
201701,1.18,0.26
201702,1.71,1.00
201703,1.06,-0.14
201704,2.54,0.59
201705,3.10,0.13
201706,4.45,0.47
201707,2.43,-1.43
201708,6.28,2.67
201709,4.91,1.58
201710,2.75,0.54
201711,1.06,-0.44
201712,1.02,0.05
201801,0.68,-0.24
201802,1.40,0.69
201803,0.37,-0.83
201804,0.78,-1.17
201805,2.24,-0.73
201806,4.97,0.99
201807,4.03,0.17
201808,1.94,-1.67
201809,4.46,1.13
201810,4.24,2.03
201811,1.22,-0.28
201812,1.53,0.56
201901,0.77,-0.15
201902,1.61,0.90
201903,1.11,-0.09
201904,2.04,0.09
201905,2.51,-0.46
201906,3.23,-0.75
201907,3.46,-0.40
201908,3.04,-0.57
201909,5.71,2.38
201910,3.91,1.70
201911,1.37,-0.13
201912,2.02,1.05
202001,1.00,0.08
