Anchorage Municipality, Alaska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,8.94,3.20
200002,4.78,0.28
200003,6.12,1.80
200004,4.38,-1.56
200005,2.45,-2.00
200006,3.41,-0.22
200007,6.85,2.38
200008,4.26,-1.76
200009,6.54,-1.77
200010,7.59,-0.76
200011,6.96,1.24
200012,8.80,2.31
200101,13.56,7.82
200102,5.26,0.76
200103,6.31,1.99
200104,5.24,-0.70
200105,4.52,0.07
200106,0.97,-2.66
200107,5.72,1.25
200108,7.36,1.34
200109,7.14,-1.17
200110,7.02,-1.33
200111,3.76,-1.96
200112,7.93,1.44
200201,7.53,1.79
200202,4.11,-0.39
200203,3.14,-1.18
200204,2.74,-3.20
200205,1.63,-2.82
200206,2.94,-0.69
200207,2.89,-1.58
200208,7.60,1.58
200209,8.98,0.67
200210,18.30,9.95
200211,12.48,6.76
200212,5.64,-0.85
200301,4.05,-1.69
200302,7.72,3.22
200303,2.20,-2.12
200304,2.65,-3.29
200305,5.01,0.56
200306,3.49,-0.14
200307,3.96,-0.51
200308,7.76,1.74
200309,4.03,-4.28
200310,12.91,4.56
200311,4.82,-0.90
200312,8.56,2.07
200401,3.49,-2.25
200402,5.44,0.94
200403,3.96,-0.36
200404,8.73,2.79
200405,2.59,-1.86
200406,2.03,-1.60
200407,3.23,-1.24
200408,3.54,-2.48
200409,9.93,1.62
200410,7.50,-0.85
200411,8.82,3.10
200412,7.77,1.28
200501,4.05,-1.69
200502,4.39,-0.11
200503,6.49,2.17
200504,4.26,-1.68
200505,5.88,1.43
200506,3.32,-0.31
200507,6.74,2.27
200508,4.65,-1.37
200509,10.05,1.74
200510,5.45,-2.90
200511,4.39,-1.33
200512,10.52,4.03
200601,2.46,-3.28
200602,7.75,3.25
200603,3.01,-1.31
200604,5.50,-0.44
200605,3.80,-0.65
200606,4.08,0.45
200607,3.90,-0.57
200608,14.51,8.49
200609,8.85,0.54
200610,7.82,-0.53
200611,0.67,-5.05
200612,11.17,4.68
200701,6.84,1.10
200702,0.75,-3.75
200703,1.17,-3.15
200704,7.05,1.11
200705,4.59,0.14
200706,4.57,0.94
200707,3.90,-0.57
200708,5.07,-0.95
200709,8.61,0.30
200710,6.79,-1.56
200711,12.67,6.95
200712,4.27,-2.22
200801,3.63,-2.11
200802,6.99,2.49
200803,6.50,2.18
200804,7.63,1.69
200805,5.70,1.25
200806,2.68,-0.95
200807,6.10,1.63
200808,2.97,-3.05
200809,12.02,3.71
200810,6.90,-1.45
200811,6.11,0.39
200812,3.64,-2.85
200901,6.27,0.53
200902,2.13,-2.37
200903,4.75,0.43
200904,2.35,-3.59
200905,2.74,-1.71
200906,3.28,-0.35
200907,5.71,1.24
200908,4.93,-1.09
200909,6.49,-1.82
200910,7.04,-1.31
200911,5.99,0.27
200912,6.23,-0.26
201001,1.99,-3.75
201002,7.73,3.23
201003,7.07,2.75
201004,8.09,2.15
201005,2.94,-1.51
201006,2.88,-0.75
201007,7.68,3.21
201008,4.65,-1.37
201009,2.52,-5.79
201010,9.64,1.29
201011,8.56,2.84
201012,2.59,-3.90
201101,4.59,-1.15
201102,3.63,-0.87
201103,2.00,-2.32
201104,4.77,-1.17
201105,3.11,-1.34
201106,2.21,-1.42
201107,4.03,-0.44
201108,10.79,4.77
201109,15.68,7.37
201110,12.86,4.51
201111,4.80,-0.92
201112,10.30,3.81
201201,4.10,-1.64
201202,9.67,5.17
201203,2.70,-1.62
201204,3.19,-2.75
201205,6.69,2.24
201206,2.61,-1.02
201207,5.62,1.15
201208,5.05,-0.97
201209,20.79,12.48
201210,5.66,-2.69
201211,1.34,-4.38
201212,6.82,0.33
201301,8.57,2.83
201302,6.30,1.80
201303,3.90,-0.42
201304,3.41,-2.53
201305,6.39,1.94
201306,0.69,-2.94
201307,2.38,-2.09
201308,9.01,2.99
201309,12.07,3.76
201310,13.74,5.39
201311,4.47,-1.25
201312,3.40,-3.09
201401,9.37,3.63
201402,2.35,-2.15
201403,3.79,-0.53
201404,1.65,-4.29
201405,3.16,-1.29
201406,7.54,3.91
201407,6.26,1.79
201408,9.38,3.36
201409,9.03,0.72
201410,4.41,-3.94
201411,5.26,-0.46
201412,6.50,0.01
201501,3.81,-1.93
201502,2.86,-1.64
201503,3.69,-0.63
201504,7.94,2.00
201505,3.31,-1.14
201506,5.27,1.64
201507,4.87,0.40
201508,3.45,-2.57
201509,13.11,4.80
201510,7.29,-1.06
201511,7.23,1.51
201512,2.67,-3.82
201601,7.79,2.05
201602,9.45,4.95
201603,5.33,1.01
201604,4.71,-1.23
201605,3.13,-1.32
201606,3.34,-0.29
201607,3.97,-0.50
201608,8.49,2.47
201609,8.92,0.61
201610,3.03,-5.32
201611,4.59,-1.13
201612,2.80,-3.69
201701,6.12,0.38
201702,3.93,-0.57
201703,2.15,-2.17
201704,3.35,-2.59
201705,5.43,0.98
201706,3.05,-0.58
201707,3.15,-1.32
201708,9.33,3.31
201709,10.07,1.76
201710,8.85,0.50
201711,2.14,-3.58
201712,7.72,1.23
201801,5.66,-0.08
201802,4.07,-0.43
201803,3.48,-0.84
201804,3.95,-1.99
201805,8.16,3.71
201806,4.87,1.24
201807,2.81,-1.66
201808,8.66,2.64
201809,2.55,-5.76
201810,15.59,7.24
201811,7.91,2.19
201812,8.09,1.60
201901,3.29,-2.45
201902,2.62,-1.88
201903,7.02,2.70
201904,6.81,0.87
201905,6.84,2.39
201906,0.64,-2.99
201907,1.78,-2.69
201908,0.43,-5.59
201909,10.19,1.88
201910,9.19,0.84
201911,7.61,1.89
201912,8.26,1.77
202001,2.68,-3.06
