Houghton County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.09,0.23
200002,1.11,-0.29
200003,2.92,1.18
200004,1.51,-0.54
200005,1.40,-1.60
200006,3.84,0.36
200007,2.36,-0.98
200008,1.52,-1.69
200009,2.07,-1.30
200010,1.48,-1.12
200011,2.31,-0.23
200012,1.93,0.08
200101,1.68,-0.18
200102,2.18,0.78
200103,1.22,-0.52
200104,5.41,3.36
200105,3.13,0.13
200106,3.04,-0.44
200107,4.84,1.50
200108,2.54,-0.67
200109,2.21,-1.16
200110,3.23,0.63
200111,2.46,-0.08
200112,1.75,-0.10
200201,0.66,-1.20
200202,1.74,0.34
200203,2.33,0.59
200204,3.96,1.91
200205,2.31,-0.69
200206,2.97,-0.51
200207,3.24,-0.10
200208,3.24,0.03
200209,5.58,2.21
200210,4.65,2.05
200211,1.27,-1.27
200212,0.80,-1.05
200301,1.27,-0.59
200302,1.10,-0.30
200303,1.71,-0.03
200304,1.97,-0.08
200305,4.27,1.27
200306,1.76,-1.72
200307,4.14,0.80
200308,1.78,-1.43
200309,3.44,0.07
200310,2.38,-0.22
200311,2.60,0.06
200312,1.43,-0.42
200401,1.92,0.06
200402,1.35,-0.05
200403,1.97,0.23
200404,2.97,0.92
200405,3.78,0.78
200406,1.94,-1.54
200407,2.76,-0.58
200408,2.94,-0.27
200409,1.70,-1.67
200410,3.59,0.99
200411,1.37,-1.17
200412,1.94,0.09
200501,1.46,-0.40
200502,1.37,-0.03
200503,1.51,-0.23
200504,1.31,-0.74
200505,3.18,0.18
200506,4.62,1.14
200507,1.64,-1.70
200508,1.17,-2.04
200509,2.92,-0.45
200510,5.53,2.93
200511,3.09,0.55
200512,1.37,-0.48
200601,1.34,-0.52
200602,1.34,-0.06
200603,1.51,-0.23
200604,0.98,-1.07
200605,3.78,0.78
200606,1.81,-1.67
200607,3.89,0.55
200608,1.66,-1.55
200609,2.16,-1.21
200610,2.39,-0.21
200611,1.08,-1.46
200612,1.72,-0.13
200701,1.25,-0.61
200702,0.97,-0.43
200703,1.39,-0.35
200704,2.01,-0.04
200705,2.00,-1.00
200706,2.35,-1.13
200707,1.37,-1.97
200708,1.58,-1.63
200709,8.27,4.90
200710,6.83,4.23
200711,1.45,-1.09
200712,1.65,-0.20
200801,1.84,-0.02
200802,0.85,-0.55
200803,0.90,-0.84
200804,3.16,1.11
200805,2.72,-0.28
200806,2.66,-0.82
200807,4.09,0.75
200808,1.05,-2.16
200809,3.27,-0.10
200810,1.88,-0.72
200811,1.93,-0.61
200812,1.80,-0.05
200901,1.89,0.03
200902,1.40,0.00
200903,0.69,-1.05
200904,3.32,1.27
200905,1.37,-1.63
200906,3.76,0.28
200907,2.31,-1.03
200908,5.59,2.38
200909,2.14,-1.23
200910,5.03,2.43
200911,1.20,-1.34
200912,1.94,0.09
201001,1.45,-0.41
201002,1.43,0.03
201003,0.20,-1.54
201004,0.78,-1.27
201005,1.63,-1.37
201006,4.96,1.48
201007,3.37,0.03
201008,3.47,0.26
201009,7.08,3.71
201010,1.60,-1.00
201011,2.30,-0.24
201012,1.68,-0.17
201101,2.18,0.32
201102,0.82,-0.58
201103,0.80,-0.94
201104,2.89,0.84
201105,3.11,0.11
201106,3.74,0.26
201107,1.66,-1.68
201108,3.00,-0.21
201109,3.55,0.18
201110,2.46,-0.14
201111,1.57,-0.97
201112,1.13,-0.72
201201,2.20,0.34
201202,0.82,-0.58
201203,1.50,-0.24
201204,1.58,-0.47
201205,3.31,0.31
201206,3.57,0.09
201207,3.98,0.64
201208,1.61,-1.60
201209,3.15,-0.22
201210,4.36,1.76
201211,2.33,-0.21
201212,0.87,-0.98
201301,1.94,0.08
201302,1.48,0.08
201303,1.85,0.11
201304,4.29,2.24
201305,3.91,0.91
201306,3.75,0.27
201307,6.09,2.75
201308,2.17,-1.04
201309,1.42,-1.95
201310,3.40,0.80
201311,3.30,0.76
201312,1.73,-0.12
201401,2.03,0.17
201402,1.84,0.44
201403,1.41,-0.33
201404,3.24,1.19
201405,2.96,-0.04
201406,4.30,0.82
201407,3.94,0.60
201408,3.72,0.51
201409,3.59,0.22
201410,4.27,1.67
201411,2.95,0.41
201412,1.83,-0.02
201501,1.25,-0.61
201502,0.68,-0.72
201503,1.07,-0.67
201504,1.97,-0.08
201505,3.35,0.35
201506,2.51,-0.97
201507,2.29,-1.05
201508,2.95,-0.26
201509,1.83,-1.54
201510,2.67,0.07
201511,2.53,-0.01
201512,3.35,1.50
201601,1.73,-0.13
201602,1.84,0.44
201603,1.82,0.08
201604,2.63,0.58
201605,3.38,0.38
201606,3.91,0.43
201607,3.96,0.62
201608,4.88,1.67
201609,5.55,2.18
201610,2.62,0.02
201611,1.78,-0.76
201612,2.17,0.32
201701,1.97,0.11
201702,2.07,0.67
201703,1.00,-0.74
201704,3.74,1.69
201705,3.89,0.89
201706,5.06,1.58
201707,1.67,-1.67
201708,5.70,2.49
201709,3.12,-0.25
201710,6.77,4.17
201711,2.17,-0.37
201712,2.42,0.57
201801,2.26,0.40
201802,1.24,-0.16
201803,0.75,-0.99
201804,1.11,-0.94
201805,1.99,-1.01
201806,4.48,1.00
201807,3.67,0.33
201808,4.39,1.18
201809,4.38,1.01
201810,5.11,2.51
201811,2.42,-0.12
201812,1.35,-0.50
201901,1.73,-0.13
201902,3.45,2.05
201903,1.33,-0.41
201904,3.94,1.89
201905,3.04,0.04
201906,1.22,-2.26
201907,3.17,-0.17
201908,2.58,-0.63
201909,4.62,1.25
201910,3.95,1.35
201911,2.30,-0.24
201912,2.85,1.00
202001,2.66,0.80
