Bonneville County, Idaho, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.01,0.58
200002,2.35,0.35
200003,1.74,-0.14
200004,1.52,-0.06
200005,1.80,-0.31
200006,0.61,-1.07
200007,0.49,-0.45
200008,0.68,-0.37
200009,0.75,-0.47
200010,2.44,1.07
200011,1.20,-0.63
200012,1.68,-0.55
200101,1.05,-1.38
200102,1.42,-0.58
200103,0.89,-0.99
200104,1.28,-0.30
200105,0.65,-1.46
200106,1.01,-0.67
200107,1.10,0.16
200108,0.22,-0.83
200109,0.80,-0.42
200110,1.29,-0.08
200111,1.99,0.16
200112,2.86,0.63
200201,1.83,-0.60
200202,0.63,-1.37
200203,1.54,-0.34
200204,2.14,0.56
200205,1.58,-0.53
200206,0.97,-0.71
200207,1.11,0.17
200208,0.29,-0.76
200209,2.24,1.02
200210,1.08,-0.29
200211,1.57,-0.26
200212,2.05,-0.18
200301,2.15,-0.28
200302,1.69,-0.31
200303,1.63,-0.25
200304,1.77,0.19
200305,1.22,-0.89
200306,0.69,-0.99
200307,0.22,-0.72
200308,1.29,0.24
200309,0.97,-0.25
200310,0.65,-0.72
200311,2.23,0.40
200312,2.96,0.73
200401,2.26,-0.17
200402,1.64,-0.36
200403,0.77,-1.11
200404,1.67,0.09
200405,2.68,0.57
200406,2.93,1.25
200407,1.00,0.06
200408,2.05,1.00
200409,1.26,0.04
200410,3.02,1.65
200411,0.76,-1.07
200412,1.74,-0.49
200501,1.62,-0.81
200502,1.15,-0.85
200503,1.79,-0.09
200504,1.67,0.09
200505,4.04,1.93
200506,2.94,1.26
200507,0.42,-0.52
200508,1.03,-0.02
200509,1.71,0.49
200510,1.98,0.61
200511,1.80,-0.03
200512,3.70,1.47
200601,3.84,1.41
200602,1.84,-0.16
200603,2.59,0.71
200604,2.58,1.00
200605,1.12,-0.99
200606,1.35,-0.33
200607,0.48,-0.46
200608,0.79,-0.26
200609,2.57,1.35
200610,2.49,1.12
200611,1.93,0.10
200612,2.18,-0.05
200701,0.96,-1.47
200702,2.05,0.05
200703,0.73,-1.15
200704,1.52,-0.06
200705,0.52,-1.59
200706,1.01,-0.67
200707,0.57,-0.37
200708,1.07,0.02
200709,1.57,0.35
200710,2.99,1.62
200711,1.45,-0.38
200712,2.42,0.19
200801,2.93,0.50
200802,2.13,0.13
200803,1.71,-0.17
200804,0.77,-0.81
200805,2.41,0.30
200806,1.04,-0.64
200807,0.27,-0.67
200808,1.13,0.08
200809,0.52,-0.70
200810,1.17,-0.20
200811,2.87,1.04
200812,3.22,0.99
200901,2.79,0.36
200902,1.37,-0.63
200903,2.16,0.28
200904,2.39,0.81
200905,1.58,-0.53
200906,5.69,4.01
200907,0.67,-0.27
200908,1.37,0.32
200909,0.55,-0.67
200910,1.83,0.46
200911,0.43,-1.40
200912,1.25,-0.98
201001,2.32,-0.11
201002,0.76,-1.24
201003,1.39,-0.49
201004,3.04,1.46
201005,2.27,0.16
201006,2.61,0.93
201007,0.73,-0.21
201008,1.37,0.32
201009,0.57,-0.65
201010,2.09,0.72
201011,3.15,1.32
201012,3.40,1.17
201101,2.72,0.29
201102,1.32,-0.68
201103,3.04,1.16
201104,2.93,1.35
201105,3.20,1.09
201106,2.03,0.35
201107,0.41,-0.53
201108,1.94,0.89
201109,0.29,-0.93
201110,2.27,0.90
201111,1.82,-0.01
201112,1.60,-0.63
201201,2.54,0.11
201202,1.53,-0.47
201203,1.55,-0.33
201204,1.56,-0.02
201205,1.66,-0.45
201206,0.18,-1.50
201207,1.09,0.15
201208,0.46,-0.59
201209,0.79,-0.43
201210,2.24,0.87
201211,2.12,0.29
201212,3.25,1.02
201301,1.59,-0.84
201302,1.01,-0.99
201303,1.47,-0.41
201304,1.83,0.25
201305,1.68,-0.43
201306,0.40,-1.28
201307,0.82,-0.12
201308,0.73,-0.32
201309,2.67,1.45
201310,1.66,0.29
201311,1.14,-0.69
201312,1.67,-0.56
201401,1.84,-0.59
201402,3.64,1.64
201403,3.42,1.54
201404,1.91,0.33
201405,0.78,-1.33
201406,1.15,-0.53
201407,0.40,-0.54
201408,3.90,2.85
201409,2.91,1.69
201410,0.37,-1.00
201411,2.60,0.77
201412,2.71,0.48
201501,1.73,-0.70
201502,1.48,-0.52
201503,0.60,-1.28
201504,1.52,-0.06
201505,5.01,2.90
201506,1.02,-0.66
201507,1.81,0.87
201508,1.58,0.53
201509,1.86,0.64
201510,1.81,0.44
201511,2.26,0.43
201512,2.60,0.37
201601,2.96,0.53
201602,0.78,-1.22
201603,2.97,1.09
201604,1.68,0.10
201605,2.45,0.34
201606,0.43,-1.25
201607,0.35,-0.59
201608,0.27,-0.78
201609,2.84,1.62
201610,5.07,3.70
201611,1.18,-0.65
201612,3.66,1.43
201701,3.14,0.71
201702,3.99,1.99
201703,1.69,-0.19
201704,3.49,1.91
201705,0.72,-1.39
201706,1.65,-0.03
201707,0.78,-0.16
201708,0.39,-0.66
201709,2.99,1.77
201710,0.94,-0.43
201711,2.73,0.90
201712,1.69,-0.54
201801,1.97,-0.46
201802,1.55,-0.45
201803,3.21,1.33
201804,3.16,1.58
201805,2.92,0.81
201806,1.95,0.27
201807,0.50,-0.44
201808,0.90,-0.15
201809,0.05,-1.17
201810,1.28,-0.09
201811,2.27,0.44
201812,1.81,-0.42
201901,1.94,-0.49
201902,4.76,2.76
201903,1.10,-0.78
201904,2.71,1.13
201905,3.34,1.23
201906,1.30,-0.38
201907,0.88,-0.06
201908,0.67,-0.38
201909,2.84,1.62
201910,1.13,-0.24
201911,0.81,-1.02
201912,1.61,-0.62
202001,3.73,1.30
