Elkhart County, Indiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.70,-0.30
200002,1.67,-0.01
200003,1.88,-0.69
200004,3.28,-0.16
200005,4.76,1.07
200006,6.25,2.38
200007,2.34,-1.06
200008,3.10,-0.41
200009,3.65,0.32
200010,2.24,-0.64
200011,3.27,0.69
200012,2.80,0.49
200101,0.93,-1.07
200102,3.97,2.29
200103,0.66,-1.91
200104,3.74,0.30
200105,4.19,0.50
200106,3.91,0.04
200107,4.39,0.99
200108,6.08,2.57
200109,3.87,0.54
200110,7.10,4.22
200111,2.46,-0.12
200112,2.09,-0.22
200201,2.67,0.67
200202,1.91,0.23
200203,2.67,0.10
200204,4.06,0.62
200205,5.83,2.14
200206,2.78,-1.09
200207,3.17,-0.23
200208,2.50,-1.01
200209,1.22,-2.11
200210,1.79,-1.09
200211,1.88,-0.70
200212,1.67,-0.64
200301,0.89,-1.11
200302,0.89,-0.79
200303,1.84,-0.73
200304,3.30,-0.14
200305,7.04,3.35
200306,1.39,-2.48
200307,5.72,2.32
200308,3.71,0.20
200309,5.02,1.69
200310,2.42,-0.46
200311,4.51,1.93
200312,2.91,0.60
200401,1.31,-0.69
200402,0.63,-1.05
200403,2.78,0.21
200404,0.36,-3.08
200405,7.55,3.86
200406,5.59,1.72
200407,5.71,2.31
200408,4.74,1.23
200409,0.93,-2.40
200410,1.78,-1.10
200411,4.43,1.85
200412,2.66,0.35
200501,5.49,3.49
200502,2.44,0.76
200503,1.81,-0.76
200504,0.93,-2.51
200505,1.41,-2.28
200506,2.46,-1.41
200507,5.43,2.03
200508,3.77,0.26
200509,4.98,1.65
200510,0.88,-2.00
200511,2.69,0.11
200512,1.93,-0.38
200601,3.19,1.19
200602,1.31,-0.37
200603,3.29,0.72
200604,1.88,-1.56
200605,4.94,1.25
200606,2.27,-1.60
200607,8.19,4.79
200608,3.39,-0.12
200609,2.33,-1.00
200610,5.01,2.13
200611,2.79,0.21
200612,3.69,1.38
200701,3.54,1.54
200702,1.15,-0.53
200703,2.15,-0.42
200704,4.47,1.03
200705,2.01,-1.68
200706,2.87,-1.00
200707,3.25,-0.15
200708,10.56,7.05
200709,1.62,-1.71
200710,3.97,1.09
200711,3.09,0.51
200712,4.30,1.99
200801,5.41,3.41
200802,4.42,2.74
200803,2.44,-0.13
200804,2.43,-1.01
200805,3.18,-0.51
200806,4.58,0.71
200807,3.32,-0.08
200808,1.25,-2.26
200809,8.46,5.13
200810,2.96,0.08
200811,1.57,-1.01
200812,4.42,2.11
200901,1.36,-0.64
200902,3.25,1.57
200903,4.77,2.20
200904,4.99,1.55
200905,4.15,0.46
200906,3.69,-0.18
200907,3.29,-0.11
200908,7.11,3.60
200909,1.28,-2.05
200910,5.54,2.66
200911,1.56,-1.02
200912,2.81,0.50
201001,1.18,-0.82
201002,1.34,-0.34
201003,1.81,-0.76
201004,3.32,-0.12
201005,5.84,2.15
201006,5.47,1.60
201007,3.63,0.23
201008,0.83,-2.68
201009,2.62,-0.71
201010,0.97,-1.91
201011,2.94,0.36
201012,1.56,-0.75
201101,1.13,-0.87
201102,2.74,1.06
201103,2.45,-0.12
201104,7.15,3.71
201105,6.59,2.90
201106,3.13,-0.74
201107,3.76,0.36
201108,2.42,-1.09
201109,5.74,2.41
201110,4.85,1.97
201111,4.85,2.27
201112,2.93,0.62
201201,2.74,0.74
201202,2.10,0.42
201203,1.99,-0.58
201204,2.00,-1.44
201205,1.94,-1.75
201206,1.15,-2.72
201207,4.55,1.15
201208,4.28,0.77
201209,2.19,-1.14
201210,3.43,0.55
201211,0.53,-2.05
201212,2.97,0.66
201301,4.44,2.44
201302,1.90,0.22
201303,1.15,-1.42
201304,6.97,3.53
201305,2.55,-1.14
201306,6.07,2.20
201307,2.45,-0.95
201308,2.34,-1.17
201309,2.51,-0.82
201310,3.77,0.89
201311,2.71,0.13
201312,2.60,0.29
201401,2.21,0.21
201402,2.67,0.99
201403,1.30,-1.27
201404,3.40,-0.04
201405,4.19,0.50
201406,5.90,2.03
201407,2.58,-0.82
201408,3.66,0.15
201409,3.01,-0.32
201410,3.85,0.97
201411,3.11,0.53
201412,1.71,-0.60
201501,1.66,-0.34
201502,1.61,-0.07
201503,0.66,-1.91
201504,2.42,-1.02
201505,4.93,1.24
201506,5.52,1.65
201507,6.25,2.85
201508,3.47,-0.04
201509,3.05,-0.28
201510,1.50,-1.38
201511,2.00,-0.58
201512,5.03,2.72
201601,1.41,-0.59
201602,1.45,-0.23
201603,3.43,0.86
201604,3.35,-0.09
201605,2.77,-0.92
201606,4.28,0.41
201607,2.29,-1.11
201608,6.36,2.85
201609,4.10,0.77
201610,4.27,1.39
201611,3.06,0.48
201612,1.78,-0.53
201701,3.40,1.40
201702,2.10,0.42
201703,3.44,0.87
201704,2.93,-0.51
201705,5.98,2.29
201706,2.30,-1.57
201707,3.83,0.43
201708,2.95,-0.56
201709,2.39,-0.94
201710,5.09,2.21
201711,4.56,1.98
201712,0.91,-1.40
201801,1.38,-0.62
201802,7.10,5.42
201803,2.02,-0.55
201804,3.03,-0.41
201805,6.15,2.46
201806,4.36,0.49
201807,3.21,-0.19
201808,4.65,1.14
201809,2.03,-1.30
201810,5.49,2.61
201811,3.22,0.64
201812,2.11,-0.20
201901,1.95,-0.05
201902,1.79,0.11
201903,2.86,0.29
201904,5.02,1.58
201905,5.35,1.66
201906,5.05,1.18
201907,3.26,-0.14
201908,1.91,-1.60
201909,6.14,2.81
201910,4.14,1.26
201911,1.47,-1.11
201912,2.58,0.27
202001,3.94,1.94
