Anderson County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.17,-0.06
200002,2.03,-1.22
200003,4.45,0.87
200004,4.11,-0.04
200005,7.36,2.63
200006,4.90,1.58
200007,0.35,-2.20
200008,0.22,-2.06
200009,1.60,-1.58
200010,3.50,-0.05
200011,12.81,9.04
200012,5.71,1.74
200101,4.86,1.63
200102,4.90,1.65
200103,7.24,3.66
200104,0.49,-3.66
200105,4.36,-0.37
200106,9.29,5.97
200107,1.27,-1.28
200108,3.61,1.33
200109,7.19,4.01
200110,3.76,0.21
200111,3.24,-0.53
200112,5.99,2.02
200201,1.84,-1.39
200202,2.63,-0.62
200203,4.03,0.45
200204,2.48,-1.67
200205,3.59,-1.14
200206,3.64,0.32
200207,3.57,1.02
200208,1.51,-0.77
200209,1.91,-1.27
200210,6.19,2.64
200211,4.03,0.26
200212,8.85,4.88
200301,0.59,-2.64
200302,7.51,4.26
200303,1.74,-1.84
200304,1.13,-3.02
200305,2.19,-2.54
200306,4.60,1.28
200307,2.95,0.40
200308,1.56,-0.72
200309,4.30,1.12
200310,4.18,0.63
200311,3.29,-0.48
200312,2.47,-1.50
200401,3.07,-0.16
200402,5.78,2.53
200403,2.72,-0.86
200404,6.32,2.17
200405,3.38,-1.35
200406,7.70,4.38
200407,2.16,-0.39
200408,3.87,1.59
200409,1.37,-1.81
200410,6.69,3.14
200411,8.85,5.08
200412,2.52,-1.45
200501,4.05,0.82
200502,4.87,1.62
200503,2.05,-1.53
200504,1.55,-2.60
200505,3.08,-1.65
200506,0.31,-3.01
200507,2.97,0.42
200508,3.77,1.49
200509,2.26,-0.92
200510,0.12,-3.43
200511,1.51,-2.26
200512,0.54,-3.43
200601,4.01,0.78
200602,3.42,0.17
200603,5.19,1.61
200604,2.83,-1.32
200605,2.36,-2.37
200606,3.08,-0.24
200607,1.76,-0.79
200608,0.84,-1.44
200609,1.99,-1.19
200610,5.90,2.35
200611,2.92,-0.85
200612,5.46,1.49
200701,7.29,4.06
200702,0.92,-2.33
200703,5.79,2.21
200704,2.53,-1.62
200705,8.38,3.65
200706,6.45,3.13
200707,10.13,7.58
200708,2.57,0.29
200709,1.61,-1.57
200710,2.44,-1.11
200711,2.17,-1.60
200712,2.67,-1.30
200801,1.84,-1.39
200802,2.58,-0.67
200803,5.73,2.15
200804,2.57,-1.58
200805,4.92,0.19
200806,1.52,-1.80
200807,0.57,-1.98
200808,5.58,3.30
200809,4.47,1.29
200810,2.56,-0.99
200811,2.64,-1.13
200812,1.26,-2.71
200901,1.38,-1.85
200902,1.41,-1.84
200903,6.75,3.17
200904,5.10,0.95
200905,1.43,-3.30
200906,2.15,-1.17
200907,4.28,1.73
200908,2.59,0.31
200909,6.71,3.53
200910,11.41,7.86
200911,1.45,-2.32
200912,2.70,-1.27
201001,2.43,-0.80
201002,4.70,1.45
201003,3.72,0.14
201004,1.47,-2.68
201005,0.83,-3.90
201006,7.34,4.02
201007,3.10,0.55
201008,1.31,-0.97
201009,2.81,-0.37
201010,1.93,-1.62
201011,2.64,-1.13
201012,0.79,-3.18
201101,4.99,1.76
201102,1.42,-1.83
201103,0.57,-3.01
201104,2.06,-2.09
201105,3.60,-1.13
201106,1.87,-1.45
201107,0.48,-2.07
201108,0.36,-1.92
201109,1.38,-1.80
201110,2.44,-1.11
201111,2.83,-0.94
201112,5.97,2.00
201201,4.43,1.20
201202,3.84,0.59
201203,8.09,4.51
201204,1.25,-2.90
201205,2.90,-1.83
201206,4.30,0.98
201207,3.23,0.68
201208,2.74,0.46
201209,8.44,5.26
201210,0.91,-2.64
201211,0.59,-3.18
201212,2.85,-1.12
201301,5.10,1.87
201302,2.77,-0.48
201303,2.08,-1.50
201304,2.53,-1.62
201305,2.89,-1.84
201306,2.08,-1.24
201307,3.44,0.89
201308,0.93,-1.35
201309,5.77,2.59
201310,8.92,5.37
201311,6.66,2.89
201312,2.43,-1.54
201401,0.68,-2.55
201402,2.26,-0.99
201403,3.04,-0.54
201404,2.06,-2.09
201405,5.89,1.16
201406,5.81,2.49
201407,3.84,1.29
201408,1.98,-0.30
201409,1.32,-1.86
201410,5.59,2.04
201411,4.36,0.59
201412,1.56,-2.41
201501,5.79,2.56
201502,2.29,-0.96
201503,6.86,3.28
201504,8.09,3.94
201505,10.67,5.94
201506,3.52,0.20
201507,0.15,-2.40
201508,1.71,-0.57
201509,0.46,-2.72
201510,9.39,5.84
201511,7.47,3.70
201512,8.10,4.13
201601,1.57,-1.66
201602,1.31,-1.94
201603,6.75,3.17
201604,10.38,6.23
201605,5.28,0.55
201606,4.90,1.58
201607,0.94,-1.61
201608,7.33,5.05
201609,1.45,-1.73
201610,0.99,-2.56
201611,2.08,-1.69
201612,3.09,-0.88
201701,5.57,2.34
201702,3.85,0.60
201703,3.08,-0.50
201704,6.37,2.22
201705,8.13,3.40
201706,3.33,0.01
201707,3.37,0.82
201708,4.48,2.20
201709,0.37,-2.81
201710,2.29,-1.26
201711,2.04,-1.73
201712,5.03,1.06
201801,1.51,-1.72
201802,4.55,1.30
201803,3.50,-0.08
201804,3.26,-0.89
201805,1.52,-3.21
201806,1.46,-1.86
201807,1.58,-0.97
201808,2.17,-0.11
201809,6.68,3.50
201810,7.78,4.23
201811,6.23,2.46
201812,6.33,2.36
201901,4.06,0.83
201902,3.24,-0.01
201903,2.78,-0.80
201904,7.71,3.56
201905,11.75,7.02
201906,7.28,3.96
201907,2.23,-0.32
201908,0.60,-1.68
201909,0.96,-2.22
201910,4.44,0.89
201911,0.87,-2.90
201912,1.11,-2.86
202001,3.45,0.22
