St. Lucie County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.94,-0.36
200002,1.34,-1.05
200003,2.48,-0.62
200004,3.30,0.49
200005,0.34,-3.93
200006,5.44,-1.75
200007,8.78,2.49
200008,3.55,-2.54
200009,6.29,-1.37
200010,4.65,-1.44
200011,0.39,-2.16
200012,0.81,-1.19
200101,0.94,-1.36
200102,0.27,-2.12
200103,4.21,1.11
200104,0.70,-2.11
200105,4.80,0.53
200106,6.80,-0.39
200107,10.99,4.70
200108,9.06,2.97
200109,9.61,1.95
200110,5.35,-0.74
200111,3.59,1.04
200112,1.21,-0.79
200201,1.97,-0.33
200202,4.28,1.89
200203,0.24,-2.86
200204,2.94,0.13
200205,3.21,-1.06
200206,10.82,3.63
200207,8.01,1.72
200208,6.72,0.63
200209,4.09,-3.57
200210,1.43,-4.66
200211,2.35,-0.20
200212,5.66,3.66
200301,1.27,-1.03
200302,0.95,-1.44
200303,3.91,0.81
200304,2.82,0.01
200305,5.23,0.96
200306,9.02,1.83
200307,5.56,-0.73
200308,9.33,3.24
200309,7.94,0.28
200310,1.32,-4.77
200311,4.29,1.74
200312,2.17,0.17
200401,2.70,0.40
200402,3.21,0.82
200403,0.88,-2.22
200404,1.76,-1.05
200405,1.70,-2.57
200406,5.52,-1.67
200407,3.85,-2.44
200408,10.92,4.83
200409,19.54,11.88
200410,2.65,-3.44
200411,1.23,-1.32
200412,2.89,0.89
200501,1.02,-1.28
200502,2.03,-0.36
200503,6.99,3.89
200504,3.79,0.98
200505,4.32,0.05
200506,13.22,6.03
200507,4.21,-2.08
200508,4.01,-2.08
200509,4.30,-3.36
200510,7.78,1.69
200511,5.16,2.61
200512,1.91,-0.09
200601,0.38,-1.92
200602,3.68,1.29
200603,0.28,-2.82
200604,2.68,-0.13
200605,1.73,-2.54
200606,6.96,-0.23
200607,4.28,-2.01
200608,5.35,-0.74
200609,4.42,-3.24
200610,0.73,-5.36
200611,1.34,-1.21
200612,3.24,1.24
200701,0.61,-1.69
200702,0.91,-1.48
200703,1.14,-1.96
200704,2.51,-0.30
200705,2.66,-1.61
200706,8.01,0.82
200707,9.38,3.09
200708,3.97,-2.12
200709,6.55,-1.11
200710,6.66,0.57
200711,1.99,-0.56
200712,3.60,1.60
200801,1.85,-0.45
200802,1.90,-0.49
200803,4.43,1.33
200804,3.40,0.59
200805,2.43,-1.84
200806,6.05,-1.14
200807,10.87,4.58
200808,17.73,11.64
200809,3.88,-3.78
200810,5.25,-0.84
200811,1.95,-0.60
200812,1.00,-1.00
200901,0.55,-1.75
200902,0.38,-2.01
200903,1.42,-1.68
200904,1.01,-1.80
200905,8.50,4.23
200906,5.08,-2.11
200907,7.02,0.73
200908,4.27,-1.82
200909,4.89,-2.77
200910,0.90,-5.19
200911,2.33,-0.22
200912,4.96,2.96
201001,1.18,-1.12
201002,2.97,0.58
201003,8.38,5.28
201004,3.37,0.56
201005,2.64,-1.63
201006,7.35,0.16
201007,4.08,-2.21
201008,5.19,-0.90
201009,5.62,-2.04
201010,0.37,-5.72
201011,1.66,-0.89
201012,0.56,-1.44
201101,3.03,0.73
201102,0.38,-2.01
201103,3.17,0.07
201104,1.48,-1.33
201105,1.05,-3.22
201106,4.04,-3.15
201107,3.90,-2.39
201108,8.42,2.33
201109,5.56,-2.10
201110,13.17,7.08
201111,1.50,-1.05
201112,3.49,1.49
201201,0.06,-2.24
201202,1.41,-0.98
201203,2.18,-0.92
201204,2.57,-0.24
201205,4.96,0.69
201206,5.68,-1.51
201207,3.00,-3.29
201208,12.76,6.67
201209,6.06,-1.60
201210,5.56,-0.53
201211,1.64,-0.91
201212,3.13,1.13
201301,1.84,-0.46
201302,1.45,-0.94
201303,1.01,-2.09
201304,3.76,0.95
201305,6.47,2.20
201306,5.99,-1.20
201307,10.13,3.84
201308,3.47,-2.62
201309,6.44,-1.22
201310,0.73,-5.36
201311,4.16,1.61
201312,2.87,0.87
201401,6.02,3.72
201402,2.27,-0.12
201403,1.70,-1.40
201404,1.96,-0.85
201405,2.41,-1.86
201406,7.69,0.50
201407,6.57,0.28
201408,5.50,-0.59
201409,9.97,2.31
201410,2.46,-3.63
201411,1.80,-0.75
201412,1.69,-0.31
201501,1.37,-0.93
201502,2.44,0.05
201503,2.68,-0.42
201504,4.31,1.50
201505,1.26,-3.01
201506,3.93,-3.26
201507,5.06,-1.23
201508,5.68,-0.41
201509,9.36,1.70
201510,2.08,-4.01
201511,3.90,1.35
201512,5.40,3.40
201601,9.64,7.34
201602,3.12,0.73
201603,3.98,0.88
201604,2.07,-0.74
201605,12.75,8.48
201606,5.98,-1.21
201607,1.58,-4.71
201608,8.34,2.25
201609,5.87,-1.79
201610,4.81,-1.28
201611,0.59,-1.96
201612,1.25,-0.75
201701,1.03,-1.27
201702,1.39,-1.00
201703,1.74,-1.36
201704,2.41,-0.40
201705,3.91,-0.36
201706,8.85,1.66
201707,5.47,-0.82
201708,4.88,-1.21
201709,17.92,10.26
201710,9.64,3.55
201711,3.81,1.26
201712,1.57,-0.43
201801,2.36,0.06
201802,0.52,-1.87
201803,0.83,-2.27
201804,3.99,1.18
201805,11.82,7.55
201806,5.73,-1.46
201807,5.30,-0.99
201808,5.56,-0.53
201809,3.90,-3.76
201810,1.13,-4.96
201811,2.39,-0.16
201812,1.80,-0.20
201901,4.44,2.14
201902,1.46,-0.93
201903,2.19,-0.91
201904,2.59,-0.22
201905,4.67,0.40
201906,6.02,-1.17
201907,6.17,-0.12
201908,11.07,4.98
201909,3.75,-3.91
201910,4.85,-1.24
201911,2.89,0.34
201912,5.59,3.59
202001,1.46,-0.84
