Mesa County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.15,0.72
200002,1.92,0.51
200003,2.13,0.48
200004,0.45,-1.09
200005,0.65,-0.73
200006,0.65,-0.17
200007,0.56,-0.72
200008,1.74,0.15
200009,1.41,-0.07
200010,1.66,0.05
200011,1.00,-0.32
200012,0.89,-0.50
200101,1.15,-0.28
200102,1.35,-0.06
200103,1.61,-0.04
200104,1.45,-0.09
200105,1.36,-0.02
200106,0.19,-0.63
200107,2.12,0.84
200108,2.06,0.47
200109,0.52,-0.96
200110,0.95,-0.66
200111,1.51,0.19
200112,0.93,-0.46
200201,0.68,-0.75
200202,0.41,-1.00
200203,1.07,-0.58
200204,0.77,-0.77
200205,0.44,-0.94
200206,0.07,-0.75
200207,0.62,-0.66
200208,1.22,-0.37
200209,2.90,1.42
200210,1.83,0.22
200211,1.49,0.17
200212,0.63,-0.76
200301,0.50,-0.93
200302,2.32,0.91
200303,1.29,-0.36
200304,0.69,-0.85
200305,2.13,0.75
200306,0.40,-0.42
200307,0.34,-0.94
200308,1.02,-0.57
200309,1.61,0.13
200310,0.41,-1.20
200311,1.59,0.27
200312,1.50,0.11
200401,1.27,-0.16
200402,1.86,0.45
200403,0.34,-1.31
200404,3.80,2.26
200405,0.41,-0.97
200406,0.31,-0.51
200407,0.59,-0.69
200408,0.71,-0.88
200409,3.21,1.73
200410,2.14,0.53
200411,2.62,1.30
200412,1.11,-0.28
200501,3.31,1.88
200502,1.69,0.28
200503,1.87,0.22
200504,1.16,-0.38
200505,0.83,-0.55
200506,2.45,1.63
200507,0.93,-0.35
200508,1.56,-0.03
200509,2.65,1.17
200510,2.53,0.92
200511,0.79,-0.53
200512,1.20,-0.19
200601,1.19,-0.24
200602,0.28,-1.13
200603,2.54,0.89
200604,1.02,-0.52
200605,0.35,-1.03
200606,0.30,-0.52
200607,1.85,0.57
200608,1.85,0.26
200609,2.64,1.16
200610,4.66,3.05
200611,1.14,-0.18
200612,0.76,-0.63
200701,0.87,-0.56
200702,1.34,-0.07
200703,1.14,-0.51
200704,1.29,-0.25
200705,0.98,-0.40
200706,0.48,-0.34
200707,1.42,0.14
200708,1.65,0.06
200709,2.72,1.24
200710,1.44,-0.17
200711,0.26,-1.06
200712,3.58,2.19
200801,1.98,0.55
200802,1.95,0.54
200803,0.80,-0.85
200804,1.38,-0.16
200805,1.39,0.01
200806,0.82,0.00
200807,0.52,-0.76
200808,1.23,-0.36
200809,0.81,-0.67
200810,0.70,-0.91
200811,1.40,0.08
200812,2.49,1.10
200901,0.86,-0.57
200902,1.02,-0.39
200903,1.04,-0.61
200904,1.71,0.17
200905,1.89,0.51
200906,1.67,0.85
200907,0.68,-0.60
200908,0.44,-1.15
200909,0.95,-0.53
200910,1.21,-0.40
200911,0.55,-0.77
200912,2.27,0.88
201001,1.35,-0.08
201002,1.72,0.31
201003,2.00,0.35
201004,1.96,0.42
201005,0.83,-0.55
201006,0.84,0.02
201007,0.87,-0.41
201008,2.20,0.61
201009,0.94,-0.54
201010,2.33,0.72
201011,1.46,0.14
201012,2.31,0.92
201101,0.47,-0.96
201102,0.97,-0.44
201103,1.43,-0.22
201104,2.30,0.76
201105,2.02,0.64
201106,0.77,-0.05
201107,2.29,1.01
201108,1.29,-0.30
201109,1.25,-0.23
201110,1.77,0.16
201111,1.08,-0.24
201112,0.99,-0.40
201201,1.11,-0.32
201202,1.54,0.13
201203,0.56,-1.09
201204,0.71,-0.83
201205,0.18,-1.20
201206,0.05,-0.77
201207,1.73,0.45
201208,1.10,-0.49
201209,1.00,-0.48
201210,0.74,-0.87
201211,0.74,-0.58
201212,1.89,0.50
201301,1.36,-0.07
201302,0.81,-0.60
201303,0.76,-0.89
201304,1.59,0.05
201305,1.36,-0.02
201306,0.01,-0.81
201307,3.05,1.77
201308,1.73,0.14
201309,3.72,2.24
201310,2.82,1.21
201311,1.69,0.37
201312,1.23,-0.16
201401,0.94,-0.49
201402,1.55,0.14
201403,0.79,-0.86
201404,1.42,-0.12
201405,2.22,0.84
201406,0.11,-0.71
201407,1.63,0.35
201408,3.15,1.56
201409,2.51,1.03
201410,0.90,-0.71
201411,0.93,-0.39
201412,1.84,0.45
201501,1.09,-0.34
201502,0.62,-0.79
201503,0.82,-0.83
201504,2.24,0.70
201505,3.51,2.13
201506,1.62,0.80
201507,2.81,1.53
201508,1.29,-0.30
201509,1.00,-0.48
201510,2.68,1.07
201511,2.40,1.08
201512,1.93,0.54
201601,1.53,0.10
201602,0.95,-0.46
201603,1.36,-0.29
201604,2.09,0.55
201605,2.08,0.70
201606,0.52,-0.30
201607,1.16,-0.12
201608,1.65,0.06
201609,1.30,-0.18
201610,0.80,-0.81
201611,1.40,0.08
201612,1.92,0.53
201701,2.51,1.08
201702,1.13,-0.28
201703,0.58,-1.07
201704,0.72,-0.82
201705,1.14,-0.24
201706,0.15,-0.67
201707,1.76,0.48
201708,1.13,-0.46
201709,1.30,-0.18
201710,0.69,-0.92
201711,0.19,-1.13
201712,0.24,-1.15
201801,1.14,-0.29
201802,1.96,0.55
201803,1.22,-0.43
201804,1.13,-0.41
201805,0.33,-1.05
201806,0.12,-0.70
201807,0.54,-0.74
201808,1.38,-0.21
201809,0.15,-1.33
201810,3.88,2.27
201811,0.56,-0.76
201812,1.50,0.11
201901,1.56,0.13
201902,2.46,1.05
201903,3.78,2.13
201904,1.95,0.41
201905,2.44,1.06
201906,0.84,0.02
201907,0.87,-0.41
201908,0.36,-1.23
201909,0.51,-0.97
201910,0.39,-1.22
201911,1.43,0.11
201912,1.43,0.04
202001,0.99,-0.44
