Piute County, Utah, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.44,0.85
200002,2.28,0.69
200003,0.97,-0.91
200004,0.45,-1.09
200005,0.96,-0.39
200006,1.05,0.32
200007,0.61,-0.82
200008,2.59,0.88
200009,0.93,-0.36
200010,3.82,2.56
200011,0.55,-0.72
200012,0.71,-0.63
200101,1.13,-0.46
200102,1.77,0.18
200103,1.76,-0.12
200104,1.30,-0.24
200105,0.88,-0.47
200106,0.85,0.12
200107,1.52,0.09
200108,2.37,0.66
200109,0.23,-1.06
200110,0.80,-0.46
200111,2.11,0.84
200112,0.87,-0.47
200201,0.22,-1.37
200202,0.59,-1.00
200203,0.68,-1.20
200204,0.90,-0.64
200205,0.21,-1.14
200206,0.09,-0.64
200207,1.22,-0.21
200208,0.35,-1.36
200209,3.06,1.77
200210,1.87,0.61
200211,1.43,0.16
200212,1.24,-0.10
200301,0.49,-1.10
200302,1.71,0.12
200303,2.21,0.33
200304,0.89,-0.65
200305,1.26,-0.09
200306,0.08,-0.65
200307,1.09,-0.34
200308,2.27,0.56
200309,0.61,-0.68
200310,0.60,-0.66
200311,1.29,0.02
200312,2.25,0.91
200401,1.12,-0.47
200402,1.70,0.11
200403,0.37,-1.51
200404,2.85,1.31
200405,0.90,-0.45
200406,0.51,-0.22
200407,1.35,-0.08
200408,1.43,-0.28
200409,0.64,-0.65
200410,4.16,2.90
200411,1.88,0.61
200412,1.36,0.02
200501,2.40,0.81
200502,1.79,0.20
200503,2.41,0.53
200504,2.13,0.59
200505,1.64,0.29
200506,3.41,2.68
200507,0.50,-0.93
200508,1.75,0.04
200509,0.86,-0.43
200510,1.76,0.50
200511,0.52,-0.75
200512,1.20,-0.14
200601,1.42,-0.17
200602,0.92,-0.67
200603,2.83,0.95
200604,1.29,-0.25
200605,0.25,-1.10
200606,0.08,-0.65
200607,2.21,0.78
200608,1.34,-0.37
200609,1.81,0.52
200610,4.14,2.88
200611,1.11,-0.16
200612,1.18,-0.16
200701,0.69,-0.90
200702,1.28,-0.31
200703,0.92,-0.96
200704,1.60,0.06
200705,0.64,-0.71
200706,0.48,-0.25
200707,1.89,0.46
200708,1.63,-0.08
200709,1.66,0.37
200710,0.70,-0.56
200711,0.58,-0.69
200712,3.52,2.18
200801,2.05,0.46
200802,1.69,0.10
200803,0.90,-0.98
200804,0.31,-1.23
200805,1.15,-0.20
200806,0.51,-0.22
200807,1.15,-0.28
200808,1.41,-0.30
200809,0.62,-0.67
200810,0.81,-0.45
200811,1.63,0.36
200812,2.05,0.71
200901,1.19,-0.40
200902,1.49,-0.10
200903,1.43,-0.45
200904,1.50,-0.04
200905,0.72,-0.63
200906,0.84,0.11
200907,1.01,-0.42
200908,0.24,-1.47
200909,0.55,-0.74
200910,0.29,-0.97
200911,1.12,-0.15
200912,2.31,0.97
201001,1.60,0.01
201002,2.74,1.15
201003,1.37,-0.51
201004,1.62,0.08
201005,1.09,-0.26
201006,0.62,-0.11
201007,1.65,0.22
201008,1.56,-0.15
201009,0.07,-1.22
201010,4.74,3.48
201011,1.54,0.27
201012,4.38,3.04
201101,0.18,-1.41
201102,1.36,-0.23
201103,2.50,0.62
201104,3.04,1.50
201105,2.78,1.43
201106,0.27,-0.46
201107,2.39,0.96
201108,2.14,0.43
201109,2.06,0.77
201110,1.62,0.36
201111,0.67,-0.60
201112,0.39,-0.95
201201,0.83,-0.76
201202,1.94,0.35
201203,1.26,-0.62
201204,1.11,-0.43
201205,0.19,-1.16
201206,0.00,-0.73
201207,2.44,1.01
201208,2.63,0.92
201209,0.97,-0.32
201210,1.32,0.06
201211,0.80,-0.47
201212,2.23,0.89
201301,1.35,-0.24
201302,0.70,-0.89
201303,1.91,0.03
201304,1.12,-0.42
201305,1.07,-0.28
201306,0.06,-0.67
201307,3.17,1.74
201308,2.40,0.69
201309,3.18,1.89
201310,1.28,0.02
201311,0.76,-0.51
201312,1.30,-0.04
201401,0.48,-1.11
201402,1.17,-0.42
201403,1.49,-0.39
201404,0.95,-0.59
201405,1.34,-0.01
201406,0.03,-0.70
201407,2.05,0.62
201408,1.90,0.19
201409,3.15,1.86
201410,0.16,-1.10
201411,1.06,-0.21
201412,1.79,0.45
201501,0.88,-0.71
201502,0.90,-0.69
201503,1.36,-0.52
201504,1.18,-0.36
201505,4.06,2.71
201506,1.07,0.34
201507,1.84,0.41
201508,1.13,-0.58
201509,0.88,-0.41
201510,2.11,0.85
201511,1.08,-0.19
201512,2.26,0.92
201601,1.66,0.07
201602,0.96,-0.63
201603,1.43,-0.45
201604,1.68,0.14
201605,1.75,0.40
201606,0.21,-0.52
201607,1.16,-0.27
201608,1.38,-0.33
201609,2.56,1.27
201610,0.53,-0.73
201611,1.54,0.27
201612,1.76,0.42
201701,2.50,0.91
201702,1.15,-0.44
201703,2.33,0.45
201704,1.57,0.03
201705,1.09,-0.26
201706,0.05,-0.68
201707,2.24,0.81
201708,2.10,0.39
201709,2.07,0.78
201710,0.14,-1.12
201711,0.36,-0.91
201712,0.14,-1.20
201801,1.24,-0.35
201802,1.03,-0.56
201803,1.19,-0.69
201804,1.13,-0.41
201805,1.15,-0.20
201806,0.00,-0.73
201807,2.47,1.04
201808,1.73,0.02
201809,0.16,-1.13
201810,3.80,2.54
201811,1.36,0.09
201812,1.09,-0.25
201901,1.44,-0.15
201902,2.90,1.31
201903,3.66,1.78
201904,1.72,0.18
201905,4.48,3.13
201906,0.40,-0.33
201907,1.58,0.15
201908,0.64,-1.07
201909,0.50,-0.79
201910,0.06,-1.20
201911,4.00,2.73
201912,1.91,0.57
202001,0.65,-0.94
