Powell County, Montana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.23,-0.76
200002,2.61,0.46
200003,1.29,-0.91
200004,1.53,-0.45
200005,1.97,-0.73
200006,1.80,-1.08
200007,0.66,-0.74
200008,0.38,-0.96
200009,1.93,0.20
200010,2.85,1.04
200011,1.43,-1.19
200012,1.68,-1.18
200101,1.09,-1.90
200102,2.17,0.02
200103,1.89,-0.31
200104,2.14,0.16
200105,1.11,-1.59
200106,4.54,1.66
200107,2.58,1.18
200108,0.22,-1.12
200109,0.97,-0.76
200110,2.79,0.98
200111,0.92,-1.70
200112,1.87,-0.99
200201,2.26,-0.73
200202,1.93,-0.22
200203,3.40,1.20
200204,1.80,-0.18
200205,2.02,-0.68
200206,3.92,1.04
200207,1.19,-0.21
200208,1.98,0.64
200209,1.48,-0.25
200210,0.58,-1.23
200211,1.42,-1.20
200212,1.20,-1.66
200301,3.17,0.18
200302,2.50,0.35
200303,4.73,2.53
200304,2.65,0.67
200305,2.52,-0.18
200306,1.84,-1.04
200307,0.34,-1.06
200308,1.28,-0.06
200309,1.59,-0.14
200310,1.68,-0.13
200311,2.77,0.15
200312,2.10,-0.76
200401,2.61,-0.38
200402,1.27,-0.88
200403,1.61,-0.59
200404,2.10,0.12
200405,3.63,0.93
200406,2.16,-0.72
200407,1.14,-0.26
200408,2.58,1.24
200409,2.73,1.00
200410,1.39,-0.42
200411,1.40,-1.22
200412,2.09,-0.77
200501,1.92,-1.07
200502,0.51,-1.64
200503,2.65,0.45
200504,3.13,1.15
200505,3.63,0.93
200506,4.44,1.56
200507,0.23,-1.17
200508,0.66,-0.68
200509,2.11,0.38
200510,2.12,0.31
200511,3.02,0.40
200512,2.36,-0.50
200601,2.81,-0.18
200602,1.89,-0.26
200603,1.73,-0.47
200604,3.95,1.97
200605,1.63,-1.07
200606,2.98,0.10
200607,0.55,-0.85
200608,1.05,-0.29
200609,1.79,0.06
200610,2.81,1.00
200611,4.02,1.40
200612,1.90,-0.96
200701,1.60,-1.39
200702,2.35,0.20
200703,1.46,-0.74
200704,2.35,0.37
200705,3.87,1.17
200706,1.90,-0.98
200707,0.53,-0.87
200708,0.48,-0.86
200709,2.08,0.35
200710,1.77,-0.04
200711,2.36,-0.26
200712,2.30,-0.56
200801,2.44,-0.55
200802,2.61,0.46
200803,1.81,-0.39
200804,1.53,-0.45
200805,3.57,0.87
200806,2.84,-0.04
200807,0.87,-0.53
200808,2.18,0.84
200809,1.56,-0.17
200810,1.45,-0.36
200811,3.21,0.59
200812,3.97,1.11
200901,4.28,1.29
200902,1.23,-0.92
200903,3.90,1.70
200904,1.89,-0.09
200905,1.46,-1.24
200906,1.76,-1.12
200907,2.09,0.69
200908,1.84,0.50
200909,0.58,-1.15
200910,2.56,0.75
200911,0.97,-1.65
200912,2.30,-0.56
201001,2.24,-0.75
201002,0.70,-1.45
201003,2.03,-0.17
201004,2.27,0.29
201005,3.35,0.65
201006,4.02,1.14
201007,0.76,-0.64
201008,2.19,0.85
201009,2.19,0.46
201010,1.39,-0.42
201011,3.20,0.58
201012,3.68,0.82
201101,4.10,1.11
201102,2.79,0.64
201103,2.75,0.55
201104,3.56,1.58
201105,3.39,0.69
201106,3.92,1.04
201107,1.42,0.02
201108,0.47,-0.87
201109,0.56,-1.17
201110,3.09,1.28
201111,2.09,-0.53
201112,1.82,-1.04
201201,3.31,0.32
201202,2.01,-0.14
201203,2.78,0.58
201204,2.23,0.25
201205,2.46,-0.24
201206,2.02,-0.86
201207,0.90,-0.50
201208,0.32,-1.02
201209,0.02,-1.71
201210,2.71,0.90
201211,2.71,0.09
201212,3.09,0.23
201301,2.07,-0.92
201302,1.26,-0.89
201303,1.86,-0.34
201304,2.59,0.61
201305,3.57,0.87
201306,2.78,-0.10
201307,0.52,-0.88
201308,1.13,-0.21
201309,2.45,0.72
201310,0.78,-1.03
201311,1.62,-1.00
201312,2.03,-0.83
201401,2.99,0.00
201402,4.74,2.59
201403,3.75,1.55
201404,2.12,0.14
201405,1.14,-1.56
201406,2.35,-0.53
201407,0.94,-0.46
201408,2.91,1.57
201409,0.84,-0.89
201410,1.74,-0.07
201411,4.18,1.56
201412,3.16,0.30
201501,2.75,-0.24
201502,1.78,-0.37
201503,1.30,-0.90
201504,0.97,-1.01
201505,2.13,-0.57
201506,0.77,-2.11
201507,1.82,0.42
201508,0.49,-0.85
201509,1.84,0.11
201510,1.61,-0.20
201511,2.11,-0.51
201512,2.94,0.08
201601,1.89,-1.10
201602,1.61,-0.54
201603,2.25,0.05
201604,1.78,-0.20
201605,2.93,0.23
201606,1.43,-1.45
201607,1.52,0.12
201608,0.92,-0.42
201609,1.92,0.19
201610,3.81,2.00
201611,0.92,-1.70
201612,3.37,0.51
201701,1.94,-1.05
201702,3.59,1.44
201703,3.50,1.30
201704,2.13,0.15
201705,2.83,0.13
201706,3.28,0.40
201707,0.39,-1.01
201708,0.11,-1.23
201709,2.12,0.39
201710,1.99,0.18
201711,3.57,0.95
201712,4.88,2.02
201801,2.48,-0.51
201802,5.39,3.24
201803,2.62,0.42
201804,3.41,1.43
201805,3.11,0.41
201806,5.19,2.31
201807,0.19,-1.21
201808,0.58,-0.76
201809,0.69,-1.04
201810,2.69,0.88
201811,3.09,0.47
201812,1.61,-1.25
201901,2.58,-0.41
201902,3.42,1.27
201903,1.11,-1.09
201904,3.22,1.24
201905,3.20,0.50
201906,1.28,-1.60
201907,1.79,0.39
201908,1.62,0.28
201909,3.95,2.22
201910,2.49,0.68
201911,2.10,-0.52
201912,1.21,-1.65
202001,2.45,-0.54
