Potter County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.13,-0.34
200002,0.04,-0.50
200003,3.74,2.84
200004,0.57,-0.80
200005,1.08,-1.64
200006,4.77,1.86
200007,0.94,-1.57
200008,0.35,-2.39
200009,0.04,-1.84
200010,4.31,2.75
200011,0.83,0.09
200012,1.15,0.52
200101,1.14,0.67
200102,0.93,0.39
200103,3.00,2.10
200104,0.40,-0.97
200105,3.35,0.63
200106,2.11,-0.80
200107,0.51,-2.00
200108,2.36,-0.38
200109,1.38,-0.50
200110,0.04,-1.52
200111,1.66,0.92
200112,0.34,-0.29
200201,0.81,0.34
200202,0.19,-0.35
200203,0.42,-0.48
200204,1.46,0.09
200205,0.82,-1.90
200206,1.52,-1.39
200207,2.27,-0.24
200208,3.76,1.02
200209,1.85,-0.03
200210,3.36,1.80
200211,0.20,-0.54
200212,0.95,0.32
200301,0.00,-0.47
200302,0.14,-0.40
200303,0.69,-0.21
200304,0.35,-1.02
200305,0.92,-1.80
200306,5.86,2.95
200307,0.23,-2.28
200308,1.57,-1.17
200309,2.16,0.28
200310,0.81,-0.75
200311,0.55,-0.19
200312,0.06,-0.57
200401,0.39,-0.08
200402,0.91,0.37
200403,1.73,0.83
200404,2.86,1.49
200405,0.33,-2.39
200406,4.57,1.66
200407,2.08,-0.43
200408,2.22,-0.52
200409,3.44,1.56
200410,2.57,1.01
200411,3.57,2.83
200412,0.49,-0.14
200501,1.42,0.95
200502,0.77,0.23
200503,1.54,0.64
200504,0.77,-0.60
200505,2.51,-0.21
200506,2.94,0.03
200507,1.19,-1.32
200508,3.47,0.73
200509,0.60,-1.28
200510,0.66,-0.90
200511,0.26,-0.48
200512,0.04,-0.59
200601,0.05,-0.42
200602,0.03,-0.51
200603,1.07,0.17
200604,0.37,-1.00
200605,1.39,-1.33
200606,1.78,-1.13
200607,2.41,-0.10
200608,5.92,3.18
200609,1.29,-0.59
200610,2.10,0.54
200611,0.20,-0.54
200612,2.36,1.73
200701,0.72,0.25
200702,0.17,-0.37
200703,3.95,3.05
200704,1.27,-0.10
200705,3.18,0.46
200706,2.72,-0.19
200707,1.66,-0.85
200708,1.73,-1.01
200709,2.81,0.93
200710,0.47,-1.09
200711,0.08,-0.66
200712,0.97,0.34
200801,0.07,-0.40
200802,0.53,-0.01
200803,0.22,-0.68
200804,0.50,-0.87
200805,1.85,-0.87
200806,3.05,0.14
200807,3.83,1.32
200808,3.99,1.25
200809,0.83,-1.05
200810,4.55,2.99
200811,0.18,-0.56
200812,0.09,-0.54
200901,0.01,-0.46
200902,0.47,-0.07
200903,0.90,0.00
200904,2.00,0.63
200905,0.77,-1.95
200906,2.23,-0.68
200907,3.45,0.94
200908,2.96,0.22
200909,0.99,-0.89
200910,1.66,0.10
200911,0.13,-0.61
200912,0.20,-0.43
201001,1.04,0.57
201002,1.36,0.82
201003,1.35,0.45
201004,2.69,1.32
201005,1.91,-0.81
201006,1.77,-1.14
201007,4.17,1.66
201008,3.10,0.36
201009,1.17,-0.71
201010,0.85,-0.71
201011,1.48,0.74
201012,0.40,-0.23
201101,0.10,-0.37
201102,0.46,-0.08
201103,0.09,-0.81
201104,0.05,-1.32
201105,0.19,-2.53
201106,0.45,-2.46
201107,1.41,-1.10
201108,1.06,-1.68
201109,1.03,-0.85
201110,1.01,-0.55
201111,0.38,-0.36
201112,1.84,1.21
201201,0.05,-0.42
201202,0.86,0.32
201203,1.07,0.17
201204,1.94,0.57
201205,1.37,-1.35
201206,2.64,-0.27
201207,0.92,-1.59
201208,1.54,-1.20
201209,2.69,0.81
201210,0.52,-1.04
201211,0.00,-0.74
201212,0.55,-0.08
201301,0.63,0.16
201302,1.78,1.24
201303,0.13,-0.77
201304,0.02,-1.35
201305,0.79,-1.93
201306,2.26,-0.65
201307,2.37,-0.14
201308,2.58,-0.16
201309,1.98,0.10
201310,0.20,-1.36
201311,0.61,-0.13
201312,0.40,-0.23
201401,0.06,-0.41
201402,0.23,-0.31
201403,0.16,-0.74
201404,0.41,-0.96
201405,2.74,0.02
201406,4.46,1.55
201407,3.01,0.50
201408,1.78,-0.96
201409,3.24,1.36
201410,0.97,-0.59
201411,0.25,-0.49
201412,0.15,-0.48
201501,1.39,0.92
201502,0.49,-0.05
201503,0.26,-0.64
201504,2.41,1.04
201505,7.50,4.78
201506,4.15,1.24
201507,5.76,3.25
201508,3.37,0.63
201509,0.75,-1.13
201510,5.03,3.47
201511,1.14,0.40
201512,0.99,0.36
201601,0.20,-0.27
201602,0.34,-0.20
201603,0.30,-0.60
201604,2.27,0.90
201605,2.09,-0.63
201606,2.09,-0.82
201607,1.87,-0.64
201608,4.42,1.68
201609,1.16,-0.72
201610,0.21,-1.35
201611,1.01,0.27
201612,0.23,-0.40
201701,2.30,1.83
201702,0.40,-0.14
201703,2.21,1.31
201704,1.83,0.46
201705,1.17,-1.55
201706,2.02,-0.89
201707,2.21,-0.30
201708,6.74,4.00
201709,2.97,1.09
201710,2.24,0.68
201711,0.03,-0.71
201712,0.00,-0.63
201801,0.00,-0.47
201802,0.01,-0.53
201803,0.11,-0.79
201804,0.70,-0.67
201805,1.08,-1.64
201806,2.79,-0.12
201807,2.03,-0.48
201808,2.17,-0.57
201809,0.87,-1.01
201810,4.18,2.62
201811,0.46,-0.28
201812,0.63,0.00
201901,0.05,-0.42
201902,0.40,-0.14
201903,1.62,0.72
201904,1.44,0.07
201905,4.51,1.79
201906,2.89,-0.02
201907,2.15,-0.36
201908,2.89,0.15
201909,1.79,-0.09
201910,5.25,3.69
201911,0.84,0.10
201912,0.90,0.27
202001,0.21,-0.26
