Pueblo County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.39,0.00
200002,0.12,-0.30
200003,2.53,1.65
200004,0.95,-0.48
200005,1.11,-0.76
200006,1.14,-0.46
200007,2.40,0.39
200008,1.57,-0.48
200009,0.83,-0.17
200010,1.65,0.82
200011,0.21,-0.39
200012,0.27,-0.22
200101,0.90,0.51
200102,0.27,-0.15
200103,0.70,-0.18
200104,0.70,-0.73
200105,3.26,1.39
200106,1.26,-0.34
200107,2.32,0.31
200108,1.57,-0.48
200109,1.04,0.04
200110,0.17,-0.66
200111,0.68,0.08
200112,0.31,-0.18
200201,0.51,0.12
200202,0.21,-0.21
200203,0.14,-0.74
200204,0.10,-1.33
200205,0.33,-1.54
200206,0.75,-0.85
200207,0.83,-1.18
200208,0.34,-1.71
200209,1.17,0.17
200210,0.86,0.03
200211,0.10,-0.50
200212,0.37,-0.12
200301,0.08,-0.31
200302,0.87,0.45
200303,1.58,0.70
200304,1.25,-0.18
200305,1.33,-0.54
200306,2.74,1.14
200307,0.64,-1.37
200308,1.17,-0.88
200309,0.90,-0.10
200310,0.13,-0.70
200311,0.18,-0.42
200312,0.16,-0.33
200401,0.69,0.30
200402,0.76,0.34
200403,0.42,-0.46
200404,4.41,2.98
200405,0.13,-1.74
200406,2.22,0.62
200407,1.99,-0.02
200408,2.94,0.89
200409,0.75,-0.25
200410,0.46,-0.37
200411,0.93,0.33
200412,0.36,-0.13
200501,0.93,0.54
200502,0.30,-0.12
200503,1.57,0.69
200504,1.34,-0.09
200505,0.91,-0.96
200506,1.27,-0.33
200507,1.03,-0.98
200508,2.09,0.04
200509,1.16,0.16
200510,1.86,1.03
200511,0.08,-0.52
200512,0.30,-0.19
200601,0.71,0.32
200602,0.06,-0.36
200603,0.60,-0.28
200604,0.26,-1.17
200605,1.22,-0.65
200606,0.42,-1.18
200607,3.72,1.71
200608,3.63,1.58
200609,1.83,0.83
200610,2.44,1.61
200611,0.27,-0.33
200612,1.33,0.84
200701,0.53,0.14
200702,0.22,-0.20
200703,0.38,-0.50
200704,2.50,1.07
200705,2.65,0.78
200706,2.40,0.80
200707,1.83,-0.18
200708,2.77,0.72
200709,0.46,-0.54
200710,0.57,-0.26
200711,0.15,-0.45
200712,0.69,0.20
200801,0.37,-0.02
200802,0.33,-0.09
200803,0.77,-0.11
200804,0.76,-0.67
200805,1.01,-0.86
200806,1.02,-0.58
200807,1.68,-0.33
200808,3.59,1.54
200809,0.57,-0.43
200810,0.96,0.13
200811,0.42,-0.18
200812,0.55,0.06
200901,0.17,-0.22
200902,0.10,-0.32
200903,0.57,-0.31
200904,1.32,-0.11
200905,1.27,-0.60
200906,1.74,0.14
200907,3.42,1.41
200908,1.39,-0.66
200909,1.26,0.26
200910,2.52,1.69
200911,0.25,-0.35
200912,0.36,-0.13
201001,0.30,-0.09
201002,0.96,0.54
201003,1.38,0.50
201004,1.30,-0.13
201005,0.99,-0.88
201006,1.04,-0.56
201007,2.76,0.75
201008,2.08,0.03
201009,0.21,-0.79
201010,0.10,-0.73
201011,0.19,-0.41
201012,0.34,-0.15
201101,0.31,-0.08
201102,0.75,0.33
201103,0.49,-0.39
201104,0.62,-0.81
201105,0.82,-1.05
201106,0.65,-0.95
201107,1.65,-0.36
201108,1.41,-0.64
201109,0.92,-0.08
201110,1.26,0.43
201111,0.57,-0.03
201112,1.11,0.62
201201,0.05,-0.34
201202,0.59,0.17
201203,0.17,-0.71
201204,1.04,-0.39
201205,0.89,-0.98
201206,0.30,-1.30
201207,1.53,-0.48
201208,0.40,-1.65
201209,0.96,-0.04
201210,0.34,-0.49
201211,0.04,-0.56
201212,0.39,-0.10
201301,0.20,-0.19
201302,0.50,0.08
201303,0.43,-0.45
201304,0.44,-0.99
201305,0.76,-1.11
201306,0.43,-1.17
201307,2.35,0.34
201308,2.82,0.77
201309,2.67,1.67
201310,0.47,-0.36
201311,0.55,-0.05
201312,0.11,-0.38
201401,0.40,0.01
201402,0.45,0.03
201403,0.78,-0.10
201404,1.44,0.01
201405,1.01,-0.86
201406,0.81,-0.79
201407,4.07,2.06
201408,1.48,-0.57
201409,0.64,-0.36
201410,1.16,0.33
201411,0.53,-0.07
201412,0.34,-0.15
201501,0.44,0.05
201502,1.52,1.10
201503,0.61,-0.27
201504,1.41,-0.02
201505,5.93,4.06
201506,1.93,0.33
201507,1.37,-0.64
201508,2.21,0.16
201509,0.16,-0.84
201510,1.16,0.33
201511,0.72,0.12
201512,0.39,-0.10
201601,0.46,0.07
201602,0.51,0.09
201603,0.58,-0.30
201604,2.86,1.43
201605,1.87,0.00
201606,1.64,0.04
201607,1.93,-0.08
201608,1.78,-0.27
201609,0.22,-0.78
201610,0.03,-0.80
201611,0.59,-0.01
201612,0.53,0.04
201701,1.03,0.64
201702,0.24,-0.18
201703,1.26,0.38
201704,3.58,2.15
201705,3.67,1.80
201706,1.22,-0.38
201707,3.43,1.42
201708,1.66,-0.39
201709,2.05,1.05
201710,0.43,-0.40
201711,0.30,-0.30
201712,0.06,-0.43
201801,0.28,-0.11
201802,0.61,0.19
201803,0.30,-0.58
201804,0.49,-0.94
201805,0.59,-1.28
201806,0.34,-1.26
201807,2.77,0.76
201808,1.30,-0.75
201809,0.65,-0.35
201810,2.14,1.31
201811,0.44,-0.16
201812,0.17,-0.32
201901,0.75,0.36
201902,0.31,-0.11
201903,1.16,0.28
201904,0.47,-0.96
201905,2.49,0.62
201906,1.98,0.38
201907,2.79,0.78
201908,0.99,-1.06
201909,0.34,-0.66
201910,1.36,0.53
201911,0.51,-0.09
201912,0.45,-0.04
202001,0.12,-0.27
