Harris County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.78,-1.75
200002,1.76,-1.41
200003,1.53,-1.49
200004,5.22,1.69
200005,7.89,3.07
200006,3.40,-0.99
200007,0.91,-3.02
200008,1.75,-1.93
200009,3.78,-0.33
200010,3.80,-0.13
200011,10.72,6.62
200012,2.69,-1.57
200101,4.89,1.36
200102,0.59,-2.58
200103,8.50,5.48
200104,1.51,-2.02
200105,3.46,-1.36
200106,16.20,11.81
200107,2.96,-0.97
200108,7.20,3.52
200109,7.48,3.37
200110,6.30,2.37
200111,3.94,-0.16
200112,6.63,2.37
200201,1.40,-2.13
200202,1.42,-1.75
200203,2.47,-0.55
200204,4.31,0.78
200205,2.57,-2.25
200206,4.62,0.23
200207,5.88,1.95
200208,7.47,3.79
200209,6.34,2.23
200210,12.24,8.31
200211,4.71,0.61
200212,6.01,1.75
200301,2.03,-1.50
200302,3.82,0.65
200303,1.63,-1.39
200304,1.57,-1.96
200305,0.13,-4.69
200306,5.39,1.00
200307,5.24,1.31
200308,4.95,1.27
200309,7.26,3.15
200310,5.17,1.24
200311,5.83,1.73
200312,3.56,-0.70
200401,5.64,2.11
200402,5.57,2.40
200403,2.33,-0.69
200404,4.70,1.17
200405,7.01,2.19
200406,12.43,8.04
200407,2.84,-1.09
200408,2.90,-0.78
200409,1.56,-2.55
200410,2.85,-1.08
200411,12.96,8.86
200412,2.00,-2.26
200501,2.37,-1.16
200502,6.45,3.28
200503,3.26,0.24
200504,1.19,-2.34
200505,3.81,-1.01
200506,0.45,-3.94
200507,8.18,4.25
200508,2.96,-0.72
200509,1.93,-2.18
200510,1.06,-2.87
200511,2.89,-1.21
200512,3.60,-0.66
200601,2.60,-0.93
200602,1.91,-1.26
200603,1.85,-1.17
200604,2.62,-0.91
200605,5.51,0.69
200606,7.39,3.00
200607,9.27,5.34
200608,3.06,-0.62
200609,3.56,-0.55
200610,13.35,9.42
200611,0.89,-3.21
200612,3.91,-0.35
200701,6.49,2.96
200702,1.29,-1.88
200703,6.27,3.25
200704,4.57,1.04
200705,8.17,3.35
200706,5.74,1.35
200707,10.63,6.70
200708,5.89,2.21
200709,4.38,0.27
200710,4.23,0.30
200711,5.55,1.45
200712,1.99,-2.27
200801,5.21,1.68
200802,3.64,0.47
200803,2.56,-0.46
200804,1.56,-1.97
200805,2.99,-1.83
200806,3.10,-1.29
200807,3.21,-0.72
200808,7.28,3.60
200809,9.05,4.94
200810,4.42,0.49
200811,4.34,0.24
200812,1.30,-2.96
200901,0.47,-3.06
200902,1.39,-1.78
200903,3.53,0.51
200904,11.48,7.95
200905,1.19,-3.63
200906,0.43,-3.96
200907,3.00,-0.93
200908,2.90,-0.78
200909,4.03,-0.08
200910,11.53,7.60
200911,1.74,-2.36
200912,6.58,2.32
201001,2.34,-1.19
201002,3.37,0.20
201003,2.35,-0.67
201004,1.31,-2.22
201005,3.65,-1.17
201006,3.86,-0.53
201007,10.13,6.20
201008,1.51,-2.17
201009,4.77,0.66
201010,0.06,-3.87
201011,3.76,-0.34
201012,3.06,-1.20
201101,4.06,0.53
201102,0.54,-2.63
201103,1.25,-1.77
201104,0.06,-3.47
201105,0.51,-4.31
201106,1.60,-2.79
201107,1.93,-2.00
201108,0.59,-3.09
201109,1.41,-2.70
201110,3.63,-0.30
201111,2.88,-1.22
201112,4.65,0.39
201201,5.36,1.83
201202,6.12,2.95
201203,5.67,2.65
201204,2.42,-1.11
201205,3.48,-1.34
201206,3.67,-0.72
201207,9.12,5.19
201208,3.61,-0.07
201209,3.58,-0.53
201210,1.02,-2.91
201211,0.70,-3.40
201212,3.16,-1.10
201301,4.56,1.03
201302,1.78,-1.39
201303,0.75,-2.27
201304,5.54,2.01
201305,2.55,-2.27
201306,2.71,-1.68
201307,3.87,-0.06
201308,2.56,-1.12
201309,5.72,1.61
201310,7.61,3.68
201311,4.92,0.82
201312,1.12,-3.14
201401,1.26,-2.27
201402,2.72,-0.45
201403,2.97,-0.05
201404,1.36,-2.17
201405,10.04,5.22
201406,2.95,-1.44
201407,3.77,-0.16
201408,2.26,-1.42
201409,6.09,1.98
201410,2.87,-1.06
201411,3.71,-0.39
201412,5.04,0.78
201501,4.22,0.69
201502,0.92,-2.25
201503,7.19,4.17
201504,7.25,3.72
201505,14.04,9.22
201506,7.59,3.20
201507,1.69,-2.24
201508,5.19,1.51
201509,4.25,0.14
201510,10.31,6.38
201511,4.95,0.85
201512,4.26,0.00
201601,2.67,-0.86
201602,1.97,-1.20
201603,5.56,2.54
201604,12.40,8.87
201605,8.66,3.84
201606,9.51,5.12
201607,3.31,-0.62
201608,9.08,5.40
201609,2.95,-1.16
201610,0.52,-3.41
201611,2.78,-1.32
201612,4.28,0.02
201701,6.01,2.48
201702,2.41,-0.76
201703,5.22,2.20
201704,3.25,-0.28
201705,3.21,-1.61
201706,5.74,1.35
201707,5.34,1.41
201708,35.88,32.20
201709,2.16,-1.95
201710,2.78,-1.15
201711,1.27,-2.83
201712,4.07,-0.19
201801,3.21,-0.32
201802,5.15,1.98
201803,3.33,0.31
201804,2.53,-1.00
201805,3.39,-1.43
201806,5.15,0.76
201807,6.49,2.56
201808,2.90,-0.78
201809,9.74,5.63
201810,6.46,2.53
201811,4.13,0.03
201812,7.75,3.49
201901,4.65,1.12
201902,2.68,-0.49
201903,0.61,-2.41
201904,3.02,-0.51
201905,8.77,3.95
201906,8.04,3.65
201907,2.07,-1.86
201908,3.80,0.12
201909,10.66,6.55
201910,4.83,0.90
201911,2.13,-1.97
201912,1.27,-2.99
202001,4.13,0.60
