Greenville County, South Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.27,-0.52
200002,2.42,-2.32
200003,4.81,-0.71
200004,5.19,0.95
200005,2.02,-2.26
200006,2.52,-2.03
200007,3.73,-1.58
200008,2.86,-2.47
200009,4.83,0.47
200010,0.03,-3.96
200011,4.57,0.93
200012,2.76,-2.15
200101,3.22,-1.57
200102,2.78,-1.96
200103,6.47,0.95
200104,1.29,-2.95
200105,3.31,-0.97
200106,4.53,-0.02
200107,5.95,0.64
200108,2.00,-3.33
200109,6.30,1.94
200110,1.74,-2.25
200111,2.12,-1.52
200112,2.89,-2.02
200201,5.32,0.53
200202,1.89,-2.85
200203,5.76,0.24
200204,1.80,-2.44
200205,4.07,-0.21
200206,1.98,-2.57
200207,2.99,-2.32
200208,3.56,-1.77
200209,8.19,3.83
200210,5.25,1.26
200211,5.31,1.67
200212,7.02,2.11
200301,2.21,-2.58
200302,5.48,0.74
200303,7.20,1.68
200304,6.67,2.43
200305,8.06,3.78
200306,5.99,1.44
200307,8.90,3.59
200308,5.81,0.48
200309,2.66,-1.70
200310,2.45,-1.54
200311,3.71,0.07
200312,3.63,-1.28
200401,1.75,-3.04
200402,4.58,-0.16
200403,1.65,-3.87
200404,2.12,-2.12
200405,3.15,-1.13
200406,6.18,1.63
200407,5.65,0.34
200408,4.23,-1.10
200409,15.21,10.85
200410,1.33,-2.66
200411,4.66,1.02
200412,5.95,1.04
200501,2.23,-2.56
200502,3.80,-0.94
200503,5.43,-0.09
200504,4.68,0.44
200505,3.56,-0.72
200506,10.43,5.88
200507,7.65,2.34
200508,4.02,-1.31
200509,0.40,-3.96
200510,4.16,0.17
200511,3.20,-0.44
200512,4.78,-0.13
200601,4.45,-0.34
200602,1.68,-3.06
200603,1.41,-4.11
200604,3.49,-0.75
200605,1.70,-2.58
200606,6.62,2.07
200607,3.67,-1.64
200608,5.98,0.65
200609,4.82,0.46
200610,4.82,0.83
200611,4.02,0.38
200612,4.67,-0.24
200701,5.36,0.57
200702,2.56,-2.18
200703,4.35,-1.17
200704,2.20,-2.04
200705,1.85,-2.43
200706,3.51,-1.04
200707,3.03,-2.28
200708,2.03,-3.30
200709,1.78,-2.58
200710,1.93,-2.06
200711,1.71,-1.93
200712,5.71,0.80
200801,2.38,-2.41
200802,3.98,-0.76
200803,4.77,-0.75
200804,3.57,-0.67
200805,2.06,-2.22
200806,0.76,-3.79
200807,3.10,-2.21
200808,5.91,0.58
200809,2.17,-2.19
200810,2.64,-1.35
200811,2.84,-0.80
200812,5.44,0.53
200901,3.76,-1.03
200902,2.39,-2.35
200903,6.63,1.11
200904,4.06,-0.18
200905,6.51,2.23
200906,4.38,-0.17
200907,2.49,-2.82
200908,2.86,-2.47
200909,7.16,2.80
200910,6.38,2.39
200911,6.24,2.60
200912,9.03,4.12
201001,6.25,1.46
201002,4.19,-0.55
201003,3.86,-1.66
201004,2.64,-1.60
201005,4.38,0.10
201006,4.19,-0.36
201007,3.13,-2.18
201008,6.12,0.79
201009,3.35,-1.01
201010,2.38,-1.61
201011,2.87,-0.77
201012,2.81,-2.10
201101,2.43,-2.36
201102,3.50,-1.24
201103,8.55,3.03
201104,3.70,-0.54
201105,2.59,-1.69
201106,3.20,-1.35
201107,3.73,-1.58
201108,3.00,-2.33
201109,5.76,1.40
201110,2.04,-1.95
201111,5.19,1.55
201112,4.95,0.04
201201,4.37,-0.42
201202,1.41,-3.33
201203,3.94,-1.58
201204,4.12,-0.12
201205,4.58,0.30
201206,3.03,-1.52
201207,6.14,0.83
201208,7.91,2.58
201209,3.74,-0.62
201210,3.07,-0.92
201211,0.77,-2.87
201212,5.68,0.77
201301,7.28,2.49
201302,4.34,-0.40
201303,4.21,-1.31
201304,6.22,1.98
201305,6.33,2.05
201306,8.70,4.15
201307,12.72,7.41
201308,7.33,2.00
201309,3.39,-0.97
201310,1.66,-2.33
201311,4.82,1.18
201312,7.86,2.95
201401,3.56,-1.23
201402,3.06,-1.68
201403,4.15,-1.37
201404,5.52,1.28
201405,4.05,-0.23
201406,4.16,-0.39
201407,5.40,0.09
201408,6.15,0.82
201409,3.30,-1.06
201410,4.07,0.08
201411,4.91,1.27
201412,3.58,-1.33
201501,3.97,-0.82
201502,3.81,-0.93
201503,2.68,-2.84
201504,6.39,2.15
201505,2.27,-2.01
201506,5.10,0.55
201507,2.59,-2.72
201508,4.47,-0.86
201509,5.38,1.02
201510,9.82,5.83
201511,9.67,6.03
201512,11.21,6.30
201601,3.75,-1.04
201602,4.78,0.04
201603,1.86,-3.66
201604,1.97,-2.27
201605,5.44,1.16
201606,2.41,-2.14
201607,3.72,-1.59
201608,5.93,0.60
201609,1.12,-3.24
201610,0.56,-3.43
201611,1.90,-1.74
201612,3.14,-1.77
201701,4.68,-0.11
201702,1.48,-3.26
201703,4.53,-0.99
201704,7.78,3.54
201705,6.08,1.80
201706,4.95,0.40
201707,4.31,-1.00
201708,4.62,-0.71
201709,5.05,0.69
201710,7.38,3.39
201711,1.08,-2.56
201712,2.85,-2.06
201801,3.59,-1.20
201802,5.36,0.62
201803,4.50,-1.02
201804,5.22,0.98
201805,9.93,5.65
201806,3.35,-1.20
201807,4.99,-0.32
201808,5.57,0.24
201809,4.06,-0.30
201810,6.80,2.81
201811,8.46,4.82
201812,10.17,5.26
201901,5.99,1.20
201902,7.76,3.02
201903,3.62,-1.90
201904,4.83,0.59
201905,2.68,-1.60
201906,5.97,1.42
201907,2.72,-2.59
201908,4.42,-0.91
201909,0.47,-3.89
201910,6.67,2.68
201911,2.96,-0.68
201912,6.61,1.70
202001,7.46,2.67
