Darlington County, South Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,7.35,3.80
200002,1.69,-1.96
200003,3.07,-0.82
200004,3.28,0.10
200005,2.34,-1.11
200006,3.77,-0.99
200007,5.13,-0.49
200008,4.59,-0.43
200009,9.18,5.04
200010,0.02,-2.80
200011,3.34,0.87
200012,1.00,-2.26
200101,2.07,-1.48
200102,2.26,-1.39
200103,5.07,1.18
200104,0.88,-2.30
200105,2.53,-0.92
200106,4.52,-0.24
200107,4.83,-0.79
200108,2.23,-2.79
200109,3.49,-0.65
200110,0.85,-1.97
200111,0.95,-1.52
200112,0.68,-2.58
200201,2.95,-0.60
200202,1.50,-2.15
200203,3.59,-0.30
200204,1.79,-1.39
200205,3.34,-0.11
200206,2.63,-2.13
200207,2.44,-3.18
200208,8.87,3.85
200209,3.37,-0.77
200210,3.95,1.13
200211,3.24,0.77
200212,3.63,0.37
200301,1.85,-1.70
200302,3.84,0.19
200303,7.01,3.12
200304,4.58,1.40
200305,3.49,0.04
200306,5.30,0.54
200307,7.26,1.64
200308,3.22,-1.80
200309,3.01,-1.13
200310,4.51,1.69
200311,1.51,-0.96
200312,2.27,-0.99
200401,1.11,-2.44
200402,5.31,1.66
200403,0.42,-3.47
200404,2.09,-1.09
200405,3.07,-0.38
200406,5.47,0.71
200407,7.83,2.21
200408,9.97,4.95
200409,9.31,5.17
200410,1.62,-1.20
200411,3.33,0.86
200412,1.94,-1.32
200501,2.37,-1.18
200502,3.51,-0.14
200503,3.48,-0.41
200504,2.27,-0.91
200505,3.77,0.32
200506,6.33,1.57
200507,6.65,1.03
200508,4.79,-0.23
200509,1.42,-2.72
200510,4.13,1.31
200511,2.89,0.42
200512,3.82,0.56
200601,2.88,-0.67
200602,2.80,-0.85
200603,0.69,-3.20
200604,1.83,-1.35
200605,4.52,1.07
200606,9.05,4.29
200607,2.21,-3.41
200608,5.43,0.41
200609,3.84,-0.30
200610,2.42,-0.40
200611,6.28,3.81
200612,3.42,0.16
200701,3.14,-0.41
200702,2.27,-1.38
200703,2.58,-1.31
200704,3.69,0.51
200705,2.48,-0.97
200706,5.69,0.93
200707,3.08,-2.54
200708,2.68,-2.34
200709,1.15,-2.99
200710,4.14,1.32
200711,0.55,-1.92
200712,5.46,2.20
200801,2.84,-0.71
200802,4.89,1.24
200803,3.49,-0.40
200804,3.75,0.57
200805,3.12,-0.33
200806,1.80,-2.96
200807,6.29,0.67
200808,8.51,3.49
200809,7.20,3.06
200810,2.18,-0.64
200811,5.13,2.66
200812,2.36,-0.90
200901,1.37,-2.18
200902,1.12,-2.53
200903,4.15,0.26
200904,2.28,-0.90
200905,6.05,2.60
200906,5.20,0.44
200907,4.46,-1.16
200908,2.99,-2.03
200909,0.67,-3.47
200910,3.30,0.48
200911,4.08,1.61
200912,6.08,2.82
201001,3.59,0.04
201002,3.13,-0.52
201003,2.47,-1.42
201004,1.33,-1.85
201005,2.94,-0.51
201006,6.16,1.40
201007,6.72,1.10
201008,6.52,1.50
201009,5.95,1.81
201010,1.42,-1.40
201011,1.30,-1.17
201012,1.39,-1.87
201101,1.21,-2.34
201102,3.60,-0.05
201103,4.11,0.22
201104,3.62,0.44
201105,4.25,0.80
201106,1.53,-3.23
201107,3.64,-1.98
201108,6.01,0.99
201109,3.48,-0.66
201110,1.86,-0.96
201111,2.89,0.42
201112,1.27,-1.99
201201,1.93,-1.62
201202,2.97,-0.68
201203,3.40,-0.49
201204,3.64,0.46
201205,6.22,2.77
201206,3.35,-1.41
201207,6.40,0.78
201208,6.21,1.19
201209,3.00,-1.14
201210,1.23,-1.59
201211,1.79,-0.68
201212,4.15,0.89
201301,1.99,-1.56
201302,5.47,1.82
201303,2.30,-1.59
201304,4.88,1.70
201305,3.69,0.24
201306,7.21,2.45
201307,9.74,4.12
201308,5.23,0.21
201309,1.68,-2.46
201310,2.05,-0.77
201311,2.56,0.09
201312,3.96,0.70
201401,3.44,-0.11
201402,3.09,-0.56
201403,4.47,0.58
201404,3.84,0.66
201405,3.70,0.25
201406,3.29,-1.47
201407,3.26,-2.36
201408,4.08,-0.94
201409,7.17,3.03
201410,1.49,-1.33
201411,3.83,1.36
201412,4.23,0.97
201501,4.06,0.51
201502,3.67,0.02
201503,3.12,-0.77
201504,2.83,-0.35
201505,0.69,-2.76
201506,3.60,-1.16
201507,3.26,-2.36
201508,4.77,-0.25
201509,3.45,-0.69
201510,12.45,9.63
201511,5.74,3.27
201512,7.34,4.08
201601,2.31,-1.24
201602,5.73,2.08
201603,1.68,-2.21
201604,2.51,-0.67
201605,7.68,4.23
201606,4.51,-0.25
201607,5.98,0.36
201608,3.56,-1.46
201609,7.95,3.81
201610,6.84,4.02
201611,0.95,-1.52
201612,4.23,0.97
201701,3.76,0.21
201702,1.47,-2.18
201703,2.07,-1.82
201704,4.99,1.81
201705,3.86,0.41
201706,3.21,-1.55
201707,5.97,0.35
201708,2.93,-2.09
201709,4.35,0.21
201710,2.93,0.11
201711,0.75,-1.72
201712,4.30,1.04
201801,3.19,-0.36
201802,1.66,-1.99
201803,3.41,-0.48
201804,4.41,1.23
201805,5.01,1.56
201806,3.75,-1.01
201807,3.89,-1.73
201808,2.62,-2.40
201809,14.91,10.77
201810,5.90,3.08
201811,5.93,3.46
201812,7.46,4.20
201901,3.29,-0.26
201902,1.77,-1.88
201903,2.78,-1.11
201904,3.92,0.74
201905,2.85,-0.60
201906,3.52,-1.24
201907,6.42,0.80
201908,5.81,0.79
201909,3.02,-1.12
201910,2.72,-0.10
201911,3.52,1.05
201912,6.68,3.42
202001,4.62,1.07
