Roanoke City, Virginia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.18,-0.94
200002,1.78,-1.05
200003,2.86,-0.69
200004,5.43,2.24
200005,2.82,-0.87
200006,4.91,0.94
200007,6.07,1.80
200008,4.43,0.40
200009,5.80,2.33
200010,0.02,-3.27
200011,2.02,-0.68
200012,1.93,-1.11
200101,1.92,-1.20
200102,0.98,-1.85
200103,4.68,1.13
200104,0.93,-2.26
200105,5.39,1.70
200106,2.19,-1.78
200107,3.55,-0.72
200108,2.44,-1.59
200109,2.18,-1.29
200110,0.55,-2.74
200111,0.62,-2.08
200112,2.54,-0.50
200201,1.83,-1.29
200202,0.71,-2.12
200203,4.08,0.53
200204,2.15,-1.04
200205,3.10,-0.59
200206,2.26,-1.71
200207,3.85,-0.42
200208,2.94,-1.09
200209,3.52,0.05
200210,5.31,2.02
200211,4.53,1.83
200212,3.48,0.44
200301,1.58,-1.54
200302,5.98,3.15
200303,3.73,0.18
200304,4.81,1.62
200305,9.15,5.46
200306,6.85,2.88
200307,5.94,1.67
200308,5.48,1.45
200309,4.82,1.35
200310,1.77,-1.52
200311,4.35,1.65
200312,3.04,0.00
200401,1.78,-1.34
200402,2.38,-0.45
200403,1.99,-1.56
200404,3.63,0.44
200405,3.87,0.18
200406,6.44,2.47
200407,4.36,0.09
200408,3.45,-0.58
200409,11.01,7.54
200410,2.55,-0.74
200411,4.31,1.61
200412,2.44,-0.60
200501,2.49,-0.63
200502,1.83,-1.00
200503,3.94,0.39
200504,2.34,-0.85
200505,2.09,-1.60
200506,4.18,0.21
200507,5.64,1.37
200508,3.90,-0.13
200509,0.24,-3.23
200510,5.60,2.31
200511,3.85,1.15
200512,2.50,-0.54
200601,3.40,0.28
200602,1.51,-1.32
200603,0.44,-3.11
200604,3.06,-0.13
200605,1.69,-2.00
200606,9.14,5.17
200607,2.38,-1.89
200608,2.73,-1.30
200609,4.24,0.77
200610,6.19,2.90
200611,4.27,1.57
200612,1.93,-1.11
200701,2.71,-0.41
200702,2.15,-0.68
200703,3.60,0.05
200704,2.77,-0.42
200705,2.18,-1.51
200706,3.53,-0.44
200707,3.28,-0.99
200708,1.70,-2.33
200709,1.48,-1.99
200710,5.39,2.10
200711,0.32,-2.38
200712,2.87,-0.17
200801,0.99,-2.13
200802,1.74,-1.09
200803,2.37,-1.18
200804,5.00,1.81
200805,2.31,-1.38
200806,4.11,0.14
200807,3.69,-0.58
200808,4.13,0.10
200809,2.39,-1.08
200810,1.82,-1.47
200811,2.02,-0.68
200812,2.77,-0.27
200901,2.99,-0.13
200902,1.08,-1.75
200903,3.85,0.30
200904,3.12,-0.07
200905,7.01,3.32
200906,4.74,0.77
200907,5.39,1.12
200908,4.31,0.28
200909,3.19,-0.28
200910,2.71,-0.58
200911,6.89,4.19
200912,7.75,4.71
201001,4.64,1.52
201002,2.13,-0.70
201003,4.22,0.67
201004,1.51,-1.68
201005,4.49,0.80
201006,1.82,-2.15
201007,4.36,0.09
201008,5.68,1.65
201009,5.90,2.43
201010,2.65,-0.64
201011,2.66,-0.04
201012,2.70,-0.34
201101,0.86,-2.26
201102,1.80,-1.03
201103,4.77,1.22
201104,5.31,2.12
201105,4.24,0.55
201106,3.53,-0.44
201107,3.69,-0.58
201108,1.60,-2.43
201109,7.07,3.60
201110,4.15,0.86
201111,4.34,1.64
201112,4.36,1.32
201201,1.84,-1.28
201202,2.00,-0.83
201203,3.94,0.39
201204,3.17,-0.02
201205,3.90,0.21
201206,3.25,-0.72
201207,3.51,-0.76
201208,4.33,0.30
201209,4.20,0.73
201210,1.60,-1.69
201211,0.72,-1.98
201212,2.64,-0.40
201301,7.39,4.27
201302,1.86,-0.97
201303,3.35,-0.20
201304,3.34,0.15
201305,5.29,1.60
201306,6.87,2.90
201307,11.13,6.86
201308,3.54,-0.49
201309,1.69,-1.78
201310,2.73,-0.56
201311,2.88,0.18
201312,4.78,1.74
201401,1.94,-1.18
201402,4.26,1.43
201403,2.92,-0.63
201404,4.15,0.96
201405,2.56,-1.13
201406,3.00,-0.97
201407,3.08,-1.19
201408,6.89,2.86
201409,1.81,-1.66
201410,4.06,0.77
201411,3.52,0.82
201412,2.56,-0.48
201501,1.38,-1.74
201502,2.53,-0.30
201503,4.33,0.78
201504,5.02,1.83
201505,1.86,-1.83
201506,7.23,3.26
201507,4.61,0.34
201508,3.06,-0.97
201509,8.38,4.91
201510,5.90,2.61
201511,4.02,1.32
201512,4.85,1.81
201601,2.94,-0.18
201602,5.02,2.19
201603,2.30,-1.25
201604,1.41,-1.78
201605,5.80,2.11
201606,5.60,1.63
201607,5.33,1.06
201608,4.62,0.59
201609,4.38,0.91
201610,4.50,1.21
201611,1.08,-1.62
201612,2.88,-0.16
201701,4.33,1.21
201702,0.59,-2.24
201703,2.25,-1.30
201704,5.66,2.47
201705,8.08,4.39
201706,4.45,0.48
201707,2.38,-1.89
201708,2.94,-1.09
201709,2.41,-1.06
201710,4.66,1.37
201711,0.80,-1.90
201712,0.50,-2.54
201801,2.20,-0.92
201802,4.19,1.36
201803,3.46,-0.09
201804,4.22,1.03
201805,8.24,4.55
201806,4.37,0.40
201807,4.59,0.32
201808,5.71,1.68
201809,9.99,6.52
201810,5.53,2.24
201811,4.82,2.12
201812,6.26,3.22
201901,2.52,-0.60
201902,5.58,2.75
201903,1.99,-1.56
201904,4.62,1.43
201905,2.85,-0.84
201906,5.80,1.83
201907,4.29,0.02
201908,3.27,-0.76
201909,1.24,-2.23
201910,6.62,3.33
201911,1.72,-0.98
201912,3.06,0.02
202001,3.34,0.22
