Broadwater County, Montana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.54,-0.40
200002,0.63,-0.12
200003,0.67,-0.41
200004,0.97,-0.36
200005,2.16,-0.15
200006,1.95,-0.65
200007,0.76,-0.69
200008,0.47,-0.75
200009,1.12,-0.28
200010,1.93,0.93
200011,0.84,-0.16
200012,0.57,-0.42
200101,0.31,-0.63
200102,0.44,-0.31
200103,0.72,-0.36
200104,1.32,-0.01
200105,0.70,-1.61
200106,3.15,0.55
200107,2.34,0.89
200108,0.33,-0.89
200109,1.33,-0.07
200110,0.78,-0.22
200111,0.64,-0.36
200112,0.63,-0.36
200201,0.74,-0.20
200202,0.48,-0.27
200203,0.94,-0.14
200204,1.43,0.10
200205,1.99,-0.32
200206,3.99,1.39
200207,1.43,-0.02
200208,1.60,0.38
200209,1.24,-0.16
200210,0.40,-0.60
200211,0.95,-0.05
200212,0.41,-0.58
200301,0.96,0.02
200302,1.31,0.56
200303,1.18,0.10
200304,2.87,1.54
200305,1.88,-0.43
200306,1.51,-1.09
200307,0.44,-1.01
200308,0.77,-0.45
200309,0.72,-0.68
200310,0.62,-0.38
200311,0.66,-0.34
200312,1.17,0.18
200401,0.72,-0.22
200402,0.45,-0.30
200403,0.62,-0.46
200404,1.69,0.36
200405,3.35,1.04
200406,2.12,-0.48
200407,1.56,0.11
200408,2.12,0.90
200409,1.53,0.13
200410,0.83,-0.17
200411,0.43,-0.57
200412,0.65,-0.34
200501,0.70,-0.24
200502,0.18,-0.57
200503,1.33,0.25
200504,1.22,-0.11
200505,2.77,0.46
200506,4.78,2.18
200507,0.88,-0.57
200508,1.30,0.08
200509,1.08,-0.32
200510,1.35,0.35
200511,1.70,0.70
200512,1.02,0.03
200601,0.91,-0.03
200602,0.45,-0.30
200603,1.03,-0.05
200604,2.95,1.62
200605,1.66,-0.65
200606,2.98,0.38
200607,0.73,-0.72
200608,0.64,-0.58
200609,1.14,-0.26
200610,2.31,1.31
200611,0.58,-0.42
200612,0.62,-0.37
200701,0.38,-0.56
200702,1.17,0.42
200703,0.53,-0.55
200704,1.29,-0.04
200705,3.49,1.18
200706,1.25,-1.35
200707,0.66,-0.79
200708,0.76,-0.46
200709,1.47,0.07
200710,1.43,0.43
200711,0.73,-0.27
200712,0.40,-0.59
200801,1.20,0.26
200802,0.58,-0.17
200803,0.68,-0.40
200804,1.28,-0.05
200805,2.89,0.58
200806,2.62,0.02
200807,0.88,-0.57
200808,0.60,-0.62
200809,0.72,-0.68
200810,0.87,-0.13
200811,1.35,0.35
200812,1.31,0.32
200901,0.65,-0.29
200902,0.42,-0.33
200903,2.12,1.04
200904,1.37,0.04
200905,1.06,-1.25
200906,2.55,-0.05
200907,2.09,0.64
200908,1.43,0.21
200909,0.75,-0.65
200910,1.90,0.90
200911,0.45,-0.55
200912,0.71,-0.28
201001,0.65,-0.29
201002,0.42,-0.33
201003,0.70,-0.38
201004,1.75,0.42
201005,3.08,0.77
201006,3.97,1.37
201007,1.40,-0.05
201008,2.31,1.09
201009,1.54,0.14
201010,0.64,-0.36
201011,1.61,0.61
201012,1.01,0.02
201101,0.59,-0.35
201102,0.87,0.12
201103,0.95,-0.13
201104,1.87,0.54
201105,2.66,0.35
201106,3.44,0.84
201107,0.71,-0.74
201108,1.19,-0.03
201109,0.23,-1.17
201110,1.14,0.14
201111,0.73,-0.27
201112,0.66,-0.33
201201,0.80,-0.14
201202,0.91,0.16
201203,1.45,0.37
201204,1.46,0.13
201205,2.01,-0.30
201206,1.27,-1.33
201207,1.49,0.04
201208,0.41,-0.81
201209,0.17,-1.23
201210,1.11,0.11
201211,1.52,0.52
201212,0.71,-0.28
201301,0.61,-0.33
201302,0.41,-0.34
201303,0.33,-0.75
201304,0.75,-0.58
201305,2.49,0.18
201306,1.97,-0.63
201307,1.02,-0.43
201308,1.13,-0.09
201309,2.78,1.38
201310,0.86,-0.14
201311,0.50,-0.50
201312,0.92,-0.07
201401,0.74,-0.20
201402,1.60,0.85
201403,1.51,0.43
201404,1.40,0.07
201405,0.81,-1.50
201406,2.87,0.27
201407,1.21,-0.24
201408,2.94,1.72
201409,1.19,-0.21
201410,0.75,-0.25
201411,1.42,0.42
201412,0.93,-0.06
201501,0.75,-0.19
201502,0.65,-0.10
201503,0.61,-0.47
201504,1.45,0.12
201505,2.12,-0.19
201506,1.39,-1.21
201507,1.91,0.46
201508,0.79,-0.43
201509,1.72,0.32
201510,0.95,-0.05
201511,1.06,0.06
201512,1.12,0.13
201601,0.69,-0.25
201602,0.38,-0.37
201603,1.05,-0.03
201604,1.68,0.35
201605,3.36,1.05
201606,1.42,-1.18
201607,1.68,0.23
201608,1.18,-0.04
201609,1.62,0.22
201610,2.14,1.14
201611,0.37,-0.63
201612,1.14,0.15
201701,0.63,-0.31
201702,1.03,0.28
201703,0.89,-0.19
201704,2.13,0.80
201705,2.09,-0.22
201706,1.84,-0.76
201707,0.34,-1.11
201708,0.15,-1.07
201709,2.07,0.67
201710,0.83,-0.17
201711,1.51,0.51
201712,1.50,0.51
201801,0.75,-0.19
201802,1.15,0.40
201803,1.52,0.44
201804,1.88,0.55
201805,2.83,0.52
201806,4.32,1.72
201807,0.24,-1.21
201808,0.96,-0.26
201809,0.75,-0.65
201810,1.22,0.22
201811,0.76,-0.24
201812,0.49,-0.50
201901,0.84,-0.10
201902,1.82,1.07
201903,0.83,-0.25
201904,1.87,0.54
201905,1.67,-0.64
201906,1.69,-0.91
201907,1.64,0.19
201908,1.31,0.09
201909,2.61,1.21
201910,1.06,0.06
201911,0.68,-0.32
201912,0.43,-0.56
202001,0.57,-0.37
