Bartholomew County, Indiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.09,-0.10
200002,4.23,1.70
200003,2.51,-1.41
200004,4.14,0.17
200005,4.93,0.57
200006,5.61,1.76
200007,4.21,0.47
200008,4.62,1.13
200009,5.28,2.05
200010,3.93,1.08
200011,3.51,0.36
200012,3.39,0.26
200101,1.44,-1.75
200102,2.09,-0.44
200103,0.99,-2.93
200104,1.93,-2.04
200105,5.03,0.67
200106,4.52,0.67
200107,5.29,1.55
200108,4.27,0.78
200109,4.83,1.60
200110,7.93,5.08
200111,4.29,1.14
200112,4.88,1.75
200201,1.84,-1.35
200202,2.12,-0.41
200203,5.48,1.56
200204,7.85,3.88
200205,9.43,5.07
200206,4.13,0.28
200207,1.73,-2.01
200208,2.44,-1.05
200209,4.63,1.40
200210,3.81,0.96
200211,2.59,-0.56
200212,3.87,0.74
200301,1.74,-1.45
200302,4.11,1.58
200303,2.45,-1.47
200304,3.14,-0.83
200305,5.53,1.17
200306,5.47,1.62
200307,8.18,4.44
200308,2.67,-0.82
200309,5.51,2.28
200310,2.90,0.05
200311,5.43,2.28
200312,2.57,-0.56
200401,5.50,2.31
200402,1.02,-1.51
200403,2.70,-1.22
200404,2.98,-0.99
200405,7.41,3.05
200406,3.73,-0.12
200407,5.96,2.22
200408,4.25,0.76
200409,0.47,-2.76
200410,5.37,2.52
200411,4.15,1.00
200412,2.91,-0.22
200501,7.46,4.27
200502,2.25,-0.28
200503,3.17,-0.75
200504,3.40,-0.57
200505,5.03,0.67
200506,3.49,-0.36
200507,3.90,0.16
200508,6.96,3.47
200509,3.28,0.05
200510,0.95,-1.90
200511,4.49,1.34
200512,2.70,-0.43
200601,3.48,0.29
200602,1.91,-0.62
200603,6.97,3.05
200604,4.59,0.62
200605,5.66,1.30
200606,5.07,1.22
200607,4.48,0.74
200608,4.73,1.24
200609,5.03,1.80
200610,4.81,1.96
200611,2.94,-0.21
200612,6.07,2.94
200701,5.94,2.75
200702,3.24,0.71
200703,2.87,-1.05
200704,4.34,0.37
200705,1.22,-3.14
200706,3.02,-0.83
200707,2.71,-1.03
200708,1.37,-2.12
200709,3.23,0.00
200710,3.29,0.44
200711,1.88,-1.27
200712,5.46,2.33
200801,3.37,0.18
200802,4.91,2.38
200803,9.93,6.01
200804,3.23,-0.74
200805,7.26,2.90
200806,8.09,4.24
200807,4.74,1.00
200808,1.77,-1.72
200809,1.80,-1.43
200810,2.18,-0.67
200811,2.35,-0.80
200812,5.41,2.28
200901,2.26,-0.93
200902,2.14,-0.39
200903,2.13,-1.79
200904,5.26,1.29
200905,6.89,2.53
200906,4.82,0.97
200907,7.25,3.51
200908,4.90,1.41
200909,4.37,1.14
200910,7.27,4.42
200911,0.99,-2.16
200912,3.47,0.34
201001,2.27,-0.92
201002,1.76,-0.77
201003,2.91,-1.01
201004,3.24,-0.73
201005,5.15,0.79
201006,9.16,5.31
201007,2.01,-1.73
201008,0.98,-2.51
201009,0.51,-2.72
201010,1.29,-1.56
201011,6.54,3.39
201012,1.68,-1.45
201101,1.34,-1.85
201102,4.64,2.11
201103,4.41,0.49
201104,10.24,6.27
201105,7.29,2.93
201106,5.92,2.07
201107,1.39,-2.35
201108,1.52,-1.97
201109,5.54,2.31
201110,3.34,0.49
201111,6.79,3.64
201112,5.56,2.43
201201,4.45,1.26
201202,1.22,-1.31
201203,4.74,0.82
201204,3.76,-0.21
201205,2.38,-1.98
201206,0.63,-3.22
201207,1.89,-1.85
201208,2.75,-0.74
201209,5.06,1.83
201210,3.86,1.01
201211,0.99,-2.16
201212,4.09,0.96
201301,5.14,1.95
201302,2.72,0.19
201303,2.92,-1.00
201304,4.17,0.20
201305,3.39,-0.97
201306,4.52,0.67
201307,2.26,-1.48
201308,1.12,-2.37
201309,2.95,-0.28
201310,3.51,0.66
201311,2.81,-0.34
201312,5.63,2.50
201401,2.80,-0.39
201402,2.05,-0.48
201403,2.48,-1.44
201404,6.97,3.00
201405,4.03,-0.33
201406,5.35,1.50
201407,5.50,1.76
201408,3.00,-0.49
201409,2.85,-0.38
201410,4.13,1.28
201411,2.58,-0.57
201412,3.57,0.44
201501,2.43,-0.76
201502,1.52,-1.01
201503,4.25,0.33
201504,5.25,1.28
201505,2.54,-1.82
201506,7.96,4.11
201507,10.92,7.18
201508,2.64,-0.85
201509,1.60,-1.63
201510,4.19,1.34
201511,3.75,0.60
201512,5.14,2.01
201601,1.74,-1.45
201602,5.14,2.61
201603,5.28,1.36
201604,5.17,1.20
201605,3.21,-1.15
201606,2.97,-0.88
201607,6.91,3.17
201608,9.01,5.52
201609,4.22,0.99
201610,3.57,0.72
201611,2.30,-0.85
201612,2.61,-0.52
201701,3.32,0.13
201702,1.37,-1.16
201703,4.38,0.46
201704,4.56,0.59
201705,7.29,2.93
201706,5.81,1.96
201707,6.08,2.34
201708,2.01,-1.48
201709,2.01,-1.22
201710,4.29,1.44
201711,5.91,2.76
201712,1.57,-1.56
201801,2.96,-0.23
201802,5.70,3.17
201803,5.16,1.24
201804,4.29,0.32
201805,3.16,-1.20
201806,7.85,4.00
201807,3.96,0.22
201808,4.27,0.78
201809,6.58,3.35
201810,1.51,-1.34
201811,5.75,2.60
201812,4.29,1.16
201901,4.55,1.36
201902,6.66,4.13
201903,4.25,0.33
201904,5.76,1.79
201905,5.64,1.28
201906,8.02,4.17
201907,2.44,-1.30
201908,4.07,0.58
201909,0.65,-2.58
201910,5.25,2.40
201911,3.19,0.04
201912,4.07,0.94
202001,4.91,1.72
