Buffalo County, Nebraska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.35,-0.12
200002,1.36,0.68
200003,1.97,0.61
200004,1.56,-0.83
200005,2.15,-1.60
200006,2.31,-1.60
200007,4.64,1.28
200008,1.07,-1.76
200009,1.24,-1.16
200010,2.23,0.73
200011,1.79,0.85
200012,0.31,-0.29
200101,1.17,0.70
200102,1.17,0.49
200103,1.03,-0.33
200104,3.06,0.67
200105,4.42,0.67
200106,1.04,-2.87
200107,3.58,0.22
200108,2.77,-0.06
200109,3.13,0.73
200110,1.07,-0.43
200111,1.55,0.61
200112,0.09,-0.51
200201,0.32,-0.15
200202,0.28,-0.40
200203,0.74,-0.62
200204,1.33,-1.06
200205,3.14,-0.61
200206,1.46,-2.45
200207,0.58,-2.78
200208,3.23,0.40
200209,1.06,-1.34
200210,3.28,1.78
200211,0.10,-0.84
200212,0.03,-0.57
200301,0.39,-0.08
200302,0.82,0.14
200303,0.43,-0.93
200304,4.81,2.42
200305,4.08,0.33
200306,4.11,0.20
200307,0.44,-2.92
200308,0.75,-2.08
200309,2.39,-0.01
200310,1.19,-0.31
200311,1.01,0.07
200312,0.09,-0.51
200401,0.57,0.10
200402,0.90,0.22
200403,2.17,0.81
200404,1.78,-0.61
200405,3.17,-0.58
200406,2.36,-1.55
200407,5.51,2.15
200408,1.17,-1.66
200409,4.97,2.57
200410,1.04,-0.46
200411,2.81,1.87
200412,0.01,-0.59
200501,0.49,0.02
200502,0.69,0.01
200503,2.48,1.12
200504,1.32,-1.07
200505,3.44,-0.31
200506,5.44,1.53
200507,0.67,-2.69
200508,4.03,1.20
200509,0.53,-1.87
200510,2.04,0.54
200511,1.03,0.09
200512,0.34,-0.26
200601,0.23,-0.24
200602,0.05,-0.63
200603,2.92,1.56
200604,1.71,-0.68
200605,1.24,-2.51
200606,3.93,0.02
200607,3.61,0.25
200608,5.51,2.68
200609,4.26,1.86
200610,1.66,0.16
200611,0.54,-0.40
200612,2.44,1.84
200701,0.66,0.19
200702,0.73,0.05
200703,2.68,1.32
200704,4.83,2.44
200705,5.26,1.51
200706,2.49,-1.42
200707,4.01,0.65
200708,4.03,1.20
200709,2.38,-0.02
200710,3.03,1.53
200711,0.02,-0.92
200712,1.39,0.79
200801,0.07,-0.40
200802,0.21,-0.47
200803,0.79,-0.57
200804,3.69,1.30
200805,9.45,5.70
200806,6.76,2.85
200807,3.95,0.59
200808,1.62,-1.21
200809,2.33,-0.07
200810,7.95,6.45
200811,0.69,-0.25
200812,0.65,0.05
200901,0.20,-0.27
200902,0.63,-0.05
200903,0.09,-1.27
200904,2.41,0.02
200905,2.77,-0.98
200906,6.19,2.28
200907,1.76,-1.60
200908,4.15,1.32
200909,2.15,-0.25
200910,4.52,3.02
200911,0.20,-0.74
200912,0.78,0.18
201001,0.21,-0.26
201002,0.68,0.00
201003,1.96,0.60
201004,2.99,0.60
201005,3.90,0.15
201006,7.23,3.32
201007,5.16,1.80
201008,3.49,0.66
201009,1.24,-1.16
201010,0.60,-0.90
201011,0.74,-0.20
201012,0.18,-0.42
201101,0.96,0.49
201102,0.35,-0.33
201103,0.97,-0.39
201104,3.45,1.06
201105,6.16,2.41
201106,4.03,0.12
201107,4.60,1.24
201108,2.86,0.03
201109,0.69,-1.71
201110,4.59,3.09
201111,0.23,-0.71
201112,0.58,-0.02
201201,0.06,-0.41
201202,1.28,0.60
201203,0.90,-0.46
201204,4.19,1.80
201205,2.23,-1.52
201206,1.35,-2.56
201207,0.53,-2.83
201208,1.15,-1.68
201209,0.46,-1.94
201210,0.48,-1.02
201211,0.06,-0.88
201212,0.83,0.23
201301,0.18,-0.29
201302,1.06,0.38
201303,0.64,-0.72
201304,3.79,1.40
201305,4.94,1.19
201306,1.78,-2.13
201307,2.12,-1.24
201308,3.43,0.60
201309,3.31,0.91
201310,2.94,1.44
201311,0.81,-0.13
201312,0.06,-0.54
201401,0.26,-0.21
201402,0.44,-0.24
201403,0.29,-1.07
201404,3.16,0.77
201405,1.07,-2.68
201406,8.30,4.39
201407,1.30,-2.06
201408,6.82,3.99
201409,2.62,0.22
201410,1.39,-0.11
201411,0.10,-0.84
201412,1.00,0.40
201501,0.09,-0.38
201502,0.68,0.00
201503,0.06,-1.30
201504,2.79,0.40
201505,2.85,-0.90
201506,5.92,2.01
201507,1.89,-1.47
201508,2.56,-0.27
201509,2.27,-0.13
201510,1.29,-0.21
201511,3.51,2.57
201512,1.08,0.48
201601,0.40,-0.07
201602,1.00,0.32
201603,0.44,-0.92
201604,8.35,5.96
201605,3.32,-0.43
201606,1.29,-2.62
201607,3.79,0.43
201608,1.46,-1.37
201609,2.36,-0.04
201610,0.27,-1.23
201611,1.52,0.58
201612,0.46,-0.14
201701,0.78,0.31
201702,0.33,-0.35
201703,1.83,0.47
201704,2.17,-0.22
201705,5.46,1.71
201706,1.89,-2.02
201707,3.20,-0.16
201708,4.99,2.16
201709,3.07,0.67
201710,2.91,1.41
201711,0.31,-0.63
201712,0.32,-0.28
201801,0.72,0.25
201802,0.63,-0.05
201803,0.82,-0.54
201804,1.48,-0.91
201805,5.49,1.74
201806,3.80,-0.11
201807,5.52,2.16
201808,3.07,0.24
201809,2.20,-0.20
201810,2.95,1.45
201811,0.70,-0.24
201812,2.73,2.13
201901,0.16,-0.31
201902,0.96,0.28
201903,4.29,2.93
201904,1.38,-1.01
201905,8.21,4.46
201906,4.55,0.64
201907,7.86,4.50
201908,6.11,3.28
201909,0.98,-1.42
201910,1.36,-0.14
201911,1.41,0.47
201912,1.56,0.96
202001,0.79,0.32
