Pima County, Arizona, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.06,-0.90
200002,0.13,-0.84
200003,1.51,0.62
200004,0.01,-0.32
200005,0.00,-0.17
200006,0.97,0.74
200007,0.82,-1.55
200008,2.71,0.16
200009,0.34,-0.94
200010,4.06,3.30
200011,1.12,0.36
200012,0.03,-1.20
200101,1.84,0.88
200102,0.75,-0.22
200103,0.90,0.01
200104,1.09,0.76
200105,0.24,0.07
200106,0.49,0.26
200107,1.88,-0.49
200108,2.21,-0.34
200109,0.41,-0.87
200110,0.41,-0.35
200111,0.10,-0.66
200112,0.95,-0.28
200201,0.25,-0.71
200202,0.08,-0.89
200203,0.18,-0.71
200204,0.02,-0.31
200205,0.00,-0.17
200206,0.00,-0.23
200207,1.72,-0.65
200208,1.31,-1.24
200209,1.26,-0.02
200210,0.23,-0.53
200211,0.60,-0.16
200212,1.13,-0.10
200301,0.27,-0.69
200302,1.68,0.71
200303,0.61,-0.28
200304,0.12,-0.21
200305,0.17,0.00
200306,0.01,-0.22
200307,2.29,-0.08
200308,2.36,-0.19
200309,2.03,0.75
200310,0.55,-0.21
200311,0.93,0.17
200312,0.36,-0.87
200401,0.95,-0.01
200402,0.79,-0.18
200403,1.10,0.21
200404,1.12,0.79
200405,0.00,-0.17
200406,0.04,-0.19
200407,1.70,-0.67
200408,1.65,-0.90
200409,1.10,-0.18
200410,1.11,0.35
200411,0.70,-0.06
200412,1.28,0.05
200501,2.16,1.20
200502,2.11,1.14
200503,0.45,-0.44
200504,0.20,-0.13
200505,0.40,0.23
200506,0.07,-0.16
200507,1.46,-0.91
200508,3.21,0.66
200509,0.27,-1.01
200510,0.36,-0.40
200511,0.00,-0.76
200512,0.02,-1.21
200601,0.00,-0.96
200602,0.04,-0.93
200603,1.04,0.15
200604,0.03,-0.30
200605,0.01,-0.16
200606,0.54,0.31
200607,3.55,1.18
200608,2.01,-0.54
200609,2.05,0.77
200610,0.21,-0.55
200611,0.00,-0.76
200612,0.31,-0.92
200701,0.60,-0.36
200702,0.19,-0.78
200703,0.76,-0.13
200704,0.21,-0.12
200705,0.02,-0.15
200706,0.04,-0.19
200707,2.84,0.47
200708,1.97,-0.58
200709,1.20,-0.08
200710,0.08,-0.68
200711,0.66,-0.10
200712,2.31,1.08
200801,1.06,0.10
200802,0.80,-0.17
200803,0.22,-0.67
200804,0.01,-0.32
200805,0.30,0.13
200806,0.30,0.07
200807,3.29,0.92
200808,3.81,1.26
200809,0.94,-0.34
200810,0.06,-0.70
200811,0.42,-0.34
200812,1.11,-0.12
200901,0.73,-0.23
200902,0.64,-0.33
200903,0.07,-0.82
200904,0.25,-0.08
200905,0.57,0.40
200906,0.16,-0.07
200907,1.63,-0.74
200908,0.91,-1.64
200909,0.76,-0.52
200910,0.06,-0.70
200911,0.09,-0.67
200912,0.25,-0.98
201001,3.29,2.33
201002,1.45,0.48
201003,0.85,-0.04
201004,0.44,0.11
201005,0.00,-0.17
201006,0.01,-0.22
201007,2.06,-0.31
201008,2.00,-0.55
201009,0.44,-0.84
201010,0.83,0.07
201011,0.01,-0.75
201012,0.74,-0.49
201101,0.01,-0.95
201102,0.66,-0.31
201103,0.20,-0.69
201104,0.42,0.09
201105,0.00,-0.17
201106,0.01,-0.22
201107,2.29,-0.08
201108,1.56,-0.99
201109,1.48,0.20
201110,0.17,-0.59
201111,1.13,0.37
201112,2.05,0.82
201201,0.10,-0.86
201202,0.32,-0.65
201203,0.48,-0.41
201204,0.08,-0.25
201205,0.11,-0.06
201206,0.26,0.03
201207,2.80,0.43
201208,1.94,-0.61
201209,2.08,0.80
201210,0.01,-0.75
201211,0.19,-0.57
201212,1.21,-0.02
201301,0.78,-0.18
201302,0.90,-0.07
201303,0.20,-0.69
201304,0.03,-0.30
201305,0.00,-0.17
201306,0.06,-0.17
201307,2.56,0.19
201308,2.73,0.18
201309,1.51,0.23
201310,0.03,-0.73
201311,2.40,1.64
201312,0.60,-0.63
201401,0.00,-0.96
201402,0.05,-0.92
201403,0.74,-0.15
201404,0.10,-0.23
201405,0.00,-0.17
201406,0.00,-0.23
201407,2.64,0.27
201408,3.32,0.77
201409,2.30,1.02
201410,1.28,0.52
201411,0.06,-0.70
201412,1.52,0.29
201501,2.28,1.32
201502,0.38,-0.59
201503,0.69,-0.20
201504,0.21,-0.12
201505,0.32,0.15
201506,0.67,0.44
201507,1.91,-0.46
201508,1.81,-0.74
201509,2.42,1.14
201510,1.69,0.93
201511,0.31,-0.45
201512,0.63,-0.60
201601,1.47,0.51
201602,0.20,-0.77
201603,0.12,-0.77
201604,0.66,0.33
201605,0.03,-0.14
201606,0.58,0.35
201607,1.62,-0.75
201608,2.37,-0.18
201609,1.65,0.37
201610,0.18,-0.58
201611,0.45,-0.31
201612,1.49,0.26
201701,1.27,0.31
201702,0.58,-0.39
201703,0.07,-0.82
201704,0.05,-0.28
201705,0.13,-0.04
201706,0.03,-0.20
201707,3.46,1.09
201708,1.54,-1.01
201709,0.30,-0.98
201710,0.01,-0.75
201711,0.07,-0.69
201712,0.45,-0.78
201801,0.15,-0.81
201802,1.74,0.77
201803,0.01,-0.88
201804,0.00,-0.33
201805,0.01,-0.16
201806,0.64,0.41
201807,3.03,0.66
201808,2.54,-0.01
201809,1.22,-0.06
201810,2.96,2.20
201811,0.23,-0.53
201812,1.14,-0.09
201901,1.16,0.20
201902,2.58,1.61
201903,0.90,0.01
201904,0.07,-0.26
201905,0.30,0.13
201906,0.01,-0.22
201907,1.19,-1.18
201908,2.06,-0.49
201909,2.79,1.51
201910,0.01,-0.75
201911,3.10,2.34
201912,2.10,0.87
202001,0.55,-0.41
