Lubbock County, Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.06,-0.46
200002,0.24,-0.39
200003,2.63,1.87
200004,2.16,0.82
200005,0.69,-2.00
200006,6.68,3.92
200007,1.71,-0.55
200008,0.09,-2.16
200009,0.01,-2.50
200010,3.26,1.48
200011,1.74,0.97
200012,0.89,0.25
200101,1.29,0.77
200102,0.56,-0.07
200103,2.39,1.63
200104,0.22,-1.12
200105,3.26,0.57
200106,0.30,-2.46
200107,0.39,-1.87
200108,1.74,-0.51
200109,1.14,-1.37
200110,0.04,-1.74
200111,3.28,2.51
200112,0.17,-0.47
200201,0.70,0.18
200202,0.70,0.07
200203,2.11,1.35
200204,1.23,-0.11
200205,0.37,-2.32
200206,3.01,0.25
200207,1.64,-0.62
200208,1.48,-0.77
200209,1.12,-1.39
200210,4.56,2.78
200211,0.49,-0.28
200212,1.74,1.10
200301,0.03,-0.49
200302,0.09,-0.54
200303,0.39,-0.37
200304,0.94,-0.40
200305,1.55,-1.14
200306,4.82,2.06
200307,0.04,-2.22
200308,0.67,-1.58
200309,0.43,-2.08
200310,0.71,-1.07
200311,0.48,-0.29
200312,0.00,-0.64
200401,2.10,1.58
200402,2.04,1.41
200403,2.00,1.24
200404,2.89,1.55
200405,0.95,-1.74
200406,3.29,0.53
200407,3.67,1.41
200408,2.66,0.41
200409,4.55,2.04
200410,2.66,0.88
200411,4.59,3.82
200412,0.70,0.06
200501,1.22,0.70
200502,1.29,0.66
200503,0.86,0.10
200504,0.30,-1.04
200505,2.78,0.09
200506,1.60,-1.16
200507,2.49,0.23
200508,2.97,0.72
200509,0.62,-1.89
200510,2.61,0.83
200511,0.00,-0.77
200512,0.03,-0.61
200601,0.00,-0.52
200602,0.13,-0.50
200603,1.81,1.05
200604,0.78,-0.56
200605,2.37,-0.32
200606,0.79,-1.97
200607,1.06,-1.20
200608,2.20,-0.05
200609,5.07,2.56
200610,1.97,0.19
200611,0.25,-0.52
200612,1.90,1.26
200701,1.11,0.59
200702,0.29,-0.34
200703,5.37,4.61
200704,1.38,0.04
200705,5.43,2.74
200706,3.72,0.96
200707,1.24,-1.02
200708,2.47,0.22
200709,2.07,-0.44
200710,0.21,-1.57
200711,0.17,-0.60
200712,1.14,0.50
200801,0.02,-0.50
200802,0.51,-0.12
200803,0.09,-0.67
200804,0.92,-0.42
200805,4.82,2.13
200806,2.45,-0.31
200807,2.45,0.19
200808,4.03,1.78
200809,6.75,4.24
200810,3.39,1.61
200811,0.10,-0.67
200812,0.06,-0.58
200901,0.06,-0.46
200902,0.70,0.07
200903,0.41,-0.35
200904,1.26,-0.08
200905,0.80,-1.89
200906,2.80,0.04
200907,2.54,0.28
200908,0.68,-1.57
200909,2.26,-0.25
200910,0.82,-0.96
200911,0.12,-0.65
200912,1.29,0.65
201001,1.49,0.97
201002,2.08,1.45
201003,3.03,2.27
201004,5.08,3.74
201005,1.31,-1.38
201006,2.71,-0.05
201007,8.04,5.78
201008,1.46,-0.79
201009,1.46,-1.05
201010,1.97,0.19
201011,0.11,-0.66
201012,0.00,-0.64
201101,0.03,-0.49
201102,0.48,-0.15
201103,0.33,-0.43
201104,0.00,-1.34
201105,0.27,-2.42
201106,0.14,-2.62
201107,0.27,-1.99
201108,0.48,-1.77
201109,1.09,-1.42
201110,1.43,-0.35
201111,0.25,-0.52
201112,1.49,0.85
201201,0.06,-0.46
201202,0.61,-0.02
201203,0.77,0.01
201204,1.18,-0.16
201205,1.52,-1.17
201206,2.84,0.08
201207,0.68,-1.58
201208,2.37,0.12
201209,2.62,0.11
201210,0.21,-1.57
201211,0.03,-0.74
201212,0.66,0.02
201301,0.98,0.46
201302,1.30,0.67
201303,0.06,-0.70
201304,0.02,-1.32
201305,0.77,-1.92
201306,2.79,0.03
201307,3.53,1.27
201308,2.22,-0.03
201309,0.56,-1.95
201310,1.09,-0.69
201311,0.49,-0.28
201312,0.83,0.19
201401,0.00,-0.52
201402,0.20,-0.43
201403,0.17,-0.59
201404,0.36,-0.98
201405,5.29,2.60
201406,3.50,0.74
201407,2.63,0.37
201408,0.93,-1.32
201409,7.63,5.12
201410,0.28,-1.50
201411,2.13,1.36
201412,0.33,-0.31
201501,1.48,0.96
201502,0.75,0.12
201503,0.29,-0.47
201504,2.01,0.67
201505,10.43,7.74
201506,2.65,-0.11
201507,3.44,1.18
201508,0.66,-1.59
201509,0.72,-1.79
201510,4.07,2.29
201511,1.41,0.64
201512,1.46,0.82
201601,0.27,-0.25
201602,0.16,-0.47
201603,0.35,-0.41
201604,1.25,-0.09
201605,3.87,1.18
201606,1.56,-1.20
201607,0.68,-1.58
201608,4.08,1.83
201609,2.75,0.24
201610,0.72,-1.06
201611,1.08,0.31
201612,0.65,0.01
201701,2.10,1.58
201702,0.90,0.27
201703,0.71,-0.05
201704,1.58,0.24
201705,0.63,-2.06
201706,2.43,-0.33
201707,4.26,2.00
201708,4.53,2.28
201709,3.43,0.92
201710,0.46,-1.32
201711,0.06,-0.71
201712,0.05,-0.59
201801,0.01,-0.51
201802,0.21,-0.42
201803,0.89,0.13
201804,0.05,-1.29
201805,1.26,-1.43
201806,1.86,-0.90
201807,1.02,-1.24
201808,1.76,-0.49
201809,3.80,1.29
201810,4.77,2.99
201811,0.20,-0.57
201812,1.32,0.68
201901,0.01,-0.51
201902,0.10,-0.53
201903,1.12,0.36
201904,2.12,0.78
201905,4.10,1.41
201906,2.60,-0.16
201907,1.33,-0.93
201908,1.36,-0.89
201909,5.72,3.21
201910,0.67,-1.11
201911,1.29,0.52
201912,0.50,-0.14
202001,0.32,-0.20
