Lincoln County, Nebraska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.27,-0.15
200002,0.63,0.06
200003,1.36,0.23
200004,1.41,-0.71
200005,1.78,-1.52
200006,1.70,-1.82
200007,3.01,0.14
200008,1.16,-1.31
200009,1.85,0.05
200010,3.23,2.00
200011,1.22,0.54
200012,0.05,-0.45
200101,0.60,0.18
200102,0.49,-0.08
200103,0.52,-0.61
200104,4.55,2.43
200105,2.44,-0.86
200106,1.81,-1.71
200107,3.08,0.21
200108,3.32,0.85
200109,3.08,1.28
200110,1.10,-0.13
200111,1.25,0.57
200112,0.11,-0.39
200201,0.14,-0.28
200202,0.07,-0.50
200203,0.50,-0.63
200204,1.20,-0.92
200205,1.37,-1.93
200206,1.99,-1.53
200207,0.67,-2.20
200208,1.84,-0.63
200209,1.02,-0.78
200210,2.15,0.92
200211,0.07,-0.61
200212,0.03,-0.47
200301,0.24,-0.18
200302,0.53,-0.04
200303,1.02,-0.11
200304,4.33,2.21
200305,1.89,-1.41
200306,4.50,0.98
200307,1.26,-1.61
200308,1.09,-1.38
200309,1.00,-0.80
200310,0.45,-0.78
200311,0.68,0.00
200312,0.06,-0.44
200401,0.26,-0.16
200402,0.62,0.05
200403,0.94,-0.19
200404,2.14,0.02
200405,1.86,-1.44
200406,3.71,0.19
200407,5.59,2.72
200408,1.82,-0.65
200409,2.74,0.94
200410,1.37,0.14
200411,1.49,0.81
200412,0.03,-0.47
200501,0.45,0.03
200502,0.26,-0.31
200503,2.12,0.99
200504,1.98,-0.14
200505,3.13,-0.17
200506,5.61,2.09
200507,1.52,-1.35
200508,3.52,1.05
200509,0.46,-1.34
200510,1.33,0.10
200511,0.76,0.08
200512,0.21,-0.29
200601,0.19,-0.23
200602,0.18,-0.39
200603,1.13,0.00
200604,1.29,-0.83
200605,0.77,-2.53
200606,3.91,0.39
200607,2.81,-0.06
200608,2.89,0.42
200609,2.83,1.03
200610,1.15,-0.08
200611,0.07,-0.61
200612,2.16,1.66
200701,0.63,0.21
200702,1.18,0.61
200703,2.02,0.89
200704,4.57,2.45
200705,6.60,3.30
200706,3.84,0.32
200707,4.01,1.14
200708,1.41,-1.06
200709,1.75,-0.05
200710,1.26,0.03
200711,0.05,-0.63
200712,0.83,0.33
200801,0.03,-0.39
200802,0.14,-0.43
200803,0.75,-0.38
200804,3.56,1.44
200805,6.78,3.48
200806,3.91,0.39
200807,2.70,-0.17
200808,2.44,-0.03
200809,2.12,0.32
200810,5.22,3.99
200811,0.45,-0.23
200812,0.27,-0.23
200901,0.36,-0.06
200902,0.93,0.36
200903,0.36,-0.77
200904,2.97,0.85
200905,3.04,-0.26
200906,4.29,0.77
200907,3.32,0.45
200908,2.38,-0.09
200909,1.94,0.14
200910,4.38,3.15
200911,0.11,-0.57
200912,0.68,0.18
201001,0.10,-0.32
201002,0.81,0.24
201003,2.13,1.00
201004,2.98,0.86
201005,2.59,-0.71
201006,6.78,3.26
201007,4.50,1.63
201008,3.24,0.77
201009,1.84,0.04
201010,0.91,-0.32
201011,0.73,0.05
201012,0.35,-0.15
201101,0.87,0.45
201102,0.67,0.10
201103,0.73,-0.40
201104,2.62,0.50
201105,5.39,2.09
201106,4.07,0.55
201107,3.60,0.73
201108,2.56,0.09
201109,1.05,-0.75
201110,2.23,1.00
201111,0.16,-0.52
201112,0.31,-0.19
201201,0.11,-0.31
201202,0.96,0.39
201203,0.67,-0.46
201204,3.74,1.62
201205,1.11,-2.19
201206,0.69,-2.83
201207,1.35,-1.52
201208,0.84,-1.63
201209,0.17,-1.63
201210,0.36,-0.87
201211,0.04,-0.64
201212,0.41,-0.09
201301,0.21,-0.21
201302,1.03,0.46
201303,0.42,-0.71
201304,1.48,-0.64
201305,3.98,0.68
201306,2.11,-1.41
201307,2.21,-0.66
201308,2.26,-0.21
201309,2.05,0.25
201310,1.41,0.18
201311,0.63,-0.05
201312,0.12,-0.38
201401,0.31,-0.11
201402,0.74,0.17
201403,0.61,-0.52
201404,0.99,-1.13
201405,2.09,-1.21
201406,8.02,4.50
201407,0.92,-1.95
201408,4.18,1.71
201409,1.47,-0.33
201410,0.65,-0.58
201411,0.07,-0.61
201412,1.06,0.56
201501,0.11,-0.31
201502,0.53,-0.04
201503,0.04,-1.09
201504,3.00,0.88
201505,5.22,1.92
201506,3.92,0.40
201507,2.31,-0.56
201508,3.07,0.60
201509,1.31,-0.49
201510,2.06,0.83
201511,1.40,0.72
201512,0.43,-0.07
201601,0.37,-0.05
201602,0.77,0.20
201603,0.56,-0.57
201604,5.74,3.62
201605,4.53,1.23
201606,2.48,-1.04
201607,4.10,1.23
201608,1.25,-1.22
201609,0.96,-0.84
201610,1.55,0.32
201611,0.68,0.00
201612,0.57,0.07
201701,0.88,0.46
201702,0.39,-0.18
201703,1.87,0.74
201704,2.09,-0.03
201705,3.24,-0.06
201706,0.61,-2.91
201707,2.82,-0.05
201708,3.89,1.42
201709,4.30,2.50
201710,2.66,1.43
201711,0.14,-0.54
201712,0.42,-0.08
201801,0.83,0.41
201802,0.62,0.05
201803,0.62,-0.51
201804,1.44,-0.68
201805,6.46,3.16
201806,3.92,0.40
201807,3.88,1.01
201808,1.98,-0.49
201809,1.34,-0.46
201810,2.72,1.49
201811,0.75,0.07
201812,1.55,1.05
201901,0.10,-0.32
201902,0.50,-0.07
201903,2.60,1.47
201904,1.46,-0.66
201905,6.24,2.94
201906,4.03,0.51
201907,5.49,2.62
201908,5.03,2.56
201909,1.37,-0.43
201910,0.69,-0.54
201911,0.73,0.05
201912,0.92,0.42
202001,0.24,-0.18
