Brown County, Illinois, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.60,-1.13
200002,2.31,0.69
200003,2.49,-0.48
200004,1.87,-1.84
200005,3.13,-1.09
200006,6.32,2.20
200007,3.55,-0.24
200008,3.22,-0.19
200009,2.79,-1.14
200010,2.47,-0.33
200011,2.00,-0.51
200012,1.24,-0.69
200101,3.17,1.44
200102,3.72,2.10
200103,1.88,-1.09
200104,2.97,-0.74
200105,4.62,0.40
200106,5.06,0.94
200107,1.60,-2.19
200108,5.80,2.39
200109,2.98,-0.95
200110,4.48,1.68
200111,2.12,-0.39
200112,1.36,-0.57
200201,2.98,1.25
200202,0.86,-0.76
200203,1.44,-1.53
200204,5.81,2.10
200205,8.29,4.07
200206,4.46,0.34
200207,3.21,-0.58
200208,4.01,0.60
200209,0.86,-3.07
200210,3.05,0.25
200211,0.59,-1.92
200212,2.08,0.15
200301,0.83,-0.90
200302,1.68,0.06
200303,2.88,-0.09
200304,4.20,0.49
200305,3.23,-0.99
200306,4.14,0.02
200307,6.08,2.29
200308,2.97,-0.44
200309,6.68,2.75
200310,2.02,-0.78
200311,2.85,0.34
200312,2.80,0.87
200401,0.88,-0.85
200402,0.64,-0.98
200403,2.81,-0.16
200404,1.87,-1.84
200405,5.23,1.01
200406,2.91,-1.21
200407,3.29,-0.50
200408,6.88,3.47
200409,0.78,-3.15
200410,5.23,2.43
200411,4.30,1.79
200412,1.59,-0.34
200501,4.93,3.20
200502,1.86,0.24
200503,1.13,-1.84
200504,3.00,-0.71
200505,1.38,-2.84
200506,1.81,-2.31
200507,2.00,-1.79
200508,3.78,0.37
200509,3.46,-0.47
200510,1.78,-1.02
200511,2.11,-0.40
200512,1.14,-0.79
200601,2.08,0.35
200602,0.14,-1.48
200603,4.43,1.46
200604,2.57,-1.14
200605,1.87,-2.35
200606,2.76,-1.36
200607,3.14,-0.65
200608,3.81,0.40
200609,3.12,-0.81
200610,2.19,-0.61
200611,2.93,0.42
200612,2.47,0.54
200701,2.13,0.40
200702,2.15,0.53
200703,2.97,0.00
200704,3.45,-0.26
200705,2.02,-2.20
200706,3.44,-0.68
200707,0.90,-2.89
200708,1.58,-1.83
200709,0.85,-3.08
200710,3.09,0.29
200711,1.79,-0.72
200712,4.13,2.20
200801,2.47,0.74
200802,4.29,2.67
200803,2.24,-0.73
200804,4.36,0.65
200805,3.77,-0.45
200806,7.98,3.86
200807,6.12,2.33
200808,3.18,-0.23
200809,11.20,7.27
200810,2.57,-0.23
200811,0.73,-1.78
200812,3.05,1.12
200901,0.15,-1.58
200902,1.98,0.36
200903,5.27,2.30
200904,6.27,2.56
200905,4.50,0.28
200906,5.38,1.26
200907,2.19,-1.60
200908,6.04,2.63
200909,2.19,-1.74
200910,8.77,5.97
200911,4.21,1.70
200912,3.17,1.24
201001,1.59,-0.14
201002,1.85,0.23
201003,2.25,-0.72
201004,5.16,1.45
201005,5.88,1.66
201006,10.01,5.89
201007,9.08,5.29
201008,4.00,0.59
201009,5.77,1.84
201010,2.01,-0.79
201011,0.99,-1.52
201012,1.96,0.03
201101,1.33,-0.40
201102,2.79,1.17
201103,1.88,-1.09
201104,4.27,0.56
201105,4.68,0.46
201106,10.37,6.25
201107,1.61,-2.18
201108,0.33,-3.08
201109,2.14,-1.79
201110,1.19,-1.61
201111,4.96,2.45
201112,2.96,1.03
201201,0.77,-0.96
201202,1.09,-0.53
201203,1.83,-1.14
201204,3.10,-0.61
201205,1.42,-2.80
201206,1.77,-2.35
201207,0.91,-2.88
201208,1.75,-1.66
201209,5.74,1.81
201210,5.04,2.24
201211,1.00,-1.51
201212,1.61,-0.32
201301,3.17,1.44
201302,3.01,1.39
201303,2.67,-0.30
201304,6.43,2.72
201305,10.24,6.02
201306,3.56,-0.56
201307,3.12,-0.67
201308,0.09,-3.32
201309,3.04,-0.89
201310,3.11,0.31
201311,2.27,-0.24
201312,1.18,-0.75
201401,1.20,-0.53
201402,2.31,0.69
201403,1.33,-1.64
201404,3.65,-0.06
201405,1.94,-2.28
201406,7.89,3.77
201407,3.03,-0.76
201408,6.28,2.87
201409,6.84,2.91
201410,4.59,1.79
201411,1.09,-1.42
201412,1.37,-0.56
201501,0.88,-0.85
201502,1.60,-0.02
201503,1.35,-1.62
201504,2.11,-1.60
201505,5.31,1.09
201506,10.60,6.48
201507,8.31,4.52
201508,2.90,-0.51
201509,1.89,-2.04
201510,1.50,-1.30
201511,5.73,3.22
201512,6.33,4.40
201601,0.58,-1.15
201602,0.36,-1.26
201603,1.61,-1.36
201604,2.51,-1.20
201605,4.04,-0.18
201606,1.14,-2.98
201607,6.50,2.71
201608,4.92,1.51
201609,2.23,-1.70
201610,1.26,-1.54
201611,1.74,-0.77
201612,0.83,-1.10
201701,1.07,-0.66
201702,0.67,-0.95
201703,4.15,1.18
201704,7.33,3.62
201705,6.98,2.76
201706,3.48,-0.64
201707,2.61,-1.18
201708,4.17,0.76
201709,0.95,-2.98
201710,4.23,1.43
201711,2.21,-0.30
201712,0.37,-1.56
201801,1.40,-0.33
201802,3.39,1.77
201803,4.42,1.45
201804,1.59,-2.12
201805,3.06,-1.16
201806,2.74,-1.38
201807,4.24,0.45
201808,6.68,3.27
201809,4.68,0.75
201810,5.16,2.36
201811,3.09,0.58
201812,1.87,-0.06
201901,2.49,0.76
201902,1.76,0.14
201903,4.59,1.62
201904,4.11,0.40
201905,9.24,5.02
201906,5.16,1.04
201907,1.82,-1.97
201908,5.27,1.86
201909,4.77,0.84
201910,4.50,1.70
201911,1.69,-0.82
201912,1.30,-0.63
202001,3.08,1.35
