Routt County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.32,0.65
200002,3.43,1.07
200003,2.54,-0.09
200004,2.28,-0.36
200005,2.24,0.03
200006,0.83,-0.51
200007,0.79,-0.62
200008,1.69,0.24
200009,2.48,0.82
200010,0.75,-1.31
200011,2.37,0.27
200012,2.82,0.27
200101,1.30,-1.37
200102,2.30,-0.06
200103,2.29,-0.34
200104,2.47,-0.17
200105,1.81,-0.40
200106,0.52,-0.82
200107,1.33,-0.08
200108,1.42,-0.03
200109,1.22,-0.44
200110,1.47,-0.59
200111,2.09,-0.01
200112,1.83,-0.72
200201,1.67,-1.00
200202,1.72,-0.64
200203,2.19,-0.44
200204,1.57,-1.07
200205,0.60,-1.61
200206,0.36,-0.98
200207,1.03,-0.38
200208,1.24,-0.21
200209,1.96,0.30
200210,2.40,0.34
200211,2.45,0.35
200212,2.07,-0.48
200301,1.81,-0.86
200302,3.16,0.80
200303,2.93,0.30
200304,4.00,1.36
200305,2.36,0.15
200306,1.28,-0.06
200307,0.57,-0.84
200308,1.36,-0.09
200309,1.83,0.17
200310,0.80,-1.26
200311,4.18,2.08
200312,2.60,0.05
200401,1.55,-1.12
200402,2.14,-0.22
200403,1.47,-1.16
200404,2.55,-0.09
200405,1.60,-0.61
200406,1.65,0.31
200407,1.10,-0.31
200408,1.41,-0.04
200409,3.34,1.68
200410,2.62,0.56
200411,2.26,0.16
200412,1.81,-0.74
200501,2.84,0.17
200502,2.09,-0.27
200503,2.23,-0.40
200504,2.88,0.24
200505,2.20,-0.01
200506,3.75,2.41
200507,0.73,-0.68
200508,1.26,-0.19
200509,1.44,-0.22
200510,2.71,0.65
200511,3.43,1.33
200512,4.17,1.62
200601,2.76,0.09
200602,1.84,-0.52
200603,2.66,0.03
200604,1.80,-0.84
200605,1.63,-0.58
200606,0.52,-0.82
200607,1.77,0.36
200608,1.78,0.33
200609,3.13,1.47
200610,3.63,1.57
200611,2.02,-0.08
200612,1.65,-0.90
200701,1.73,-0.94
200702,3.08,0.72
200703,1.97,-0.66
200704,1.89,-0.75
200705,1.42,-0.79
200706,0.89,-0.45
200707,1.22,-0.19
200708,1.63,0.18
200709,3.44,1.78
200710,2.83,0.77
200711,0.91,-1.19
200712,4.56,2.01
200801,3.65,0.98
200802,3.39,1.03
200803,2.43,-0.20
200804,2.45,-0.19
200805,2.94,0.73
200806,1.07,-0.27
200807,0.47,-0.94
200808,1.16,-0.29
200809,1.69,0.03
200810,1.19,-0.87
200811,2.29,0.19
200812,3.46,0.91
200901,4.50,1.83
200902,2.07,-0.29
200903,2.75,0.12
200904,2.91,0.27
200905,2.01,-0.20
200906,2.81,1.47
200907,0.99,-0.42
200908,0.80,-0.65
200909,0.91,-0.75
200910,2.49,0.43
200911,1.25,-0.85
200912,2.49,-0.06
201001,1.70,-0.97
201002,1.96,-0.40
201003,1.89,-0.74
201004,4.07,1.43
201005,3.36,1.15
201006,1.67,0.33
201007,1.16,-0.25
201008,1.91,0.46
201009,0.53,-1.13
201010,3.89,1.83
201011,2.96,0.86
201012,4.14,1.59
201101,2.59,-0.08
201102,3.09,0.73
201103,3.56,0.93
201104,5.55,2.91
201105,3.62,1.41
201106,1.01,-0.33
201107,2.37,0.96
201108,1.23,-0.22
201109,1.71,0.05
201110,2.28,0.22
201111,2.25,0.15
201112,0.62,-1.93
201201,1.73,-0.94
201202,3.04,0.68
201203,0.86,-1.77
201204,1.61,-1.03
201205,0.97,-1.24
201206,0.11,-1.23
201207,2.62,1.21
201208,0.72,-0.73
201209,1.07,-0.59
201210,1.40,-0.66
201211,1.08,-1.02
201212,4.40,1.85
201301,1.92,-0.75
201302,1.76,-0.60
201303,1.89,-0.74
201304,4.27,1.63
201305,2.58,0.37
201306,0.08,-1.26
201307,1.50,0.09
201308,1.08,-0.37
201309,3.76,2.10
201310,3.28,1.22
201311,2.33,0.23
201312,2.62,0.07
201401,3.49,0.82
201402,3.01,0.65
201403,2.96,0.33
201404,2.11,-0.53
201405,2.47,0.26
201406,0.44,-0.90
201407,2.11,0.70
201408,3.49,2.04
201409,2.38,0.72
201410,1.84,-0.22
201411,3.08,0.98
201412,2.60,0.05
201501,0.83,-1.84
201502,2.11,-0.25
201503,1.80,-0.83
201504,1.89,-0.75
201505,4.96,2.75
201506,0.58,-0.76
201507,2.14,0.73
201508,1.15,-0.30
201509,1.25,-0.41
201510,1.43,-0.63
201511,2.37,0.27
201512,3.37,0.82
201601,3.20,0.53
201602,1.41,-0.95
201603,3.19,0.56
201604,3.39,0.75
201605,2.90,0.69
201606,0.71,-0.63
201607,0.68,-0.73
201608,0.81,-0.64
201609,1.22,-0.44
201610,1.64,-0.42
201611,1.64,-0.46
201612,3.54,0.99
201701,4.28,1.61
201702,2.19,-0.17
201703,1.11,-1.52
201704,3.12,0.48
201705,2.57,0.36
201706,0.24,-1.10
201707,1.41,0.00
201708,0.86,-0.59
201709,1.78,0.12
201710,2.35,0.29
201711,1.85,-0.25
201712,1.56,-0.99
201801,2.04,-0.63
201802,2.55,0.19
201803,2.24,-0.39
201804,3.12,0.48
201805,1.20,-1.01
201806,0.46,-0.88
201807,0.40,-1.01
201808,1.37,-0.08
201809,0.34,-1.32
201810,2.58,0.52
201811,2.82,0.72
201812,1.89,-0.66
201901,2.97,0.30
201902,2.49,0.13
201903,3.72,1.09
201904,2.71,0.07
201905,3.22,1.01
201906,3.76,2.42
201907,0.61,-0.80
201908,0.58,-0.87
201909,1.12,-0.54
201910,2.46,0.40
201911,1.48,-0.62
201912,2.84,0.29
202001,3.03,0.36
