Douglas County, Nebraska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.24,-0.49
200002,1.12,0.19
200003,1.28,-0.40
200004,2.17,-0.50
200005,3.05,-0.99
200006,6.21,1.62
200007,6.39,2.72
200008,1.62,-2.11
200009,0.75,-2.49
200010,2.33,0.31
200011,2.46,1.04
200012,1.06,0.19
200101,1.61,0.88
200102,1.95,1.02
200103,1.22,-0.46
200104,2.17,-0.50
200105,9.09,5.05
200106,2.31,-2.28
200107,2.52,-1.15
200108,2.24,-1.49
200109,2.81,-0.43
200110,2.18,0.16
200111,1.71,0.29
200112,0.59,-0.28
200201,0.34,-0.39
200202,0.80,-0.13
200203,1.11,-0.57
200204,2.86,0.19
200205,4.74,0.70
200206,1.69,-2.90
200207,2.44,-1.23
200208,6.52,2.79
200209,1.09,-2.15
200210,3.84,1.82
200211,0.23,-1.19
200212,0.02,-0.85
200301,0.47,-0.26
200302,1.46,0.53
200303,0.85,-0.83
200304,3.47,0.80
200305,5.73,1.69
200306,3.38,-1.21
200307,2.01,-1.66
200308,1.35,-2.38
200309,2.39,-0.85
200310,1.44,-0.58
200311,2.20,0.78
200312,0.96,0.09
200401,1.57,0.84
200402,0.99,0.06
200403,3.91,2.23
200404,1.39,-1.28
200405,5.40,1.36
200406,3.21,-1.38
200407,6.42,2.75
200408,2.33,-1.40
200409,3.41,0.17
200410,0.70,-1.32
200411,2.52,1.10
200412,0.29,-0.58
200501,0.95,0.22
200502,2.77,1.84
200503,0.85,-0.83
200504,4.04,1.37
200505,3.94,-0.10
200506,4.43,-0.16
200507,3.55,-0.12
200508,2.51,-1.22
200509,1.13,-2.11
200510,1.16,-0.86
200511,1.24,-0.18
200512,0.94,0.07
200601,0.90,0.17
200602,0.15,-0.78
200603,3.15,1.47
200604,3.51,0.84
200605,2.02,-2.02
200606,1.50,-3.09
200607,2.74,-0.93
200608,7.86,4.13
200609,5.68,2.44
200610,0.91,-1.11
200611,0.30,-1.12
200612,2.21,1.34
200701,1.10,0.37
200702,1.36,0.43
200703,3.78,2.10
200704,5.00,2.33
200705,7.37,3.33
200706,1.39,-3.20
200707,2.47,-1.20
200708,7.87,4.14
200709,2.51,-0.73
200710,5.69,3.67
200711,0.04,-1.38
200712,2.01,1.14
200801,0.37,-0.36
200802,0.63,-0.30
200803,1.18,-0.50
200804,4.56,1.89
200805,6.52,2.48
200806,8.70,4.11
200807,3.59,-0.08
200808,1.21,-2.52
200809,4.08,0.84
200810,5.83,3.81
200811,1.42,0.00
200812,0.81,-0.06
200901,0.32,-0.41
200902,0.82,-0.11
200903,0.96,-0.72
200904,2.15,-0.52
200905,1.60,-2.44
200906,6.33,1.74
200907,2.68,-0.99
200908,6.11,2.38
200909,2.25,-0.99
200910,3.98,1.96
200911,0.18,-1.24
200912,2.82,1.95
201001,1.07,0.34
201002,0.82,-0.11
201003,1.93,0.25
201004,3.28,0.61
201005,2.69,-1.35
201006,10.38,5.79
201007,6.37,2.70
201008,3.96,0.23
201009,3.78,0.54
201010,0.33,-1.69
201011,1.92,0.50
201012,0.40,-0.47
201101,1.30,0.57
201102,0.60,-0.33
201103,1.06,-0.62
201104,3.52,0.85
201105,5.64,1.60
201106,4.75,0.16
201107,3.29,-0.38
201108,5.47,1.74
201109,1.17,-2.07
201110,0.57,-1.45
201111,1.21,-0.21
201112,1.51,0.64
201201,0.13,-0.60
201202,2.08,1.15
201203,1.06,-0.62
201204,3.53,0.86
201205,4.16,0.12
201206,4.02,-0.57
201207,0.06,-3.61
201208,1.91,-1.82
201209,1.27,-1.97
201210,2.06,0.04
201211,0.39,-1.03
201212,1.65,0.78
201301,0.53,-0.20
201302,0.71,-0.22
201303,1.89,0.21
201304,4.85,2.18
201305,6.71,2.67
201306,4.48,-0.11
201307,0.69,-2.98
201308,1.71,-2.02
201309,2.54,-0.70
201310,4.13,2.11
201311,1.33,-0.09
201312,0.18,-0.69
201401,0.13,-0.60
201402,0.71,-0.22
201403,0.32,-1.36
201404,2.80,0.13
201405,4.58,0.54
201406,10.43,5.84
201407,1.14,-2.53
201408,7.97,4.24
201409,4.94,1.70
201410,2.98,0.96
201411,0.34,-1.08
201412,1.75,0.88
201501,0.35,-0.38
201502,1.07,0.14
201503,0.64,-1.04
201504,3.95,1.28
201505,6.81,2.77
201506,4.72,0.13
201507,3.47,-0.20
201508,6.54,2.81
201509,6.18,2.94
201510,0.72,-1.30
201511,2.94,1.52
201512,4.96,4.09
201601,0.97,0.24
201602,0.91,-0.02
201603,1.37,-0.31
201604,6.37,3.70
201605,6.32,2.28
201606,4.33,-0.26
201607,5.09,1.42
201608,7.52,3.79
201609,3.76,0.52
201610,1.46,-0.56
201611,0.99,-0.43
201612,1.42,0.55
201701,1.00,0.27
201702,0.86,-0.07
201703,2.74,1.06
201704,3.02,0.35
201705,6.81,2.77
201706,3.09,-1.50
201707,2.87,-0.80
201708,3.27,-0.46
201709,3.47,0.23
201710,4.80,2.78
201711,0.39,-1.03
201712,0.39,-0.48
201801,1.08,0.35
201802,0.89,-0.04
201803,3.26,1.58
201804,0.48,-2.19
201805,2.25,-1.79
201806,8.90,4.31
201807,3.58,-0.09
201808,5.42,1.69
201809,5.97,2.73
201810,2.87,0.85
201811,1.07,-0.35
201812,3.22,2.35
201901,0.58,-0.15
201902,1.97,1.04
201903,2.80,1.12
201904,1.34,-1.33
201905,7.43,3.39
201906,4.09,-0.50
201907,2.25,-1.42
201908,4.19,0.46
201909,6.61,3.37
201910,5.66,3.64
201911,1.06,-0.36
201912,2.31,1.44
202001,1.18,0.45
