El Paso County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.73,0.38
200002,0.35,-0.06
200003,2.26,1.34
200004,0.61,-1.09
200005,1.71,-0.48
200006,1.46,-0.50
200007,2.63,-0.12
200008,2.96,0.36
200009,0.86,-0.39
200010,1.35,0.46
200011,0.29,-0.28
200012,0.41,-0.03
200101,0.79,0.44
200102,0.35,-0.06
200103,1.02,0.10
200104,1.07,-0.63
200105,3.87,1.68
200106,1.49,-0.47
200107,3.23,0.48
200108,1.85,-0.75
200109,1.07,-0.18
200110,0.05,-0.84
200111,0.98,0.41
200112,0.22,-0.22
200201,0.49,0.14
200202,0.26,-0.15
200203,0.34,-0.58
200204,0.11,-1.59
200205,0.91,-1.28
200206,0.87,-1.09
200207,1.18,-1.57
200208,1.22,-1.38
200209,1.53,0.28
200210,0.94,0.05
200211,0.17,-0.40
200212,0.20,-0.24
200301,0.23,-0.12
200302,0.83,0.42
200303,2.04,1.12
200304,1.31,-0.39
200305,1.26,-0.93
200306,3.79,1.83
200307,1.66,-1.09
200308,1.90,-0.70
200309,1.13,-0.12
200310,0.28,-0.61
200311,0.14,-0.43
200312,0.18,-0.26
200401,0.60,0.25
200402,0.65,0.24
200403,0.29,-0.63
200404,3.00,1.30
200405,0.50,-1.69
200406,3.48,1.52
200407,3.51,0.76
200408,4.25,1.65
200409,0.90,-0.35
200410,0.44,-0.45
200411,0.92,0.35
200412,0.32,-0.12
200501,0.80,0.45
200502,0.15,-0.26
200503,1.24,0.32
200504,1.95,0.25
200505,1.00,-1.19
200506,1.89,-0.07
200507,1.13,-1.62
200508,2.76,0.16
200509,0.97,-0.28
200510,1.52,0.63
200511,0.21,-0.36
200512,0.44,0.00
200601,0.32,-0.03
200602,0.11,-0.30
200603,0.64,-0.28
200604,0.31,-1.39
200605,0.94,-1.25
200606,0.80,-1.16
200607,4.69,1.94
200608,3.15,0.55
200609,2.50,1.25
200610,2.20,1.31
200611,0.28,-0.29
200612,1.10,0.66
200701,0.60,0.25
200702,0.35,-0.06
200703,0.68,-0.24
200704,2.64,0.94
200705,3.04,0.85
200706,1.15,-0.81
200707,1.81,-0.94
200708,3.64,1.04
200709,0.48,-0.77
200710,0.48,-0.41
200711,0.14,-0.43
200712,0.67,0.23
200801,0.53,0.18
200802,0.54,0.13
200803,0.81,-0.11
200804,0.79,-0.91
200805,0.77,-1.42
200806,0.82,-1.14
200807,1.16,-1.59
200808,4.55,1.95
200809,1.26,0.01
200810,0.47,-0.42
200811,0.51,-0.06
200812,0.59,0.15
200901,0.32,-0.03
200902,0.12,-0.29
200903,0.70,-0.22
200904,2.06,0.36
200905,1.85,-0.34
200906,2.91,0.95
200907,3.82,1.07
200908,1.70,-0.90
200909,1.85,0.60
200910,1.86,0.97
200911,0.55,-0.02
200912,0.61,0.17
201001,0.13,-0.22
201002,0.74,0.33
201003,1.33,0.41
201004,1.49,-0.21
201005,0.83,-1.36
201006,0.96,-1.00
201007,3.64,0.89
201008,2.25,-0.35
201009,0.16,-1.09
201010,0.33,-0.56
201011,0.30,-0.27
201012,0.24,-0.20
201101,0.23,-0.12
201102,0.63,0.22
201103,0.43,-0.49
201104,0.88,-0.82
201105,1.68,-0.51
201106,0.65,-1.31
201107,4.09,1.34
201108,1.88,-0.72
201109,2.05,0.80
201110,1.07,0.18
201111,0.33,-0.24
201112,0.82,0.38
201201,0.07,-0.28
201202,0.80,0.39
201203,0.10,-0.82
201204,1.21,-0.49
201205,0.97,-1.22
201206,0.43,-1.53
201207,3.66,0.91
201208,0.37,-2.23
201209,1.66,0.41
201210,0.36,-0.53
201211,0.05,-0.52
201212,0.43,-0.01
201301,0.14,-0.21
201302,0.96,0.55
201303,0.50,-0.42
201304,0.55,-1.15
201305,1.71,-0.48
201306,0.78,-1.18
201307,3.57,0.82
201308,3.39,0.79
201309,4.39,3.14
201310,0.59,-0.30
201311,0.38,-0.19
201312,0.25,-0.19
201401,0.64,0.29
201402,0.42,0.01
201403,0.51,-0.41
201404,1.17,-0.53
201405,2.03,-0.16
201406,1.21,-0.75
201407,4.61,1.86
201408,2.14,-0.46
201409,0.94,-0.31
201410,1.39,0.50
201411,0.33,-0.24
201412,0.48,0.04
201501,0.55,0.20
201502,1.39,0.98
201503,0.73,-0.19
201504,1.78,0.08
201505,7.35,5.16
201506,4.01,2.05
201507,2.77,0.02
201508,2.24,-0.36
201509,0.34,-0.91
201510,1.48,0.59
201511,0.95,0.38
201512,0.46,0.02
201601,0.51,0.16
201602,1.01,0.60
201603,0.92,0.00
201604,2.66,0.96
201605,2.35,0.16
201606,1.90,-0.06
201607,2.15,-0.60
201608,2.22,-0.38
201609,0.17,-1.08
201610,0.17,-0.72
201611,0.36,-0.21
201612,0.69,0.25
201701,0.64,0.29
201702,0.26,-0.15
201703,0.90,-0.02
201704,2.62,0.92
201705,3.14,0.95
201706,0.80,-1.16
201707,4.99,2.24
201708,2.43,-0.17
201709,2.30,1.05
201710,0.45,-0.44
201711,0.25,-0.32
201712,0.10,-0.34
201801,0.33,-0.02
201802,0.41,0.00
201803,0.51,-0.41
201804,1.12,-0.58
201805,1.31,-0.88
201806,1.00,-0.96
201807,4.38,1.63
201808,2.22,-0.38
201809,0.64,-0.61
201810,1.73,0.84
201811,0.47,-0.10
201812,0.15,-0.29
201901,0.86,0.51
201902,0.42,0.01
201903,1.50,0.58
201904,0.75,-0.95
201905,2.62,0.43
201906,1.84,-0.12
201907,2.82,0.07
201908,1.37,-1.23
201909,0.51,-0.74
201910,1.14,0.25
201911,0.84,0.27
201912,0.36,-0.08
202001,0.17,-0.18
