Wake County, North Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.56,1.96
200002,2.12,-1.44
200003,2.60,-1.33
200004,4.00,0.62
200005,1.55,-2.27
200006,4.09,-0.05
200007,6.81,1.45
200008,5.58,0.67
200009,7.05,3.06
200010,0.02,-2.94
200011,2.63,-0.20
200012,1.21,-2.11
200101,1.52,-2.08
200102,2.36,-1.20
200103,6.25,2.32
200104,2.62,-0.76
200105,3.03,-0.79
200106,7.41,3.27
200107,6.41,1.05
200108,4.80,-0.11
200109,2.07,-1.92
200110,1.91,-1.05
200111,0.84,-1.99
200112,1.97,-1.35
200201,5.89,2.29
200202,1.34,-2.22
200203,3.02,-0.91
200204,2.29,-1.09
200205,1.43,-2.39
200206,2.72,-1.42
200207,5.26,-0.10
200208,6.18,1.27
200209,2.82,-1.17
200210,8.61,5.65
200211,4.05,1.22
200212,4.79,1.47
200301,2.05,-1.55
200302,5.90,2.34
200303,5.99,2.06
200304,5.38,2.00
200305,4.69,0.87
200306,4.52,0.38
200307,5.67,0.31
200308,7.22,2.31
200309,4.77,0.78
200310,3.30,0.34
200311,1.88,-0.95
200312,3.55,0.23
200401,1.31,-2.29
200402,3.42,-0.14
200403,2.33,-1.60
200404,2.20,-1.18
200405,3.70,-0.12
200406,4.21,0.07
200407,4.83,-0.53
200408,11.25,6.34
200409,4.55,0.56
200410,1.91,-1.05
200411,3.74,0.91
200412,1.81,-1.51
200501,2.67,-0.93
200502,3.05,-0.51
200503,4.27,0.34
200504,2.83,-0.55
200505,3.00,-0.82
200506,2.64,-1.50
200507,5.38,0.02
200508,2.53,-2.38
200509,1.38,-2.61
200510,2.80,-0.16
200511,4.43,1.60
200512,4.86,1.54
200601,2.41,-1.19
200602,1.82,-1.74
200603,1.29,-2.64
200604,3.73,0.35
200605,3.33,-0.49
200606,10.16,6.02
200607,3.82,-1.54
200608,2.93,-1.98
200609,4.89,0.90
200610,3.53,0.57
200611,8.44,5.61
200612,3.29,-0.03
200701,3.02,-0.58
200702,2.02,-1.54
200703,3.43,-0.50
200704,3.48,0.10
200705,1.72,-2.10
200706,3.56,-0.58
200707,3.60,-1.76
200708,1.03,-3.88
200709,1.82,-2.17
200710,5.26,2.30
200711,0.76,-2.07
200712,4.50,1.18
200801,1.25,-2.35
200802,3.22,-0.34
200803,4.23,0.30
200804,5.11,1.73
200805,3.06,-0.76
200806,3.35,-0.79
200807,4.35,-1.01
200808,4.99,0.08
200809,8.11,4.12
200810,1.27,-1.69
200811,3.77,0.94
200812,3.62,0.30
200901,2.72,-0.88
200902,1.40,-2.16
200903,6.58,2.65
200904,1.70,-1.68
200905,4.76,0.94
200906,5.07,0.93
200907,3.54,-1.82
200908,3.49,-1.42
200909,3.75,-0.24
200910,1.48,-1.48
200911,6.31,3.48
200912,6.62,3.30
201001,4.28,0.68
201002,3.50,-0.06
201003,3.64,-0.29
201004,1.42,-1.96
201005,5.81,1.99
201006,2.66,-1.48
201007,3.79,-1.57
201008,5.24,0.33
201009,6.39,2.40
201010,1.99,-0.97
201011,1.31,-1.52
201012,2.56,-0.76
201101,1.49,-2.11
201102,1.72,-1.84
201103,4.27,0.34
201104,3.64,0.26
201105,4.48,0.66
201106,2.17,-1.97
201107,3.53,-1.83
201108,7.40,2.49
201109,4.59,0.60
201110,2.97,0.01
201111,3.81,0.98
201112,1.91,-1.41
201201,2.33,-1.27
201202,2.31,-1.25
201203,4.85,0.92
201204,2.49,-0.89
201205,5.79,1.97
201206,3.47,-0.67
201207,6.39,1.03
201208,3.90,-1.01
201209,6.66,2.67
201210,2.37,-0.59
201211,0.61,-2.22
201212,3.37,0.05
201301,3.14,-0.46
201302,4.12,0.56
201303,2.04,-1.89
201304,4.28,0.90
201305,3.85,0.03
201306,9.77,5.63
201307,5.55,0.19
201308,3.49,-1.42
201309,3.72,-0.27
201310,1.38,-1.58
201311,3.22,0.39
201312,5.86,2.54
201401,2.92,-0.68
201402,2.97,-0.59
201403,5.55,1.62
201404,4.78,1.40
201405,4.75,0.93
201406,3.40,-0.74
201407,6.29,0.93
201408,6.79,1.88
201409,4.88,0.89
201410,3.21,0.25
201411,3.81,0.98
201412,4.68,1.36
201501,3.61,0.01
201502,3.32,-0.24
201503,3.57,-0.36
201504,4.69,1.31
201505,2.64,-1.18
201506,5.64,1.50
201507,5.35,-0.01
201508,3.60,-1.31
201509,4.61,0.62
201510,5.03,2.07
201511,7.21,4.38
201512,6.57,3.25
201601,2.43,-1.17
201602,4.85,1.29
201603,2.72,-1.21
201604,3.58,0.20
201605,6.21,2.39
201606,5.70,1.56
201607,7.56,2.20
201608,3.23,-1.68
201609,5.62,1.63
201610,7.71,4.75
201611,0.50,-2.33
201612,2.05,-1.27
201701,3.53,-0.07
201702,1.10,-2.46
201703,3.30,-0.63
201704,8.85,5.47
201705,4.82,1.00
201706,5.55,1.41
201707,2.72,-2.64
201708,3.31,-1.60
201709,2.75,-1.24
201710,3.93,0.97
201711,1.29,-1.54
201712,2.43,-0.89
201801,3.40,-0.20
201802,1.88,-1.68
201803,4.73,0.80
201804,4.25,0.87
201805,5.25,1.43
201806,2.04,-2.10
201807,5.69,0.33
201808,8.51,3.60
201809,9.09,5.10
201810,4.42,1.46
201811,6.96,4.13
201812,6.08,2.76
201901,3.52,-0.08
201902,4.46,0.90
201903,3.22,-0.71
201904,6.49,3.11
201905,1.98,-1.84
201906,5.30,1.16
201907,4.37,-0.99
201908,5.81,0.90
201909,1.90,-2.09
201910,3.50,0.54
201911,3.43,0.60
201912,3.43,0.11
202001,4.32,0.72
