Uintah County, Utah, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.66,-0.19
200002,1.56,0.71
200003,1.18,0.11
200004,0.98,-0.18
200005,0.69,-0.47
200006,0.71,-0.14
200007,0.34,-0.66
200008,1.15,-0.02
200009,1.64,0.46
200010,1.87,0.63
200011,0.62,-0.24
200012,0.35,-0.46
200101,0.74,-0.11
200102,1.08,0.23
200103,0.77,-0.30
200104,1.82,0.66
200105,1.09,-0.07
200106,0.16,-0.69
200107,1.13,0.13
200108,1.34,0.17
200109,0.43,-0.75
200110,0.57,-0.67
200111,1.05,0.19
200112,0.55,-0.26
200201,0.20,-0.65
200202,0.13,-0.72
200203,0.86,-0.21
200204,0.42,-0.74
200205,0.14,-1.02
200206,0.17,-0.68
200207,0.71,-0.29
200208,0.48,-0.69
200209,2.47,1.29
200210,1.42,0.18
200211,0.84,-0.02
200212,0.46,-0.35
200301,0.27,-0.58
200302,0.98,0.13
200303,1.33,0.26
200304,0.54,-0.62
200305,1.56,0.40
200306,1.00,0.15
200307,0.13,-0.87
200308,0.75,-0.42
200309,0.67,-0.51
200310,0.26,-0.98
200311,1.28,0.42
200312,1.30,0.49
200401,0.34,-0.51
200402,1.06,0.21
200403,0.14,-0.93
200404,1.62,0.46
200405,0.34,-0.82
200406,0.64,-0.21
200407,0.73,-0.27
200408,0.67,-0.50
200409,1.95,0.77
200410,3.60,2.36
200411,1.51,0.65
200412,0.69,-0.12
200501,2.22,1.37
200502,0.95,0.10
200503,1.09,0.02
200504,1.08,-0.08
200505,1.29,0.13
200506,1.53,0.68
200507,0.32,-0.68
200508,1.33,0.16
200509,1.49,0.31
200510,1.21,-0.03
200511,0.57,-0.29
200512,0.31,-0.50
200601,0.79,-0.06
200602,0.15,-0.70
200603,1.91,0.84
200604,0.80,-0.36
200605,0.37,-0.79
200606,0.52,-0.33
200607,1.06,0.06
200608,0.98,-0.19
200609,1.70,0.52
200610,3.51,2.27
200611,0.58,-0.28
200612,0.48,-0.33
200701,0.57,-0.28
200702,0.52,-0.33
200703,0.49,-0.58
200704,0.64,-0.52
200705,1.12,-0.04
200706,0.10,-0.75
200707,0.56,-0.44
200708,1.10,-0.07
200709,1.75,0.57
200710,0.93,-0.31
200711,0.25,-0.61
200712,2.10,1.29
200801,1.04,0.19
200802,1.05,0.20
200803,0.72,-0.35
200804,0.64,-0.52
200805,0.81,-0.35
200806,1.18,0.33
200807,0.58,-0.42
200808,0.97,-0.20
200809,1.16,-0.02
200810,0.78,-0.46
200811,0.63,-0.23
200812,1.36,0.55
200901,1.05,0.20
200902,0.43,-0.42
200903,0.38,-0.69
200904,1.60,0.44
200905,1.27,0.11
200906,1.84,0.99
200907,0.64,-0.36
200908,0.59,-0.58
200909,1.06,-0.12
200910,0.78,-0.46
200911,0.39,-0.47
200912,1.24,0.43
201001,0.74,-0.11
201002,0.45,-0.40
201003,0.96,-0.11
201004,1.39,0.23
201005,0.97,-0.19
201006,1.07,0.22
201007,0.77,-0.23
201008,1.45,0.28
201009,0.32,-0.86
201010,1.68,0.44
201011,1.18,0.32
201012,2.95,2.14
201101,0.12,-0.73
201102,0.82,-0.03
201103,0.63,-0.44
201104,1.15,-0.01
201105,2.88,1.72
201106,0.80,-0.05
201107,2.96,1.96
201108,1.02,-0.15
201109,0.57,-0.61
201110,1.71,0.47
201111,0.67,-0.19
201112,0.47,-0.34
201201,0.37,-0.48
201202,0.61,-0.24
201203,0.14,-0.93
201204,0.49,-0.67
201205,0.08,-1.08
201206,0.04,-0.81
201207,0.58,-0.42
201208,0.48,-0.69
201209,1.29,0.11
201210,1.08,-0.16
201211,0.37,-0.49
201212,1.30,0.49
201301,0.67,-0.18
201302,0.35,-0.50
201303,0.85,-0.22
201304,1.52,0.36
201305,1.10,-0.06
201306,0.02,-0.83
201307,1.18,0.18
201308,0.91,-0.26
201309,2.76,1.58
201310,1.59,0.35
201311,0.56,-0.30
201312,0.86,0.05
201401,0.33,-0.52
201402,0.38,-0.47
201403,0.74,-0.33
201404,0.85,-0.31
201405,0.80,-0.36
201406,0.12,-0.73
201407,1.03,0.03
201408,3.68,2.51
201409,2.64,1.46
201410,0.21,-1.03
201411,0.54,-0.32
201412,0.67,-0.14
201501,0.48,-0.37
201502,0.23,-0.62
201503,0.83,-0.24
201504,1.15,-0.01
201505,3.60,2.44
201506,0.94,0.09
201507,1.33,0.33
201508,0.89,-0.28
201509,1.03,-0.15
201510,1.49,0.25
201511,1.44,0.58
201512,1.05,0.24
201601,0.52,-0.33
201602,0.39,-0.46
201603,1.55,0.48
201604,1.68,0.52
201605,2.39,1.23
201606,0.19,-0.66
201607,0.66,-0.34
201608,0.65,-0.52
201609,3.84,2.66
201610,0.95,-0.29
201611,0.83,-0.03
201612,1.15,0.34
201701,1.82,0.97
201702,1.32,0.47
201703,1.23,0.16
201704,0.40,-0.76
201705,0.51,-0.65
201706,0.08,-0.77
201707,1.30,0.30
201708,1.16,-0.01
201709,1.41,0.23
201710,0.38,-0.86
201711,0.29,-0.57
201712,0.20,-0.61
201801,0.39,-0.46
201802,0.75,-0.10
201803,0.91,-0.16
201804,0.63,-0.53
201805,0.53,-0.63
201806,0.08,-0.77
201807,0.45,-0.55
201808,1.30,0.13
201809,0.05,-1.13
201810,2.22,0.98
201811,0.50,-0.36
201812,0.46,-0.35
201901,1.72,0.87
201902,2.09,1.24
201903,1.69,0.62
201904,1.55,0.39
201905,2.67,1.51
201906,0.43,-0.42
201907,0.37,-0.63
201908,0.37,-0.80
201909,0.76,-0.42
201910,0.27,-0.97
201911,1.02,0.16
201912,1.49,0.68
202001,0.40,-0.45
