Albany County, Wyoming, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.65,-0.16
200002,1.20,0.37
200003,1.07,-0.03
200004,2.07,0.23
200005,2.96,0.84
200006,1.10,-0.56
200007,0.60,-0.96
200008,0.78,-0.48
200009,2.27,1.08
200010,0.79,-0.28
200011,0.88,0.05
200012,0.97,0.13
200101,0.37,-0.44
200102,0.79,-0.04
200103,0.55,-0.55
200104,2.03,0.19
200105,1.84,-0.28
200106,0.39,-1.27
200107,1.59,0.03
200108,1.06,-0.20
200109,1.05,-0.14
200110,1.01,-0.06
200111,0.68,-0.15
200112,0.31,-0.53
200201,0.42,-0.39
200202,0.51,-0.32
200203,1.43,0.33
200204,0.76,-1.08
200205,0.80,-1.32
200206,0.50,-1.16
200207,0.76,-0.80
200208,1.32,0.06
200209,1.42,0.23
200210,1.21,0.14
200211,0.62,-0.21
200212,0.26,-0.58
200301,0.33,-0.48
200302,0.82,-0.01
200303,2.61,1.51
200304,2.69,0.85
200305,1.92,-0.20
200306,1.81,0.15
200307,0.74,-0.82
200308,1.14,-0.12
200309,1.13,-0.06
200310,0.64,-0.43
200311,1.23,0.40
200312,0.67,-0.17
200401,0.27,-0.54
200402,0.70,-0.13
200403,0.36,-0.74
200404,1.72,-0.12
200405,1.14,-0.98
200406,2.70,1.04
200407,1.33,-0.23
200408,1.44,0.18
200409,2.82,1.63
200410,1.21,0.14
200411,1.14,0.31
200412,0.35,-0.49
200501,0.78,-0.03
200502,0.44,-0.39
200503,1.07,-0.03
200504,1.54,-0.30
200505,2.32,0.20
200506,2.44,0.78
200507,0.96,-0.60
200508,1.05,-0.21
200509,0.44,-0.75
200510,1.40,0.33
200511,0.94,0.11
200512,0.70,-0.14
200601,0.44,-0.37
200602,0.86,0.03
200603,1.37,0.27
200604,0.86,-0.98
200605,1.19,-0.93
200606,0.39,-1.27
200607,1.61,0.05
200608,1.80,0.54
200609,1.36,0.17
200610,1.32,0.25
200611,0.44,-0.39
200612,1.32,0.48
200701,0.71,-0.10
200702,0.47,-0.36
200703,1.63,0.53
200704,1.67,-0.17
200705,2.03,-0.09
200706,0.66,-1.00
200707,1.64,0.08
200708,1.53,0.27
200709,1.42,0.23
200710,1.56,0.49
200711,0.40,-0.43
200712,1.24,0.40
200801,0.56,-0.25
200802,0.71,-0.12
200803,1.01,-0.09
200804,1.07,-0.77
200805,3.76,1.64
200806,1.07,-0.59
200807,0.77,-0.79
200808,1.66,0.40
200809,1.31,0.12
200810,0.53,-0.54
200811,0.68,-0.15
200812,0.73,-0.11
200901,1.30,0.49
200902,0.58,-0.25
200903,0.96,-0.14
200904,2.59,0.75
200905,1.47,-0.65
200906,2.88,1.22
200907,2.03,0.47
200908,0.78,-0.48
200909,0.82,-0.37
200910,2.07,1.00
200911,0.54,-0.29
200912,1.10,0.26
201001,0.35,-0.46
201002,0.67,-0.16
201003,1.53,0.43
201004,2.46,0.62
201005,2.50,0.38
201006,2.86,1.20
201007,1.53,-0.03
201008,0.87,-0.39
201009,0.13,-1.06
201010,1.68,0.61
201011,1.09,0.26
201012,1.41,0.57
201101,0.89,0.08
201102,1.04,0.21
201103,1.16,0.06
201104,2.49,0.65
201105,2.79,0.67
201106,1.13,-0.53
201107,1.50,-0.06
201108,0.75,-0.51
201109,0.76,-0.43
201110,1.84,0.77
201111,1.00,0.17
201112,0.68,-0.16
201201,0.66,-0.15
201202,1.45,0.62
201203,0.10,-1.00
201204,0.86,-0.98
201205,0.98,-1.14
201206,0.57,-1.09
201207,1.79,0.23
201208,0.31,-0.95
201209,0.63,-0.56
201210,1.41,0.34
201211,0.34,-0.49
201212,0.72,-0.12
201301,0.30,-0.51
201302,0.92,0.09
201303,0.64,-0.46
201304,1.90,0.06
201305,1.47,-0.65
201306,0.29,-1.37
201307,1.98,0.42
201308,1.33,0.07
201309,3.61,2.42
201310,2.16,1.09
201311,0.54,-0.29
201312,0.90,0.06
201401,1.04,0.23
201402,1.14,0.31
201403,1.45,0.35
201404,1.23,-0.61
201405,2.61,0.49
201406,1.05,-0.61
201407,2.85,1.29
201408,1.65,0.39
201409,2.01,0.82
201410,0.45,-0.62
201411,0.98,0.15
201412,1.11,0.27
201501,0.35,-0.46
201502,1.13,0.30
201503,0.57,-0.53
201504,2.58,0.74
201505,3.58,1.46
201506,1.40,-0.26
201507,1.97,0.41
201508,0.79,-0.47
201509,0.46,-0.73
201510,1.52,0.45
201511,1.11,0.28
201512,1.04,0.20
201601,0.83,0.02
201602,0.75,-0.08
201603,2.01,0.91
201604,2.93,1.09
201605,2.46,0.34
201606,0.89,-0.77
201607,0.39,-1.17
201608,0.63,-0.63
201609,0.80,-0.39
201610,0.32,-0.75
201611,0.91,0.08
201612,1.18,0.34
201701,1.55,0.74
201702,1.11,0.28
201703,0.90,-0.20
201704,1.77,-0.07
201705,2.37,0.25
201706,0.46,-1.20
201707,1.50,-0.06
201708,1.10,-0.16
201709,1.45,0.26
201710,1.11,0.04
201711,0.92,0.09
201712,0.72,-0.12
201801,0.59,-0.22
201802,0.70,-0.13
201803,1.26,0.16
201804,0.99,-0.85
201805,2.46,0.34
201806,1.51,-0.15
201807,1.57,0.01
201808,0.88,-0.38
201809,0.27,-0.92
201810,0.95,-0.12
201811,1.35,0.52
201812,0.48,-0.36
201901,0.69,-0.12
201902,0.47,-0.36
201903,1.82,0.72
201904,1.37,-0.47
201905,2.72,0.60
201906,2.34,0.68
201907,1.12,-0.44
201908,0.81,-0.45
201909,0.69,-0.50
201910,1.13,0.06
201911,0.77,-0.06
201912,0.88,0.04
202001,0.59,-0.22
