Rockingham County, New Hampshire, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.36,-0.01
200002,3.34,0.34
200003,4.18,0.41
200004,6.58,2.84
200005,3.27,-0.12
200006,4.13,0.60
200007,5.94,2.33
200008,2.57,-0.68
200009,3.17,-0.35
200010,2.99,-0.36
200011,4.72,0.73
200012,4.31,0.56
200101,1.84,-1.53
200102,2.56,-0.44
200103,8.33,4.56
200104,0.94,-2.80
200105,1.79,-1.60
200106,5.79,2.26
200107,2.86,-0.75
200108,2.18,-1.07
200109,2.91,-0.61
200110,1.28,-2.07
200111,1.39,-2.60
200112,2.75,-1.00
200201,2.57,-0.80
200202,2.36,-0.64
200203,4.05,0.28
200204,3.90,0.16
200205,5.14,1.75
200206,5.59,2.06
200207,1.39,-2.22
200208,1.91,-1.34
200209,3.19,-0.33
200210,4.22,0.87
200211,4.97,0.98
200212,4.90,1.15
200301,2.66,-0.71
200302,3.96,0.96
200303,4.07,0.30
200304,3.71,-0.03
200305,4.23,0.84
200306,3.72,0.19
200307,1.82,-1.79
200308,4.94,1.69
200309,4.47,0.95
200310,5.59,2.24
200311,2.38,-1.61
200312,4.78,1.03
200401,0.89,-2.48
200402,1.27,-1.73
200403,2.13,-1.64
200404,8.83,5.09
200405,5.52,2.13
200406,2.80,-0.73
200407,3.92,0.31
200408,5.80,2.55
200409,5.64,2.12
200410,2.21,-1.14
200411,3.65,-0.34
200412,4.37,0.62
200501,3.99,0.62
200502,3.05,0.05
200503,4.98,1.21
200504,5.01,1.27
200505,6.99,3.60
200506,3.51,-0.02
200507,3.29,-0.32
200508,2.82,-0.43
200509,2.29,-1.23
200510,13.94,10.59
200511,4.55,0.56
200512,4.56,0.81
200601,4.29,0.92
200602,2.55,-0.45
200603,0.92,-2.85
200604,3.25,-0.49
200605,14.76,11.37
200606,10.11,6.58
200607,5.26,1.65
200608,4.45,1.20
200609,2.56,-0.96
200610,6.73,3.38
200611,6.28,2.29
200612,2.98,-0.77
200701,3.09,-0.28
200702,1.71,-1.29
200703,4.08,0.31
200704,9.13,5.39
200705,4.11,0.72
200706,3.31,-0.22
200707,4.73,1.12
200708,1.37,-1.88
200709,2.93,-0.59
200710,4.00,0.65
200711,4.00,0.01
200712,4.60,0.85
200801,3.10,-0.27
200802,8.63,5.63
200803,5.81,2.04
200804,3.70,-0.04
200805,1.32,-2.07
200806,4.75,1.22
200807,8.33,4.72
200808,4.87,1.62
200809,9.47,5.95
200810,3.10,-0.25
200811,3.84,-0.15
200812,6.43,2.68
200901,3.60,0.23
200902,2.42,-0.58
200903,3.12,-0.65
200904,4.26,0.52
200905,4.10,0.71
200906,6.68,3.15
200907,7.65,4.04
200908,4.74,1.49
200909,1.70,-1.82
200910,4.85,1.50
200911,4.30,0.31
200912,4.71,0.96
201001,2.84,-0.53
201002,5.64,2.64
201003,13.64,9.87
201004,1.97,-1.77
201005,2.78,-0.61
201006,2.65,-0.88
201007,2.83,-0.78
201008,4.59,1.34
201009,2.02,-1.50
201010,5.18,1.83
201011,4.12,0.13
201012,3.30,-0.45
201101,3.29,-0.08
201102,3.53,0.53
201103,4.31,0.54
201104,4.70,0.96
201105,4.00,0.61
201106,4.78,1.25
201107,1.86,-1.75
201108,7.61,4.36
201109,5.12,1.60
201110,8.20,4.85
201111,3.58,-0.41
201112,3.95,0.20
201201,3.08,-0.29
201202,1.14,-1.86
201203,2.11,-1.66
201204,3.17,-0.57
201205,4.19,0.80
201206,5.53,2.00
201207,1.72,-1.89
201208,4.50,1.25
201209,3.48,-0.04
201210,4.87,1.52
201211,0.85,-3.14
201212,5.83,2.08
201301,1.49,-1.88
201302,4.31,1.31
201303,2.36,-1.41
201304,2.29,-1.45
201305,4.83,1.44
201306,7.35,3.82
201307,4.53,0.92
201308,2.57,-0.68
201309,6.01,2.49
201310,0.78,-2.57
201311,2.94,-1.05
201312,3.99,0.24
201401,2.97,-0.40
201402,4.33,1.33
201403,4.76,0.99
201404,2.71,-1.03
201405,3.32,-0.07
201406,2.32,-1.21
201407,6.13,2.52
201408,3.71,0.46
201409,1.64,-1.88
201410,5.07,1.72
201411,4.14,0.15
201412,6.08,2.33
201501,3.40,0.03
201502,2.73,-0.27
201503,2.09,-1.68
201504,2.82,-0.92
201505,0.50,-2.89
201506,7.04,3.51
201507,2.26,-1.35
201508,2.78,-0.47
201509,3.27,-0.25
201510,3.86,0.51
201511,2.36,-1.63
201512,5.05,1.30
201601,2.08,-1.29
201602,3.65,0.65
201603,3.67,-0.10
201604,2.30,-1.44
201605,1.82,-1.57
201606,1.90,-1.63
201607,2.36,-1.25
201608,2.32,-0.93
201609,2.41,-1.11
201610,6.66,3.31
201611,2.79,-1.20
201612,4.24,0.49
201701,3.03,-0.34
201702,3.00,0.00
201703,3.22,-0.55
201704,5.48,1.74
201705,5.50,2.11
201706,4.20,0.67
201707,3.35,-0.26
201708,3.00,-0.25
201709,3.60,0.08
201710,5.78,2.43
201711,1.71,-2.28
201712,2.67,-1.08
201801,2.99,-0.38
201802,3.97,0.97
201803,3.19,-0.58
201804,5.23,1.49
201805,1.58,-1.81
201806,4.14,0.61
201807,5.18,1.57
201808,5.96,2.71
201809,6.69,3.17
201810,4.19,0.84
201811,9.75,5.76
201812,2.80,-0.95
201901,4.45,1.08
201902,3.16,0.16
201903,1.95,-1.82
201904,5.32,1.58
201905,2.92,-0.47
201906,4.83,1.30
201907,3.94,0.33
201908,4.36,1.11
201909,0.89,-2.63
201910,5.74,2.39
201911,3.38,-0.61
201912,6.93,3.18
202001,2.21,-1.16
